id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1002.0,1002.0,0.0,3006.0,3006.0,708.0,294.0,708.0,294.0
0.0,0.0,1008.0,1005.0,3006.0,2019.0,2019.0,711.0,294.0,714.0,294.0
0.0,996.0,36.0,682.0,2019.0,0.0,0.0,486.0,196.0,36.0,0.0
0.0,2979.0,365.0,603.0,0.0,0.0,0.0,431.0,172.0,266.0,99.0
0.0,2614.0,372.0,557.0,0.0,0.0,0.0,397.0,160.0,260.0,112.0
0.0,2242.0,368.0,525.0,0.0,0.0,0.0,375.0,150.0,265.0,103.0
0.0,1874.0,388.0,505.0,0.0,29.0,29.0,360.0,145.0,273.0,115.0
0.0,1486.0,365.0,488.0,29.0,314.0,314.0,349.0,139.0,268.0,97.0
0.0,1150.0,343.0,472.0,314.0,295.0,295.0,336.0,136.0,233.0,110.0
0.0,1121.0,336.0,459.0,295.0,297.0,297.0,325.0,134.0,224.0,112.0
0.0,1080.0,339.0,448.0,297.0,306.0,306.0,317.0,131.0,235.0,104.0
0.0,1038.0,342.0,439.0,306.0,315.0,315.0,310.0,129.0,235.0,107.0
0.0,1002.0,315.0,429.0,315.0,285.0,285.0,302.0,127.0,208.0,107.0
0.0,1002.0,341.0,423.0,285.0,323.0,323.0,297.0,126.0,238.0,103.0
0.0,946.0,327.0,417.0,323.0,309.0,309.0,293.0,124.0,226.0,101.0
0.0,942.0,328.0,411.0,309.0,310.0,310.0,289.0,122.0,228.0,100.0
0.0,923.0,332.0,406.0,310.0,317.0,317.0,285.0,121.0,235.0,97.0
0.0,901.0,327.0,402.0,317.0,315.0,315.0,282.0,120.0,227.0,100.0
0.0,891.0,324.0,397.0,315.0,309.0,309.0,279.0,118.0,230.0,94.0
0.0,882.0,337.0,395.0,309.0,331.0,331.0,277.0,118.0,235.0,102.0
0.0,854.0,315.0,391.0,331.0,303.0,303.0,274.0,117.0,219.0,96.0
0.0,870.0,334.0,388.0,303.0,325.0,325.0,272.0,116.0,229.0,105.0
0.0,839.0,306.0,385.0,325.0,297.0,297.0,270.0,115.0,214.0,92.0
0.0,858.0,326.0,382.0,297.0,317.0,317.0,268.0,114.0,222.0,104.0
0.0,829.0,340.0,381.0,317.0,337.0,337.0,267.0,114.0,239.0,101.0
0.0,806.0,345.0,380.0,337.0,342.0,342.0,266.0,114.0,238.0,107.0
0.0,798.0,344.0,378.0,342.0,338.0,338.0,265.0,113.0,239.0,105.0
0.0,796.0,354.0,377.0,338.0,351.0,351.0,264.0,113.0,247.0,107.0
0.0,780.0,377.0,377.0,351.0,377.0,377.0,264.0,113.0,263.0,114.0
0.0,754.0,384.0,377.0,377.0,384.0,384.0,264.0,113.0,274.0,110.0
0.0,747.0,368.0,377.0,384.0,368.0,368.0,264.0,113.0,259.0,109.0
0.0,763.0,384.0,377.0,368.0,384.0,384.0,264.0,113.0,271.0,113.0
0.0,747.0,381.0,377.0,384.0,381.0,381.0,264.0,113.0,265.0,116.0
0.0,750.0,389.0,378.0,381.0,392.0,392.0,265.0,113.0,274.0,115.0
0.0,742.0,379.0,378.0,392.0,379.0,379.0,265.0,113.0,266.0,113.0
0.0,755.0,366.0,377.0,379.0,363.0,363.0,264.0,113.0,259.0,107.0
0.0,768.0,350.0,377.0,363.0,350.0,350.0,264.0,113.0,246.0,104.0
0.0,781.0,356.0,377.0,350.0,356.0,356.0,264.0,113.0,248.0,108.0
0.0,775.0,362.0,375.0,356.0,356.0,356.0,263.0,112.0,257.0,105.0
0.0,769.0,371.0,375.0,356.0,371.0,371.0,263.0,112.0,264.0,107.0
0.0,754.0,345.0,375.0,371.0,345.0,345.0,263.0,112.0,239.0,106.0
