agg_orders_level_0,agg_orders_level_1
5010.0,25050.0
5050.0,25150.0
5140.0,25340.0
5150.0,20740.0
5190.0,880.0
5215.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
84.0,0.0
370.0,0.0
1085.0,0.0
2049.0,0.0
2750.0,0.0
2775.0,0.0
1979.0,0.0
810.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
160.0,0.0
469.0,0.0
1341.0,0.0
2253.0,0.0
2859.0,0.0
2636.0,0.0
1740.0,0.0
405.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
104.0,0.0
379.0,0.0
1049.0,0.0
1923.0,0.0
2623.0,0.0
2635.0,0.0
1978.0,0.0
887.0,0.0
196.0,0.0
0.0,0.0
22.0,0.0
264.0,0.0
781.0,0.0
1762.0,0.0
2697.0,0.0
3106.0,0.0
2589.0,0.0
1603.0,0.0
347.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
146.0,0.0
572.0,0.0
1395.0,0.0
2147.0,0.0
2657.0,0.0
2395.0,0.0
1617.0,160.0
772.0,160.0
452.0,306.0
0.0,146.0
26.0,126.0
264.0,79.0
786.0,412.0
1696.0,1688.0
2457.0,3635.0
2902.0,4852.0
2471.0,5727.0
1897.0,5294.0
1823.0,2851.0
946.0,1232.0
547.0,0.0
27.0,0.0
293.0,0.0
652.0,0.0
1003.0,0.0
1077.0,0.0
1054.0,0.0
1063.0,0.0
1541.0,0.0
2085.0,0.0
2063.0,1424.0
1289.0,1962.0
636.0,2558.0
315.0,1294.0
414.0,811.0
759.0,180.0
988.0,0.0
1092.0,0.0
1277.0,0.0
1682.0,983.0
2229.0,2940.0
2352.0,5076.0
1774.0,6092.0
790.0,3612.0
574.0,2057.0
638.0,239.0
1006.0,0.0
1129.0,0.0
1161.0,0.0
1201.0,0.0
1647.0,0.0
2204.0,0.0
2175.0,572.0
1391.0,1141.0
699.0,1016.0
397.0,672.0
412.0,298.0
780.0,435.0
1031.0,431.0
1034.0,639.0
1057.0,1079.0
1320.0,2098.0
2051.0,3700.0
2402.0,5038.0
2072.0,5195.0
995.0,3177.0
548.0,1697.0
653.0,228.0
1042.0,0.0
1213.0,0.0
1349.0,0.0
1402.0,0.0
1922.0,0.0
2437.0,60.0
2365.0,1076.0
1399.0,1582.0
693.0,2185.0
336.0,1373.0
528.0,1052.0
899.0,441.0
1089.0,0.0
1012.0,0.0
1071.0,228.0
1468.0,1243.0
2213.0,3125.0
2427.0,4956.0
1852.0,5778.0
677.0,3532.0
312.0,1795.0
554.0,398.0
964.0,0.0
1231.0,0.0
1363.0,0.0
1538.0,0.0
1977.0,0.0
2741.0,0.0
2750.0,1140.0
1778.0,2496.0
614.0,3075.0
248.0,2098.0
654.0,692.0
1035.0,0.0
1202.0,0.0
1070.0,0.0
1073.0,0.0
1560.0,713.0
2315.0,2633.0
2522.0,4954.0
1849.0,6234.0
695.0,4546.0
122.0,1466.0
484.0,0.0
882.0,0.0
1163.0,0.0
1105.0,0.0
1496.0,0.0
1971.0,0.0
2899.0,0.0
3053.0,702.0
2189.0,2920.0
314.0,3169.0
205.0,2577.0
668.0,439.0
1109.0,176.0
1342.0,0.0
1114.0,0.0
1188.0,0.0
1716.0,557.0
2702.0,2960.0
2911.0,5876.0
2141.0,6987.0
397.0,5252.0
88.0,843.0
406.0,0.0
803.0,0.0
1108.0,0.0
1091.0,0.0
1255.0,0.0
1667.0,0.0
2465.0,0.0
2887.0,0.0
2356.0,565.0
924.0,1479.0
177.0,1556.0
559.0,1470.0
1009.0,960.0
1297.0,681.0
1303.0,520.0
1681.0,940.0
2176.0,2475.0
3011.0,5196.0
2980.0,6588.0
1953.0,6513.0
264.0,2097.0
189.0,0.0
573.0,0.0
1001.0,0.0
1222.0,0.0
1148.0,0.0
1241.0,0.0
1826.0,0.0
2653.0,257.0
2859.0,1214.0
2088.0,1879.0
629.0,2231.0
161.0,1083.0
531.0,885.0
962.0,596.0
1235.0,538.0
1310.0,359.0
1739.0,796.0
2254.0,1657.0
3075.0,4428.0
3079.0,6811.0
2039.0,7028.0
281.0,3287.0
263.0,0.0
668.0,0.0
1129.0,0.0
1318.0,0.0
1302.0,0.0
1427.0,0.0
2104.0,0.0
2861.0,0.0
2862.0,918.0
1877.0,2136.0
409.0,2510.0
225.0,1732.0
576.0,783.0
1039.0,391.0
1264.0,153.0
1262.0,0.0
1733.0,313.0
2394.0,1965.0
3185.0,5370.0
3099.0,7625.0
1997.0,7765.0
120.0,3268.0
285.0,0.0
693.0,0.0
1141.0,0.0
1331.0,0.0
1328.0,0.0
1812.0,0.0
2601.0,0.0
3338.0,0.0
3077.0,395.0
1730.0,2121.0
16.0,2047.0
238.0,1790.0
578.0,358.0
1026.0,129.0
1240.0,0.0
1251.0,241.0
1561.0,767.0
2258.0,2889.0
2952.0,5825.0
2998.0,7800.0
2106.0,6839.0
472.0,3280.0
282.0,0.0
686.0,0.0
1199.0,0.0
1414.0,0.0
1575.0,0.0
2013.0,0.0
2846.0,0.0
3455.0,101.0
3125.0,1199.0
1596.0,2777.0
90.0,2671.0
289.0,1731.0
672.0,532.0
1132.0,243.0
1314.0,0.0
1414.0,0.0
1633.0,632.0
2419.0,1921.0
3018.0,4970.0
2948.0,7396.0
1804.0,6960.0
473.0,4416.0
236.0,426.0
586.0,0.0
1066.0,0.0
1326.0,0.0
1608.0,0.0
2196.0,0.0
3012.0,0.0
3530.0,14.0
3224.0,1039.0
1714.0,2756.0
182.0,2839.0
366.0,2071.0
779.0,667.0
1237.0,361.0
1389.0,0.0
1430.0,0.0
1866.0,592.0
2754.0,2402.0
3393.0,5847.0
3126.0,8231.0
1732.0,7466.0
196.0,3617.0
297.0,0.0
639.0,0.0
1126.0,0.0
1327.0,0.0
1358.0,0.0
1697.0,0.0
2560.0,0.0
3282.0,0.0
3282.0,173.0
2199.0,1286.0
548.0,1764.0
407.0,1908.0
831.0,1373.0
1297.0,888.0
1416.0,321.0
1540.0,623.0
2093.0,2005.0
3120.0,4258.0
3754.0,6951.0
3313.0,8474.0
1578.0,6174.0
494.0,2261.0
353.0,0.0
767.0,0.0
1201.0,0.0
1345.0,0.0
1366.0,0.0
1376.0,0.0
1938.0,0.0
2582.0,0.0
2871.0,143.0
2280.0,320.0
1589.0,1051.0
1019.0,1897.0
934.0,2446.0
1361.0,2671.0
1502.0,2136.0
1620.0,1337.0
1880.0,1854.0
2713.0,2553.0
3285.0,3124.0
3161.0,4701.0
1975.0,5243.0
973.0,5165.0
480.0,2909.0
835.0,0.0
1243.0,0.0
1364.0,0.0
1543.0,0.0
1831.0,0.0
2622.0,0.0
3149.0,197.0
3053.0,1916.0
1787.0,2452.0
958.0,2797.0
444.0,1449.0
761.0,681.0
1199.0,356.0
1403.0,112.0
1746.0,0.0
2100.0,854.0
2862.0,3054.0
3359.0,6078.0
3242.0,8581.0
1922.0,7671.0
1045.0,4578.0
674.0,845.0
1006.0,0.0
1430.0,0.0
1501.0,0.0
1633.0,0.0
1877.0,0.0
2826.0,0.0
3383.0,0.0
3216.0,718.0
1710.0,1184.0
836.0,1718.0
358.0,1263.0
765.0,1196.0
1192.0,868.0
1374.0,474.0
1611.0,762.0
1952.0,1936.0
2673.0,3857.0
3189.0,6039.0
3213.0,7921.0
2113.0,6163.0
1136.0,4022.0
787.0,672.0
941.0,0.0
1402.0,0.0
1697.0,0.0
2092.0,0.0
2414.0,0.0
3154.0,0.0
3412.0,546.0
2880.0,1743.0
1567.0,3127.0
939.0,3490.0
428.0,2622.0
879.0,1141.0
1301.0,0.0
1550.0,0.0
1791.0,156.0
2133.0,1325.0
2751.0,3740.0
3173.0,5584.0
2902.0,6325.0
1935.0,5033.0
1103.0,3440.0
645.0,2677.0
854.0,1223.0
1304.0,0.0
1725.0,0.0
2204.0,0.0
2648.0,0.0
3274.0,0.0
3426.0,660.0
2881.0,1519.0
1823.0,2849.0
1153.0,3312.0
575.0,2959.0
980.0,1808.0
1386.0,280.0
1653.0,0.0
1799.0,432.0
2245.0,1683.0
2853.0,3484.0
3287.0,5001.0
2995.0,6288.0
1955.0,4896.0
1045.0,4363.0
450.0,2513.0
732.0,872.0
1172.0,0.0
1456.0,0.0
1942.0,0.0
2510.0,0.0
3243.0,0.0
3679.0,0.0
3425.0,967.0
1878.0,2598.0
1107.0,3675.0
498.0,3140.0
1013.0,1862.0
1422.0,543.0
1717.0,135.0
1985.0,1258.0
2601.0,2630.0
3278.0,3750.0
3657.0,5379.0
3103.0,6206.0
2086.0,5316.0
827.0,4109.0
423.0,1992.0
890.0,0.0
1292.0,0.0
1448.0,0.0
1456.0,0.0
2086.0,0.0
2890.0,0.0
3747.0,0.0
3836.0,593.0
2629.0,3314.0
1035.0,4329.0
494.0,4110.0
993.0,1751.0
1409.0,320.0
1539.0,0.0
1791.0,0.0
2516.0,1148.0
3303.0,3177.0
3939.0,5573.0
3625.0,7687.0
1971.0,7252.0
979.0,4073.0
500.0,2085.0
947.0,0.0
1316.0,0.0
1415.0,0.0
1650.0,0.0
2272.0,0.0
3160.0,0.0
3795.0,0.0
3652.0,452.0
2162.0,2565.0
1021.0,3571.0
489.0,3518.0
962.0,1815.0
1333.0,583.0
1472.0,0.0
1787.0,835.0
2577.0,2034.0
3410.0,3632.0
4044.0,5333.0
