agg_orders_level_0,agg_orders_level_1
4348.0,17392.0
3916.0,16528.0
4080.0,11412.0
4116.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
162.0,0.0
668.0,0.0
1336.0,0.0
1846.0,0.0
1664.0,0.0
988.0,0.0
432.0,0.0
581.0,0.0
999.0,0.0
1389.0,0.0
1433.0,0.0
1027.0,0.0
745.0,0.0
762.0,0.0
930.0,0.0
1196.0,0.0
1328.0,0.0
1335.0,0.0
1244.0,0.0
1137.0,0.0
1005.0,0.0
877.0,237.0
977.0,428.0
1080.0,838.0
1293.0,1661.0
1189.0,2012.0
1067.0,1406.0
900.0,727.0
935.0,0.0
1039.0,487.0
1127.0,1282.0
1357.0,2084.0
1354.0,2164.0
1109.0,1377.0
774.0,116.0
751.0,229.0
993.0,806.0
1312.0,1290.0
1432.0,1703.0
1218.0,1639.0
823.0,1024.0
743.0,231.0
1082.0,153.0
1382.0,576.0
1556.0,1547.0
1153.0,2216.0
872.0,1669.0
708.0,605.0
977.0,227.0
1181.0,708.0
1199.0,1432.0
1261.0,1918.0
1102.0,1664.0
1163.0,1115.0
1280.0,936.0
1318.0,1144.0
1422.0,1801.0
1413.0,1611.0
1229.0,1117.0
926.0,932.0
620.0,596.0
881.0,287.0
1557.0,1108.0
1843.0,2291.0
1410.0,2637.0
736.0,1311.0
346.0,138.0
836.0,0.0
1570.0,434.0
2101.0,1880.0
1716.0,3175.0
840.0,2115.0
200.0,606.0
531.0,0.0
1324.0,0.0
1937.0,662.0
1906.0,2165.0
1040.0,2531.0
276.0,782.0
420.0,0.0
1294.0,0.0
2226.0,1293.0
2322.0,3699.0
1358.0,3772.0
295.0,741.0
232.0,0.0
1042.0,0.0
2111.0,125.0
2177.0,1485.0
1236.0,2588.0
311.0,1330.0
248.0,72.0
1211.0,52.0
2150.0,1013.0
2145.0,3186.0
1304.0,3465.0
397.0,1246.0
332.0,0.0
1222.0,0.0
2241.0,139.0
2156.0,2008.0
1117.0,2978.0
139.0,1045.0
254.0,0.0
1190.0,86.0
2221.0,962.0
2205.0,2866.0
1282.0,3186.0
350.0,1407.0
161.0,0.0
1149.0,0.0
2076.0,3.0
2181.0,1668.0
1173.0,2866.0
428.0,1538.0
508.0,0.0
1187.0,11.0
1823.0,788.0
1920.0,2645.0
1209.0,3086.0
715.0,1609.0
728.0,0.0
1293.0,0.0
1867.0,466.0
1972.0,2337.0
1483.0,3430.0
849.0,1902.0
596.0,0.0
1095.0,0.0
1750.0,454.0
1920.0,1947.0
1491.0,3064.0
682.0,1755.0
451.0,0.0
1102.0,0.0
1988.0,431.0
2177.0,2618.0
1418.0,3697.0
637.0,1692.0
630.0,0.0
1198.0,0.0
1841.0,445.0
1960.0,1908.0
1519.0,3078.0
769.0,1907.0
550.0,463.0
966.0,0.0
1662.0,18.0
1984.0,1557.0
1584.0,3215.0
810.0,2440.0
748.0,461.0
1423.0,0.0
2156.0,767.0
2038.0,2741.0
1186.0,3232.0
312.0,963.0
375.0,0.0
1242.0,0.0
2026.0,267.0
2117.0,2272.0
1486.0,3595.0
725.0,2024.0
572.0,227.0
1191.0,0.0
1882.0,403.0
2117.0,1920.0
1534.0,3139.0
762.0,1945.0
552.0,429.0
1103.0,0.0
1895.0,345.0
2256.0,2254.0
1809.0,3802.0
1126.0,2658.0
740.0,400.0
1059.0,0.0
1720.0,260.0
2032.0,1301.0
1730.0,2859.0
917.0,2459.0
449.0,588.0
758.0,0.0
1679.0,140.0
2283.0,1683.0
1894.0,3540.0
1010.0,2859.0
621.0,702.0
1045.0,0.0
1818.0,105.0
2294.0,1500.0
1973.0,3468.0
976.0,2928.0
367.0,299.0
621.0,0.0
1498.0,0.0
2337.0,1022.0
2261.0,3349.0
1592.0,3979.0
907.0,1469.0
754.0,0.0
1288.0,0.0
1844.0,328.0
1817.0,1776.0
1384.0,2820.0
954.0,1906.0
926.0,23.0
1444.0,0.0
1968.0,1563.0
1864.0,3539.0
1390.0,3382.0
823.0,570.0
803.0,0.0
1543.0,118.0
2225.0,1337.0
2287.0,3506.0
1534.0,3727.0
781.0,1133.0
668.0,0.0
1190.0,0.0
1997.0,492.0
2196.0,2193.0
1756.0,3505.0
996.0,2248.0
814.0,0.0
1181.0,0.0
1725.0,371.0
1964.0,2155.0
1561.0,3385.0
955.0,2125.0
754.0,0.0
1232.0,95.0
2040.0,1192.0
2325.0,2967.0
1680.0,3523.0
853.0,1473.0
978.0,26.0
1639.0,149.0
2043.0,1050.0
2031.0,2933.0
1362.0,3269.0
716.0,1251.0
791.0,0.0
1494.0,124.0
2112.0,1108.0
2286.0,3087.0
1668.0,3731.0
896.0,1681.0
766.0,0.0
1284.0,0.0
1884.0,649.0
2173.0,2111.0
1836.0,3386.0
1273.0,2544.0
888.0,321.0
1133.0,155.0
1838.0,823.0
2323.0,2336.0
2135.0,3740.0
1347.0,2743.0
690.0,146.0
851.0,26.0
1793.0,612.0
2631.0,2049.0
2729.0,4314.0
1642.0,3915.0
547.0,308.0
432.0,0.0
1463.0,0.0
2663.0,657.0
2704.0,3207.0
1637.0,4227.0
527.0,1435.0
283.0,0.0
1394.0,0.0
2714.0,258.0
2981.0,3261.0
1774.0,4829.0
406.0,1870.0
247.0,0.0
1497.0,0.0
2772.0,264.0
2836.0,2683.0
1541.0,3984.0
421.0,1598.0
413.0,0.0
1566.0,0.0
2652.0,631.0
2572.0,3323.0
1569.0,4261.0
765.0,1603.0
806.0,23.0
1692.0,0.0
2504.0,859.0
2351.0,3253.0
1371.0,3761.0
745.0,1415.0
931.0,509.0
1722.0,0.0
2435.0,866.0
2346.0,3034.0
1564.0,3752.0
880.0,1646.0
1011.0,865.0
1887.0,48.0
2598.0,1071.0
2382.0,3221.0
1578.0,3760.0
736.0,1266.0
856.0,926.0
1690.0,196.0
2431.0,412.0
2501.0,2601.0
1833.0,4094.0
980.0,2405.0
773.0,1086.0
1546.0,164.0
2540.0,139.0
2759.0,2282.0
1914.0,4177.0
612.0,2439.0
406.0,768.0
1171.0,0.0
2372.0,0.0
2827.0,1775.0
2149.0,4064.0
923.0,3180.0
676.0,423.0
1433.0,0.0
2587.0,150.0
2996.0,3185.0
2246.0,5441.0
765.0,2965.0
285.0,66.0
1180.0,0.0
2746.0,0.0
3358.0,2058.0
2296.0,4502.0
562.0,2926.0
85.0,0.0
1150.0,0.0
2796.0,18.0
3353.0,2866.0
2416.0,5388.0
968.0,3434.0
247.0,0.0
1059.0,0.0
2582.0,0.0
3206.0,1718.0
2310.0,4132.0
839.0,3189.0
238.0,0.0
1113.0,0.0
2701.0,123.0
3378.0,3314.0
2441.0,5744.0
785.0,3123.0
85.0,0.0
892.0,0.0
2420.0,0.0
3304.0,917.0
2640.0,3693.0
1181.0,3913.0
352.0,416.0
860.0,0.0
2211.0,56.0
3227.0,2461.0
2807.0,5368.0
1300.0,4191.0
219.0,394.0
797.0,0.0
2160.0,0.0
3114.0,627.0
2790.0,3382.0
1500.0,4279.0
408.0,1157.0
626.0,0.0
1974.0,0.0
3056.0,1586.0
2831.0,4348.0
1534.0,4304.0
633.0,1044.0
988.0,0.0
2206.0,0.0
3173.0,1492.0
2866.0,4550.0
1546.0,4640.0
407.0,806.0
653.0,0.0
2119.0,0.0
3211.0,1236.0
2921.0,3971.0
1508.0,4275.0
501.0,1105.0
716.0,0.0
2102.0,0.0
3018.0,1015.0
2864.0,4077.0
1705.0,4815.0
843.0,1698.0
675.0,0.0
1598.0,0.0
2668.0,459.0
2826.0,2795.0
2055.0,4463.0
986.0,2522.0
841.0,351.0
1782.0,0.0
2870.0,834.0
2945.0,3756.0
1838.0,4832.0
736.0,1705.0
691.0,0.0
1828.0,0.0
3132.0,686.0
3006.0,3900.0
1653.0,4923.0
401.0,1472.0
499.0,0.0
1975.0,0.0
3414.0,712.0
3349.0,4258.0
1726.0,5344.0
372.0,1542.0
422.0,0.0
2019.0,0.0
3532.0,394.0
3224.0,3737.0
1525.0,4936.0
209.0,1272.0
402.0,0.0
1990.0,0.0
3681.0,1033.0
3584.0,4841.0
1861.0,5741.0
173.0,1096.0
207.0,0.0
1911.0,0.0
3594.0,91.0
3664.0,3560.0
1941.0,5506.0
343.0,2157.0
288.0,0.0
1873.0,0.0
3513.0,332.0
3541.0,3793.0
2170.0,5739.0
550.0,2380.0
344.0,0.0
1666.0,0.0
3108.0,140.0
3403.0,2790.0
2167.0,4925.0
611.0,2670.0
422.0,56.0
1604.0,0.0
2979.0,306.0
3306.0,3314.0
2250.0,5374.0
906.0,2890.0
699.0,101.0
1769.0,0.0
3096.0,492.0
3243.0,3364.0
2080.0,5064.0
682.0,2290.0
579.0,5.0
1759.0,0.0
3260.0,723.0
3428.0,4025.0
2249.0,5683.0
874.0,2452.0
659.0,0.0
1732.0,0.0
3149.0,400.0
3437.0,3298.0
2217.0,5255.0
869.0,2734.0
640.0,357.0
1879.0,0.0
3188.0,532.0
3359.0,3498.0
2172.0,5270.0
948.0,2648.0
793.0,427.0
1913.0,0.0
3124.0,501.0
3402.0,3527.0
2357.0,5551.0
1082.0,3034.0
730.0,330.0
1548.0,0.0
2781.0,135.0
3115.0,2193.0
2305.0,4527.0
1147.0,3421.0
833.0,788.0
1677.0,0.0
3028.0,685.0
3424.0,3583.0
2414.0,5472.0
982.0,2815.0
648.0,324.0
1702.0,0.0
3079.0,72.0
3437.0,3042.0
2261.0,5367.0
891.0,3160.0
736.0,135.0
1874.0,0.0
3126.0,527.0
3266.0,3472.0
2159.0,5212.0
828.0,2500.0
759.0,12.0
1881.0,0.0
3107.0,730.0
3298.0,3817.0
2200.0,5407.0
901.0,2427.0
694.0,0.0
1826.0,0.0
3229.0,593.0
3571.0,3877.0
2467.0,5891.0
914.0,2868.0
444.0,0.0
1690.0,0.0
3355.0,305.0
3737.0,3295.0
2262.0,5380.0
548.0,2529.0
309.0,37.0
1657.0,0.0
3313.0,233.0
3803.0,3613.0
2672.0,6208.0
1019.0,3542.0
381.0,0.0
1414.0,0.0
3037.0,0.0
3597.0,2101.0
2705.0,4954.0
1276.0,4109.0
733.0,690.0
1487.0,0.0
2659.0,251.0
3291.0,2599.0
2723.0,5054.0
1433.0,3872.0
818.0,1054.0
1543.0,0.0
2874.0,0.0
3448.0,2483.0
2695.0,5338.0
1378.0,4209.0
860.0,1016.0
1731.0,0.0
2954.0,144.0
3411.0,2546.0
2659.0,5205.0
1280.0,3895.0
643.0,857.0
1545.0,0.0
3117.0,0.0
3824.0,3047.0
2882.0,6089.0
1240.0,4242.0
522.0,427.0
1465.0,0.0
3009.0,0.0
3477.0,1869.0
2630.0,4651.0
1197.0,3935.0
776.0,521.0
1787.0,0.0
3174.0,730.0
3667.0,4168.0
2629.0,6239.0
973.0,2984.0
549.0,0.0
1805.0,0.0
3576.0,0.0
4011.0,3706.0
2607.0,6493.0
695.0,3410.0
161.0,0.0
1483.0,0.0
3627.0,0.0
4465.0,3155.0
3122.0,6489.0
947.0,4241.0
85.0,0.0
1204.0,0.0
3379.0,0.0
4279.0,2338.0
3122.0,5644.0
1077.0,4347.0
181.0,0.0
1327.0,0.0
3414.0,0.0
4356.0,3570.0
3050.0,6796.0
970.0,4148.0
134.0,0.0
1347.0,0.0
3436.0,0.0
4554.0,2603.0
3377.0,6176.0
1098.0,4615.0
100.0,239.0
1255.0,0.0
3280.0,0.0
4334.0,2454.0
3254.0,5912.0
1224.0,4662.0
277.0,582.0
1435.0,0.0
3415.0,0.0
4410.0,2923.0
3304.0,6435.0
1132.0,4620.0
83.0,503.0
1098.0,0.0
3350.0,0.0
4663.0,2172.0
3669.0,6065.0
1363.0,5216.0
84.0,533.0
1044.0,0.0
3322.0,0.0
4550.0,2301.0
3548.0,6082.0
1238.0,4975.0
186.0,748.0
1175.0,0.0
3226.0,0.0
4281.0,1878.0
3263.0,5377.0
1184.0,4663.0
245.0,724.0
1378.0,0.0
3595.0,372.0
4615.0,3552.0
3311.0,6743.0
1055.0,4230.0
151.0,141.0
1363.0,0.0
3488.0,0.0
4220.0,2142.0
2882.0,5228.0
993.0,4051.0
632.0,241.0
2068.0,0.0
4060.0,1340.0
4562.0,5817.0
2917.0,7606.0
809.0,2665.0
275.0,0.0
1896.0,0.0
3835.0,0.0
4180.0,2301.0
2620.0,5113.0
602.0,3366.0
306.0,0.0
2233.0,0.0
4193.0,1291.0
4322.0,5853.0
2439.0,7173.0
599.0,1855.0
599.0,0.0
2300.0,0.0
4088.0,328.0
4116.0,3838.0
2357.0,6039.0
488.0,2645.0
401.0,0.0
2340.0,0.0
4086.0,657.0
4258.0,4898.0
2678.0,7119.0
814.0,3011.0
788.0,0.0
2205.0,0.0
3826.0,298.0
3948.0,3512.0
2610.0,6008.0
1054.0,3542.0
822.0,0.0
2127.0,0.0
3660.0,667.0
3874.0,4359.0
2565.0,6433.0
1231.0,3293.0
988.0,0.0
2148.0,0.0
3539.0,629.0
3764.0,3846.0
2729.0,6142.0
1384.0,3684.0
1287.0,323.0
2350.0,0.0
3502.0,890.0
3552.0,4158.0
2397.0,5801.0
1315.0,2946.0
1487.0,526.0
2559.0,0.0
3550.0,980.0
3504.0,4625.0
2417.0,6234.0
1285.0,2842.0
1377.0,235.0
2597.0,0.0
3607.0,991.0
3413.0,4509.0
2062.0,5716.0
1180.0,2445.0
1545.0,225.0
2805.0,0.0
3799.0,1850.0
3387.0,5453.0
2003.0,5718.0
941.0,1143.0
1409.0,0.0
3009.0,0.0
3931.0,2414.0
3321.0,5951.0
1942.0,5603.0
1030.0,698.0
1527.0,0.0
2926.0,12.0
3777.0,2295.0
3370.0,5845.0
2087.0,5737.0
1342.0,1170.0
1719.0,0.0
2964.0,82.0
3722.0,2516.0
3087.0,5677.0
1895.0,5136.0
1242.0,646.0
1803.0,0.0
3109.0,248.0
3931.0,3598.0
3452.0,6974.0
2169.0,5637.0
1259.0,259.0
1550.0,0.0
2806.0,0.0
3602.0,1752.0
3426.0,5338.0
2309.0,5975.0
1351.0,1908.0
1628.0,0.0
2784.0,0.0
3820.0,2165.0
3728.0,6077.0
2506.0,6502.0
1407.0,1827.0
1412.0,0.0
2455.0,0.0
3611.0,803.0
3799.0,4724.0
2818.0,6851.0
1653.0,3708.0
1341.0,163.0
2053.0,0.0
3289.0,288.0
3893.0,3586.0
3085.0,6503.0
1886.0,4727.0
1479.0,709.0
2095.0,0.0
3290.0,152.0
3736.0,3428.0
3083.0,6491.0
1877.0,4852.0
1406.0,789.0
2102.0,0.0
3232.0,230.0
3656.0,3128.0
2919.0,5929.0
2019.0,4744.0
1756.0,1303.0
2295.0,0.0
3003.0,448.0
3283.0,3089.0
2981.0,5718.0
2282.0,4859.0
1828.0,1773.0
2132.0,0.0
2893.0,515.0
3310.0,2692.0
3071.0,5344.0
2410.0,5010.0
1955.0,2343.0
2135.0,178.0
2694.0,203.0
3284.0,2173.0
3079.0,5139.0
2528.0,5466.0
2062.0,2771.0
2182.0,442.0
2781.0,392.0
3212.0,2129.0
3018.0,4591.0
2463.0,4897.0
1944.0,2791.0
2184.0,641.0
2858.0,195.0
3276.0,2147.0
3032.0,5108.0
2429.0,5386.0
1967.0,2511.0
2158.0,416.0
2832.0,234.0
3378.0,2180.0
3113.0,5199.0
2585.0,5648.0
2129.0,2776.0
2181.0,367.0
2827.0,300.0
3479.0,2150.0
3330.0,5328.0
2588.0,5802.0
2081.0,2931.0
2093.0,40.0
2625.0,143.0
3255.0,1607.0
3487.0,5111.0
2882.0,6446.0
2012.0,3351.0
1791.0,0.0
2617.0,0.0
3564.0,1382.0
3769.0,5299.0
2940.0,6913.0
1958.0,3568.0
1752.0,0.0
2446.0,0.0
3400.0,1270.0
3754.0,4431.0
3050.0,6287.0
2004.0,3788.0
1431.0,53.0
2139.0,0.0
3475.0,940.0
4240.0,4989.0
3583.0,7744.0
2095.0,4802.0
1320.0,0.0
1971.0,0.0
3319.0,557.0
4173.0,3027.0
3626.0,6208.0
2138.0,5271.0
1101.0,726.0
1509.0,0.0
3107.0,172.0
4322.0,3053.0
3897.0,6918.0
2318.0,6139.0
1218.0,609.0
1709.0,0.0
3215.0,285.0
4264.0,2851.0
3752.0,6442.0
2197.0,5744.0
1321.0,936.0
1823.0,0.0
3031.0,249.0
4002.0,2711.0
3777.0,6371.0
2625.0,6265.0
1643.0,1434.0
1878.0,0.0
3151.0,622.0
4003.0,2810.0
3695.0,6011.0
2489.0,5674.0
1650.0,1813.0
1756.0,0.0
2679.0,142.0
3745.0,1976.0
3782.0,5658.0
2726.0,6416.0
1824.0,2450.0
1899.0,0.0
2981.0,401.0
4000.0,2611.0
3788.0,6023.0
2550.0,5970.0
1644.0,1760.0
1868.0,0.0
2896.0,376.0
3842.0,2319.0
3638.0,5749.0
2635.0,6105.0
1874.0,2102.0
2134.0,0.0
3267.0,818.0
4008.0,3272.0
3524.0,6142.0
2354.0,5252.0
1724.0,1406.0
2125.0,0.0
3093.0,738.0
3808.0,3014.0
3412.0,5864.0
2460.0,5382.0
1852.0,1437.0
2329.0,31.0
3437.0,1222.0
4086.0,4224.0
3587.0,6773.0
2475.0,5084.0
1859.0,873.0
2175.0,0.0
3189.0,809.0
3838.0,3231.0
3589.0,6183.0
2654.0,5670.0
1872.0,1329.0
2069.0,15.0
3218.0,1141.0
3835.0,3342.0
3599.0,5893.0
2935.0,5562.0
2386.0,2101.0
2320.0,380.0
2867.0,1393.0
3449.0,2687.0
3396.0,4611.0
2887.0,4887.0
2479.0,2751.0
2413.0,1096.0
2804.0,1901.0
3171.0,2664.0
3234.0,3702.0
3021.0,4453.0
2692.0,3113.0
2787.0,1789.0
2908.0,2585.0
3026.0,2692.0
3128.0,3455.0
3179.0,4264.0
2990.0,3140.0
2597.0,1968.0
2363.0,2347.0
2780.0,2114.0
3489.0,3170.0
3717.0,4483.0
3432.0,4591.0
2666.0,3121.0
2286.0,2121.0
2544.0,989.0
3213.0,2391.0
3588.0,3914.0
3253.0,4497.0
2621.0,3536.0
2249.0,2139.0
2596.0,1025.0
3354.0,2599.0
3863.0,4419.0
3506.0,5052.0
2754.0,3687.0
2319.0,2231.0
2606.0,731.0
3235.0,1940.0
3641.0,3922.0
3447.0,5038.0
2873.0,3913.0
2299.0,2291.0
2322.0,737.0
2953.0,1938.0
3671.0,3886.0
3755.0,5120.0
3142.0,4328.0
2384.0,2385.0
2287.0,751.0
2716.0,1482.0
3453.0,3463.0
3595.0,4713.0
3120.0,4354.0
2530.0,2451.0
2311.0,886.0
2743.0,1640.0
3324.0,3810.0
3525.0,4771.0
3225.0,4190.0
2851.0,2761.0
2816.0,1280.0
3067.0,2082.0
3316.0,4101.0
3387.0,4611.0
2988.0,3494.0
2597.0,2550.0
2572.0,832.0
2996.0,2187.0
3343.0,4356.0
3214.0,4578.0
2841.0,3067.0
2517.0,2369.0
2725.0,913.0
3292.0,2234.0
3584.0,4763.0
3335.0,5347.0
3067.0,3691.0
2721.0,2533.0
2751.0,613.0
2970.0,1876.0
3191.0,4135.0
3280.0,4544.0
3067.0,3512.0
2805.0,2798.0
2795.0,1341.0
3261.0,2122.0
3627.0,4538.0
3667.0,5374.0
3305.0,4197.0
2466.0,2751.0
2226.0,455.0
2708.0,759.0
3371.0,3187.0
3641.0,4989.0
3381.0,5267.0
2620.0,3551.0
2531.0,1021.0
3051.0,670.0
3749.0,3281.0
4014.0,5742.0
3482.0,6023.0
2599.0,3789.0
2161.0,459.0
2725.0,0.0
3675.0,2352.0
3953.0,5111.0
3428.0,6267.0
2551.0,4052.0
2229.0,969.0
2745.0,0.0
3612.0,1997.0
4038.0,5007.0
3741.0,6823.0
2803.0,4739.0
2153.0,1162.0
2557.0,0.0
3512.0,1405.0
4114.0,4215.0
3501.0,6383.0
2577.0,4787.0
2130.0,1494.0
2717.0,209.0
3626.0,1645.0
4102.0,4463.0
3504.0,6382.0
2579.0,4740.0
2226.0,1112.0
2713.0,474.0
3658.0,1931.0
4130.0,4461.0
3632.0,6234.0
2740.0,5063.0
2195.0,1312.0
2488.0,375.0
3323.0,1680.0
3991.0,3478.0
3842.0,5720.0
3059.0,5336.0
2443.0,2363.0
2654.0,1264.0
3296.0,2206.0
3779.0,2710.0
3672.0,4284.0
3025.0,5260.0
2510.0,2985.0
2611.0,1869.0
3304.0,2450.0
3882.0,2642.0
3699.0,3813.0
2895.0,4990.0
2441.0,2875.0
2714.0,2157.0
3421.0,2546.0
3916.0,3050.0
3763.0,3948.0
3085.0,5044.0
2442.0,2932.0
2521.0,2155.0
3230.0,2212.0
3879.0,2509.0
3757.0,3557.0
3050.0,4879.0
2505.0,3417.0
2566.0,2457.0
3381.0,2451.0
4019.0,2719.0
4007.0,3847.0
3255.0,5316.0
2493.0,3579.0
2593.0,2263.0
3360.0,2314.0
4044.0,2578.0
3933.0,3579.0
2984.0,4907.0
2375.0,3530.0
2696.0,2275.0
3623.0,2295.0
4248.0,3067.0
3818.0,4243.0
2943.0,5006.0
2483.0,3324.0
2891.0,2033.0
3768.0,2151.0
4056.0,3191.0
3491.0,4091.0
2817.0,4684.0
2605.0,3279.0
3013.0,2269.0
3567.0,2026.0
3918.0,3348.0
3658.0,4161.0
2979.0,4394.0
2653.0,3212.0
2856.0,2787.0
3562.0,2519.0
3913.0,3053.0
3665.0,3713.0
3048.0,3960.0
2606.0,3162.0
2638.0,2724.0
3370.0,2635.0
4035.0,3014.0
3975.0,3992.0
3189.0,4383.0
2522.0,3457.0
2787.0,2845.0
3535.0,2661.0
4202.0,3066.0
3986.0,4016.0
3189.0,4269.0
2424.0,3321.0
2601.0,2547.0
3490.0,2521.0
4191.0,2919.0
4084.0,4169.0
3291.0,4711.0
2506.0,3675.0
2539.0,2504.0
3307.0,2074.0
4111.0,2600.0
4092.0,3975.0
3263.0,4806.0
2366.0,3685.0
2419.0,2279.0
3424.0,2053.0
4177.0,2787.0
4054.0,4308.0
3142.0,5014.0
2484.0,3618.0
2577.0,1982.0
3507.0,1947.0
4488.0,3076.0
4211.0,5105.0
2954.0,5377.0
2275.0,3039.0
2674.0,1293.0
3815.0,2054.0
4469.0,3596.0
3927.0,5319.0
2901.0,5367.0
2349.0,2578.0
2863.0,1452.0
3959.0,2269.0
4571.0,3728.0
4056.0,5505.0
2653.0,5431.0
2000.0,2240.0
2702.0,522.0
4145.0,1862.0
4833.0,4356.0
4024.0,6626.0
2588.0,5645.0
2004.0,1956.0
2877.0,97.0
