agg_orders_level_0,agg_orders_level_1
5020.0,25100.0
5085.0,25260.0
5220.0,25540.0
5215.0,21110.0
5250.0,1220.0
5280.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
100.0,0.0
261.0,0.0
526.0,0.0
1080.0,0.0
1837.0,0.0
2345.0,0.0
2510.0,0.0
1808.0,0.0
680.0,0.0
6.0,0.0
0.0,0.0
63.0,0.0
207.0,0.0
476.0,0.0
1050.0,0.0
1792.0,0.0
2204.0,0.0
2231.0,0.0
1665.0,0.0
730.0,0.0
0.0,0.0
0.0,0.0
51.0,0.0
214.0,0.0
642.0,0.0
1279.0,0.0
2108.0,0.0
2517.0,0.0
2358.0,0.0
1639.0,0.0
727.0,0.0
35.0,0.0
0.0,0.0
87.0,0.0
367.0,0.0
996.0,0.0
1973.0,0.0
2865.0,0.0
3030.0,0.0
2445.0,0.0
1306.0,0.0
385.0,0.0
0.0,0.0
0.0,0.0
82.0,0.0
365.0,0.0
1014.0,0.0
2169.0,0.0
3052.0,0.0
3241.0,0.0
2489.0,0.0
1146.0,165.0
123.0,165.0
0.0,165.0
0.0,0.0
61.0,0.0
285.0,0.0
824.0,288.0
1959.0,1411.0
2823.0,3659.0
3187.0,5586.0
2537.0,5842.0
1429.0,5047.0
794.0,2038.0
503.0,0.0
0.0,0.0
4.0,0.0
134.0,0.0
376.0,0.0
684.0,0.0
977.0,0.0
1455.0,0.0
1739.0,0.0
1977.0,0.0
1872.0,182.0
1356.0,699.0
586.0,715.0
254.0,707.0
193.0,227.0
485.0,278.0
860.0,269.0
1400.0,809.0
1834.0,2080.0
2099.0,3463.0
2158.0,4629.0
1964.0,5261.0
1706.0,4101.0
1146.0,1539.0
387.0,595.0
451.0,0.0
854.0,0.0
1077.0,0.0
1203.0,0.0
1452.0,0.0
2019.0,0.0
2553.0,0.0
2841.0,2049.0
2158.0,4382.0
938.0,5131.0
213.0,3284.0
519.0,0.0
857.0,0.0
1028.0,0.0
1053.0,0.0
1054.0,0.0
1536.0,308.0
2093.0,1339.0
2553.0,2348.0
2097.0,3285.0
1127.0,3017.0
267.0,1793.0
378.0,619.0
673.0,139.0
862.0,0.0
841.0,0.0
996.0,53.0
1441.0,538.0
2016.0,1308.0
2464.0,2075.0
2262.0,2928.0
1097.0,3174.0
454.0,2011.0
219.0,1403.0
518.0,218.0
746.0,7.0
862.0,0.0
769.0,0.0
1224.0,1.0
1611.0,667.0
2345.0,1599.0
2442.0,3316.0
1834.0,4007.0
557.0,2782.0
468.0,902.0
747.0,285.0
925.0,590.0
848.0,908.0
924.0,936.0
1342.0,763.0
1877.0,460.0
2632.0,545.0
2582.0,832.0
1887.0,2085.0
676.0,2181.0
765.0,2091.0
1054.0,1790.0
1201.0,899.0
1050.0,0.0
1213.0,0.0
1617.0,318.0
2448.0,1839.0
2785.0,4098.0
2286.0,5641.0
1336.0,5991.0
622.0,2516.0
799.0,811.0
980.0,0.0
986.0,0.0
1015.0,0.0
1043.0,0.0
1527.0,0.0
2260.0,12.0
2704.0,842.0
2332.0,1626.0
1632.0,3022.0
522.0,2667.0
561.0,1577.0
737.0,266.0
768.0,0.0
962.0,0.0
1149.0,0.0
1328.0,30.0
1751.0,981.0
2153.0,2708.0
1998.0,4747.0
1680.0,5365.0
861.0,3823.0
435.0,1052.0
568.0,0.0
661.0,0.0
941.0,0.0
1251.0,0.0
1444.0,77.0
1715.0,988.0
1847.0,1607.0
1829.0,1589.0
1851.0,781.0
1349.0,555.0
520.0,598.0
698.0,909.0
917.0,976.0
1284.0,1167.0
1627.0,992.0
2202.0,1620.0
2472.0,2985.0
2601.0,4766.0
2287.0,5361.0
1638.0,4299.0
469.0,1590.0
597.0,163.0
807.0,0.0
1256.0,0.0
1715.0,0.0
2170.0,279.0
2366.0,1433.0
2480.0,2218.0
2235.0,2026.0
2115.0,2703.0
1261.0,3238.0
434.0,3078.0
517.0,905.0
898.0,0.0
1339.0,0.0
1792.0,0.0
1936.0,127.0
1855.0,1097.0
1470.0,1523.0
1746.0,2404.0
1827.0,2336.0
1450.0,3385.0
632.0,2701.0
398.0,1164.0
584.0,295.0
915.0,0.0
1249.0,0.0
1646.0,311.0
2080.0,1295.0
2126.0,2038.0
2024.0,2634.0
1911.0,2353.0
1437.0,2920.0
419.0,2288.0
403.0,609.0
570.0,126.0
930.0,0.0
1254.0,0.0
1758.0,0.0
2437.0,692.0
2560.0,2629.0
2465.0,3873.0
2145.0,4245.0
1634.0,4100.0
689.0,1484.0
525.0,910.0
719.0,0.0
1201.0,0.0
1657.0,0.0
2182.0,1116.0
2633.0,2357.0
2511.0,3237.0
2395.0,4121.0
2423.0,2585.0
1787.0,3462.0
584.0,2250.0
582.0,930.0
944.0,139.0
1431.0,0.0
1969.0,0.0
2244.0,47.0
2212.0,1196.0
1836.0,2176.0
1988.0,3173.0
2287.0,3034.0
1915.0,3271.0
754.0,2498.0
493.0,735.0
585.0,226.0
1006.0,0.0
1516.0,0.0
2000.0,579.0
2272.0,1799.0
2070.0,2997.0
1965.0,3384.0
2192.0,2643.0
1813.0,3152.0
721.0,2234.0
450.0,534.0
539.0,59.0
860.0,0.0
1203.0,0.0
1644.0,0.0
2083.0,428.0
2106.0,2015.0
1954.0,3353.0
1911.0,3649.0
1599.0,2755.0
748.0,190.0
364.0,0.0
736.0,0.0
1364.0,0.0
1841.0,1287.0
2209.0,2944.0
2746.0,4354.0
2470.0,4836.0
2271.0,3439.0
2229.0,2322.0
1607.0,1815.0
363.0,813.0
559.0,644.0
1156.0,0.0
1823.0,0.0
2218.0,0.0
2782.0,274.0
3053.0,2174.0
2663.0,3811.0
2632.0,4131.0
2130.0,4693.0
956.0,3264.0
682.0,1836.0
551.0,311.0
1245.0,0.0
1878.0,443.0
2294.0,1729.0
2316.0,2740.0
2188.0,2820.0
1608.0,2145.0
2225.0,102.0
2398.0,1459.0
1972.0,3468.0
667.0,3722.0
484.0,2195.0
879.0,140.0
1424.0,0.0
1750.0,0.0
2030.0,0.0
2019.0,0.0
1691.0,387.0
1732.0,357.0
2182.0,1578.0
2019.0,3350.0
1152.0,4248.0
503.0,3030.0
668.0,622.0
1209.0,1414.0
1581.0,2229.0
1959.0,2714.0
2041.0,2390.0
1942.0,776.0
1685.0,205.0
2226.0,1437.0
2096.0,2971.0
1394.0,3931.0
454.0,2414.0
923.0,625.0
1560.0,0.0
2092.0,0.0
2339.0,105.0
2785.0,1228.0
2579.0,2568.0
2601.0,3922.0
2730.0,3663.0
2019.0,4598.0
550.0,3258.0
485.0,1268.0
1136.0,0.0
1883.0,0.0
2458.0,1092.0
2696.0,2744.0
2890.0,3070.0
2288.0,3090.0
2527.0,1790.0
2604.0,2628.0
1892.0,3965.0
393.0,3301.0
465.0,912.0
765.0,33.0
1380.0,0.0
1879.0,0.0
2288.0,0.0
2705.0,0.0
2586.0,1118.0
2359.0,2402.0
2477.0,3268.0
1923.0,3953.0
653.0,2623.0
434.0,1026.0
657.0,576.0
1039.0,816.0
1467.0,1408.0
1906.0,2064.0
2551.0,2477.0
2726.0,2673.0
2678.0,2234.0
2449.0,2960.0
1941.0,3355.0
714.0,2412.0
521.0,387.0
581.0,110.0
1010.0,0.0
1417.0,0.0
2097.0,183.0
2694.0,1377.0
2815.0,3369.0
2429.0,4708.0
2389.0,4530.0
2044.0,2429.0
1008.0,166.0
569.0,126.0
755.0,136.0
1303.0,160.0
1898.0,392.0
2891.0,2318.0
3541.0,4819.0
3435.0,6119.0
2768.0,5312.0
2576.0,3564.0
1705.0,2089.0
819.0,1103.0
640.0,591.0
976.0,0.0
1474.0,0.0
2264.0,0.0
2866.0,0.0
2978.0,1677.0
2536.0,3560.0
2510.0,4400.0
2724.0,3909.0
2065.0,3194.0
1385.0,1344.0
617.0,1294.0
790.0,634.0
1143.0,0.0
1936.0,498.0
2363.0,1787.0
2596.0,3023.0
2348.0,3331.0
2315.0,2716.0
2652.0,2765.0
2272.0,4081.0
997.0,4057.0
529.0,1207.0
857.0,239.0
1447.0,0.0
1894.0,0.0
2347.0,0.0
2299.0,0.0
2001.0,922.0
1914.0,1992.0
2455.0,3290.0
2365.0,3318.0
1390.0,2643.0
525.0,682.0
976.0,1390.0
1565.0,2130.0
2019.0,2940.0
2369.0,3431.0
2401.0,2989.0
2166.0,1781.0
2341.0,2630.0
2762.0,3245.0
2512.0,3534.0
1404.0,1972.0
622.0,973.0
1327.0,386.0
2058.0,0.0
2560.0,0.0
2701.0,1054.0
2861.0,2344.0
2281.0,3374.0
2917.0,3951.0
3031.0,3577.0
2439.0,4848.0
708.0,2634.0
675.0,1325.0
1144.0,0.0
1774.0,0.0
2327.0,829.0
2669.0,2386.0
2693.0,3350.0
2206.0,3034.0
2477.0,1849.0
2820.0,2986.0
2414.0,3685.0
1028.0,3414.0
629.0,494.0
1112.0,242.0
1746.0,0.0
2160.0,0.0
2556.0,219.0
2470.0,1874.0
2081.0,2796.0
2209.0,3593.0
2666.0,3076.0
2389.0,3407.0
1286.0,2110.0
541.0,778.0
968.0,194.0
1668.0,263.0
2158.0,1674.0
2570.0,3245.0
2607.0,3659.0
2269.0,4023.0
2173.0,2287.0
2670.0,3310.0
2477.0,4296.0
1426.0,3287.0
601.0,1418.0
1079.0,656.0
1771.0,0.0
2283.0,0.0
2587.0,0.0
2906.0,393.0
2585.0,935.0
2730.0,2254.0
2972.0,3400.0
2378.0,4425.0
934.0,4202.0
536.0,1122.0
1286.0,431.0
2133.0,1861.0
2756.0,3374.0
2925.0,3524.0
3056.0,3693.0
2787.0,3050.0
3487.0,3379.0
3010.0,3524.0
2148.0,4463.0
685.0,2097.0
832.0,1164.0
797.0,422.0
1097.0,0.0
1685.0,0.0
2284.0,0.0
3087.0,0.0
3466.0,1195.0
3467.0,3742.0
3020.0,4618.0
2616.0,4469.0
1351.0,3129.0
448.0,899.0
657.0,839.0
963.0,0.0
1578.0,78.0
2090.0,1108.0
2806.0,2651.0
3387.0,4230.0
3257.0,5504.0
2812.0,4756.0
2486.0,3605.0
1437.0,3288.0
397.0,100.0
603.0,67.0
955.0,93.0
1611.0,355.0
2092.0,830.0
2855.0,1436.0
3462.0,2061.0
3246.0,2573.0
2868.0,2643.0
2676.0,1908.0
1776.0,962.0
513.0,1128.0
767.0,1401.0
1048.0,1064.0
1643.0,1411.0
2200.0,1683.0
3475.0,2507.0
4188.0,4194.0
4242.0,6667.0
3400.0,6638.0
2708.0,7470.0
1113.0,4974.0
1392.0,70.0
942.0,0.0
1103.0,0.0
1695.0,0.0
2434.0,0.0
3502.0,1273.0
3550.0,3056.0
3623.0,3760.0
2647.0,4070.0
2534.0,2103.0
1861.0,2542.0
1514.0,2279.0
886.0,1387.0
1127.0,1015.0
1608.0,0.0
2115.0,0.0
2854.0,0.0
2895.0,0.0
3105.0,1691.0
2699.0,4194.0
2586.0,6965.0
2026.0,7205.0
1571.0,4629.0
953.0,2411.0
1016.0,0.0
1548.0,0.0
1984.0,69.0
2748.0,1554.0
2875.0,3170.0
2850.0,3815.0
2441.0,2974.0
2410.0,882.0
2081.0,1349.0
1552.0,1309.0
1082.0,500.0
