id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,990.0,990.0,0.0,2970.0,2970.0,699.0,291.0,699.0,291.0
0.0,0.0,1002.0,996.0,2970.0,2010.0,2010.0,704.0,292.0,708.0,294.0
0.0,978.0,34.0,675.0,2010.0,0.0,0.0,480.0,195.0,34.0,0.0
0.0,2954.0,351.0,594.0,0.0,0.0,0.0,423.0,171.0,251.0,100.0
0.0,2603.0,351.0,545.0,0.0,0.0,0.0,387.0,158.0,244.0,107.0
0.0,2252.0,367.0,516.0,0.0,0.0,0.0,366.0,150.0,262.0,105.0
0.0,1885.0,389.0,498.0,0.0,0.0,0.0,354.0,144.0,279.0,110.0
0.0,1496.0,373.0,482.0,0.0,323.0,323.0,344.0,138.0,276.0,97.0
0.0,1123.0,367.0,469.0,323.0,328.0,328.0,334.0,135.0,256.0,111.0
0.0,1079.0,358.0,458.0,328.0,325.0,325.0,325.0,133.0,245.0,113.0
0.0,1049.0,364.0,449.0,325.0,337.0,337.0,319.0,130.0,259.0,105.0
0.0,1010.0,377.0,444.0,337.0,362.0,362.0,315.0,129.0,263.0,114.0
0.0,970.0,349.0,437.0,362.0,328.0,328.0,309.0,128.0,235.0,114.0
0.0,983.0,361.0,431.0,328.0,343.0,343.0,305.0,126.0,254.0,107.0
0.0,950.0,347.0,425.0,343.0,329.0,329.0,300.0,125.0,240.0,107.0
0.0,946.0,356.0,421.0,329.0,344.0,344.0,297.0,124.0,248.0,108.0
0.0,919.0,346.0,417.0,344.0,334.0,334.0,294.0,123.0,244.0,102.0
0.0,917.0,352.0,413.0,334.0,340.0,340.0,291.0,122.0,245.0,107.0
0.0,899.0,363.0,410.0,340.0,354.0,354.0,289.0,121.0,254.0,109.0
0.0,876.0,364.0,408.0,354.0,358.0,358.0,288.0,120.0,255.0,109.0
0.0,866.0,346.0,406.0,358.0,340.0,340.0,286.0,120.0,245.0,101.0
0.0,878.0,365.0,403.0,340.0,356.0,356.0,284.0,119.0,255.0,110.0
0.0,853.0,329.0,400.0,356.0,320.0,320.0,282.0,118.0,238.0,91.0
0.0,880.0,356.0,398.0,320.0,350.0,350.0,281.0,117.0,249.0,107.0
0.0,844.0,355.0,397.0,350.0,352.0,352.0,280.0,117.0,254.0,101.0
0.0,839.0,346.0,394.0,352.0,337.0,337.0,278.0,116.0,241.0,105.0
0.0,845.0,341.0,393.0,337.0,338.0,338.0,277.0,116.0,239.0,102.0
0.0,841.0,339.0,390.0,338.0,330.0,330.0,275.0,115.0,237.0,102.0
0.0,840.0,340.0,389.0,330.0,337.0,337.0,274.0,115.0,237.0,103.0
0.0,830.0,349.0,387.0,337.0,343.0,343.0,273.0,114.0,247.0,102.0
0.0,818.0,343.0,386.0,343.0,340.0,340.0,272.0,114.0,239.0,104.0
0.0,818.0,349.0,385.0,340.0,346.0,346.0,271.0,114.0,244.0,105.0
0.0,809.0,347.0,384.0,346.0,344.0,344.0,270.0,114.0,242.0,105.0
0.0,808.0,358.0,383.0,344.0,355.0,355.0,270.0,113.0,251.0,107.0
0.0,794.0,355.0,382.0,355.0,352.0,352.0,269.0,113.0,248.0,107.0
0.0,794.0,347.0,381.0,352.0,344.0,344.0,268.0,113.0,246.0,101.0
0.0,799.0,333.0,380.0,344.0,330.0,330.0,267.0,113.0,233.0,100.0
0.0,810.0,342.0,379.0,330.0,339.0,339.0,267.0,112.0,237.0,105.0
0.0,798.0,344.0,378.0,339.0,341.0,341.0,266.0,112.0,241.0,103.0
0.0,793.0,353.0,378.0,341.0,353.0,353.0,266.0,112.0,247.0,106.0
