demand,Demand_Retailer_0,Demand_Retailer_1,Demand_Retailer_2,Demand_Retailer_3,Demand_Retailer_4,Demand_Retailer_5
1100.0,256.0,283.0,259.0,102.0,104.0,96.0
1052.0,247.0,269.0,255.0,98.0,96.0,87.0
1235.0,298.0,298.0,308.0,96.0,114.0,121.0
1041.0,268.0,228.0,231.0,106.0,104.0,104.0
1069.0,254.0,280.0,252.0,108.0,77.0,98.0
1084.0,283.0,268.0,234.0,103.0,94.0,102.0
1174.0,306.0,313.0,229.0,114.0,108.0,104.0
1154.0,315.0,262.0,282.0,97.0,97.0,101.0
1105.0,253.0,237.0,306.0,107.0,93.0,109.0
1267.0,271.0,299.0,334.0,126.0,123.0,114.0
1104.0,261.0,228.0,302.0,101.0,99.0,113.0
1159.0,281.0,257.0,258.0,119.0,127.0,117.0
1272.0,265.0,341.0,262.0,135.0,120.0,149.0
1230.0,276.0,287.0,307.0,114.0,128.0,118.0
1129.0,253.0,269.0,250.0,114.0,105.0,138.0
1161.0,245.0,299.0,290.0,110.0,107.0,110.0
1152.0,257.0,278.0,259.0,104.0,115.0,139.0
1002.0,225.0,239.0,227.0,101.0,101.0,109.0
1156.0,272.0,253.0,266.0,109.0,117.0,139.0
1134.0,268.0,275.0,250.0,113.0,109.0,119.0
1054.0,249.0,215.0,260.0,98.0,108.0,124.0
969.0,243.0,239.0,169.0,106.0,93.0,119.0
1103.0,245.0,276.0,273.0,86.0,112.0,111.0
1046.0,250.0,236.0,233.0,106.0,110.0,111.0
1008.0,244.0,258.0,226.0,85.0,97.0,98.0
1001.0,239.0,230.0,224.0,102.0,96.0,110.0
850.0,192.0,201.0,185.0,81.0,95.0,96.0
1010.0,225.0,209.0,246.0,98.0,120.0,112.0
1086.0,251.0,232.0,253.0,109.0,117.0,124.0
1087.0,268.0,257.0,254.0,105.0,101.0,102.0
973.0,219.0,234.0,225.0,97.0,92.0,106.0
1022.0,249.0,243.0,214.0,108.0,106.0,102.0
1023.0,244.0,238.0,230.0,107.0,107.0,97.0
983.0,242.0,246.0,189.0,102.0,107.0,97.0
1095.0,257.0,240.0,259.0,111.0,117.0,111.0
894.0,227.0,225.0,176.0,87.0,84.0,95.0
1023.0,244.0,228.0,242.0,101.0,104.0,104.0
986.0,234.0,265.0,171.0,108.0,114.0,94.0
1035.0,251.0,243.0,217.0,107.0,107.0,110.0
1045.0,246.0,270.0,230.0,106.0,99.0,94.0
1006.0,191.0,258.0,232.0,111.0,102.0,112.0
1100.0,267.0,275.0,252.0,89.0,112.0,105.0
1065.0,243.0,208.0,283.0,118.0,100.0,113.0
922.0,208.0,194.0,229.0,101.0,94.0,96.0
984.0,204.0,231.0,223.0,113.0,117.0,96.0
1021.0,210.0,236.0,246.0,105.0,119.0,105.0
