demand,Demand_Retailer_0,Demand_Retailer_1,Demand_Retailer_2,Demand_Retailer_3,Demand_Retailer_4,Demand_Retailer_5
1060.0,247.0,264.0,249.0,101.0,102.0,97.0
947.0,225.0,236.0,225.0,89.0,89.0,83.0
1057.0,257.0,252.0,256.0,87.0,100.0,105.0
970.0,247.0,216.0,215.0,97.0,97.0,98.0
981.0,236.0,245.0,226.0,98.0,81.0,95.0
1108.0,278.0,265.0,243.0,107.0,104.0,111.0
1213.0,300.0,303.0,252.0,120.0,120.0,118.0
853.0,220.0,189.0,205.0,76.0,80.0,83.0
1068.0,235.0,230.0,278.0,108.0,103.0,114.0
1033.0,213.0,235.0,265.0,107.0,109.0,104.0
990.0,220.0,204.0,259.0,98.0,100.0,109.0
981.0,225.0,211.0,221.0,104.0,113.0,107.0
952.0,196.0,240.0,200.0,104.0,97.0,115.0
1047.0,236.0,235.0,255.0,102.0,113.0,106.0
1043.0,239.0,239.0,232.0,108.0,103.0,122.0
1011.0,225.0,247.0,245.0,99.0,98.0,97.0
1086.0,252.0,255.0,245.0,103.0,110.0,121.0
1106.0,258.0,260.0,253.0,112.0,111.0,112.0
1059.0,250.0,239.0,246.0,103.0,106.0,115.0
1156.0,268.0,281.0,265.0,117.0,112.0,113.0
941.0,213.0,208.0,235.0,91.0,95.0,99.0
1129.0,261.0,280.0,238.0,121.0,109.0,120.0
976.0,204.0,247.0,249.0,86.0,98.0,92.0
1039.0,229.0,244.0,248.0,109.0,107.0,102.0
1077.0,243.0,269.0,258.0,102.0,105.0,100.0
1149.0,262.0,267.0,274.0,120.0,111.0,115.0
948.0,214.0,221.0,222.0,96.0,100.0,95.0
957.0,219.0,203.0,237.0,96.0,106.0,96.0
1076.0,256.0,232.0,256.0,110.0,111.0,111.0
1022.0,257.0,235.0,242.0,101.0,95.0,92.0
1045.0,248.0,245.0,244.0,105.0,99.0,104.0
1090.0,268.0,257.0,239.0,113.0,109.0,104.0
1029.0,247.0,244.0,234.0,105.0,104.0,95.0
1220.0,292.0,303.0,259.0,124.0,125.0,117.0
1138.0,262.0,268.0,267.0,114.0,116.0,111.0
1005.0,240.0,260.0,214.0,97.0,94.0,100.0
996.0,230.0,242.0,234.0,96.0,97.0,97.0
955.0,223.0,260.0,186.0,97.0,100.0,89.0
1069.0,259.0,264.0,233.0,104.0,103.0,106.0
1120.0,273.0,287.0,251.0,107.0,102.0,100.0
1035.0,231.0,260.0,238.0,104.0,97.0,105.0
1045.0,272.0,253.0,240.0,86.0,98.0,96.0
1057.0,269.0,215.0,267.0,108.0,94.0,104.0
1003.0,256.0,210.0,243.0,101.0,95.0,98.0
1024.0,247.0,226.0,237.0,108.0,109.0,97.0
993.0,234.0,215.0,240.0,99.0,106.0,99.0
1155.0,280.0,244.0,285.0,126.0,107.0,113.0
1077.0,265.0,229.0,252.0,103.0,109.0,119.0
1178.0,287.0,251.0,275.0,125.0,119.0,121.0
1212.0,281.0,278.0,291.0,124.0,125.0,113.0
1157.0,267.0,272.0,275.0,117.0,115.0,111.0
1075.0,229.0,270.0,238.0,110.0,119.0,109.0
1177.0,270.0,258.0,274.0,128.0,124.0,123.0
1260.0,294.0,313.0,275.0,129.0,121.0,128.0
1127.0,256.0,264.0,252.0,112.0,118.0,125.0
1273.0,304.0,300.0,285.0,125.0,130.0,129.0
1262.0,295.0,316.0,283.0,127.0,117.0,124.0
1212.0,285.0,294.0,264.0,122.0,124.0,123.0
1081.0,245.0,248.0,254.0,97.0,112.0,125.0
1130.0,255.0,286.0,253.0,106.0,114.0,116.0
1122.0,251.0,289.0,247.0,99.0,108.0,128.0
1148.0,242.0,275.0,288.0,112.0,125.0,106.0
1044.0,254.0,247.0,238.0,108.0,103.0,94.0
974.0,219.0,214.0,236.0,95.0,98.0,112.0
1010.0,235.0,224.0,253.0,94.0,101.0,103.0
1194.0,276.0,260.0,300.0,116.0,118.0,124.0
1024.0,265.0,207.0,253.0,97.0,104.0,98.0
1194.0,305.0,254.0,298.0,110.0,106.0,121.0
1159.0,289.0,253.0,289.0,106.0,111.0,111.0
1060.0,237.0,239.0,267.0,102.0,105.0,110.0
1178.0,282.0,263.0,288.0,123.0,117.0,105.0
1079.0,260.0,244.0,274.0,96.0,98.0,107.0
1153.0,267.0,284.0,273.0,114.0,105.0,110.0
1138.0,242.0,291.0,272.0,123.0,100.0,110.0
1202.0,285.0,319.0,255.0,120.0,112.0,111.0
1043.0,219.0,253.0,248.0,107.0,107.0,109.0
1183.0,255.0,291.0,275.0,127.0,119.0,116.0
1100.0,267.0,270.0,230.0,112.0,114.0,107.0
1249.0,288.0,283.0,286.0,137.0,134.0,121.0
1143.0,302.0,257.0,255.0,114.0,114.0,101.0
1247.0,298.0,291.0,275.0,131.0,131.0,121.0
1103.0,263.0,262.0,238.0,119.0,114.0,107.0
1147.0,280.0,288.0,235.0,120.0,117.0,107.0
1067.0,252.0,229.0,237.0,113.0,124.0,112.0
1103.0,244.0,264.0,258.0,108.0,120.0,109.0
1280.0,310.0,286.0,284.0,130.0,141.0,129.0
1183.0,282.0,260.0,292.0,109.0,122.0,118.0
1239.0,294.0,296.0,286.0,118.0,123.0,122.0
1109.0,242.0,264.0,264.0,115.0,114.0,110.0
1158.0,270.0,284.0,271.0,107.0,110.0,116.0
1336.0,302.0,296.0,338.0,134.0,135.0,131.0
1142.0,267.0,272.0,259.0,111.0,112.0,121.0
1268.0,286.0,286.0,311.0,119.0,137.0,129.0
1136.0,264.0,266.0,256.0,108.0,125.0,117.0
1222.0,291.0,258.0,307.0,117.0,126.0,123.0
1193.0,292.0,282.0,277.0,115.0,114.0,113.0
1224.0,289.0,277.0,301.0,118.0,119.0,120.0
1200.0,269.0,290.0,287.0,106.0,117.0,131.0
1050.0,229.0,250.0,247.0,102.0,112.0,110.0
945.0,205.0,212.0,251.0,101.0,85.0,91.0
1048.0,251.0,231.0,240.0,108.0,108.0,110.0
1135.0,270.0,242.0,268.0,119.0,113.0,123.0
1216.0,278.0,260.0,307.0,123.0,122.0,126.0
1097.0,249.0,264.0,237.0,120.0,107.0,120.0
1152.0,290.0,255.0,266.0,123.0,106.0,112.0
1271.0,289.0,287.0,312.0,137.0,124.0,122.0
1306.0,299.0,297.0,315.0,136.0,130.0,129.0
1126.0,286.0,264.0,236.0,126.0,101.0,113.0
1210.0,268.0,294.0,276.0,128.0,116.0,128.0
1274.0,306.0,312.0,292.0,128.0,115.0,121.0
1359.0,306.0,330.0,307.0,144.0,139.0,133.0
1226.0,290.0,290.0,284.0,126.0,118.0,118.0
1355.0,300.0,322.0,332.0,141.0,135.0,125.0
1384.0,311.0,311.0,353.0,144.0,127.0,138.0
1224.0,280.0,285.0,291.0,127.0,122.0,119.0
1253.0,266.0,294.0,311.0,126.0,135.0,121.0
1278.0,300.0,278.0,313.0,133.0,133.0,121.0
1265.0,300.0,288.0,317.0,119.0,122.0,119.0
1345.0,323.0,313.0,310.0,128.0,146.0,125.0
1350.0,335.0,314.0,305.0,137.0,135.0,124.0
1281.0,330.0,263.0,305.0,121.0,135.0,127.0
1203.0,300.0,254.0,299.0,108.0,126.0,116.0
999.0,250.0,228.0,234.0,94.0,96.0,97.0
1182.0,266.0,290.0,264.0,117.0,126.0,119.0
1253.0,294.0,292.0,273.0,120.0,134.0,140.0
1155.0,248.0,293.0,263.0,106.0,124.0,121.0
1333.0,281.0,328.0,305.0,136.0,133.0,150.0
1070.0,253.0,261.0,238.0,101.0,112.0,105.0
1227.0,274.0,293.0,288.0,127.0,119.0,126.0
1255.0,278.0,301.0,278.0,132.0,129.0,137.0
1206.0,273.0,278.0,273.0,125.0,129.0,128.0
1211.0,289.0,286.0,271.0,121.0,126.0,118.0
1329.0,320.0,328.0,280.0,134.0,132.0,135.0
1299.0,322.0,298.0,283.0,138.0,126.0,132.0
1318.0,314.0,315.0,289.0,146.0,127.0,127.0
1392.0,343.0,305.0,331.0,135.0,134.0,144.0
1191.0,291.0,247.0,296.0,118.0,114.0,125.0
1293.0,309.0,278.0,331.0,125.0,116.0,134.0
1447.0,302.0,318.0,372.0,151.0,155.0,149.0
1237.0,281.0,291.0,308.0,123.0,107.0,127.0
1326.0,299.0,294.0,318.0,140.0,139.0,136.0
1391.0,314.0,326.0,342.0,141.0,138.0,130.0
1230.0,280.0,283.0,307.0,124.0,124.0,112.0
1198.0,290.0,279.0,262.0,128.0,120.0,119.0
1286.0,303.0,313.0,286.0,132.0,127.0,125.0
1328.0,312.0,323.0,304.0,127.0,127.0,135.0
1252.0,273.0,303.0,317.0,120.0,118.0,121.0
1177.0,285.0,287.0,271.0,103.0,113.0,118.0
1112.0,262.0,280.0,222.0,117.0,122.0,109.0
1342.0,329.0,329.0,288.0,126.0,142.0,128.0
1364.0,304.0,342.0,316.0,130.0,136.0,136.0
1255.0,288.0,295.0,293.0,125.0,130.0,124.0
1140.0,253.0,269.0,274.0,111.0,128.0,105.0
1379.0,311.0,310.0,331.0,138.0,144.0,145.0
1311.0,299.0,299.0,318.0,133.0,134.0,128.0
1237.0,274.0,293.0,281.0,126.0,135.0,128.0
1206.0,284.0,290.0,275.0,108.0,134.0,115.0
1433.0,347.0,314.0,328.0,148.0,154.0,142.0
1352.0,317.0,283.0,328.0,141.0,151.0,132.0
1256.0,286.0,290.0,284.0,140.0,133.0,123.0
1401.0,336.0,309.0,339.0,133.0,145.0,139.0
1332.0,314.0,300.0,326.0,131.0,136.0,125.0
1517.0,335.0,374.0,369.0,152.0,148.0,139.0
1438.0,323.0,300.0,381.0,154.0,139.0,141.0
1592.0,374.0,355.0,373.0,171.0,165.0,154.0
1339.0,302.0,321.0,312.0,148.0,125.0,131.0
1353.0,299.0,330.0,320.0,141.0,131.0,132.0
1386.0,292.0,345.0,342.0,140.0,127.0,140.0
1300.0,310.0,303.0,303.0,133.0,119.0,132.0
1359.0,321.0,321.0,308.0,136.0,133.0,140.0
1245.0,316.0,290.0,259.0,130.0,119.0,131.0
1400.0,340.0,301.0,330.0,141.0,136.0,152.0
1277.0,326.0,291.0,277.0,132.0,115.0,136.0
1268.0,323.0,278.0,271.0,126.0,130.0,140.0
1189.0,302.0,241.0,276.0,124.0,120.0,126.0
1343.0,318.0,292.0,319.0,131.0,139.0,144.0
1188.0,272.0,278.0,275.0,115.0,118.0,130.0
1350.0,321.0,307.0,299.0,137.0,139.0,147.0
1245.0,266.0,300.0,284.0,121.0,131.0,143.0
1334.0,298.0,316.0,321.0,136.0,130.0,133.0
