agg_orders_level_0,agg_orders_level_1
4120.0,16480.0
4284.0,16808.0
4484.0,13596.0
4492.0,1472.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
176.0,0.0
961.0,0.0
1825.0,0.0
2060.0,0.0
1327.0,0.0
177.0,0.0
22.0,0.0
596.0,0.0
1701.0,0.0
2184.0,0.0
1620.0,0.0
367.0,0.0
0.0,0.0
452.0,0.0
1468.0,0.0
1950.0,0.0
1590.0,0.0
667.0,0.0
216.0,0.0
664.0,0.0
1626.0,0.0
1963.0,0.0
1316.0,0.0
518.0,0.0
273.0,0.0
838.0,568.0
1580.0,1957.0
1836.0,3281.0
1364.0,2704.0
795.0,816.0
639.0,0.0
824.0,0.0
1143.0,257.0
1217.0,846.0
1157.0,1289.0
1062.0,1501.0
956.0,1148.0
1013.0,640.0
1076.0,970.0
1076.0,1192.0
1176.0,1198.0
1315.0,1147.0
1450.0,1273.0
1285.0,1095.0
968.0,1389.0
830.0,839.0
1124.0,374.0
1376.0,855.0
1430.0,1881.0
1177.0,2299.0
1043.0,1900.0
1144.0,1002.0
1247.0,570.0
1298.0,860.0
1129.0,1163.0
940.0,781.0
893.0,1152.0
1296.0,1267.0
1541.0,1578.0
1361.0,1680.0
953.0,1536.0
740.0,836.0
980.0,525.0
1422.0,571.0
1621.0,1367.0
1290.0,2012.0
776.0,1588.0
781.0,809.0
1216.0,457.0
1679.0,768.0
1593.0,1878.0
1169.0,2277.0
654.0,1523.0
787.0,773.0
1243.0,478.0
1439.0,582.0
1281.0,925.0
895.0,1045.0
860.0,1251.0
1041.0,1254.0
1424.0,1295.0
1493.0,1375.0
1203.0,1635.0
1010.0,1329.0
1017.0,1007.0
1225.0,723.0
1409.0,1525.0
1373.0,1687.0
1200.0,1137.0
1059.0,938.0
1174.0,915.0
1362.0,857.0
1419.0,1927.0
1167.0,1906.0
1108.0,1094.0
1106.0,1069.0
1326.0,1005.0
1268.0,607.0
1293.0,1544.0
1089.0,1604.0
980.0,946.0
1201.0,946.0
1413.0,1162.0
1487.0,1326.0
1400.0,2109.0
1379.0,1782.0
1275.0,1188.0
1135.0,1266.0
1102.0,926.0
1299.0,512.0
1319.0,1534.0
1313.0,1833.0
1306.0,1125.0
1223.0,1010.0
1174.0,1146.0
1355.0,953.0
1397.0,1954.0
1297.0,2023.0
1183.0,980.0
1128.0,886.0
1144.0,1006.0
1335.0,697.0
1419.0,1483.0
1269.0,1878.0
1082.0,1115.0
1077.0,832.0
1456.0,1278.0
1658.0,1545.0
1467.0,2058.0
937.0,1491.0
775.0,670.0
1136.0,806.0
1531.0,1103.0
1613.0,1184.0
1389.0,1760.0
984.0,1757.0
890.0,408.0
1055.0,703.0
1644.0,1334.0
1916.0,2195.0
1652.0,2553.0
1066.0,1915.0
726.0,24.0
775.0,371.0
1267.0,827.0
1829.0,1122.0
1723.0,2058.0
1177.0,2191.0
649.0,887.0
806.0,224.0
1533.0,763.0
2075.0,1828.0
1889.0,3026.0
1122.0,2394.0
593.0,583.0
780.0,0.0
1628.0,553.0
2342.0,1630.0
1990.0,3117.0
969.0,2448.0
328.0,585.0
701.0,0.0
1630.0,170.0
2270.0,1366.0
2099.0,3208.0
1203.0,3041.0
358.0,604.0
581.0,0.0
1537.0,116.0
2287.0,1054.0
2132.0,3007.0
1170.0,3127.0
388.0,836.0
732.0,0.0
1674.0,0.0
2243.0,1232.0
2030.0,3280.0
1120.0,3180.0
662.0,772.0
954.0,0.0
1819.0,374.0
2163.0,1597.0
1627.0,2867.0
752.0,1990.0
507.0,583.0
972.0,0.0
1851.0,644.0
2294.0,2186.0
1851.0,3469.0
980.0,2344.0
325.0,474.0
811.0,0.0
1759.0,197.0
2116.0,1113.0
1718.0,2480.0
871.0,2242.0
670.0,718.0
1124.0,0.0
1906.0,1047.0
2180.0,2674.0
1730.0,3441.0
983.0,1860.0
757.0,569.0
1290.0,0.0
2001.0,749.0
2177.0,2136.0
1747.0,3179.0
1117.0,2308.0
918.0,844.0
1337.0,0.0
1872.0,725.0
2054.0,2136.0
1701.0,3058.0
1048.0,2044.0
751.0,826.0
1109.0,0.0
1851.0,549.0
2462.0,2224.0
2112.0,3858.0
958.0,2624.0
258.0,592.0
927.0,0.0
2171.0,234.0
2630.0,1454.0
1990.0,3328.0
809.0,2687.0
290.0,522.0
958.0,0.0
2073.0,183.0
2571.0,1950.0
1927.0,3794.0
747.0,2571.0
175.0,368.0
838.0,0.0
2093.0,163.0
2675.0,1571.0
2060.0,3592.0
814.0,2823.0
230.0,267.0
791.0,0.0
1740.0,0.0
2395.0,1356.0
2142.0,3439.0
1203.0,3314.0
541.0,698.0
821.0,0.0
1709.0,160.0
2305.0,1417.0
2284.0,3403.0
1435.0,3445.0
748.0,953.0
1026.0,0.0
2011.0,423.0
2638.0,2254.0
2265.0,4001.0
1137.0,2864.0
379.0,774.0
990.0,0.0
2116.0,341.0
2800.0,1674.0
2409.0,3642.0
1181.0,3137.0
233.0,687.0
927.0,0.0
2225.0,273.0
2885.0,2312.0
2236.0,3984.0
1073.0,2741.0
426.0,800.0
830.0,0.0
1961.0,22.0
2725.0,1164.0
2349.0,3541.0
1144.0,3537.0
