id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1179.0,1179.0,0.0,3537.0,3537.0,840.0,339.0,840.0,339.0
0.0,0.0,1116.0,1147.0,3537.0,2199.0,2199.0,819.0,328.0,798.0,318.0
0.0,1242.0,0.0,765.0,2199.0,0.0,0.0,546.0,219.0,0.0,0.0
0.0,3441.0,307.0,650.0,0.0,0.0,0.0,472.0,178.0,252.0,55.0
0.0,3134.0,448.0,610.0,0.0,0.0,0.0,440.0,170.0,311.0,137.0
0.0,2686.0,447.0,583.0,0.0,0.0,0.0,421.0,162.0,327.0,120.0
0.0,2239.0,403.0,557.0,0.0,0.0,0.0,403.0,154.0,295.0,108.0
0.0,1836.0,354.0,532.0,0.0,114.0,114.0,388.0,144.0,283.0,71.0
0.0,1482.0,402.0,517.0,114.0,357.0,357.0,376.0,141.0,278.0,124.0
0.0,1194.0,325.0,498.0,357.0,268.0,268.0,360.0,138.0,216.0,109.0
0.0,1226.0,354.0,485.0,268.0,315.0,315.0,350.0,135.0,254.0,100.0
0.0,1140.0,378.0,476.0,315.0,351.0,351.0,343.0,133.0,266.0,112.0
0.0,1077.0,363.0,468.0,351.0,339.0,339.0,335.0,133.0,232.0,131.0
0.0,1065.0,392.0,462.0,339.0,374.0,374.0,331.0,131.0,277.0,115.0
0.0,1012.0,334.0,454.0,374.0,310.0,310.0,324.0,130.0,228.0,106.0
0.0,1052.0,354.0,447.0,310.0,333.0,333.0,319.0,128.0,243.0,111.0
0.0,1008.0,355.0,442.0,333.0,340.0,340.0,315.0,127.0,253.0,102.0
0.0,986.0,367.0,437.0,340.0,352.0,352.0,311.0,126.0,253.0,114.0
0.0,959.0,367.0,434.0,352.0,358.0,358.0,309.0,125.0,262.0,105.0
0.0,944.0,395.0,432.0,358.0,389.0,389.0,307.0,125.0,278.0,117.0
0.0,907.0,334.0,427.0,389.0,319.0,319.0,304.0,123.0,239.0,95.0
0.0,962.0,432.0,428.0,319.0,435.0,435.0,304.0,124.0,300.0,132.0
0.0,849.0,263.0,420.0,435.0,239.0,239.0,299.0,121.0,200.0,63.0
0.0,1021.0,352.0,417.0,239.0,343.0,343.0,297.0,120.0,246.0,106.0
0.0,908.0,328.0,414.0,343.0,319.0,319.0,295.0,119.0,244.0,84.0
0.0,923.0,347.0,411.0,319.0,338.0,338.0,293.0,118.0,243.0,104.0
0.0,895.0,313.0,408.0,338.0,304.0,304.0,290.0,118.0,218.0,95.0
0.0,920.0,319.0,405.0,304.0,310.0,310.0,288.0,117.0,224.0,95.0
0.0,905.0,345.0,402.0,310.0,336.0,336.0,286.0,116.0,240.0,105.0
0.0,870.0,324.0,399.0,336.0,315.0,315.0,284.0,115.0,234.0,90.0
0.0,882.0,287.0,397.0,315.0,281.0,281.0,282.0,115.0,199.0,88.0
0.0,910.0,328.0,394.0,281.0,319.0,319.0,280.0,114.0,228.0,100.0
0.0,863.0,329.0,392.0,319.0,323.0,323.0,278.0,114.0,228.0,101.0
0.0,853.0,353.0,391.0,323.0,350.0,350.0,278.0,113.0,248.0,105.0
0.0,823.0,361.0,390.0,350.0,358.0,358.0,277.0,113.0,252.0,109.0
0.0,812.0,291.0,387.0,358.0,282.0,282.0,275.0,112.0,210.0,81.0
0.0,879.0,298.0,385.0,282.0,292.0,292.0,273.0,112.0,213.0,85.0
0.0,863.0,296.0,382.0,292.0,287.0,287.0,271.0,111.0,201.0,95.0
0.0,859.0,368.0,382.0,287.0,368.0,368.0,271.0,111.0,258.0,110.0
0.0,778.0,346.0,381.0,368.0,343.0,343.0,270.0,111.0,241.0,105.0
0.0,800.0,289.0,379.0,343.0,283.0,283.0,268.0,111.0,181.0,108.0
0.0,854.0,333.0,378.0,283.0,330.0,330.0,268.0,110.0,251.0,82.0
0.0,804.0,369.0,378.0,330.0,369.0,369.0,267.0,111.0,248.0,121.0
0.0,765.0,362.0,378.0,369.0,362.0,362.0,267.0,111.0,243.0,119.0
0.0,772.0,335.0,377.0,362.0,332.0,332.0,266.0,111.0,216.0,119.0
0.0,799.0,320.0,375.0,332.0,314.0,314.0,264.0,111.0,212.0,108.0
0.0,811.0,408.0,376.0,314.0,411.0,411.0,265.0,111.0,271.0,137.0
0.0,717.0,374.0,376.0,411.0,374.0,374.0,265.0,111.0,271.0,103.0
0.0,754.0,334.0,375.0,374.0,331.0,331.0,264.0,111.0,232.0,102.0
0.0,794.0,380.0,375.0,331.0,380.0,380.0,264.0,111.0,266.0,114.0
0.0,745.0,318.0,374.0,380.0,315.0,315.0,263.0,111.0,224.0,94.0
