agg_orders_level_0,agg_orders_level_1
5000.0,25000.0
5035.0,25085.0
5085.0,25205.0
5100.0,20495.0
5105.0,565.0
5110.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
24.0,0.0
341.0,0.0
1357.0,0.0
2394.0,0.0
3114.0,0.0
2858.0,0.0
1581.0,0.0
119.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
37.0,0.0
440.0,0.0
1511.0,0.0
2533.0,0.0
3178.0,0.0
2775.0,0.0
1393.0,0.0
5.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
36.0,0.0
406.0,0.0
1406.0,0.0
2441.0,0.0
3116.0,0.0
2791.0,0.0
1517.0,0.0
169.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
88.0,0.0
795.0,0.0
1952.0,0.0
3027.0,0.0
3383.0,0.0
2599.0,0.0
933.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
46.0,0.0
680.0,0.0
1728.0,0.0
2800.0,0.0
3234.0,0.0
2638.0,116.0
1071.0,465.0
190.0,626.0
0.0,510.0
0.0,156.0
0.0,0.0
83.0,0.0
782.0,0.0
1931.0,849.0
3054.0,4048.0
3466.0,5597.0
2746.0,5862.0
1039.0,5781.0
1003.0,2588.0
1228.0,431.0
142.0,0.0
0.0,0.0
78.0,0.0
378.0,0.0
744.0,0.0
1321.0,0.0
1857.0,0.0
2110.0,0.0
2132.0,296.0
2024.0,1237.0
1368.0,1819.0
749.0,1936.0
383.0,1317.0
54.0,766.0
314.0,277.0
670.0,0.0
1213.0,0.0
1814.0,0.0
2135.0,1196.0
2302.0,3224.0
2152.0,4954.0
1595.0,5613.0
883.0,3484.0
487.0,2125.0
77.0,500.0
403.0,0.0
782.0,0.0
1383.0,0.0
1937.0,0.0
2196.0,0.0
2223.0,77.0
2139.0,737.0
1487.0,1189.0
834.0,1114.0
422.0,856.0
43.0,355.0
288.0,324.0
651.0,3.0
1150.0,0.0
1698.0,178.0
2023.0,2286.0
2189.0,4695.0
2192.0,5893.0
1814.0,6123.0
1092.0,3389.0
723.0,1187.0
75.0,0.0
438.0,0.0
830.0,0.0
1428.0,0.0
1829.0,0.0
2102.0,0.0
2146.0,0.0
2270.0,594.0
1783.0,898.0
1207.0,1279.0
432.0,1066.0
55.0,749.0
403.0,464.0
785.0,236.0
1276.0,168.0
1638.0,446.0
1895.0,1966.0
2026.0,3803.0
2291.0,5415.0
1970.0,5769.0
1206.0,3971.0
441.0,1799.0
75.0,0.0
451.0,0.0
858.0,0.0
1451.0,0.0
1879.0,0.0
2201.0,0.0
2223.0,0.0
2444.0,544.0
1910.0,1082.0
1161.0,1921.0
417.0,1759.0
129.0,1248.0
497.0,482.0
907.0,0.0
1408.0,0.0
1732.0,543.0
1939.0,2042.0
2126.0,3522.0
2332.0,5021.0
1875.0,5172.0
1165.0,4125.0
410.0,2275.0
97.0,742.0
466.0,0.0
860.0,0.0
1407.0,0.0
1728.0,0.0
2134.0,0.0
2290.0,0.0
2589.0,402.0
2103.0,611.0
1346.0,1615.0
252.0,1410.0
172.0,1252.0
612.0,523.0
1036.0,0.0
1584.0,55.0
1800.0,997.0
2008.0,2796.0
2192.0,4244.0
2481.0,6131.0
1943.0,5437.0
1501.0,4406.0
297.0,1412.0
132.0,0.0
507.0,0.0
915.0,0.0
1270.0,0.0
1535.0,0.0
1821.0,0.0
2217.0,0.0
2691.0,71.0
2449.0,656.0
1374.0,1328.0
313.0,1520.0
178.0,958.0
588.0,521.0
1028.0,123.0
1491.0,68.0
1886.0,1213.0
2212.0,3332.0
2512.0,5295.0
2756.0,6626.0
2120.0,6276.0
1305.0,3399.0
299.0,794.0
185.0,0.0
597.0,0.0
1026.0,0.0
1263.0,0.0
1512.0,0.0
1767.0,0.0
2306.0,0.0
2872.0,0.0
2601.0,725.0
1334.0,1549.0
271.0,1755.0
186.0,1101.0
601.0,353.0
1046.0,62.0
1301.0,0.0
1644.0,535.0
2058.0,2526.0
2585.0,5226.0
3115.0,7191.0
2672.0,7500.0
1187.0,4483.0
167.0,307.0
247.0,0.0
690.0,0.0
1109.0,0.0
1311.0,0.0
1576.0,0.0
1931.0,0.0
2500.0,0.0
3015.0,0.0
2592.0,732.0
1162.0,1382.0
238.0,1560.0
256.0,984.0
687.0,314.0
1102.0,77.0
1325.0,269.0
1608.0,1131.0
2092.0,3106.0
2666.0,5628.0
3190.0,7382.0
2687.0,7281.0
1145.0,3654.0
94.0,0.0
291.0,0.0
762.0,0.0
1163.0,0.0
1398.0,0.0
1664.0,0.0
2205.0,0.0
2791.0,0.0
3263.0,60.0
2611.0,1325.0
1034.0,2399.0
55.0,2299.0
285.0,1169.0
722.0,0.0
1126.0,0.0
1354.0,0.0
1617.0,568.0
2065.0,2003.0
2648.0,4564.0
3097.0,6735.0
2587.0,7841.0
1181.0,4406.0
237.0,1713.0
321.0,0.0
803.0,0.0
1220.0,0.0
1490.0,0.0
1865.0,0.0
2407.0,0.0
2990.0,0.0
3316.0,222.0
2543.0,1461.0
920.0,2396.0
104.0,2188.0
331.0,963.0
814.0,48.0
1203.0,0.0
1435.0,0.0
1755.0,663.0
2210.0,2380.0
2772.0,5307.0
3135.0,7140.0
2500.0,7903.0
1026.0,3888.0
294.0,1567.0
309.0,0.0
767.0,0.0
1187.0,0.0
1460.0,0.0
1866.0,0.0
2433.0,0.0
3048.0,0.0
3381.0,52.0
2634.0,1310.0
976.0,2135.0
193.0,2176.0
403.0,1174.0
908.0,219.0
1279.0,0.0
1533.0,76.0
1806.0,824.0
2393.0,2949.0
2942.0,5915.0
3270.0,7827.0
2465.0,7767.0
1039.0,4056.0
235.0,781.0
383.0,0.0
865.0,0.0
1248.0,0.0
1478.0,0.0
1729.0,0.0
2326.0,0.0
2916.0,0.0
3340.0,0.0
2649.0,917.0
1142.0,1646.0
252.0,1798.0
451.0,1232.0
958.0,450.0
1346.0,60.0
1655.0,295.0
1986.0,1606.0
2619.0,4175.0
3219.0,7230.0
3421.0,8460.0
2401.0,7409.0
883.0,2681.0
208.0,0.0
416.0,0.0
912.0,0.0
1288.0,0.0
1526.0,0.0
1802.0,0.0
2302.0,0.0
2878.0,0.0
3193.0,0.0
2527.0,759.0
1141.0,1251.0
526.0,1712.0
491.0,1354.0
1024.0,1052.0
1391.0,641.0
1702.0,916.0
2039.0,1833.0
2709.0,3774.0
3293.0,6155.0
3447.0,7825.0
2429.0,6577.0
1136.0,2995.0
230.0,763.0
477.0,0.0
1001.0,0.0
1353.0,0.0
