id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1472.0,1472.0,0.0,5888.0,5888.0,1044.0,428.0,1044.0,428.0
0.0,0.0,1476.0,1474.0,0.0,5896.0,5896.0,1052.0,422.0,1060.0,416.0
0.0,0.0,1480.0,1476.0,5888.0,4444.0,4444.0,1059.0,417.0,1072.0,408.0
0.0,1460.0,1456.0,1471.0,5896.0,0.0,0.0,1055.0,416.0,1044.0,412.0
0.0,5900.0,0.0,1177.0,4444.0,0.0,0.0,844.0,333.0,0.0,0.0
0.0,10344.0,0.0,980.0,0.0,0.0,0.0,703.0,277.0,0.0,0.0
0.0,10344.0,0.0,841.0,0.0,0.0,0.0,603.0,238.0,0.0,0.0
0.0,10344.0,0.0,736.0,0.0,0.0,0.0,528.0,208.0,0.0,0.0
0.0,10344.0,0.0,654.0,0.0,0.0,0.0,469.0,185.0,0.0,0.0
0.0,10344.0,0.0,588.0,0.0,0.0,0.0,422.0,166.0,0.0,0.0
0.0,10344.0,0.0,535.0,0.0,0.0,0.0,384.0,151.0,0.0,0.0
0.0,10344.0,13.0,492.0,0.0,0.0,0.0,352.0,140.0,0.0,13.0
0.0,10331.0,106.0,462.0,0.0,0.0,0.0,325.0,137.0,0.0,106.0
0.0,10225.0,295.0,450.0,0.0,0.0,0.0,309.0,141.0,100.0,195.0
0.0,9930.0,505.0,454.0,0.0,0.0,0.0,309.0,145.0,309.0,196.0
0.0,9425.0,594.0,462.0,0.0,0.0,0.0,319.0,143.0,476.0,118.0
0.0,8831.0,412.0,460.0,0.0,0.0,0.0,324.0,136.0,396.0,16.0
0.0,8419.0,89.0,439.0,0.0,0.0,0.0,311.0,128.0,89.0,0.0
0.0,8330.0,42.0,418.0,0.0,0.0,0.0,294.0,124.0,0.0,42.0
0.0,8288.0,213.0,407.0,0.0,0.0,0.0,283.0,124.0,76.0,137.0
0.0,8075.0,472.0,410.0,0.0,0.0,0.0,283.0,127.0,287.0,185.0
0.0,7603.0,661.0,422.0,0.0,0.0,0.0,293.0,129.0,488.0,173.0
0.0,6942.0,488.0,425.0,0.0,0.0,0.0,298.0,127.0,422.0,66.0
0.0,6454.0,144.0,413.0,0.0,0.0,0.0,292.0,121.0,144.0,0.0
0.0,6310.0,14.0,397.0,0.0,0.0,0.0,280.0,117.0,0.0,14.0
0.0,6296.0,152.0,388.0,0.0,0.0,0.0,272.0,116.0,52.0,100.0
0.0,6144.0,521.0,392.0,0.0,0.0,0.0,273.0,119.0,322.0,199.0
0.0,5623.0,706.0,403.0,0.0,0.0,0.0,281.0,122.0,500.0,206.0
0.0,4917.0,557.0,410.0,0.0,0.0,0.0,287.0,123.0,434.0,123.0
