id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,981.0,981.0,0.0,2943.0,2943.0,699.0,282.0,699.0,282.0
0.0,0.0,1056.0,1018.0,2943.0,2148.0,2148.0,730.0,288.0,762.0,294.0
0.0,906.0,32.0,690.0,2148.0,0.0,0.0,498.0,192.0,32.0,0.0
0.0,3022.0,353.0,605.0,0.0,0.0,0.0,437.0,168.0,255.0,98.0
0.0,2669.0,359.0,556.0,0.0,0.0,0.0,398.0,158.0,242.0,117.0
0.0,2310.0,274.0,509.0,0.0,0.0,0.0,363.0,146.0,190.0,84.0
0.0,2036.0,355.0,487.0,0.0,0.0,0.0,345.0,142.0,233.0,122.0
0.0,1681.0,319.0,466.0,0.0,36.0,36.0,331.0,135.0,236.0,83.0
0.0,1362.0,397.0,459.0,36.0,376.0,376.0,325.0,134.0,275.0,122.0
0.0,1001.0,347.0,447.0,376.0,311.0,311.0,315.0,132.0,226.0,121.0
0.0,1030.0,267.0,431.0,311.0,219.0,219.0,303.0,128.0,187.0,80.0
0.0,1074.0,357.0,425.0,219.0,339.0,339.0,299.0,126.0,249.0,108.0
0.0,936.0,291.0,414.0,339.0,258.0,258.0,290.0,124.0,185.0,106.0
0.0,984.0,321.0,408.0,258.0,303.0,303.0,284.0,124.0,209.0,112.0
0.0,921.0,316.0,401.0,303.0,295.0,295.0,279.0,122.0,209.0,107.0
0.0,908.0,374.0,400.0,295.0,371.0,371.0,278.0,122.0,259.0,115.0
0.0,829.0,386.0,399.0,371.0,383.0,383.0,278.0,121.0,274.0,112.0
0.0,814.0,335.0,395.0,383.0,323.0,323.0,275.0,120.0,232.0,103.0
0.0,862.0,344.0,393.0,323.0,338.0,338.0,274.0,119.0,253.0,91.0
0.0,841.0,371.0,392.0,338.0,368.0,368.0,274.0,118.0,265.0,106.0
0.0,808.0,321.0,388.0,368.0,309.0,309.0,271.0,117.0,222.0,99.0
0.0,855.0,416.0,390.0,309.0,422.0,422.0,272.0,118.0,286.0,130.0
0.0,748.0,308.0,386.0,422.0,296.0,296.0,270.0,116.0,229.0,79.0
