id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Order_Supplier_1,Order_Supplier_2,Forecast_Retailer_0,Forecast_Retailer_1,Forecast_Retailer_2,Demand_Retailer_0,Demand_Retailer_1,Demand_Retailer_2,Inv_Product_0,Inv_Product_1,Inv_Product_2,Order_Product_0,Order_Product_1,Order_Product_2,Forecast_Product_0,Forecast_Product_1,Forecast_Product_2
0.0,0.0,771.0,771.0,0.0,2313.0,750.0,807.0,756.0,250.0,269.0,252.0,250.0,269.0,252.0,0.0,0.0,0.0,750.0,807.0,756.0,250.0,269.0,252.0
0.0,0.0,783.0,778.0,0.0,2334.0,756.0,810.0,768.0,252.0,270.0,256.0,254.0,270.0,259.0,0.0,0.0,0.0,756.0,810.0,768.0,252.0,270.0,256.0
0.0,0.0,799.0,785.0,4647.0,71.0,30.0,0.0,41.0,256.0,268.0,261.0,264.0,264.0,271.0,0.0,0.0,0.0,30.0,0.0,41.0,256.0,268.0,261.0
0.0,2294.0,741.0,773.0,71.0,695.0,271.0,203.0,221.0,258.0,260.0,255.0,265.0,237.0,239.0,738.0,814.0,742.0,271.0,203.0,221.0,258.0,260.0,255.0
0.0,1624.0,758.0,770.0,695.0,749.0,241.0,268.0,240.0,256.0,261.0,253.0,247.0,265.0,246.0,503.0,577.0,544.0,241.0,268.0,240.0,256.0,261.0,253.0
0.0,1561.0,695.0,757.0,749.0,656.0,241.0,224.0,191.0,254.0,257.0,246.0,247.0,236.0,212.0,527.0,515.0,519.0,241.0,224.0,191.0,254.0,257.0,246.0
0.0,1615.0,821.0,767.0,656.0,851.0,308.0,310.0,233.0,260.0,262.0,245.0,290.0,295.0,236.0,521.0,547.0,547.0,308.0,310.0,233.0,260.0,262.0,245.0
0.0,1450.0,870.0,780.0,851.0,909.0,328.0,279.0,302.0,266.0,264.0,250.0,310.0,273.0,287.0,472.0,476.0,502.0,328.0,279.0,302.0,266.0,264.0,250.0
0.0,1431.0,863.0,789.0,909.0,890.0,282.0,268.0,340.0,267.0,264.0,258.0,279.0,268.0,316.0,470.0,513.0,448.0,282.0,268.0,340.0,267.0,264.0,258.0
0.0,1477.0,851.0,795.0,890.0,869.0,262.0,288.0,319.0,267.0,266.0,262.0,262.0,282.0,307.0,519.0,524.0,434.0,262.0,288.0,319.0,267.0,266.0,262.0
0.0,1516.0,752.0,791.0,869.0,740.0,243.0,213.0,284.0,265.0,262.0,264.0,249.0,225.0,278.0,539.0,510.0,467.0,243.0,213.0,284.0,265.0,262.0,264.0
0.0,1633.0,763.0,789.0,740.0,757.0,266.0,245.0,246.0,265.0,261.0,263.0,266.0,248.0,249.0,552.0,573.0,508.0,266.0,245.0,246.0,265.0,261.0,263.0
0.0,1610.0,766.0,787.0,757.0,760.0,232.0,298.0,230.0,263.0,263.0,261.0,238.0,292.0,236.0,529.0,538.0,543.0,232.0,298.0,230.0,263.0,263.0,261.0
0.0,1601.0,795.0,788.0,760.0,798.0,255.0,263.0,280.0,263.0,263.0,262.0,255.0,263.0,277.0,557.0,491.0,553.0,255.0,263.0,280.0,263.0,263.0,262.0
0.0,1566.0,653.0,779.0,798.0,626.0,202.0,220.0,204.0,259.0,261.0,259.0,214.0,226.0,213.0,534.0,526.0,506.0,202.0,220.0,204.0,259.0,261.0,259.0
0.0,1711.0,786.0,779.0,626.0,786.0,236.0,280.0,270.0,258.0,262.0,259.0,239.0,277.0,270.0,575.0,563.0,573.0,236.0,280.0,270.0,258.0,262.0,259.0
0.0,1551.0,686.0,773.0,786.0,668.0,217.0,232.0,219.0,256.0,260.0,257.0,223.0,238.0,225.0,538.0,506.0,507.0,217.0,232.0,219.0,256.0,260.0,257.0
0.0,1651.0,781.0,774.0,668.0,784.0,257.0,269.0,258.0,256.0,261.0,257.0,257.0,266.0,258.0,551.0,548.0,552.0,257.0,269.0,258.0,256.0,261.0,257.0
0.0,1538.0,828.0,776.0,784.0,834.0,285.0,268.0,281.0,257.0,261.0,258.0,282.0,268.0,278.0,511.0,514.0,513.0,285.0,268.0,281.0,257.0,261.0,258.0
0.0,1494.0,700.0,773.0,834.0,691.0,233.0,238.0,220.0,256.0,260.0,257.0,236.0,241.0,223.0,486.0,515.0,493.0,233.0,238.0,220.0,256.0,260.0,257.0
0.0,1628.0,652.0,767.0,691.0,634.0,220.0,190.0,224.0,255.0,257.0,255.0,223.0,199.0,230.0,535.0,542.0,551.0,220.0,190.0,224.0,255.0,257.0,255.0
0.0,1667.0,705.0,765.0,634.0,699.0,253.0,251.0,195.0,255.0,257.0,253.0,253.0,251.0,201.0,545.0,581.0,541.0,253.0,251.0,195.0,255.0,257.0,253.0
0.0,1596.0,705.0,761.0,699.0,693.0,215.0,240.0,238.0,253.0,256.0,252.0,221.0,243.0,241.0,512.0,520.0,564.0,215.0,240.0,238.0,253.0,256.0,252.0
0.0,1590.0,722.0,761.0,693.0,722.0,248.0,238.0,236.0,253.0,256.0,252.0,248.0,238.0,236.0,544.0,528.0,518.0,248.0,238.0,236.0,253.0,256.0,252.0
