id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,963.0,963.0,0.0,2889.0,2889.0,690.0,273.0,690.0,273.0
0.0,0.0,1005.0,984.0,2889.0,2031.0,2031.0,706.0,278.0,723.0,282.0
0.0,921.0,110.0,693.0,2031.0,0.0,0.0,508.0,185.0,110.0,0.0
0.0,2842.0,499.0,645.0,0.0,0.0,0.0,473.0,172.0,368.0,131.0
0.0,2343.0,373.0,590.0,0.0,0.0,0.0,430.0,160.0,260.0,113.0
0.0,1970.0,467.0,569.0,0.0,204.0,204.0,415.0,154.0,341.0,126.0
0.0,1503.0,411.0,546.0,204.0,342.0,342.0,398.0,148.0,297.0,114.0
0.0,1296.0,354.0,523.0,342.0,285.0,285.0,383.0,140.0,272.0,82.0
0.0,1284.0,365.0,505.0,285.0,311.0,311.0,367.0,138.0,240.0,125.0
0.0,1204.0,371.0,492.0,311.0,332.0,332.0,354.0,138.0,235.0,136.0
0.0,1144.0,316.0,476.0,332.0,268.0,268.0,341.0,135.0,214.0,102.0
0.0,1160.0,377.0,468.0,268.0,353.0,353.0,334.0,134.0,252.0,125.0
0.0,1051.0,307.0,455.0,353.0,268.0,268.0,322.0,133.0,185.0,122.0
0.0,1097.0,321.0,446.0,268.0,294.0,294.0,315.0,131.0,220.0,101.0
0.0,1044.0,304.0,437.0,294.0,277.0,277.0,308.0,129.0,206.0,98.0
0.0,1034.0,313.0,429.0,277.0,289.0,289.0,302.0,127.0,215.0,98.0
0.0,998.0,344.0,424.0,289.0,329.0,329.0,299.0,125.0,249.0,95.0
0.0,943.0,322.0,418.0,329.0,304.0,304.0,294.0,124.0,222.0,100.0
0.0,950.0,368.0,416.0,304.0,362.0,362.0,293.0,123.0,263.0,105.0
0.0,886.0,282.0,409.0,362.0,261.0,261.0,288.0,121.0,195.0,87.0
0.0,966.0,260.0,402.0,261.0,239.0,239.0,283.0,119.0,181.0,79.0
0.0,967.0,325.0,398.0,239.0,313.0,313.0,280.0,118.0,216.0,109.0
0.0,881.0,290.0,394.0,313.0,278.0,278.0,277.0,117.0,206.0,84.0
0.0,904.0,324.0,391.0,278.0,315.0,315.0,274.0,117.0,211.0,113.0
0.0,858.0,333.0,388.0,315.0,324.0,324.0,272.0,116.0,238.0,95.0
0.0,840.0,366.0,387.0,324.0,363.0,363.0,271.0,116.0,245.0,121.0
0.0,798.0,321.0,384.0,363.0,312.0,312.0,269.0,115.0,219.0,102.0
0.0,840.0,386.0,385.0,312.0,389.0,389.0,269.0,116.0,268.0,118.0
0.0,766.0,383.0,385.0,389.0,383.0,383.0,269.0,116.0,267.0,116.0
0.0,772.0,424.0,387.0,383.0,430.0,430.0,271.0,116.0,309.0,115.0
0.0,731.0,389.0,387.0,430.0,389.0,389.0,271.0,116.0,274.0,115.0
0.0,772.0,402.0,387.0,389.0,402.0,402.0,271.0,116.0,283.0,119.0
0.0,759.0,405.0,387.0,402.0,405.0,405.0,271.0,116.0,285.0,120.0
0.0,756.0,422.0,388.0,405.0,425.0,425.0,272.0,116.0,296.0,126.0
0.0,739.0,384.0,388.0,425.0,384.0,384.0,272.0,116.0,269.0,115.0
0.0,780.0,393.0,388.0,384.0,393.0,393.0,272.0,116.0,282.0,111.0
0.0,771.0,327.0,386.0,393.0,321.0,321.0,271.0,115.0,232.0,95.0
0.0,837.0,384.0,386.0,321.0,384.0,384.0,271.0,115.0,267.0,117.0
