id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1005.0,1005.0,0.0,3015.0,3015.0,714.0,291.0,714.0,291.0
0.0,0.0,1053.0,1029.0,3015.0,2130.0,2130.0,735.0,294.0,756.0,297.0
0.0,957.0,13.0,690.0,2130.0,0.0,0.0,494.0,196.0,13.0,0.0
0.0,3074.0,364.0,609.0,0.0,0.0,0.0,437.0,172.0,266.0,98.0
0.0,2710.0,255.0,538.0,0.0,0.0,0.0,384.0,154.0,172.0,83.0
0.0,2455.0,393.0,514.0,0.0,0.0,0.0,366.0,148.0,273.0,120.0
0.0,2062.0,365.0,492.0,0.0,0.0,0.0,348.0,144.0,244.0,121.0
0.0,1697.0,291.0,467.0,0.0,0.0,0.0,331.0,136.0,213.0,78.0
0.0,1406.0,368.0,456.0,0.0,330.0,330.0,323.0,133.0,255.0,113.0
0.0,1038.0,339.0,445.0,330.0,306.0,306.0,313.0,132.0,225.0,114.0
0.0,1029.0,296.0,431.0,306.0,254.0,254.0,303.0,128.0,206.0,90.0
0.0,1039.0,392.0,428.0,254.0,383.0,383.0,301.0,127.0,273.0,119.0
0.0,901.0,337.0,420.0,383.0,313.0,313.0,294.0,126.0,218.0,119.0
0.0,947.0,382.0,418.0,313.0,376.0,376.0,292.0,126.0,256.0,126.0
0.0,878.0,281.0,409.0,376.0,254.0,254.0,285.0,124.0,184.0,97.0
0.0,973.0,364.0,407.0,254.0,358.0,358.0,283.0,124.0,254.0,110.0
0.0,863.0,342.0,402.0,358.0,327.0,327.0,280.0,122.0,241.0,101.0
0.0,879.0,341.0,399.0,327.0,332.0,332.0,278.0,121.0,237.0,104.0
0.0,865.0,412.0,400.0,332.0,415.0,415.0,279.0,121.0,301.0,111.0
0.0,785.0,384.0,399.0,415.0,381.0,381.0,279.0,120.0,274.0,110.0
0.0,816.0,321.0,395.0,381.0,309.0,309.0,276.0,119.0,223.0,98.0
0.0,876.0,375.0,394.0,309.0,372.0,372.0,275.0,119.0,256.0,119.0
