agg_orders_level_0,agg_orders_level_1
5060.0,25300.0
5170.0,25570.0
5225.0,25765.0
5135.0,21030.0
5080.0,515.0
5015.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
18.0,0.0
344.0,0.0
1212.0,0.0
2176.0,0.0
2793.0,0.0
2627.0,0.0
1615.0,0.0
483.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
87.0,0.0
523.0,0.0
1567.0,0.0
2606.0,0.0
3194.0,0.0
2704.0,0.0
1266.0,0.0
39.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
58.0,0.0
583.0,0.0
1553.0,0.0
2505.0,0.0
3061.0,0.0
2676.0,0.0
1447.0,0.0
232.0,0.0
0.0,0.0
0.0,0.0
7.0,0.0
134.0,0.0
768.0,0.0
1840.0,0.0
2856.0,0.0
3167.0,0.0
2432.0,0.0
1088.0,0.0
163.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
133.0,0.0
824.0,0.0
1793.0,0.0
2809.0,0.0
3208.0,0.0
2653.0,0.0
1227.0,0.0
309.0,0.0
0.0,0.0
0.0,0.0
16.0,0.0
146.0,0.0
854.0,55.0
1877.0,1593.0
2857.0,4150.0
3078.0,5372.0
2341.0,5832.0
1122.0,4745.0
1412.0,2079.0
725.0,393.0
288.0,0.0
2.0,0.0
139.0,0.0
368.0,0.0
739.0,0.0
1419.0,0.0
2016.0,0.0
2492.0,0.0
2487.0,901.0
1983.0,2230.0
999.0,2661.0
564.0,2314.0
90.0,880.0
85.0,626.0
328.0,0.0
648.0,0.0
1322.0,0.0
1848.0,0.0
2411.0,202.0
2559.0,2689.0
2338.0,5171.0
1221.0,5985.0
631.0,3833.0
55.0,1368.0
198.0,0.0
450.0,0.0
779.0,0.0
1464.0,0.0
2002.0,0.0
2349.0,0.0
2444.0,440.0
2012.0,1230.0
1088.0,1437.0
723.0,1175.0
272.0,530.0
152.0,466.0
400.0,284.0
757.0,0.0
1502.0,0.0
2072.0,951.0
2485.0,2985.0
2563.0,4598.0
2060.0,6053.0
1049.0,5367.0
1175.0,2227.0
307.0,796.0
225.0,0.0
504.0,0.0
722.0,0.0
1152.0,0.0
1516.0,0.0
2011.0,0.0
2444.0,213.0
2447.0,814.0
1686.0,931.0
1083.0,1572.0
477.0,1462.0
303.0,1409.0
