id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1005.0,1005.0,0.0,3015.0,3015.0,717.0,288.0,717.0,288.0
0.0,0.0,1008.0,1006.0,3015.0,2016.0,2016.0,718.0,288.0,720.0,288.0
0.0,1002.0,40.0,684.0,2016.0,0.0,0.0,492.0,192.0,40.0,0.0
0.0,2978.0,361.0,603.0,0.0,0.0,0.0,437.0,166.0,271.0,90.0
0.0,2617.0,378.0,559.0,0.0,0.0,0.0,402.0,157.0,260.0,118.0
0.0,2239.0,394.0,531.0,0.0,0.0,0.0,383.0,148.0,288.0,106.0
0.0,1845.0,442.0,518.0,0.0,151.0,151.0,374.0,144.0,321.0,121.0
0.0,1403.0,408.0,504.0,151.0,366.0,366.0,366.0,138.0,311.0,97.0
0.0,1146.0,391.0,492.0,366.0,355.0,355.0,356.0,136.0,273.0,118.0
0.0,1121.0,384.0,481.0,355.0,351.0,351.0,346.0,135.0,258.0,126.0
0.0,1092.0,386.0,473.0,351.0,362.0,362.0,340.0,133.0,277.0,109.0
0.0,1057.0,411.0,467.0,362.0,393.0,393.0,335.0,132.0,285.0,126.0
0.0,1008.0,356.0,459.0,393.0,332.0,332.0,327.0,132.0,233.0,123.0
0.0,1045.0,375.0,453.0,332.0,357.0,357.0,323.0,130.0,265.0,110.0
0.0,1002.0,360.0,447.0,357.0,342.0,342.0,318.0,129.0,248.0,112.0
0.0,999.0,362.0,441.0,342.0,344.0,344.0,313.0,128.0,248.0,114.0
0.0,979.0,348.0,436.0,344.0,333.0,333.0,310.0,126.0,248.0,100.0
0.0,975.0,362.0,432.0,333.0,350.0,350.0,306.0,126.0,248.0,114.0
0.0,946.0,363.0,428.0,350.0,351.0,351.0,304.0,124.0,260.0,103.0
0.0,933.0,385.0,426.0,351.0,379.0,379.0,302.0,124.0,269.0,116.0
0.0,899.0,341.0,422.0,379.0,329.0,329.0,299.0,123.0,245.0,96.0
0.0,937.0,394.0,421.0,329.0,391.0,391.0,298.0,123.0,273.0,121.0
0.0,872.0,312.0,416.0,391.0,297.0,297.0,295.0,121.0,231.0,81.0
0.0,951.0,361.0,413.0,297.0,352.0,352.0,293.0,120.0,253.0,108.0
0.0,887.0,353.0,411.0,352.0,347.0,347.0,292.0,119.0,260.0,93.0
0.0,886.0,350.0,409.0,347.0,344.0,344.0,290.0,119.0,244.0,106.0
0.0,883.0,329.0,406.0,344.0,320.0,320.0,288.0,118.0,230.0,99.0
0.0,898.0,321.0,403.0,320.0,312.0,312.0,286.0,117.0,223.0,98.0
0.0,897.0,342.0,401.0,312.0,336.0,336.0,284.0,117.0,238.0,104.0
0.0,867.0,348.0,399.0,336.0,342.0,342.0,283.0,116.0,249.0,99.0
0.0,855.0,322.0,397.0,342.0,316.0,316.0,281.0,116.0,225.0,97.0
0.0,875.0,341.0,395.0,316.0,335.0,335.0,280.0,115.0,238.0,103.0
0.0,850.0,343.0,393.0,335.0,337.0,337.0,278.0,115.0,238.0,105.0
0.0,842.0,353.0,393.0,337.0,353.0,353.0,278.0,115.0,248.0,105.0
0.0,826.0,336.0,390.0,353.0,327.0,327.0,276.0,114.0,234.0,102.0
0.0,843.0,330.0,389.0,327.0,327.0,327.0,275.0,114.0,237.0,93.0
0.0,840.0,295.0,386.0,327.0,286.0,286.0,273.0,113.0,210.0,85.0
0.0,872.0,322.0,385.0,286.0,319.0,319.0,272.0,113.0,220.0,102.0
0.0,836.0,335.0,383.0,319.0,329.0,329.0,271.0,112.0,235.0,100.0
0.0,820.0,344.0,382.0,329.0,341.0,341.0,270.0,112.0,240.0,104.0
0.0,805.0,292.0,380.0,341.0,286.0,286.0,268.0,112.0,187.0,105.0
0.0,854.0,320.0,379.0,286.0,317.0,317.0,268.0,111.0,238.0,82.0
0.0,820.0,339.0,378.0,317.0,336.0,336.0,267.0,111.0,228.0,111.0
0.0,798.0,329.0,377.0,336.0,326.0,326.0,266.0,111.0,223.0,106.0
0.0,805.0,319.0,375.0,326.0,313.0,313.0,264.0,111.0,208.0,111.0
0.0,812.0,303.0,374.0,313.0,300.0,300.0,263.0,111.0,202.0,101.0
0.0,822.0,361.0,374.0,300.0,361.0,361.0,263.0,111.0,242.0,119.0
0.0,761.0,351.0,373.0,361.0,348.0,348.0,262.0,111.0,253.0,98.0
0.0,771.0,369.0,373.0,348.0,369.0,369.0,262.0,111.0,257.0,112.0
0.0,750.0,365.0,373.0,369.0,365.0,365.0,262.0,111.0,255.0,110.0
0.0,754.0,347.0,373.0,365.0,347.0,347.0,262.0,111.0,244.0,103.0
0.0,772.0,340.0,372.0,347.0,337.0,337.0,261.0,111.0,228.0,112.0
0.0,779.0,384.0,359.0,337.0,345.0,345.0,252.0,107.0,260.0,124.0
0.0,732.0,404.0,348.0,345.0,371.0,371.0,244.0,104.0,280.0,124.0
0.0,673.0,365.0,354.0,371.0,383.0,383.0,248.0,106.0,253.0,112.0
0.0,679.0,405.0,355.0,383.0,408.0,408.0,248.0,107.0,288.0,117.0
0.0,657.0,431.0,356.0,408.0,434.0,434.0,249.0,107.0,300.0,131.0
0.0,634.0,439.0,357.0,434.0,442.0,442.0,249.0,108.0,310.0,129.0
0.0,629.0,384.0,356.0,442.0,381.0,381.0,249.0,107.0,279.0,105.0
0.0,687.0,414.0,356.0,381.0,414.0,414.0,248.0,108.0,298.0,116.0
0.0,654.0,414.0,357.0,414.0,417.0,417.0,249.0,108.0,305.0,109.0
0.0,654.0,409.0,357.0,417.0,409.0,409.0,250.0,107.0,287.0,122.0
0.0,662.0,478.0,359.0,409.0,484.0,484.0,251.0,108.0,342.0,136.0
0.0,593.0,423.0,359.0,484.0,423.0,423.0,251.0,108.0,300.0,123.0
0.0,654.0,431.0,361.0,423.0,437.0,437.0,253.0,108.0,311.0,120.0
0.0,646.0,418.0,361.0,437.0,418.0,418.0,253.0,108.0,294.0,124.0
0.0,665.0,448.0,363.0,418.0,454.0,454.0,255.0,108.0,326.0,122.0
0.0,635.0,434.0,364.0,454.0,437.0,437.0,256.0,108.0,317.0,117.0
0.0,655.0,420.0,366.0,437.0,426.0,426.0,257.0,109.0,302.0,118.0
0.0,672.0,360.0,366.0,426.0,360.0,360.0,257.0,109.0,245.0,115.0
0.0,738.0,413.0,366.0,360.0,413.0,413.0,257.0,109.0,283.0,130.0
0.0,685.0,391.0,367.0,413.0,394.0,394.0,258.0,109.0,286.0,105.0
0.0,707.0,416.0,369.0,394.0,422.0,422.0,259.0,110.0,294.0,122.0
0.0,685.0,380.0,368.0,422.0,377.0,377.0,258.0,110.0,251.0,129.0
0.0,727.0,423.0,370.0,377.0,429.0,429.0,260.0,110.0,309.0,114.0
0.0,681.0,350.0,370.0,429.0,350.0,350.0,260.0,110.0,244.0,106.0
0.0,760.0,377.0,371.0,350.0,380.0,380.0,260.0,111.0,257.0,120.0
0.0,733.0,390.0,371.0,380.0,390.0,390.0,260.0,111.0,288.0,102.0
0.0,723.0,399.0,372.0,390.0,402.0,402.0,261.0,111.0,275.0,124.0
0.0,714.0,413.0,374.0,402.0,419.0,419.0,263.0,111.0,313.0,100.0
0.0,703.0,388.0,375.0,419.0,391.0,391.0,264.0,111.0,275.0,113.0
0.0,734.0,372.0,376.0,391.0,375.0,375.0,264.0,112.0,261.0,111.0
0.0,753.0,368.0,377.0,375.0,371.0,371.0,265.0,112.0,263.0,105.0
0.0,760.0,351.0,377.0,371.0,351.0,351.0,265.0,112.0,247.0,104.0
0.0,780.0,346.0,377.0,351.0,346.0,346.0,265.0,112.0,246.0,100.0
0.0,785.0,383.0,378.0,346.0,386.0,386.0,266.0,112.0,280.0,103.0
0.0,748.0,361.0,377.0,386.0,358.0,358.0,266.0,111.0,273.0,88.0
0.0,773.0,379.0,379.0,358.0,385.0,385.0,267.0,112.0,280.0,99.0
0.0,752.0,355.0,380.0,385.0,358.0,358.0,268.0,112.0,242.0,113.0
0.0,782.0,385.0,381.0,358.0,388.0,388.0,269.0,112.0,280.0,105.0
0.0,755.0,352.0,381.0,388.0,352.0,352.0,269.0,112.0,239.0,113.0
0.0,791.0,386.0,382.0,352.0,389.0,389.0,269.0,113.0,265.0,121.0
0.0,757.0,340.0,383.0,389.0,343.0,343.0,270.0,113.0,230.0,110.0
0.0,806.0,336.0,383.0,343.0,336.0,336.0,270.0,113.0,222.0,114.0
0.0,813.0,349.0,384.0,336.0,352.0,352.0,270.0,114.0,233.0,116.0
0.0,800.0,376.0,385.0,352.0,379.0,379.0,271.0,114.0,255.0,121.0
0.0,776.0,359.0,385.0,379.0,359.0,359.0,271.0,114.0,239.0,120.0
0.0,796.0,329.0,386.0,359.0,332.0,332.0,272.0,114.0,222.0,107.0
0.0,826.0,321.0,385.0,332.0,318.0,318.0,271.0,114.0,212.0,109.0
0.0,837.0,338.0,384.0,318.0,335.0,335.0,270.0,114.0,214.0,124.0
0.0,817.0,377.0,385.0,335.0,380.0,380.0,270.0,115.0,259.0,118.0
0.0,775.0,405.0,386.0,380.0,408.0,408.0,271.0,115.0,279.0,126.0
0.0,750.0,388.0,386.0,408.0,388.0,388.0,271.0,115.0,265.0,123.0
0.0,770.0,382.0,388.0,388.0,388.0,388.0,272.0,116.0,254.0,128.0
0.0,776.0,426.0,389.0,388.0,429.0,429.0,273.0,116.0,299.0,127.0
0.0,738.0,402.0,388.0,429.0,399.0,399.0,272.0,116.0,269.0,133.0
0.0,765.0,429.0,389.0,399.0,432.0,432.0,273.0,116.0,291.0,138.0
0.0,735.0,458.0,391.0,432.0,464.0,464.0,274.0,117.0,317.0,141.0
0.0,709.0,405.0,390.0,464.0,402.0,402.0,273.0,117.0,273.0,132.0
0.0,768.0,457.0,390.0,402.0,457.0,457.0,273.0,117.0,326.0,131.0
0.0,713.0,468.0,392.0,457.0,474.0,474.0,274.0,118.0,321.0,147.0
0.0,702.0,463.0,393.0,474.0,466.0,466.0,275.0,118.0,331.0,132.0
0.0,713.0,478.0,394.0,466.0,481.0,481.0,275.0,119.0,332.0,146.0
0.0,701.0,480.0,395.0,481.0,483.0,483.0,276.0,119.0,337.0,143.0
0.0,702.0,486.0,395.0,483.0,486.0,486.0,276.0,119.0,341.0,145.0
0.0,699.0,458.0,397.0,486.0,464.0,464.0,277.0,120.0,316.0,142.0
0.0,727.0,509.0,397.0,464.0,509.0,509.0,277.0,120.0,354.0,155.0
0.0,682.0,472.0,398.0,509.0,475.0,475.0,278.0,120.0,339.0,133.0
0.0,719.0,469.0,399.0,475.0,472.0,472.0,278.0,121.0,332.0,137.0
0.0,725.0,493.0,400.0,472.0,496.0,496.0,279.0,121.0,341.0,152.0
0.0,704.0,453.0,401.0,496.0,456.0,456.0,279.0,122.0,325.0,128.0
0.0,747.0,455.0,403.0,456.0,461.0,461.0,281.0,122.0,328.0,127.0
0.0,748.0,432.0,403.0,461.0,432.0,432.0,281.0,122.0,305.0,127.0
0.0,777.0,406.0,403.0,432.0,406.0,406.0,281.0,122.0,272.0,134.0
0.0,803.0,423.0,403.0,406.0,423.0,423.0,281.0,122.0,298.0,125.0
0.0,786.0,397.0,404.0,423.0,400.0,400.0,282.0,122.0,280.0,117.0
0.0,812.0,401.0,403.0,400.0,398.0,398.0,281.0,122.0,267.0,134.0
0.0,811.0,414.0,405.0,398.0,420.0,420.0,282.0,123.0,303.0,111.0
0.0,795.0,408.0,406.0,420.0,411.0,411.0,283.0,123.0,283.0,125.0
