agg_orders_level_0,agg_orders_level_1
4024.0,16096.0
4024.0,16096.0
4036.0,12100.0
3980.0,88.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
47.0,0.0
454.0,0.0
1101.0,0.0
1863.0,0.0
1966.0,0.0
1167.0,0.0
281.0,0.0
178.0,0.0
885.0,0.0
1797.0,0.0
2002.0,0.0
1262.0,0.0
335.0,0.0
107.0,0.0
672.0,0.0
1622.0,0.0
1976.0,0.0
1399.0,0.0
382.0,0.0
106.0,0.0
702.0,0.0
1626.0,0.0
2016.0,801.0
1542.0,2064.0
597.0,1784.0
86.0,247.0
483.0,0.0
1491.0,19.0
2207.0,1904.0
1875.0,3824.0
577.0,2437.0
0.0,0.0
176.0,0.0
1251.0,0.0
2222.0,367.0
1957.0,1746.0
751.0,2094.0
37.0,561.0
145.0,0.0
1316.0,0.0
2239.0,1362.0
2057.0,3487.0
882.0,2763.0
64.0,0.0
185.0,0.0
1211.0,0.0
2240.0,166.0
2224.0,1969.0
1156.0,3051.0
128.0,1218.0
132.0,0.0
859.0,0.0
1822.0,237.0
1975.0,2061.0
1475.0,3331.0
632.0,1806.0
329.0,0.0
780.0,0.0
1702.0,0.0
2083.0,1667.0
1776.0,3507.0
811.0,2579.0
228.0,0.0
521.0,0.0
1558.0,0.0
2150.0,1051.0
1684.0,2766.0
633.0,2272.0
234.0,369.0
779.0,0.0
1605.0,53.0
1960.0,1499.0
1328.0,2822.0
584.0,1823.0
480.0,177.0
1108.0,0.0
1763.0,467.0
1879.0,2315.0
1133.0,3029.0
563.0,1362.0
563.0,0.0
1126.0,0.0
1887.0,488.0
2005.0,2463.0
1284.0,3343.0
547.0,1586.0
366.0,0.0
1058.0,0.0
1955.0,237.0
2011.0,1872.0
1263.0,2982.0
426.0,1468.0
337.0,0.0
1143.0,0.0
1882.0,548.0
1925.0,2301.0
1368.0,3217.0
762.0,1670.0
707.0,322.0
1315.0,0.0
1726.0,665.0
1491.0,1761.0
939.0,1970.0
826.0,1208.0
1080.0,941.0
1465.0,315.0
1537.0,1470.0
1448.0,2381.0
1306.0,2015.0
1071.0,1057.0
1092.0,1038.0
1296.0,351.0
1494.0,981.0
1493.0,1941.0
1224.0,1878.0
938.0,1320.0
808.0,1006.0
999.0,358.0
1577.0,549.0
1717.0,1719.0
1480.0,2405.0
1111.0,1849.0
924.0,1132.0
1243.0,313.0
1587.0,767.0
1475.0,1993.0
1239.0,1900.0
948.0,1030.0
955.0,1218.0
1177.0,755.0
1594.0,612.0
1650.0,2022.0
1371.0,2231.0
1266.0,1358.0
1090.0,1208.0
1102.0,769.0
1216.0,274.0
1413.0,1325.0
1627.0,2116.0
1468.0,2165.0
1132.0,1232.0
995.0,808.0
1118.0,261.0
1349.0,1086.0
1480.0,1812.0
1424.0,2027.0
1336.0,1507.0
1255.0,923.0
1144.0,441.0
990.0,1256.0
1206.0,1600.0
1588.0,1548.0
1771.0,1723.0
1586.0,1765.0
1245.0,1307.0
874.0,1227.0
828.0,899.0
1197.0,536.0
1670.0,836.0
1968.0,2126.0
1830.0,3164.0
1189.0,2231.0
662.0,285.0
715.0,0.0
1592.0,261.0
2311.0,1827.0
2123.0,3757.0
1229.0,3187.0
474.0,589.0
692.0,0.0
1491.0,0.0
2247.0,624.0
2216.0,2814.0
1411.0,3621.0
563.0,1342.0
360.0,0.0
1137.0,0.0
2157.0,441.0
2216.0,2273.0
1553.0,3429.0
649.0,1785.0
430.0,0.0
1203.0,0.0
2120.0,411.0
2249.0,2589.0
1570.0,3772.0
795.0,1954.0
667.0,33.0
1468.0,0.0
2155.0,533.0
2114.0,2675.0
1290.0,3432.0
521.0,1222.0
571.0,0.0
1377.0,0.0
2408.0,996.0
2466.0,3530.0
1539.0,4089.0
504.0,995.0
289.0,0.0
1166.0,0.0
2459.0,1.0
2798.0,2787.0
1816.0,4618.0
420.0,2155.0
127.0,0.0
1061.0,0.0
2399.0,0.0
2916.0,2033.0
2040.0,4133.0
555.0,2571.0
65.0,0.0
700.0,0.0
1962.0,0.0
2636.0,1210.0
2212.0,3538.0
1040.0,3324.0
410.0,352.0
774.0,0.0
1850.0,0.0
2465.0,1565.0
1935.0,3588.0
1011.0,3002.0
573.0,308.0
991.0,0.0
1822.0,0.0
2345.0,1779.0
1900.0,3799.0
789.0,2781.0
480.0,117.0
1246.0,0.0
2219.0,25.0
2469.0,2486.0
1501.0,4046.0
616.0,2128.0
540.0,0.0
1558.0,0.0
2616.0,572.0
2625.0,3341.0
1379.0,4200.0
259.0,1030.0
197.0,0.0
1333.0,0.0
2773.0,220.0
2985.0,3180.0
1717.0,4761.0
285.0,1786.0
216.0,0.0
1286.0,0.0
2763.0,246.0
3012.0,2540.0
1765.0,4175.0
306.0,1873.0
206.0,0.0
1162.0,0.0
2488.0,440.0
2954.0,2583.0
2004.0,4291.0
572.0,2244.0
178.0,0.0
1099.0,0.0
2367.0,296.0
2530.0,1751.0
1577.0,3148.0
696.0,2093.0
731.0,305.0
1688.0,0.0
2486.0,1348.0
2229.0,3621.0
1064.0,3385.0
524.0,983.0
1064.0,0.0
2160.0,0.0
2592.0,1688.0
2032.0,3800.0
948.0,3084.0
408.0,363.0
1043.0,0.0
2198.0,0.0
2828.0,2274.0
2138.0,4512.0
762.0,3024.0
190.0,0.0
700.0,0.0
2120.0,0.0
2985.0,1371.0
2591.0,4118.0
1285.0,4088.0
300.0,301.0
623.0,0.0
1845.0,0.0
2880.0,1033.0
2664.0,3881.0
1440.0,4384.0
578.0,1218.0
699.0,0.0
1723.0,0.0
2661.0,491.0
2648.0,3154.0
1646.0,4413.0
700.0,1915.0
505.0,0.0
1356.0,0.0
2402.0,293.0
2819.0,2613.0
2335.0,4823.0
1251.0,3461.0
668.0,292.0
1028.0,0.0
1961.0,0.0
2535.0,1183.0
2225.0,3322.0
1413.0,3576.0
895.0,1170.0
1217.0,68.0
2081.0,281.0
2605.0,2206.0
2197.0,4238.0
1210.0,3206.0
604.0,649.0
1122.0,0.0
2149.0,0.0
2837.0,1857.0
2240.0,4185.0
996.0,3240.0
370.0,189.0
1000.0,0.0
2389.0,29.0
3144.0,2589.0
2422.0,5094.0
913.0,3314.0
158.0,0.0
793.0,0.0
2294.0,0.0
3179.0,1378.0
2711.0,4241.0
1324.0,4123.0
318.0,686.0
696.0,0.0
2090.0,0.0
2930.0,1268.0
2585.0,3756.0
1452.0,3904.0
526.0,1032.0
783.0,0.0
1901.0,0.0
2762.0,1391.0
2749.0,3977.0
1941.0,4543.0
1060.0,1792.0
775.0,0.0
1356.0,0.0
2248.0,595.0
2573.0,2231.0
2008.0,3692.0
1220.0,2620.0
924.0,414.0
1420.0,139.0
2235.0,1059.0
2508.0,2815.0
2066.0,3898.0
1262.0,2721.0
935.0,428.0
1487.0,0.0
2260.0,822.0
2483.0,2419.0
1854.0,3499.0
1346.0,2583.0
1244.0,665.0
1803.0,257.0
2188.0,1435.0
2174.0,2835.0
1643.0,3087.0
1233.0,2092.0
1368.0,559.0
1916.0,376.0
2356.0,1718.0
2282.0,3329.0
1775.0,3446.0
1299.0,2187.0
1390.0,413.0
1721.0,150.0
2154.0,1055.0
2312.0,2793.0
2204.0,4050.0
1599.0,3025.0
1219.0,565.0
1483.0,120.0
1987.0,926.0
2314.0,2073.0
1940.0,3117.0
1547.0,2694.0
1449.0,1265.0
1762.0,336.0
1866.0,1139.0
2000.0,2176.0
2023.0,3160.0
1800.0,2911.0
1659.0,1283.0
1602.0,671.0
1747.0,1353.0
1886.0,1653.0
1790.0,2034.0
1671.0,2635.0
1677.0,1809.0
1895.0,1063.0
2060.0,1595.0
2119.0,2262.0
1911.0,2654.0
1635.0,2847.0
1519.0,1311.0
1775.0,400.0
2167.0,1316.0
2340.0,2608.0
2087.0,3471.0
1568.0,2953.0
1361.0,1001.0
1683.0,48.0
2227.0,988.0
2284.0,2489.0
2070.0,3639.0
1661.0,2910.0
1384.0,1271.0
1475.0,0.0
1877.0,705.0
2311.0,2010.0
2409.0,3798.0
2024.0,3824.0
1478.0,1881.0
1250.0,0.0
1604.0,548.0
2288.0,1285.0
2694.0,3099.0
2288.0,4138.0
1258.0,2371.0
836.0,0.0
1366.0,232.0
2527.0,969.0
3113.0,3370.0
2335.0,4804.0
1244.0,2622.0
913.0,0.0
1685.0,230.0
2595.0,1003.0
2798.0,3009.0
2074.0,4108.0
1431.0,2494.0
1206.0,182.0
1741.0,634.0
2457.0,1475.0
2746.0,3282.0
2054.0,3897.0
1249.0,2207.0
1045.0,0.0
1632.0,719.0
2582.0,1517.0
2985.0,3341.0
2466.0,4330.0
1403.0,2811.0
825.0,0.0
1474.0,487.0
2476.0,1221.0
3010.0,2545.0
2525.0,3905.0
1365.0,2717.0
820.0,0.0
1312.0,546.0
2541.0,1282.0
3083.0,3281.0
2525.0,4592.0
1183.0,2671.0
755.0,0.0
1337.0,502.0
2541.0,1313.0
3137.0,2447.0
2662.0,3884.0
1514.0,3178.0
884.0,188.0
1273.0,424.0
2297.0,1191.0
3147.0,2810.0
2890.0,4633.0
1765.0,3596.0
774.0,0.0
996.0,460.0
1946.0,1074.0
2968.0,1451.0
2940.0,3481.0
2173.0,4259.0
1208.0,1886.0
1095.0,779.0
1953.0,1046.0
2905.0,882.0
2848.0,2809.0
2022.0,3977.0
1309.0,2377.0
1393.0,1329.0
1976.0,1272.0
2633.0,672.0
2702.0,2535.0
2201.0,3806.0
1504.0,2680.0
1329.0,1654.0
1861.0,1466.0
2656.0,732.0
2855.0,2399.0
2173.0,3578.0
1266.0,2147.0
1241.0,1332.0
1959.0,1450.0
