agg_orders_level_0,agg_orders_level_1
3760.0,15040.0
3896.0,15312.0
4276.0,12800.0
4172.0,1856.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
83.0,0.0
532.0,0.0
1276.0,0.0
1588.0,0.0
1474.0,0.0
804.0,0.0
377.0,0.0
329.0,0.0
958.0,0.0
1542.0,0.0
1677.0,0.0
1080.0,0.0
327.0,0.0
161.0,0.0
875.0,0.0
1798.0,0.0
2023.0,0.0
1134.0,0.0
225.0,0.0
362.0,0.0
1399.0,0.0
2363.0,135.0
2133.0,1219.0
890.0,1403.0
223.0,364.0
299.0,241.0
1214.0,330.0
1926.0,1690.0
1811.0,3235.0
902.0,2415.0
215.0,0.0
523.0,0.0
1474.0,0.0
1903.0,810.0
1553.0,2389.0
683.0,2210.0
203.0,460.0
343.0,0.0
1018.0,0.0
1671.0,288.0
1740.0,2042.0
1074.0,2824.0
436.0,1158.0
498.0,66.0
1260.0,0.0
1902.0,486.0
1891.0,1849.0
1307.0,2770.0
827.0,1870.0
717.0,650.0
1107.0,0.0
1671.0,736.0
1839.0,2256.0
1272.0,2848.0
431.0,1410.0
330.0,101.0
993.0,0.0
1727.0,78.0
1864.0,1570.0
1225.0,2785.0
367.0,1538.0
309.0,191.0
902.0,0.0
1595.0,282.0
1721.0,1543.0
1370.0,2723.0
607.0,1812.0
266.0,125.0
584.0,0.0
1465.0,62.0
1955.0,1382.0
1786.0,3141.0
1276.0,3023.0
718.0,990.0
850.0,0.0
1496.0,178.0
1895.0,939.0
1620.0,2318.0
1008.0,2375.0
555.0,1209.0
946.0,188.0
1522.0,133.0
1992.0,1312.0
1756.0,3031.0
853.0,2524.0
272.0,582.0
484.0,0.0
1241.0,0.0
1812.0,331.0
1402.0,1638.0
586.0,1861.0
275.0,726.0
802.0,0.0
1610.0,516.0
2009.0,2312.0
1371.0,3231.0
536.0,1424.0
552.0,275.0
1301.0,0.0
2064.0,367.0
2278.0,2684.0
1676.0,4077.0
707.0,2068.0
332.0,0.0
906.0,0.0
2074.0,62.0
2515.0,1794.0
1828.0,3676.0
675.0,2533.0
218.0,342.0
614.0,0.0
1603.0,0.0
2019.0,724.0
