agg_orders_level_0,agg_orders_level_1
4860.0,24300.0
4980.0,24600.0
5075.0,24855.0
4960.0,20415.0
5140.0,1130.0
5135.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
104.0,0.0
366.0,0.0
749.0,0.0
1557.0,0.0
2180.0,0.0
2548.0,0.0
2200.0,0.0
1496.0,0.0
501.0,0.0
0.0,0.0
0.0,0.0
72.0,0.0
276.0,0.0
562.0,0.0
1293.0,0.0
2033.0,0.0
2454.0,0.0
2421.0,0.0
1586.0,0.0
550.0,0.0
0.0,0.0
41.0,0.0
156.0,0.0
433.0,0.0
757.0,0.0
1432.0,0.0
2278.0,0.0
2751.0,0.0
2631.0,0.0
1778.0,0.0
449.0,0.0
24.0,0.0
159.0,0.0
314.0,0.0
629.0,0.0
881.0,0.0
1412.0,0.0
2102.0,0.0
2476.0,0.0
2418.0,0.0
1833.0,0.0
458.0,0.0
0.0,0.0
108.0,0.0
213.0,0.0
485.0,0.0
710.0,0.0
1416.0,0.0
1900.0,0.0
2507.0,0.0
2434.0,330.0
1871.0,1440.0
799.0,1493.0
423.0,1591.0
120.0,485.0
300.0,382.0
608.0,0.0
825.0,0.0
1303.0,0.0
1638.0,795.0
2282.0,2836.0
2361.0,4567.0
2053.0,5869.0
1145.0,4715.0
802.0,2544.0
336.0,29.0
291.0,0.0
528.0,0.0
719.0,0.0
1080.0,0.0
1532.0,0.0
2060.0,0.0
2299.0,0.0
2187.0,667.0
1617.0,1487.0
860.0,2156.0
432.0,1891.0
309.0,678.0
385.0,125.0
504.0,0.0
677.0,0.0
1034.0,0.0
1476.0,418.0
1969.0,1586.0
2172.0,3722.0
2160.0,5504.0
1726.0,5143.0
1095.0,3610.0
635.0,1366.0
558.0,0.0
674.0,0.0
1023.0,0.0
1354.0,0.0
1677.0,0.0
1812.0,63.0
1949.0,744.0
1702.0,724.0
1681.0,1303.0
1108.0,1283.0
475.0,1153.0
526.0,617.0
668.0,331.0
780.0,199.0
1037.0,67.0
1230.0,558.0
1437.0,1489.0
1773.0,3016.0
2000.0,4772.0
1814.0,5041.0
1489.0,4315.0
764.0,2447.0
670.0,0.0
823.0,0.0
964.0,0.0
1262.0,0.0
1606.0,0.0
1827.0,0.0
2120.0,548.0
1877.0,848.0
1638.0,1353.0
1014.0,1324.0
627.0,1058.0
505.0,573.0
575.0,426.0
702.0,227.0
1156.0,387.0
1602.0,1010.0
2132.0,2399.0
2509.0,4276.0
2488.0,6140.0
1450.0,5018.0
905.0,3109.0
364.0,580.0
459.0,0.0
493.0,0.0
728.0,0.0
1135.0,0.0
1349.0,0.0
1692.0,0.0
2152.0,0.0
2483.0,311.0
2187.0,1041.0
1579.0,2038.0
933.0,2655.0
455.0,1984.0
502.0,953.0
735.0,281.0
1011.0,0.0
1074.0,0.0
1564.0,0.0
1963.0,622.0
2345.0,3152.0
2045.0,4956.0
1564.0,5920.0
811.0,4028.0
463.0,681.0
499.0,0.0
890.0,0.0
1213.0,0.0
1342.0,0.0
1659.0,0.0
1938.0,613.0
