id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1320.0,1320.0,0.0,5280.0,5280.0,928.0,392.0,928.0,392.0
0.0,0.0,1348.0,1334.0,0.0,5336.0,5336.0,940.0,394.0,952.0,396.0
0.0,0.0,1348.0,1338.0,5280.0,4088.0,4088.0,945.0,393.0,956.0,392.0
0.0,1264.0,1348.0,1341.0,5336.0,112.0,112.0,947.0,394.0,952.0,396.0
0.0,5252.0,0.0,1073.0,4088.0,0.0,0.0,758.0,315.0,0.0,0.0
0.0,9340.0,0.0,894.0,112.0,0.0,0.0,631.0,263.0,0.0,0.0
0.0,9452.0,0.0,766.0,0.0,0.0,0.0,541.0,225.0,0.0,0.0
0.0,9452.0,0.0,671.0,0.0,0.0,0.0,474.0,197.0,0.0,0.0
0.0,9452.0,0.0,596.0,0.0,0.0,0.0,421.0,175.0,0.0,0.0
0.0,9452.0,0.0,537.0,0.0,0.0,0.0,379.0,158.0,0.0,0.0
0.0,9452.0,0.0,487.0,0.0,0.0,0.0,344.0,143.0,0.0,0.0
0.0,9452.0,60.0,452.0,0.0,0.0,0.0,317.0,135.0,16.0,44.0
0.0,9392.0,373.0,446.0,0.0,0.0,0.0,310.0,136.0,228.0,145.0
0.0,9019.0,645.0,461.0,0.0,0.0,0.0,320.0,141.0,441.0,204.0
0.0,8374.0,615.0,470.0,0.0,0.0,0.0,328.0,142.0,447.0,168.0
0.0,7759.0,323.0,461.0,0.0,0.0,0.0,323.0,138.0,253.0,70.0
0.0,7436.0,61.0,438.0,0.0,0.0,0.0,308.0,130.0,55.0,6.0
0.0,7375.0,79.0,418.0,0.0,0.0,0.0,293.0,125.0,40.0,39.0
0.0,7296.0,365.0,415.0,0.0,0.0,0.0,289.0,126.0,231.0,134.0
0.0,6931.0,634.0,426.0,0.0,0.0,0.0,297.0,129.0,437.0,197.0
0.0,6297.0,589.0,434.0,0.0,0.0,0.0,303.0,131.0,428.0,161.0
0.0,5708.0,317.0,428.0,0.0,0.0,0.0,300.0,128.0,244.0,73.0
0.0,5391.0,81.0,413.0,0.0,0.0,0.0,290.0,123.0,66.0,15.0
0.0,5310.0,127.0,401.0,0.0,0.0,0.0,281.0,120.0,77.0,50.0
0.0,5183.0,399.0,401.0,0.0,0.0,0.0,280.0,121.0,261.0,138.0
0.0,4784.0,627.0,410.0,0.0,0.0,0.0,286.0,124.0,436.0,191.0
0.0,4157.0,558.0,416.0,0.0,0.0,0.0,291.0,125.0,406.0,152.0
0.0,3599.0,261.0,410.0,0.0,0.0,0.0,288.0,122.0,199.0,62.0
0.0,3338.0,53.0,398.0,0.0,0.0,0.0,279.0,119.0,36.0,17.0
0.0,3285.0,171.0,390.0,0.0,0.0,0.0,273.0,117.0,101.0,70.0
0.0,3114.0,482.0,393.0,0.0,0.0,0.0,274.0,119.0,317.0,165.0
0.0,2632.0,667.0,401.0,0.0,0.0,0.0,280.0,121.0,463.0,204.0
0.0,1965.0,542.0,406.0,0.0,201.0,201.0,284.0,122.0,398.0,144.0
0.0,1423.0,220.0,401.0,0.0,401.0,401.0,281.0,120.0,178.0,42.0
0.0,1203.0,21.0,389.0,201.0,173.0,173.0,273.0,116.0,19.0,2.0
0.0,1383.0,157.0,383.0,401.0,0.0,0.0,268.0,115.0,91.0,66.0
0.0,1627.0,512.0,387.0,173.0,260.0,260.0,270.0,117.0,333.0,179.0
0.0,1288.0,734.0,396.0,0.0,1030.0,1030.0,276.0,120.0,506.0,228.0
0.0,554.0,583.0,401.0,260.0,1373.0,1373.0,280.0,121.0,425.0,158.0
0.0,231.0,216.0,396.0,1030.0,539.0,539.0,278.0,118.0,180.0,36.0
0.0,1045.0,0.0,387.0,1373.0,0.0,0.0,271.0,116.0,0.0,0.0
0.0,2418.0,105.0,380.0,539.0,0.0,0.0,266.0,114.0,61.0,44.0
0.0,2852.0,474.0,382.0,0.0,0.0,0.0,267.0,115.0,320.0,154.0
0.0,2378.0,753.0,390.0,0.0,0.0,0.0,273.0,117.0,530.0,223.0
0.0,1625.0,653.0,396.0,0.0,612.0,612.0,277.0,119.0,469.0,184.0
0.0,972.0,267.0,393.0,0.0,867.0,867.0,275.0,118.0,191.0,76.0
0.0,705.0,3.0,385.0,612.0,226.0,226.0,270.0,115.0,0.0,3.0
0.0,1314.0,84.0,379.0,867.0,0.0,0.0,265.0,114.0,54.0,30.0
0.0,2097.0,441.0,380.0,226.0,0.0,0.0,266.0,114.0,308.0,133.0
0.0,1882.0,721.0,387.0,0.0,387.0,387.0,271.0,116.0,512.0,209.0
0.0,1161.0,662.0,392.0,0.0,1069.0,1069.0,275.0,117.0,476.0,186.0
0.0,499.0,313.0,391.0,387.0,991.0,991.0,274.0,117.0,222.0,91.0
0.0,573.0,28.0,366.0,1069.0,0.0,0.0,256.0,110.0,6.0,22.0
0.0,1614.0,95.0,342.0,991.0,0.0,0.0,239.0,103.0,48.0,47.0
0.0,2510.0,414.0,324.0,0.0,0.0,0.0,226.0,98.0,285.0,129.0
0.0,2096.0,675.0,311.0,0.0,0.0,0.0,217.0,94.0,487.0,188.0
0.0,1421.0,640.0,323.0,0.0,511.0,511.0,226.0,97.0,469.0,171.0
0.0,781.0,353.0,330.0,0.0,892.0,892.0,231.0,99.0,255.0,98.0
0.0,428.0,93.0,332.0,511.0,482.0,482.0,232.0,100.0,51.0,42.0
0.0,846.0,114.0,334.0,892.0,0.0,0.0,233.0,101.0,56.0,58.0
0.0,1624.0,385.0,341.0,482.0,0.0,0.0,238.0,103.0,262.0,123.0
0.0,1721.0,640.0,354.0,0.0,335.0,335.0,247.0,107.0,464.0,176.0
0.0,1081.0,626.0,366.0,0.0,1009.0,1009.0,256.0,110.0,461.0,165.0
0.0,455.0,366.0,372.0,335.0,1064.0,1064.0,261.0,111.0,265.0,101.0
0.0,424.0,140.0,367.0,1009.0,175.0,175.0,258.0,109.0,86.0,54.0
0.0,1293.0,164.0,358.0,1064.0,0.0,0.0,251.0,107.0,94.0,70.0
0.0,2193.0,413.0,354.0,175.0,0.0,0.0,248.0,106.0,281.0,132.0
0.0,1955.0,637.0,360.0,0.0,122.0,122.0,252.0,108.0,462.0,175.0
0.0,1318.0,594.0,370.0,0.0,756.0,756.0,259.0,111.0,441.0,153.0
0.0,724.0,310.0,375.0,122.0,964.0,964.0,263.0,112.0,222.0,88.0
0.0,536.0,99.0,369.0,756.0,283.0,283.0,259.0,110.0,45.0,54.0
0.0,1193.0,189.0,361.0,964.0,0.0,0.0,253.0,108.0,110.0,79.0
0.0,1968.0,490.0,359.0,283.0,0.0,0.0,251.0,108.0,347.0,143.0
0.0,1761.0,698.0,367.0,0.0,405.0,405.0,257.0,110.0,509.0,189.0
0.0,1063.0,597.0,377.0,0.0,1042.0,1042.0,264.0,113.0,437.0,160.0
0.0,466.0,266.0,379.0,405.0,911.0,911.0,266.0,113.0,183.0,83.0
0.0,605.0,38.0,372.0,1042.0,0.0,0.0,261.0,111.0,0.0,38.0
0.0,1609.0,164.0,363.0,911.0,0.0,0.0,254.0,109.0,95.0,69.0
0.0,2356.0,535.0,363.0,0.0,0.0,0.0,254.0,109.0,380.0,155.0
0.0,1821.0,776.0,373.0,0.0,447.0,447.0,261.0,112.0,575.0,201.0
0.0,1045.0,631.0,383.0,0.0,1118.0,1118.0,269.0,114.0,467.0,164.0
0.0,414.0,240.0,385.0,447.0,919.0,919.0,270.0,115.0,161.0,79.0
0.0,621.0,29.0,376.0,1118.0,0.0,0.0,264.0,112.0,0.0,29.0
0.0,1710.0,120.0,365.0,919.0,0.0,0.0,256.0,109.0,55.0,65.0
0.0,2509.0,480.0,365.0,0.0,0.0,0.0,255.0,110.0,323.0,157.0
0.0,2029.0,768.0,375.0,0.0,239.0,239.0,262.0,113.0,558.0,210.0
0.0,1261.0,688.0,388.0,0.0,979.0,979.0,272.0,116.0,521.0,167.0
0.0,573.0,321.0,391.0,239.0,1073.0,1073.0,275.0,116.0,248.0,73.0
0.0,491.0,21.0,382.0,979.0,79.0,79.0,269.0,113.0,0.0,21.0
0.0,1449.0,89.0,369.0,1073.0,0.0,0.0,259.0,110.0,25.0,64.0
0.0,2433.0,448.0,367.0,79.0,0.0,0.0,257.0,110.0,284.0,164.0
0.0,2064.0,768.0,378.0,0.0,216.0,216.0,264.0,114.0,545.0,223.0
0.0,1296.0,728.0,391.0,0.0,996.0,996.0,274.0,117.0,546.0,182.0
0.0,568.0,371.0,396.0,216.0,1171.0,1171.0,278.0,118.0,286.0,85.0
0.0,413.0,41.0,388.0,996.0,184.0,184.0,273.0,115.0,18.0,23.0
0.0,1368.0,72.0,375.0,1171.0,0.0,0.0,263.0,112.0,17.0,55.0
0.0,2467.0,419.0,371.0,184.0,0.0,0.0,259.0,112.0,271.0,148.0
0.0,2232.0,730.0,379.0,0.0,14.0,14.0,265.0,114.0,521.0,209.0
0.0,1502.0,710.0,393.0,0.0,780.0,780.0,275.0,118.0,528.0,182.0
0.0,792.0,396.0,399.0,14.0,1186.0,1186.0,280.0,119.0,293.0,103.0
0.0,410.0,99.0,392.0,780.0,477.0,477.0,275.0,117.0,56.0,43.0
0.0,1091.0,111.0,380.0,1186.0,0.0,0.0,266.0,114.0,49.0,62.0
0.0,2166.0,411.0,375.0,477.0,0.0,0.0,262.0,113.0,277.0,134.0
0.0,2232.0,686.0,383.0,0.0,0.0,0.0,268.0,115.0,498.0,188.0
0.0,1546.0,673.0,395.0,0.0,707.0,707.0,277.0,118.0,497.0,176.0
0.0,873.0,386.0,401.0,0.0,1117.0,1117.0,282.0,119.0,275.0,111.0
0.0,487.0,137.0,396.0,707.0,527.0,527.0,278.0,118.0,74.0,63.0
0.0,1057.0,182.0,386.0,1117.0,0.0,0.0,270.0,116.0,97.0,85.0
0.0,1992.0,442.0,383.0,527.0,0.0,0.0,267.0,116.0,297.0,145.0
0.0,2077.0,668.0,388.0,0.0,143.0,143.0,271.0,117.0,490.0,178.0
0.0,1409.0,619.0,398.0,0.0,802.0,802.0,279.0,119.0,468.0,151.0
0.0,790.0,338.0,403.0,143.0,1017.0,1017.0,283.0,120.0,249.0,89.0
0.0,595.0,134.0,398.0,802.0,329.0,329.0,279.0,119.0,71.0,63.0
0.0,1263.0,225.0,390.0,1017.0,0.0,0.0,273.0,117.0,119.0,106.0
0.0,2055.0,520.0,388.0,329.0,0.0,0.0,270.0,118.0,347.0,173.0
0.0,1864.0,711.0,394.0,0.0,423.0,423.0,275.0,119.0,517.0,194.0
0.0,1153.0,614.0,404.0,0.0,1077.0,1077.0,283.0,121.0,464.0,150.0
0.0,539.0,302.0,406.0,423.0,964.0,964.0,285.0,121.0,230.0,72.0
0.0,660.0,90.0,401.0,1077.0,0.0,0.0,281.0,120.0,48.0,42.0
0.0,1647.0,211.0,392.0,964.0,0.0,0.0,274.0,118.0,115.0,96.0
0.0,2400.0,561.0,392.0,0.0,0.0,0.0,273.0,119.0,379.0,182.0
0.0,1839.0,789.0,401.0,0.0,554.0,554.0,280.0,121.0,570.0,219.0
