id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1119.0,1119.0,0.0,3357.0,3357.0,795.0,324.0,795.0,324.0
0.0,0.0,1134.0,1127.0,3357.0,2277.0,2277.0,800.0,327.0,804.0,330.0
0.0,1104.0,0.0,751.0,2277.0,0.0,0.0,533.0,218.0,0.0,0.0
0.0,3381.0,328.0,646.0,0.0,0.0,0.0,464.0,182.0,256.0,72.0
0.0,3053.0,326.0,581.0,0.0,0.0,0.0,416.0,165.0,226.0,100.0
0.0,2727.0,304.0,535.0,0.0,0.0,0.0,384.0,151.0,222.0,82.0
0.0,2423.0,384.0,514.0,0.0,0.0,0.0,369.0,145.0,279.0,105.0
0.0,2039.0,352.0,493.0,0.0,0.0,0.0,356.0,137.0,268.0,84.0
0.0,1687.0,371.0,479.0,0.0,121.0,121.0,345.0,134.0,258.0,113.0
0.0,1316.0,344.0,466.0,121.0,305.0,305.0,334.0,132.0,232.0,112.0
0.0,1093.0,340.0,455.0,305.0,307.0,307.0,326.0,129.0,245.0,95.0
0.0,1058.0,398.0,450.0,307.0,383.0,383.0,322.0,128.0,279.0,119.0
0.0,967.0,357.0,443.0,383.0,336.0,336.0,315.0,128.0,233.0,124.0
0.0,993.0,368.0,437.0,336.0,350.0,350.0,311.0,126.0,260.0,108.0
0.0,961.0,392.0,434.0,350.0,383.0,383.0,308.0,126.0,270.0,122.0
0.0,919.0,340.0,429.0,383.0,325.0,325.0,304.0,125.0,235.0,105.0
0.0,962.0,323.0,423.0,325.0,305.0,305.0,300.0,123.0,230.0,93.0
0.0,964.0,356.0,418.0,305.0,341.0,341.0,296.0,122.0,244.0,112.0
0.0,913.0,333.0,414.0,341.0,321.0,321.0,293.0,121.0,238.0,95.0
0.0,921.0,356.0,411.0,321.0,347.0,347.0,291.0,120.0,250.0,106.0
0.0,886.0,389.0,410.0,347.0,386.0,386.0,290.0,120.0,276.0,113.0
0.0,844.0,404.0,410.0,386.0,404.0,404.0,290.0,120.0,283.0,121.0
0.0,826.0,290.0,405.0,404.0,275.0,275.0,287.0,118.0,214.0,76.0
0.0,940.0,375.0,404.0,275.0,372.0,372.0,286.0,118.0,261.0,114.0
0.0,840.0,355.0,402.0,372.0,349.0,349.0,285.0,117.0,260.0,95.0
0.0,857.0,346.0,399.0,349.0,337.0,337.0,283.0,116.0,242.0,104.0
0.0,860.0,372.0,398.0,337.0,369.0,369.0,282.0,116.0,259.0,113.0
0.0,825.0,318.0,395.0,369.0,309.0,309.0,280.0,115.0,223.0,95.0
0.0,876.0,400.0,396.0,309.0,403.0,403.0,280.0,116.0,278.0,122.0
0.0,785.0,323.0,393.0,403.0,314.0,314.0,278.0,115.0,232.0,91.0
0.0,865.0,277.0,390.0,314.0,268.0,268.0,276.0,114.0,190.0,87.0
0.0,902.0,389.0,389.0,268.0,386.0,386.0,275.0,114.0,273.0,116.0
0.0,781.0,352.0,389.0,386.0,352.0,352.0,275.0,114.0,245.0,107.0
0.0,815.0,385.0,388.0,352.0,382.0,382.0,274.0,114.0,268.0,117.0
0.0,782.0,355.0,388.0,382.0,355.0,355.0,274.0,114.0,248.0,107.0
0.0,809.0,316.0,385.0,355.0,307.0,307.0,272.0,113.0,228.0,88.0
0.0,848.0,314.0,383.0,307.0,308.0,308.0,271.0,112.0,222.0,92.0
0.0,841.0,316.0,382.0,308.0,313.0,313.0,270.0,112.0,217.0,99.0
0.0,833.0,378.0,381.0,313.0,375.0,375.0,269.0,112.0,265.0,113.0
0.0,768.0,346.0,381.0,375.0,346.0,346.0,269.0,112.0,242.0,104.0
0.0,797.0,269.0,378.0,346.0,260.0,260.0,266.0,112.0,172.0,97.0
0.0,874.0,335.0,377.0,260.0,332.0,332.0,266.0,111.0,247.0,88.0
0.0,799.0,410.0,377.0,332.0,410.0,410.0,266.0,111.0,281.0,129.0
0.0,721.0,324.0,376.0,410.0,321.0,321.0,265.0,111.0,220.0,104.0
0.0,807.0,355.0,376.0,321.0,355.0,355.0,265.0,111.0,236.0,119.0
0.0,773.0,342.0,375.0,355.0,339.0,339.0,264.0,111.0,230.0,112.0
0.0,786.0,368.0,375.0,339.0,368.0,368.0,263.0,112.0,248.0,120.0
0.0,757.0,345.0,374.0,368.0,342.0,342.0,263.0,111.0,248.0,97.0
0.0,780.0,383.0,374.0,342.0,383.0,383.0,263.0,111.0,267.0,116.0
0.0,739.0,390.0,374.0,383.0,390.0,390.0,263.0,111.0,274.0,116.0
0.0,732.0,378.0,375.0,390.0,381.0,381.0,264.0,111.0,266.0,112.0
0.0,744.0,331.0,374.0,381.0,328.0,328.0,263.0,111.0,224.0,107.0
0.0,794.0,390.0,361.0,328.0,351.0,351.0,253.0,108.0,263.0,127.0
0.0,732.0,419.0,347.0,351.0,377.0,377.0,243.0,104.0,293.0,126.0
0.0,664.0,378.0,354.0,377.0,399.0,399.0,248.0,106.0,262.0,116.0
0.0,663.0,378.0,355.0,399.0,381.0,381.0,248.0,107.0,269.0,109.0
0.0,684.0,432.0,356.0,381.0,435.0,435.0,249.0,107.0,301.0,131.0
0.0,633.0,443.0,359.0,435.0,452.0,452.0,251.0,108.0,311.0,132.0
0.0,625.0,389.0,359.0,452.0,389.0,389.0,251.0,108.0,282.0,107.0
0.0,688.0,387.0,360.0,389.0,390.0,390.0,251.0,109.0,278.0,109.0
0.0,690.0,427.0,361.0,390.0,430.0,430.0,252.0,109.0,312.0,115.0
0.0,653.0,380.0,362.0,430.0,383.0,383.0,253.0,109.0,267.0,113.0
0.0,703.0,475.0,365.0,383.0,484.0,484.0,255.0,110.0,339.0,136.0
0.0,611.0,342.0,363.0,484.0,336.0,336.0,254.0,109.0,242.0,100.0
0.0,753.0,391.0,364.0,336.0,394.0,394.0,255.0,109.0,282.0,109.0
0.0,698.0,408.0,365.0,394.0,411.0,411.0,256.0,109.0,287.0,121.0
0.0,684.0,483.0,366.0,411.0,486.0,486.0,257.0,109.0,349.0,134.0
0.0,612.0,436.0,369.0,486.0,445.0,445.0,259.0,110.0,318.0,118.0
0.0,662.0,418.0,370.0,445.0,421.0,421.0,260.0,110.0,299.0,119.0
0.0,689.0,330.0,370.0,421.0,330.0,330.0,260.0,110.0,224.0,106.0
0.0,780.0,403.0,371.0,330.0,406.0,406.0,260.0,111.0,277.0,126.0
0.0,707.0,372.0,371.0,406.0,372.0,372.0,261.0,110.0,271.0,101.0
0.0,741.0,386.0,372.0,372.0,389.0,389.0,261.0,111.0,272.0,114.0
0.0,727.0,381.0,371.0,389.0,378.0,378.0,260.0,111.0,256.0,125.0
0.0,735.0,410.0,373.0,378.0,416.0,416.0,262.0,111.0,295.0,115.0
0.0,703.0,357.0,373.0,416.0,357.0,357.0,262.0,111.0,249.0,108.0
0.0,762.0,363.0,373.0,357.0,363.0,363.0,261.0,112.0,250.0,113.0
0.0,756.0,376.0,374.0,363.0,379.0,379.0,262.0,112.0,275.0,101.0
0.0,743.0,382.0,374.0,379.0,382.0,382.0,262.0,112.0,264.0,118.0
0.0,740.0,443.0,376.0,382.0,449.0,449.0,264.0,112.0,329.0,114.0
0.0,679.0,377.0,376.0,449.0,377.0,377.0,264.0,112.0,268.0,109.0
0.0,751.0,345.0,376.0,377.0,345.0,345.0,264.0,112.0,240.0,105.0
0.0,783.0,375.0,378.0,345.0,381.0,381.0,266.0,112.0,268.0,107.0
0.0,753.0,347.0,377.0,381.0,344.0,344.0,265.0,112.0,243.0,104.0
0.0,787.0,321.0,377.0,344.0,321.0,321.0,265.0,112.0,230.0,91.0
0.0,810.0,398.0,377.0,321.0,398.0,398.0,265.0,112.0,288.0,110.0
0.0,733.0,382.0,378.0,398.0,385.0,385.0,266.0,112.0,285.0,97.0
0.0,749.0,387.0,379.0,385.0,390.0,390.0,267.0,112.0,284.0,103.0
