agg_orders_level_0,agg_orders_level_1
3692.0,14768.0
4080.0,15544.0
4068.0,12856.0
4100.0,1568.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
152.0,0.0
578.0,0.0
1256.0,0.0
1656.0,0.0
1502.0,0.0
1078.0,0.0
847.0,0.0
843.0,0.0
983.0,0.0
1136.0,0.0
1232.0,0.0
1215.0,0.0
877.0,0.0
559.0,0.0
736.0,0.0
1182.0,0.0
1535.0,0.0
1410.0,0.0
986.0,0.0
842.0,0.0
1056.0,0.0
1306.0,212.0
1440.0,662.0
1335.0,1634.0
812.0,1740.0
411.0,698.0
571.0,0.0
1027.0,177.0
1519.0,1071.0
1704.0,2635.0
1074.0,2630.0
650.0,726.0
801.0,33.0
1300.0,573.0
1823.0,1164.0
1452.0,2067.0
791.0,1784.0
408.0,678.0
715.0,0.0
1251.0,177.0
1459.0,923.0
1221.0,1938.0
924.0,1727.0
931.0,671.0
1084.0,66.0
1458.0,714.0
1683.0,1937.0
1477.0,2816.0
941.0,1888.0
698.0,355.0
925.0,0.0
1108.0,526.0
1286.0,1298.0
1125.0,1785.0
893.0,1352.0
801.0,540.0
1078.0,340.0
1587.0,1532.0
1673.0,2478.0
1206.0,2184.0
733.0,1003.0
650.0,343.0
1235.0,0.0
1646.0,792.0
1522.0,1990.0
897.0,2115.0
468.0,894.0
528.0,92.0
1063.0,126.0
1688.0,1146.0
2108.0,2757.0
1632.0,3307.0
738.0,1499.0
372.0,242.0
763.0,0.0
1508.0,245.0
1859.0,1052.0
1534.0,2059.0
676.0,1695.0
376.0,524.0
752.0,0.0
1769.0,608.0
2417.0,2727.0
1842.0,4053.0
637.0,2128.0
169.0,0.0
597.0,0.0
1570.0,0.0
2095.0,564.0
1674.0,1899.0
806.0,2149.0
255.0,852.0
723.0,0.0
1521.0,499.0
1999.0,1719.0
1820.0,3104.0
1146.0,2539.0
579.0,760.0
674.0,0.0
1301.0,145.0
1948.0,787.0
1788.0,2281.0
995.0,2497.0
590.0,1154.0
648.0,0.0
1141.0,492.0
1752.0,1076.0
1953.0,2229.0
1638.0,2827.0
1096.0,2142.0
879.0,163.0
1086.0,447.0
1451.0,1006.0
1536.0,1145.0
1224.0,1325.0
1064.0,1775.0
1045.0,856.0
1160.0,726.0
1349.0,1281.0
1503.0,1679.0
1418.0,2082.0
1259.0,2149.0
1170.0,777.0
1293.0,424.0
1433.0,940.0
1561.0,1457.0
1361.0,1930.0
1071.0,1849.0
1051.0,628.0
1356.0,755.0
1698.0,1460.0
1652.0,2203.0
1098.0,2114.0
660.0,1230.0
932.0,186.0
1636.0,180.0
2119.0,1379.0
1786.0,3109.0
1166.0,2940.0
742.0,1140.0
946.0,0.0
1544.0,21.0
1889.0,1036.0
1510.0,2381.0
786.0,2139.0
600.0,934.0
1257.0,41.0
1997.0,419.0
2034.0,2484.0
1349.0,3470.0
936.0,1946.0
963.0,0.0
1357.0,0.0
1800.0,648.0
1933.0,2579.0
1520.0,3523.0
840.0,1804.0
595.0,46.0
1130.0,0.0
1943.0,384.0
2106.0,2149.0
1439.0,3236.0
798.0,1873.0
647.0,108.0
1222.0,0.0
1997.0,807.0
2084.0,2658.0
1401.0,3276.0
597.0,1504.0
513.0,0.0
1253.0,0.0
2049.0,372.0
2119.0,2373.0
1574.0,3595.0
