id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1750.0,1750.0,0.0,8750.0,8750.0,1245.0,505.0,1245.0,505.0
0.0,0.0,1755.0,1753.0,0.0,8765.0,8765.0,1248.0,505.0,1250.0,505.0
0.0,0.0,1770.0,1758.0,0.0,8790.0,8790.0,1258.0,500.0,1280.0,490.0
0.0,0.0,1740.0,1754.0,8750.0,7035.0,7035.0,1258.0,496.0,1255.0,485.0
0.0,1735.0,1765.0,1756.0,8765.0,45.0,45.0,1259.0,497.0,1265.0,500.0
0.0,8735.0,1805.0,1764.0,8790.0,0.0,0.0,1265.0,499.0,1295.0,510.0
0.0,15720.0,0.0,1512.0,7035.0,0.0,0.0,1084.0,428.0,0.0,0.0
0.0,22755.0,0.0,1323.0,45.0,0.0,0.0,949.0,374.0,0.0,0.0
0.0,22800.0,0.0,1176.0,0.0,0.0,0.0,843.0,333.0,0.0,0.0
0.0,22800.0,0.0,1059.0,0.0,0.0,0.0,759.0,300.0,0.0,0.0
0.0,22800.0,0.0,962.0,0.0,0.0,0.0,690.0,272.0,0.0,0.0
0.0,22800.0,0.0,882.0,0.0,0.0,0.0,632.0,250.0,0.0,0.0
0.0,22800.0,0.0,814.0,0.0,0.0,0.0,584.0,230.0,0.0,0.0
0.0,22800.0,0.0,756.0,0.0,0.0,0.0,542.0,214.0,0.0,0.0
0.0,22800.0,0.0,706.0,0.0,0.0,0.0,506.0,200.0,0.0,0.0
0.0,22800.0,0.0,661.0,0.0,0.0,0.0,474.0,187.0,0.0,0.0
0.0,22800.0,0.0,622.0,0.0,0.0,0.0,446.0,176.0,0.0,0.0
0.0,22800.0,0.0,588.0,0.0,0.0,0.0,422.0,166.0,0.0,0.0
0.0,22800.0,0.0,557.0,0.0,0.0,0.0,399.0,158.0,0.0,0.0
0.0,22800.0,0.0,530.0,0.0,0.0,0.0,380.0,150.0,0.0,0.0
0.0,22800.0,0.0,504.0,0.0,0.0,0.0,361.0,143.0,0.0,0.0
0.0,22800.0,0.0,481.0,0.0,0.0,0.0,345.0,136.0,0.0,0.0
0.0,22800.0,0.0,460.0,0.0,0.0,0.0,330.0,130.0,0.0,0.0
0.0,22800.0,0.0,441.0,0.0,0.0,0.0,316.0,125.0,0.0,0.0
