id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Order_Supplier_1,Order_Supplier_2,Forecast_Retailer_0,Forecast_Retailer_1,Forecast_Retailer_2,Demand_Retailer_0,Demand_Retailer_1,Demand_Retailer_2,Inv_Product_0,Inv_Product_1,Inv_Product_2,Order_Product_0,Order_Product_1,Order_Product_2,Forecast_Product_0,Forecast_Product_1,Forecast_Product_2
0.0,0.0,792.0,792.0,0.0,2376.0,771.0,828.0,777.0,257.0,276.0,259.0,257.0,276.0,259.0,0.0,0.0,0.0,771.0,828.0,777.0,257.0,276.0,259.0
0.0,0.0,653.0,722.0,0.0,2166.0,714.0,750.0,702.0,238.0,250.0,234.0,218.0,225.0,210.0,0.0,0.0,0.0,714.0,750.0,702.0,238.0,250.0,234.0
0.0,0.0,817.0,754.0,4542.0,26.0,26.0,0.0,0.0,252.0,256.0,246.0,280.0,268.0,269.0,0.0,0.0,0.0,26.0,0.0,0.0,252.0,256.0,246.0
0.0,2280.0,671.0,734.0,26.0,567.0,245.0,137.0,185.0,251.0,245.0,238.0,248.0,211.0,212.0,730.0,809.0,741.0,245.0,137.0,185.0,251.0,245.0,238.0
0.0,1635.0,685.0,724.0,567.0,655.0,205.0,236.0,214.0,245.0,244.0,235.0,223.0,239.0,223.0,508.0,598.0,529.0,205.0,236.0,214.0,245.0,244.0,235.0
0.0,1517.0,720.0,723.0,655.0,717.0,255.0,242.0,220.0,246.0,244.0,233.0,252.0,242.0,226.0,530.0,496.0,491.0,255.0,242.0,220.0,246.0,244.0,233.0
0.0,1452.0,732.0,724.0,717.0,735.0,266.0,266.0,203.0,248.0,246.0,230.0,260.0,260.0,212.0,483.0,490.0,479.0,266.0,266.0,203.0,248.0,246.0,230.0
0.0,1437.0,755.0,729.0,735.0,770.0,287.0,222.0,261.0,252.0,244.0,233.0,275.0,228.0,252.0,478.0,472.0,487.0,287.0,222.0,261.0,252.0,244.0,233.0
0.0,1417.0,646.0,719.0,770.0,616.0,194.0,173.0,249.0,247.0,238.0,234.0,209.0,191.0,246.0,469.0,510.0,438.0,194.0,173.0,249.0,247.0,238.0,234.0
0.0,1541.0,619.0,708.0,616.0,586.0,157.0,193.0,236.0,240.0,234.0,234.0,178.0,205.0,236.0,547.0,541.0,453.0,157.0,193.0,236.0,240.0,234.0,234.0
0.0,1538.0,692.0,707.0,586.0,689.0,202.0,204.0,283.0,237.0,232.0,238.0,211.0,210.0,271.0,563.0,509.0,466.0,202.0,204.0,283.0,237.0,232.0,238.0
0.0,1432.0,674.0,705.0,689.0,668.0,206.0,224.0,238.0,235.0,232.0,238.0,212.0,224.0,238.0,509.0,492.0,431.0,206.0,224.0,238.0,235.0,232.0,238.0
0.0,1447.0,708.0,706.0,668.0,711.0,195.0,281.0,235.0,233.0,235.0,238.0,201.0,272.0,235.0,499.0,472.0,476.0,195.0,281.0,235.0,233.0,235.0,238.0
0.0,1407.0,751.0,708.0,711.0,757.0,238.0,239.0,280.0,233.0,235.0,240.0,238.0,239.0,274.0,504.0,424.0,479.0,238.0,239.0,280.0,233.0,235.0,240.0
0.0,1367.0,642.0,703.0,757.0,627.0,219.0,201.0,207.0,232.0,233.0,238.0,222.0,207.0,213.0,461.0,466.0,440.0,219.0,201.0,207.0,232.0,233.0,238.0
0.0,1482.0,764.0,708.0,627.0,779.0,250.0,263.0,266.0,233.0,235.0,240.0,247.0,257.0,260.0,477.0,498.0,507.0,250.0,263.0,266.0,233.0,235.0,240.0
0.0,1345.0,673.0,705.0,779.0,664.0,227.0,228.0,209.0,233.0,234.0,238.0,227.0,231.0,215.0,449.0,442.0,454.0,227.0,228.0,209.0,233.0,234.0,238.0
0.0,1451.0,710.0,706.0,664.0,713.0,230.0,255.0,228.0,233.0,235.0,238.0,230.0,252.0,228.0,472.0,474.0,505.0,230.0,255.0,228.0,233.0,235.0,238.0
0.0,1405.0,779.0,710.0,713.0,791.0,258.0,274.0,259.0,234.0,237.0,239.0,255.0,268.0,256.0,469.0,450.0,486.0,258.0,274.0,259.0,234.0,237.0,239.0
0.0,1339.0,740.0,711.0,791.0,743.0,241.0,273.0,229.0,234.0,239.0,238.0,241.0,267.0,232.0,444.0,437.0,458.0,241.0,273.0,229.0,234.0,239.0,238.0
0.0,1390.0,632.0,707.0,743.0,620.0,213.0,190.0,217.0,233.0,237.0,237.0,216.0,196.0,220.0,461.0,444.0,485.0,213.0,190.0,217.0,233.0,237.0,237.0
0.0,1501.0,741.0,708.0,620.0,744.0,276.0,256.0,212.0,235.0,237.0,236.0,270.0,256.0,215.0,486.0,521.0,494.0,276.0,256.0,212.0,235.0,237.0,236.0
