agg_orders_level_0,agg_orders_level_1
5350.0,26750.0
5680.0,27575.0
5780.0,28015.0
5545.0,23550.0
5470.0,1330.0
5405.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
54.0,0.0
267.0,0.0
702.0,0.0
1280.0,0.0
1972.0,0.0
2406.0,0.0
2359.0,0.0
1965.0,0.0
1265.0,0.0
394.0,0.0
0.0,0.0
0.0,0.0
20.0,0.0
124.0,0.0
333.0,0.0
714.0,0.0
1795.0,0.0
2690.0,0.0
3213.0,0.0
2853.0,0.0
1476.0,0.0
43.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
72.0,0.0
233.0,0.0
566.0,0.0
1403.0,0.0
2499.0,0.0
3163.0,0.0
3195.0,0.0
2371.0,0.0
697.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
6.0,0.0
88.0,0.0
314.0,0.0
828.0,0.0
1933.0,0.0
3051.0,0.0
3530.0,0.0
3008.0,0.0
1559.0,0.0
382.0,0.0
0.0,0.0
0.0,0.0
41.0,0.0
120.0,0.0
424.0,0.0
936.0,0.0
1536.0,0.0
2056.0,0.0
2408.0,0.0
2265.0,0.0
1748.0,0.0
1080.0,770.0
544.0,1254.0
213.0,1427.0
533.0,1042.0
926.0,765.0
1122.0,725.0
1206.0,623.0
1167.0,1221.0
1194.0,1874.0
1613.0,2001.0
1915.0,2072.0
2013.0,2849.0
1486.0,3809.0
1302.0,3595.0
1015.0,1919.0
1416.0,115.0
1101.0,0.0
873.0,0.0
380.0,0.0
310.0,0.0
637.0,0.0
1200.0,111.0
1675.0,323.0
1979.0,342.0
2039.0,1039.0
1804.0,2385.0
1587.0,3560.0
1685.0,4301.0
1293.0,3251.0
616.0,1824.0
443.0,28.0
652.0,0.0
726.0,0.0
919.0,363.0
1338.0,1227.0
1544.0,1883.0
1866.0,1779.0
1864.0,622.0
1842.0,351.0
1696.0,992.0
1279.0,1985.0
611.0,2088.0
716.0,1589.0
812.0,849.0
800.0,0.0
1015.0,78.0
1011.0,518.0
1288.0,943.0
1954.0,2342.0
2224.0,2609.0
1930.0,2370.0
1941.0,2123.0
1595.0,2061.0
1272.0,3207.0
1111.0,3459.0
676.0,2190.0
491.0,1337.0
605.0,0.0
942.0,0.0
1337.0,0.0
1464.0,0.0
1655.0,0.0
2240.0,0.0
2479.0,1137.0
1873.0,2250.0
1433.0,2736.0
736.0,1784.0
561.0,669.0
623.0,471.0
948.0,673.0
992.0,1272.0
1083.0,1977.0
947.0,1535.0
1673.0,427.0
2279.0,855.0
2426.0,2835.0
1780.0,3687.0
1542.0,4085.0
869.0,2256.0
911.0,0.0
992.0,0.0
1094.0,728.0
952.0,1576.0
670.0,1641.0
1038.0,959.0
1539.0,0.0
1925.0,0.0
2165.0,672.0
1904.0,1098.0
1628.0,2011.0
1102.0,2109.0
635.0,1406.0
1078.0,941.0
1370.0,1316.0
1492.0,2116.0
1082.0,1952.0
1344.0,720.0
1319.0,810.0
1156.0,1544.0
1382.0,2010.0
1580.0,1505.0
1324.0,1110.0
1269.0,2125.0
1571.0,2354.0
2006.0,1871.0
2471.0,666.0
2116.0,1342.0
952.0,1463.0
387.0,1309.0
614.0,657.0
873.0,987.0
1040.0,962.0
1055.0,359.0
992.0,0.0
1677.0,0.0
2193.0,673.0
2656.0,1529.0
2967.0,4582.0
2216.0,5911.0
738.0,4799.0
801.0,3287.0
775.0,0.0
1110.0,0.0
677.0,0.0
882.0,0.0
783.0,195.0
882.0,722.0
1351.0,888.0
2253.0,1003.0
2766.0,732.0
2558.0,274.0
1411.0,769.0
1314.0,1560.0
1586.0,2345.0
1444.0,3070.0
731.0,2246.0
257.0,2028.0
0.0,931.0
158.0,0.0
1017.0,0.0
1945.0,0.0
3003.0,1183.0
3715.0,3509.0
3577.0,4710.0
2185.0,5621.0
1609.0,4695.0
822.0,2176.0
0.0,1456.0
0.0,0.0
0.0,0.0
347.0,0.0
1005.0,0.0
1783.0,0.0
2395.0,0.0
2916.0,0.0
2678.0,72.0
2238.0,603.0
1944.0,2155.0
1139.0,2957.0
418.0,2722.0
135.0,1355.0
114.0,625.0
867.0,348.0
1594.0,345.0
2541.0,1950.0
3207.0,4363.0
3121.0,4886.0
2424.0,4081.0
2375.0,2818.0
1949.0,2554.0
643.0,2529.0
190.0,934.0
0.0,0.0
550.0,0.0
1251.0,0.0
1917.0,0.0
2204.0,355.0
2197.0,1191.0
1674.0,1458.0
1906.0,1400.0
2032.0,912.0
1438.0,839.0
897.0,799.0
864.0,1054.0
1251.0,1428.0
1679.0,2383.0
1968.0,2856.0
1869.0,3657.0
1317.0,2049.0
1056.0,1717.0
1354.0,1786.0
1403.0,2689.0
1306.0,2744.0
1339.0,2382.0
1720.0,0.0
2547.0,0.0
2498.0,0.0
2275.0,2042.0
1399.0,3183.0
1032.0,3435.0
1130.0,1393.0
1195.0,0.0
982.0,0.0
868.0,0.0
837.0,0.0
1370.0,0.0
2127.0,479.0
2387.0,2108.0
2427.0,2619.0
2262.0,3473.0
2117.0,4176.0
1754.0,4177.0
1485.0,3664.0
768.0,2749.0
545.0,1816.0
1445.0,0.0
1447.0,0.0
2040.0,0.0
2372.0,0.0
2264.0,1000.0
1853.0,2328.0
1818.0,3696.0
1943.0,3066.0
1335.0,2592.0
1292.0,328.0
1155.0,242.0
853.0,808.0
779.0,808.0
1254.0,546.0
1672.0,0.0
1924.0,1765.0
2346.0,2809.0
2414.0,2844.0
2663.0,2689.0
2913.0,3105.0
2156.0,4323.0
1327.0,4942.0
640.0,3658.0
973.0,655.0
845.0,0.0
1238.0,0.0
1305.0,0.0
1022.0,0.0
994.0,0.0
1837.0,0.0
2682.0,0.0
3399.0,0.0
3136.0,1945.0
1960.0,3726.0
1441.0,5082.0
1525.0,4404.0
1286.0,2754.0
733.0,2824.0
389.0,1160.0
421.0,0.0
374.0,0.0
1323.0,0.0
2572.0,0.0
3915.0,1062.0
4257.0,4487.0
3191.0,5556.0
1583.0,5698.0
829.0,1039.0
297.0,0.0
436.0,38.0
458.0,536.0
313.0,879.0
292.0,844.0
1125.0,213.0
2410.0,0.0
3862.0,0.0
4385.0,105.0
3715.0,2871.0
2201.0,4898.0
1162.0,4795.0
501.0,3119.0
387.0,1102.0
547.0,0.0
1.0,0.0
328.0,0.0
1494.0,0.0
2635.0,400.0
4184.0,4347.0
4369.0,6113.0
3399.0,6118.0
1656.0,5193.0
1139.0,171.0
869.0,649.0
496.0,1195.0
381.0,1430.0
94.0,845.0
409.0,0.0
1135.0,0.0
2245.0,0.0
3403.0,0.0
3845.0,0.0
3488.0,630.0
2673.0,2916.0
1900.0,4671.0
781.0,3889.0
418.0,2849.0
43.0,0.0
373.0,0.0
829.0,0.0
1681.0,113.0
2801.0,2315.0
3469.0,5406.0
3496.0,6228.0
2563.0,5984.0
1820.0,1817.0
1495.0,0.0
652.0,14.0
656.0,542.0
1124.0,874.0
1629.0,820.0
2426.0,248.0
2826.0,0.0
2431.0,0.0
1783.0,0.0
1903.0,1304.0
1828.0,2882.0
1511.0,4051.0
876.0,3758.0
786.0,1825.0
1653.0,743.0
2315.0,1364.0
3070.0,3810.0
3392.0,5271.0
2855.0,5343.0
1723.0,3943.0
1956.0,1055.0
1689.0,0.0
570.0,0.0
753.0,0.0
740.0,0.0
1013.0,489.0
1961.0,978.0
3019.0,1628.0
3628.0,2468.0
3589.0,4256.0
2381.0,4922.0
1246.0,3693.0
820.0,1412.0
986.0,0.0
938.0,475.0
704.0,919.0
766.0,1157.0
1385.0,1238.0
2751.0,1395.0
3785.0,1777.0
4139.0,2207.0
3624.0,3177.0
2099.0,4124.0
971.0,4626.0
915.0,3176.0
725.0,1094.0
562.0,0.0
502.0,0.0
743.0,0.0
1437.0,0.0
2818.0,242.0
3740.0,1854.0
4306.0,3194.0
3704.0,4940.0
2378.0,6235.0
1108.0,4282.0
1156.0,3039.0
581.0,207.0
509.0,0.0
541.0,0.0
814.0,0.0
1587.0,0.0
2930.0,0.0
4110.0,1402.0
4486.0,2811.0
3465.0,5409.0
1841.0,6294.0
1218.0,4960.0
820.0,2891.0
549.0,0.0
486.0,0.0
518.0,0.0
1024.0,0.0
2044.0,0.0
3046.0,0.0
3563.0,550.0
3514.0,2056.0
2674.0,3325.0
2104.0,4899.0
1662.0,4375.0
1181.0,2365.0
745.0,114.0
1045.0,0.0
1773.0,0.0
2333.0,537.0
2555.0,2109.0
2051.0,3314.0
2122.0,3332.0
2049.0,3041.0
2151.0,3050.0
1636.0,3474.0
1637.0,2575.0
1639.0,0.0
2068.0,869.0
2366.0,2358.0
2647.0,3855.0
