demand,Demand_Retailer_0,Demand_Retailer_1,Demand_Retailer_2,Demand_Retailer_3,Demand_Retailer_4,Demand_Retailer_5
997.0,232.0,244.0,234.0,96.0,97.0,94.0
1065.0,257.0,257.0,246.0,101.0,103.0,101.0
1063.0,252.0,247.0,250.0,95.0,107.0,112.0
1004.0,240.0,219.0,224.0,104.0,108.0,109.0
977.0,230.0,231.0,223.0,100.0,92.0,101.0
955.0,227.0,225.0,214.0,97.0,95.0,97.0
987.0,225.0,243.0,217.0,103.0,102.0,97.0
997.0,244.0,219.0,242.0,98.0,98.0,96.0
1071.0,252.0,231.0,268.0,109.0,104.0,107.0
1090.0,239.0,257.0,269.0,111.0,110.0,104.0
1042.0,235.0,239.0,263.0,101.0,100.0,104.0
1006.0,239.0,229.0,234.0,102.0,104.0,98.0
930.0,202.0,225.0,212.0,100.0,91.0,100.0
990.0,215.0,222.0,248.0,102.0,105.0,98.0
1015.0,228.0,237.0,229.0,107.0,102.0,112.0
1134.0,258.0,280.0,262.0,112.0,112.0,110.0
1092.0,247.0,263.0,248.0,104.0,111.0,119.0
1049.0,239.0,244.0,250.0,104.0,105.0,107.0
1019.0,247.0,224.0,247.0,97.0,98.0,106.0
997.0,239.0,239.0,235.0,98.0,92.0,94.0
962.0,220.0,224.0,233.0,96.0,93.0,96.0
1030.0,251.0,252.0,213.0,111.0,99.0,104.0
1085.0,259.0,257.0,255.0,102.0,109.0,103.0
1119.0,262.0,256.0,260.0,114.0,116.0,111.0
1108.0,253.0,274.0,263.0,101.0,110.0,107.0
1041.0,245.0,248.0,245.0,99.0,99.0,105.0
975.0,225.0,232.0,226.0,93.0,98.0,101.0
963.0,214.0,215.0,232.0,98.0,102.0,102.0
1057.0,246.0,239.0,246.0,111.0,105.0,110.0
1139.0,274.0,274.0,265.0,116.0,105.0,105.0
1119.0,247.0,274.0,268.0,114.0,107.0,109.0
1099.0,249.0,262.0,260.0,112.0,112.0,104.0
1031.0,246.0,234.0,245.0,102.0,108.0,96.0
1010.0,243.0,240.0,220.0,100.0,108.0,99.0
1024.0,231.0,241.0,237.0,102.0,108.0,105.0
1069.0,255.0,263.0,231.0,106.0,103.0,111.0
1108.0,267.0,249.0,260.0,112.0,107.0,113.0
1125.0,263.0,267.0,248.0,120.0,114.0,113.0
1094.0,258.0,251.0,253.0,112.0,107.0,113.0
1073.0,263.0,263.0,240.0,105.0,102.0,100.0
990.0,225.0,246.0,220.0,98.0,100.0,101.0
998.0,243.0,240.0,226.0,88.0,105.0,96.0
1092.0,266.0,228.0,267.0,112.0,110.0,109.0
1154.0,283.0,251.0,274.0,118.0,115.0,113.0
1180.0,270.0,277.0,272.0,124.0,122.0,115.0
1110.0,251.0,262.0,257.0,113.0,113.0,114.0
1074.0,268.0,240.0,246.0,113.0,97.0,110.0
1015.0,259.0,225.0,225.0,94.0,99.0,113.0
1019.0,248.0,231.0,233.0,101.0,100.0,106.0
1133.0,269.0,272.0,268.0,107.0,113.0,104.0
1181.0,284.0,282.0,280.0,112.0,115.0,108.0
1170.0,260.0,285.0,270.0,118.0,125.0,112.0
1134.0,260.0,250.0,269.0,123.0,119.0,113.0
1096.0,262.0,267.0,243.0,113.0,105.0,106.0
1022.0,233.0,244.0,236.0,100.0,101.0,108.0
1063.0,240.0,253.0,257.0,102.0,103.0,108.0
1142.0,262.0,271.0,280.0,112.0,103.0,114.0
1214.0,289.0,275.0,288.0,120.0,119.0,123.0
1153.0,260.0,261.0,278.0,110.0,117.0,127.0
1136.0,254.0,283.0,256.0,114.0,116.0,113.0
1093.0,256.0,272.0,239.0,105.0,107.0,114.0
1044.0,236.0,240.0,258.0,106.0,112.0,92.0
1064.0,255.0,246.0,253.0,111.0,106.0,93.0
1108.0,257.0,254.0,267.0,108.0,108.0,114.0
1203.0,288.0,285.0,284.0,113.0,116.0,117.0
1203.0,276.0,281.0,283.0,121.0,118.0,124.0
1165.0,282.0,256.0,269.0,120.0,120.0,118.0
1097.0,272.0,238.0,258.0,110.0,104.0,115.0
1086.0,257.0,245.0,259.0,106.0,110.0,109.0
1078.0,225.0,255.0,263.0,107.0,114.0,114.0
1141.0,265.0,260.0,270.0,117.0,121.0,108.0
1202.0,296.0,267.0,287.0,110.0,120.0,122.0
1226.0,290.0,290.0,282.0,121.0,121.0,122.0
1186.0,263.0,293.0,278.0,124.0,111.0,117.0
1152.0,283.0,290.0,251.0,113.0,107.0,108.0
1075.0,242.0,245.0,260.0,108.0,108.0,112.0
1085.0,238.0,247.0,262.0,114.0,112.0,112.0
1151.0,279.0,265.0,254.0,112.0,121.0,120.0
1257.0,296.0,286.0,285.0,126.0,135.0,129.0
1227.0,301.0,288.0,280.0,114.0,125.0,119.0
1206.0,272.0,286.0,282.0,119.0,125.0,122.0
1131.0,264.0,263.0,266.0,115.0,112.0,111.0
1079.0,254.0,266.0,244.0,111.0,103.0,101.0
1069.0,237.0,251.0,248.0,113.0,112.0,108.0
1173.0,262.0,294.0,270.0,116.0,118.0,113.0
1202.0,298.0,278.0,264.0,119.0,125.0,118.0
1219.0,292.0,273.0,295.0,113.0,124.0,122.0
1203.0,285.0,284.0,282.0,113.0,119.0,120.0
1150.0,267.0,272.0,269.0,115.0,114.0,113.0
1167.0,280.0,283.0,265.0,113.0,109.0,117.0
1079.0,246.0,240.0,261.0,117.0,107.0,108.0
1202.0,289.0,276.0,267.0,129.0,116.0,125.0
1248.0,296.0,279.0,295.0,127.0,128.0,123.0
1244.0,285.0,295.0,287.0,125.0,130.0,122.0
1226.0,280.0,273.0,308.0,121.0,126.0,118.0
1176.0,286.0,272.0,276.0,116.0,118.0,108.0
1109.0,264.0,246.0,266.0,112.0,114.0,107.0
1143.0,252.0,275.0,265.0,111.0,118.0,122.0
1189.0,265.0,287.0,270.0,121.0,125.0,121.0
1249.0,287.0,288.0,309.0,129.0,116.0,120.0
1259.0,297.0,283.0,300.0,126.0,125.0,128.0
1235.0,291.0,270.0,301.0,123.0,122.0,128.0
1181.0,281.0,262.0,293.0,111.0,117.0,117.0
1126.0,261.0,280.0,246.0,113.0,112.0,114.0
1121.0,266.0,263.0,260.0,114.0,112.0,106.0
1217.0,273.0,274.0,301.0,127.0,127.0,115.0
1311.0,300.0,289.0,324.0,133.0,137.0,128.0
1294.0,303.0,299.0,297.0,137.0,126.0,132.0
1242.0,266.0,302.0,292.0,125.0,123.0,134.0
1191.0,287.0,287.0,270.0,114.0,111.0,122.0
1137.0,266.0,265.0,254.0,114.0,117.0,121.0
1117.0,264.0,253.0,260.0,112.0,110.0,118.0
1226.0,281.0,283.0,296.0,125.0,122.0,119.0
1315.0,310.0,295.0,322.0,135.0,123.0,130.0
1312.0,306.0,304.0,303.0,137.0,133.0,129.0
1253.0,279.0,290.0,295.0,130.0,135.0,124.0
1214.0,298.0,267.0,278.0,126.0,126.0,119.0
1174.0,282.0,278.0,277.0,111.0,111.0,115.0
1214.0,277.0,299.0,278.0,117.0,123.0,120.0
1273.0,301.0,305.0,293.0,130.0,119.0,125.0
1296.0,321.0,278.0,308.0,130.0,126.0,133.0
1312.0,308.0,291.0,317.0,131.0,131.0,134.0
1267.0,294.0,303.0,291.0,130.0,122.0,127.0
1217.0,278.0,302.0,270.0,123.0,125.0,119.0
1183.0,280.0,275.0,268.0,114.0,123.0,123.0
1198.0,263.0,286.0,292.0,113.0,125.0,119.0
1262.0,281.0,293.0,306.0,127.0,123.0,132.0
1286.0,316.0,301.0,297.0,124.0,126.0,122.0
1306.0,300.0,309.0,307.0,137.0,123.0,130.0
1282.0,289.0,299.0,291.0,138.0,128.0,137.0
1209.0,285.0,264.0,281.0,126.0,126.0,127.0
1208.0,286.0,272.0,285.0,119.0,127.0,119.0
1223.0,277.0,301.0,277.0,118.0,127.0,123.0
1295.0,307.0,307.0,292.0,128.0,133.0,128.0
1335.0,319.0,321.0,293.0,139.0,137.0,126.0
1316.0,318.0,298.0,305.0,129.0,135.0,131.0
1307.0,310.0,293.0,311.0,132.0,131.0,130.0
1270.0,307.0,292.0,308.0,123.0,117.0,123.0
1216.0,265.0,282.0,301.0,122.0,127.0,119.0
1246.0,285.0,299.0,300.0,120.0,116.0,126.0
1290.0,304.0,290.0,296.0,128.0,139.0,133.0
1369.0,327.0,320.0,314.0,133.0,142.0,133.0
1370.0,314.0,325.0,320.0,135.0,144.0,132.0
1297.0,301.0,307.0,289.0,136.0,134.0,130.0
1279.0,301.0,297.0,295.0,134.0,128.0,124.0
1217.0,284.0,279.0,291.0,124.0,117.0,122.0
1226.0,262.0,289.0,313.0,125.0,117.0,120.0
1287.0,303.0,311.0,300.0,121.0,123.0,129.0
1333.0,316.0,323.0,286.0,137.0,138.0,133.0
1370.0,326.0,321.0,312.0,132.0,142.0,137.0
1361.0,302.0,318.0,330.0,134.0,136.0,141.0
1303.0,304.0,293.0,311.0,132.0,130.0,133.0
1247.0,284.0,292.0,296.0,125.0,129.0,121.0
1249.0,280.0,289.0,293.0,129.0,124.0,134.0
1308.0,307.0,301.0,308.0,134.0,126.0,132.0
1343.0,316.0,315.0,306.0,134.0,134.0,138.0
1395.0,323.0,341.0,327.0,128.0,141.0,135.0
1319.0,304.0,310.0,309.0,133.0,133.0,130.0
1285.0,299.0,288.0,306.0,131.0,136.0,125.0
1199.0,273.0,280.0,267.0,132.0,126.0,121.0
1252.0,289.0,282.0,291.0,126.0,133.0,131.0
1311.0,306.0,303.0,305.0,130.0,136.0,131.0
1427.0,326.0,351.0,335.0,138.0,139.0,138.0
1412.0,322.0,306.0,362.0,142.0,137.0,143.0
1373.0,327.0,301.0,327.0,140.0,141.0,137.0
1268.0,309.0,289.0,293.0,133.0,120.0,124.0
1265.0,300.0,302.0,289.0,129.0,125.0,120.0
1272.0,278.0,316.0,303.0,129.0,123.0,123.0
1369.0,327.0,316.0,319.0,140.0,135.0,132.0
1428.0,343.0,323.0,335.0,141.0,147.0,139.0
1409.0,338.0,322.0,321.0,141.0,144.0,143.0
1366.0,313.0,308.0,329.0,133.0,139.0,144.0
1323.0,322.0,316.0,293.0,131.0,124.0,137.0
1250.0,304.0,288.0,274.0,124.0,127.0,133.0
1256.0,296.0,271.0,299.0,134.0,127.0,129.0
1361.0,314.0,302.0,331.0,139.0,138.0,137.0
1413.0,327.0,332.0,334.0,141.0,140.0,139.0
