agg_orders_level_0,agg_orders_level_1
3976.0,15904.0
3936.0,15824.0
4160.0,12260.0
4036.0,488.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
45.0,0.0
881.0,0.0
2085.0,0.0
2303.0,0.0
1037.0,0.0
85.0,0.0
0.0,0.0
667.0,0.0
1655.0,0.0
1914.0,0.0
1180.0,0.0
267.0,0.0
100.0,0.0
870.0,0.0
1790.0,0.0
1960.0,0.0
1323.0,0.0
444.0,0.0
257.0,0.0
757.0,0.0
1575.0,0.0
1862.0,153.0
1483.0,1104.0
619.0,1494.0
178.0,458.0
540.0,96.0
1485.0,485.0
1849.0,2310.0
1322.0,3159.0
698.0,1499.0
514.0,0.0
747.0,0.0
1231.0,141.0
1530.0,859.0
1467.0,2149.0
1121.0,2399.0
785.0,1188.0
734.0,0.0
1072.0,185.0
1484.0,1018.0
1481.0,2018.0
1096.0,2092.0
673.0,785.0
762.0,0.0
1242.0,96.0
1589.0,900.0
1493.0,2064.0
906.0,2134.0
449.0,784.0
622.0,0.0
1216.0,258.0
1598.0,1341.0
1560.0,2755.0
967.0,2393.0
498.0,634.0
702.0,0.0
1364.0,278.0
1725.0,1162.0
1580.0,2230.0
1062.0,2158.0
638.0,933.0
683.0,0.0
1206.0,248.0
1708.0,1109.0
1643.0,2523.0
1030.0,2456.0
623.0,902.0
794.0,0.0
1358.0,414.0
1744.0,1442.0
1471.0,2171.0
928.0,1696.0
529.0,829.0
656.0,69.0
1164.0,327.0
1666.0,999.0
1645.0,2229.0
1141.0,2419.0
719.0,1333.0
757.0,0.0
1114.0,326.0
1526.0,905.0
1680.0,1904.0
1254.0,2289.0
911.0,1635.0
783.0,294.0
1221.0,441.0
1682.0,1141.0
1738.0,2077.0
1308.0,2288.0
795.0,1555.0
655.0,80.0
1068.0,186.0
1633.0,894.0
1882.0,2159.0
1439.0,2748.0
953.0,1755.0
681.0,191.0
992.0,163.0
1550.0,694.0
1831.0,1767.0
1397.0,2534.0
893.0,1834.0
975.0,296.0
1311.0,555.0
1582.0,1348.0
1689.0,2042.0
1307.0,2078.0
803.0,1453.0
873.0,136.0
1161.0,395.0
1502.0,1207.0
1690.0,1946.0
1359.0,2150.0
925.0,1576.0
