agg_orders_level_0,agg_orders_level_1
5095.0,25475.0
5495.0,26480.0
5570.0,26935.0
5425.0,23090.0
5395.0,2005.0
5260.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
79.0,0.0
245.0,0.0
727.0,0.0
1065.0,0.0
1688.0,0.0
1982.0,0.0
2082.0,0.0
1770.0,0.0
1267.0,0.0
408.0,0.0
104.0,0.0
192.0,0.0
313.0,0.0
691.0,0.0
1096.0,0.0
1672.0,0.0
2317.0,0.0
2341.0,0.0
1696.0,0.0
1121.0,0.0
293.0,0.0
97.0,0.0
211.0,0.0
336.0,0.0
739.0,0.0
1191.0,0.0
1824.0,0.0
2573.0,0.0
2736.0,0.0
1869.0,0.0
941.0,0.0
212.0,0.0
101.0,0.0
210.0,0.0
395.0,0.0
747.0,0.0
1253.0,0.0
1876.0,0.0
2293.0,0.0
2258.0,0.0
1662.0,0.0
1120.0,0.0
307.0,0.0
100.0,0.0
212.0,0.0
484.0,0.0
835.0,0.0
1247.0,0.0
1927.0,0.0
2586.0,0.0
2471.0,0.0
1887.0,0.0
997.0,0.0
239.0,0.0
167.0,0.0
297.0,0.0
408.0,0.0
779.0,0.0
1169.0,0.0
1734.0,989.0
2239.0,2363.0
2241.0,3285.0
1798.0,4885.0
1390.0,3965.0
809.0,3347.0
197.0,1254.0
338.0,0.0
658.0,0.0
1142.0,0.0
1677.0,0.0
2160.0,0.0
2468.0,854.0
2046.0,1197.0
1420.0,1403.0
840.0,752.0
391.0,543.0
166.0,478.0
288.0,332.0
439.0,220.0
697.0,162.0
952.0,88.0
1669.0,159.0
2440.0,1945.0
2897.0,4952.0
2546.0,6058.0
1488.0,5540.0
416.0,2889.0
809.0,892.0
682.0,0.0
575.0,0.0
890.0,0.0
1132.0,0.0
1506.0,0.0
1779.0,262.0
1795.0,966.0
1246.0,1033.0
1057.0,1292.0
748.0,591.0
1021.0,797.0
1217.0,633.0
1181.0,884.0
672.0,417.0
777.0,317.0
1556.0,333.0
2121.0,1672.0
2277.0,2845.0
2029.0,4374.0
1390.0,4401.0
830.0,3859.0
1040.0,2726.0
1141.0,1831.0
878.0,441.0
407.0,0.0
371.0,0.0
920.0,0.0
1465.0,0.0
2044.0,0.0
2533.0,45.0
2490.0,687.0
1856.0,932.0
1425.0,1920.0
1174.0,2463.0
532.0,2435.0
341.0,962.0
320.0,0.0
255.0,0.0
981.0,141.0
1789.0,996.0
2721.0,2180.0
2809.0,3135.0
2029.0,4086.0
1255.0,3555.0
1392.0,3285.0
1168.0,2270.0
606.0,818.0
244.0,0.0
0.0,0.0
198.0,0.0
929.0,0.0
2039.0,0.0
3054.0,0.0
3432.0,450.0
2456.0,2027.0
1117.0,3061.0
697.0,3228.0
535.0,1616.0
374.0,94.0
279.0,0.0
315.0,0.0
1103.0,0.0
1977.0,70.0
2766.0,1248.0
2911.0,3309.0
2585.0,5294.0
1667.0,6107.0
928.0,4007.0
641.0,1682.0
449.0,0.0
268.0,0.0
408.0,0.0
1330.0,0.0
2232.0,0.0
2907.0,0.0
2934.0,921.0
1905.0,2006.0
1160.0,2365.0
937.0,1829.0
605.0,858.0
582.0,326.0
554.0,719.0
547.0,1015.0
929.0,731.0
1686.0,172.0
2685.0,622.0
3191.0,2300.0
3206.0,4989.0
2026.0,6836.0
984.0,5712.0
511.0,2970.0
456.0,87.0
656.0,0.0
739.0,0.0
936.0,0.0
1346.0,0.0
2033.0,0.0
2408.0,0.0
2498.0,0.0
1850.0,415.0
1222.0,632.0
970.0,1183.0
652.0,1180.0
589.0,1380.0
945.0,1208.0
1358.0,709.0
1693.0,2113.0
2217.0,4005.0
2416.0,4653.0
2061.0,3614.0
1683.0,2439.0
1525.0,1531.0
721.0,1850.0
601.0,1493.0
712.0,335.0
1011.0,0.0
1441.0,0.0
1799.0,0.0
1840.0,0.0
1946.0,520.0
1931.0,592.0
2282.0,1551.0
1834.0,3015.0
1139.0,3637.0
709.0,2735.0
970.0,1124.0
1247.0,0.0
1472.0,234.0
1361.0,1154.0
1327.0,2066.0
1375.0,2692.0
1460.0,2745.0
1782.0,2555.0
1728.0,2590.0
1724.0,1341.0
1868.0,1034.0
1887.0,1687.0
1794.0,2153.0
1777.0,1447.0
1003.0,818.0
611.0,1111.0
598.0,1061.0
1132.0,218.0
1660.0,0.0
1929.0,109.0
1807.0,492.0
1920.0,693.0
1829.0,1601.0
1918.0,2941.0
1810.0,3993.0
1343.0,3496.0
582.0,2520.0
413.0,441.0
939.0,0.0
1580.0,631.0
2077.0,1549.0
2162.0,2320.0
2086.0,3235.0
2079.0,2969.0
2018.0,2607.0
1815.0,1597.0
924.0,330.0
705.0,749.0
762.0,724.0
1466.0,354.0
1993.0,429.0
2065.0,1352.0
1571.0,1360.0
1675.0,1103.0
1698.0,437.0
2204.0,1995.0
2145.0,3304.0
1389.0,3439.0
395.0,2862.0
388.0,0.0
1009.0,0.0
1675.0,578.0
2237.0,2291.0
2329.0,4408.0
1797.0,4882.0
1406.0,3449.0
1653.0,1383.0
1695.0,0.0
1560.0,0.0
1028.0,194.0
692.0,640.0
859.0,600.0
1500.0,356.0
2003.0,0.0
2042.0,137.0
1712.0,475.0
1739.0,847.0
1924.0,2291.0
2039.0,3985.0
1520.0,3918.0
819.0,3293.0
602.0,1344.0
1533.0,0.0
2193.0,326.0
2816.0,2809.0
2591.0,4893.0
1743.0,5356.0
1573.0,4312.0
2083.0,540.0
2228.0,0.0
1537.0,0.0
938.0,918.0
273.0,1149.0
611.0,1104.0
1295.0,136.0
2136.0,0.0
2472.0,0.0
2379.0,512.0
1977.0,986.0
2002.0,2345.0
2163.0,4126.0
1855.0,4981.0
924.0,3506.0
391.0,2141.0
851.0,0.0
1669.0,0.0
2430.0,133.0
2673.0,2058.0
2201.0,3902.0
