agg_orders_level_0,agg_orders_level_1
5080.0,25400.0
5110.0,25470.0
5180.0,25615.0
5175.0,20825.0
5210.0,640.0
5230.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
70.0,0.0
340.0,0.0
995.0,0.0
1959.0,0.0
2678.0,0.0
2787.0,0.0
2048.0,0.0
948.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
133.0,0.0
434.0,0.0
1287.0,0.0
2236.0,0.0
2880.0,0.0
2694.0,0.0
1792.0,0.0
479.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
78.0,0.0
329.0,0.0
961.0,0.0
1852.0,0.0
2577.0,0.0
2667.0,0.0
2067.0,0.0
980.0,0.0
249.0,0.0
0.0,0.0
38.0,0.0
228.0,0.0
727.0,0.0
1646.0,0.0
2612.0,0.0
3076.0,0.0
2693.0,0.0
1652.0,0.0
424.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
137.0,0.0
595.0,0.0
1415.0,0.0
2183.0,0.0
2671.0,0.0
2380.0,0.0
1558.0,0.0
790.0,0.0
481.0,0.0
0.0,0.0
1.0,0.0
227.0,0.0
745.0,290.0
1670.0,1759.0
2433.0,4028.0
2914.0,4962.0
2453.0,5717.0
1823.0,5165.0
2035.0,2891.0
1075.0,1186.0
532.0,0.0
33.0,0.0
259.0,0.0
601.0,0.0
948.0,0.0
1052.0,0.0
1032.0,0.0
1060.0,0.0
1477.0,0.0
2051.0,505.0
2100.0,1431.0
1421.0,2067.0
662.0,2142.0
387.0,1431.0
412.0,836.0
761.0,238.0
973.0,0.0
1074.0,0.0
1225.0,0.0
1633.0,607.0
2177.0,2511.0
2347.0,4867.0
1831.0,5865.0
935.0,4207.0
640.0,2085.0
635.0,410.0
997.0,0.0
1103.0,0.0
1146.0,0.0
1125.0,0.0
1566.0,0.0
2086.0,180.0
2133.0,824.0
1489.0,1251.0
864.0,1094.0
474.0,765.0
406.0,364.0
763.0,352.0
1005.0,343.0
1076.0,430.0
1009.0,557.0
1291.0,1625.0
1893.0,3273.0
2313.0,4970.0
2071.0,5601.0
1262.0,3759.0
606.0,1348.0
628.0,0.0
1029.0,0.0
1186.0,0.0
1261.0,0.0
