agg_orders_level_0,agg_orders_level_1
3388.0,13552.0
3912.0,14600.0
4024.0,12868.0
3928.0,2352.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
23.0,0.0
327.0,0.0
1117.0,0.0
1836.0,0.0
1752.0,0.0
1003.0,0.0
605.0,0.0
770.0,0.0
1287.0,0.0
1598.0,0.0
1419.0,0.0
850.0,0.0
451.0,0.0
534.0,0.0
1099.0,0.0
1475.0,0.0
1473.0,0.0
1059.0,0.0
626.0,0.0
712.0,0.0
1217.0,0.0
1612.0,301.0
1466.0,1135.0
885.0,1679.0
455.0,1018.0
611.0,309.0
1240.0,209.0
1672.0,1420.0
1460.0,2695.0
803.0,2038.0
496.0,536.0
681.0,0.0
1274.0,264.0
1663.0,1262.0
1549.0,2136.0
1028.0,1886.0
439.0,829.0
676.0,264.0
1307.0,0.0
1729.0,1086.0
1557.0,2467.0
811.0,2156.0
371.0,794.0
584.0,26.0
1406.0,0.0
1867.0,584.0
1598.0,1727.0
840.0,2047.0
465.0,981.0
607.0,318.0
1224.0,198.0
1772.0,1667.0
1553.0,2829.0
851.0,2049.0
333.0,852.0
533.0,98.0
1239.0,0.0
1715.0,212.0
1655.0,1632.0
1328.0,2796.0
734.0,1850.0
479.0,298.0
951.0,0.0
1592.0,428.0
1682.0,1646.0
1220.0,2486.0
593.0,1585.0
459.0,526.0
963.0,0.0
1646.0,522.0
1786.0,1793.0
1307.0,2495.0
826.0,1654.0
645.0,819.0
939.0,30.0
1514.0,418.0
1625.0,1259.0
1115.0,1986.0
593.0,1508.0
424.0,516.0
957.0,0.0
1600.0,433.0
1908.0,2183.0
1665.0,3491.0
1067.0,2359.0
674.0,396.0
973.0,0.0
1480.0,332.0
1855.0,1222.0
1532.0,2383.0
757.0,1878.0
378.0,745.0
751.0,0.0
1370.0,191.0
1910.0,1342.0
1803.0,2981.0
1143.0,2766.0
611.0,965.0
771.0,0.0
1282.0,0.0
1817.0,738.0
1932.0,2547.0
1243.0,3052.0
555.0,1374.0
691.0,0.0
1188.0,69.0
1654.0,799.0
1763.0,1925.0
1481.0,2623.0
1076.0,2097.0
865.0,568.0
930.0,0.0
1340.0,477.0
1739.0,1466.0
1675.0,2618.0
1191.0,2311.0
894.0,947.0
999.0,87.0
1262.0,703.0
1468.0,1296.0
1407.0,1759.0
1320.0,1944.0
1052.0,1402.0
973.0,120.0
1182.0,597.0
1498.0,1324.0
1630.0,2340.0
1308.0,2300.0
1033.0,1054.0
984.0,383.0
1382.0,982.0
1680.0,1534.0
1734.0,2214.0
1354.0,2297.0
906.0,975.0
1042.0,180.0
1595.0,791.0
1905.0,1808.0
1661.0,2734.0
1195.0,2155.0
794.0,656.0
905.0,0.0
1360.0,617.0
1711.0,1758.0
1610.0,2407.0
1085.0,1714.0
655.0,655.0
816.0,0.0
1465.0,117.0
2007.0,1837.0
1777.0,3577.0
1198.0,2930.0
631.0,278.0
831.0,0.0
1571.0,109.0
2153.0,1322.0
1858.0,3144.0
1081.0,2891.0
531.0,676.0
882.0,0.0
1603.0,93.0
2015.0,1252.0
1591.0,2697.0
1050.0,2499.0
784.0,783.0
1088.0,40.0
1647.0,583.0
1880.0,1839.0
1497.0,2797.0
768.0,1851.0
687.0,437.0
1157.0,0.0
1763.0,447.0
2096.0,2344.0
1765.0,3726.0
1036.0,2414.0
768.0,122.0
1023.0,0.0
1549.0,555.0
1935.0,1407.0
1750.0,2654.0
1108.0,2359.0
717.0,981.0
977.0,0.0
1751.0,483.0
2186.0,1956.0
1853.0,3406.0
1138.0,2592.0
714.0,608.0
1069.0,0.0
1880.0,446.0
2208.0,1821.0
1784.0,3235.0
928.0,2342.0
627.0,413.0
1031.0,0.0
1836.0,369.0
2248.0,2094.0
1727.0,3536.0
924.0,2370.0
699.0,476.0
1301.0,0.0
2167.0,517.0
2313.0,2472.0
1613.0,3640.0
688.0,1852.0
483.0,95.0
1112.0,0.0
2106.0,315.0
2442.0,2364.0
1973.0,4130.0
999.0,2777.0
429.0,171.0
844.0,0.0
1921.0,0.0
2320.0,1258.0
1798.0,3035.0
1032.0,2797.0
575.0,805.0
972.0,0.0
1835.0,133.0
2304.0,1842.0
1798.0,3595.0
943.0,2676.0
766.0,669.0
1268.0,0.0
2010.0,249.0
2218.0,1970.0
1678.0,3463.0
874.0,2359.0
698.0,621.0
1140.0,0.0
1958.0,293.0
2204.0,1896.0
1517.0,3176.0
723.0,1987.0
681.0,654.0
1402.0,19.0
2301.0,474.0
2459.0,2986.0
1677.0,4261.0
665.0,1912.0
482.0,0.0
1105.0,0.0
2115.0,131.0
2642.0,2047.0
2013.0,4037.0
738.0,2704.0
283.0,0.0
968.0,0.0
2161.0,13.0
2646.0,1965.0
2089.0,4149.0
939.0,3091.0
404.0,11.0
1011.0,0.0
2237.0,172.0
2877.0,2357.0
2144.0,4457.0
777.0,2849.0
267.0,0.0
692.0,0.0
2093.0,0.0
3021.0,1504.0
2318.0,3966.0
1039.0,3517.0
180.0,312.0
634.0,0.0
2004.0,0.0
2846.0,1278.0
2469.0,3895.0
1225.0,3862.0
270.0,496.0
412.0,0.0
1663.0,0.0
2783.0,632.0
2703.0,3456.0
1416.0,4248.0
314.0,978.0
541.0,0.0
1914.0,0.0
3039.0,1366.0
2797.0,4259.0
1369.0,4282.0
160.0,617.0
307.0,0.0
1707.0,0.0
3032.0,387.0
2901.0,3307.0
1571.0,4503.0
408.0,1460.0
489.0,0.0
1691.0,0.0
2905.0,859.0
2898.0,3688.0
1712.0,4589.0
412.0,1718.0
316.0,0.0
1521.0,0.0
2819.0,464.0
2849.0,2515.0
1595.0,3698.0
414.0,1679.0
592.0,0.0
1764.0,0.0
2904.0,1455.0
2791.0,4291.0
1503.0,4371.0
460.0,1211.0
605.0,0.0
1775.0,0.0
2898.0,387.0
2727.0,2975.0
1264.0,3896.0
329.0,1320.0
700.0,0.0
2040.0,0.0
3059.0,1653.0
2722.0,4571.0
1332.0,4302.0
275.0,639.0
565.0,0.0
1946.0,0.0
3145.0,571.0
2821.0,3542.0
1423.0,4474.0
244.0,1068.0
495.0,0.0
1942.0,0.0
3273.0,1136.0
3086.0,4438.0
1595.0,4981.0
164.0,695.0
233.0,0.0
1746.0,0.0
3158.0,155.0
3176.0,3280.0
1631.0,4860.0
170.0,1630.0
169.0,0.0
1719.0,0.0
3271.0,183.0
3276.0,3615.0
1597.0,5113.0
46.0,1420.0
303.0,0.0
1979.0,0.0
3359.0,520.0
3129.0,3725.0
1548.0,4845.0
127.0,1139.0
136.0,0.0
1570.0,0.0
3218.0,195.0
3410.0,3545.0
1975.0,5425.0
370.0,2146.0
317.0,0.0
1653.0,0.0
3068.0,217.0
3216.0,2865.0
1803.0,4551.0
281.0,1855.0
390.0,0.0
1900.0,0.0
3245.0,876.0
3059.0,4143.0
1493.0,4820.0
265.0,918.0
555.0,0.0
2102.0,0.0
3475.0,1258.0
3237.0,4597.0
1533.0,4940.0
48.0,1153.0
331.0,0.0
1955.0,0.0
3343.0,205.0
3047.0,2910.0
1429.0,4202.0
75.0,1227.0
272.0,0.0
1997.0,0.0
3491.0,1390.0
3479.0,5121.0
1866.0,5721.0
207.0,1321.0
359.0,0.0
2064.0,0.0
3590.0,161.0
3267.0,3013.0
1354.0,4302.0
82.0,1247.0
301.0,0.0
1991.0,0.0
3487.0,1293.0
3444.0,4993.0
1726.0,5546.0
216.0,964.0
312.0,0.0
1942.0,0.0
3513.0,168.0
3421.0,3387.0
1750.0,5089.0
160.0,1750.0
20.0,0.0
1487.0,0.0
3259.0,0.0
3562.0,3195.0
2201.0,5540.0
685.0,2958.0
218.0,0.0
1472.0,0.0
3061.0,0.0
3356.0,2547.0
2103.0,4782.0
532.0,2659.0
207.0,0.0
1508.0,0.0
3170.0,2.0
3543.0,3674.0
2277.0,6085.0
585.0,2880.0
324.0,0.0
1677.0,0.0
3173.0,0.0
3340.0,2445.0
2296.0,4893.0
985.0,3353.0
597.0,0.0
1499.0,0.0
2689.0,0.0
2930.0,2814.0
2097.0,5047.0
1102.0,3263.0
884.0,0.0
1808.0,0.0
2895.0,338.0
3023.0,3539.0
2077.0,5406.0
896.0,2671.0
655.0,0.0
1618.0,0.0
2975.0,189.0
3216.0,3074.0
2211.0,5240.0
1021.0,3115.0
830.0,7.0
1861.0,0.0
3047.0,373.0
3070.0,3557.0
1942.0,5250.0
755.0,2356.0
648.0,0.0
1752.0,0.0
3137.0,530.0
3158.0,3429.0
1779.0,4818.0
673.0,2104.0
959.0,0.0
2154.0,0.0
3224.0,1205.0
3081.0,4474.0
1791.0,5180.0
716.0,1673.0
776.0,0.0
1934.0,0.0
3178.0,618.0
3184.0,3585.0
1989.0,5092.0
693.0,2140.0
607.0,0.0
1954.0,0.0
3435.0,732.0
3316.0,4200.0
1889.0,5477.0
672.0,2013.0
698.0,0.0
2006.0,0.0
3307.0,746.0
3307.0,3665.0
1814.0,4825.0
603.0,1691.0
562.0,0.0
1781.0,0.0
3321.0,683.0
3521.0,4396.0
2268.0,6085.0
710.0,2307.0
441.0,0.0
1761.0,0.0
3289.0,262.0
3669.0,3099.0
2238.0,5195.0
578.0,2594.0
318.0,0.0
1634.0,0.0
3320.0,41.0
3698.0,3743.0
2455.0,6285.0
880.0,3342.0
592.0,0.0
1782.0,0.0
3281.0,110.0
3581.0,2983.0
2237.0,5238.0
579.0,2738.0
300.0,0.0
1763.0,0.0
3456.0,88.0
3686.0,4003.0
2246.0,6265.0
557.0,2687.0
530.0,0.0
2027.0,0.0
3588.0,399.0
3575.0,3531.0
2071.0,5303.0
536.0,2196.0
412.0,0.0
2023.0,0.0
3714.0,674.0
3664.0,4574.0
1912.0,5916.0
339.0,1549.0
447.0,0.0
2239.0,0.0
3803.0,687.0
3662.0,4299.0
1928.0,5636.0
251.0,1456.0
323.0,0.0
2077.0,0.0
3864.0,718.0
3755.0,4455.0
1938.0,5783.0
261.0,1477.0
425.0,0.0
2326.0,0.0
3904.0,724.0
3735.0,4651.0
1983.0,6022.0
371.0,1638.0
450.0,0.0
2075.0,0.0
3716.0,287.0
3721.0,3952.0
2072.0,5873.0
418.0,2247.0
319.0,0.0
2061.0,0.0
3838.0,351.0
4051.0,4388.0
2327.0,6496.0
588.0,2608.0
289.0,0.0
1850.0,0.0
3881.0,0.0
4104.0,3656.0
2282.0,6090.0
