id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1008.0,1008.0,0.0,3024.0,3024.0,708.0,300.0,708.0,300.0
0.0,0.0,1008.0,1008.0,3024.0,2016.0,2016.0,708.0,300.0,708.0,300.0
0.0,1008.0,18.0,678.0,2016.0,0.0,0.0,478.0,200.0,18.0,0.0
0.0,3006.0,345.0,595.0,0.0,0.0,0.0,420.0,175.0,245.0,100.0
0.0,2661.0,349.0,545.0,0.0,0.0,0.0,384.0,161.0,242.0,107.0
0.0,2312.0,358.0,515.0,0.0,0.0,0.0,363.0,152.0,255.0,103.0
0.0,1954.0,365.0,493.0,0.0,0.0,0.0,348.0,145.0,257.0,108.0
0.0,1589.0,350.0,475.0,0.0,186.0,186.0,336.0,139.0,254.0,96.0
0.0,1239.0,350.0,462.0,186.0,311.0,311.0,326.0,136.0,243.0,107.0
0.0,1075.0,351.0,450.0,311.0,315.0,315.0,317.0,133.0,244.0,107.0
0.0,1035.0,349.0,441.0,315.0,322.0,322.0,311.0,130.0,246.0,103.0
0.0,1001.0,364.0,434.0,322.0,343.0,343.0,306.0,128.0,254.0,110.0
0.0,959.0,340.0,428.0,343.0,322.0,322.0,301.0,127.0,234.0,106.0
0.0,962.0,351.0,422.0,322.0,333.0,333.0,297.0,125.0,246.0,105.0
0.0,933.0,344.0,417.0,333.0,329.0,329.0,293.0,124.0,240.0,104.0
0.0,922.0,354.0,413.0,329.0,342.0,342.0,290.0,123.0,247.0,107.0
0.0,897.0,345.0,409.0,342.0,333.0,333.0,287.0,122.0,242.0,103.0
0.0,894.0,348.0,406.0,333.0,339.0,339.0,285.0,121.0,243.0,105.0
0.0,879.0,357.0,403.0,339.0,348.0,348.0,283.0,120.0,249.0,108.0
0.0,861.0,357.0,400.0,348.0,348.0,348.0,281.0,119.0,251.0,106.0
0.0,852.0,347.0,398.0,348.0,341.0,341.0,280.0,118.0,244.0,103.0
0.0,853.0,358.0,396.0,341.0,352.0,352.0,278.0,118.0,250.0,108.0
0.0,836.0,340.0,394.0,352.0,334.0,334.0,277.0,117.0,241.0,99.0
0.0,848.0,351.0,392.0,334.0,345.0,345.0,275.0,117.0,246.0,105.0
0.0,831.0,347.0,390.0,345.0,341.0,341.0,274.0,116.0,246.0,101.0
0.0,829.0,351.0,389.0,341.0,348.0,348.0,273.0,116.0,246.0,105.0
0.0,819.0,350.0,387.0,348.0,344.0,344.0,272.0,115.0,245.0,105.0
0.0,817.0,347.0,386.0,344.0,344.0,344.0,271.0,115.0,243.0,104.0
0.0,814.0,349.0,384.0,344.0,343.0,343.0,270.0,114.0,244.0,105.0
0.0,809.0,354.0,383.0,343.0,351.0,351.0,269.0,114.0,249.0,105.0
0.0,798.0,348.0,382.0,351.0,345.0,345.0,268.0,114.0,243.0,105.0
