id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1002.0,1002.0,0.0,3006.0,3006.0,708.0,294.0,708.0,294.0
0.0,0.0,1002.0,1002.0,3006.0,2004.0,2004.0,708.0,294.0,708.0,294.0
0.0,1002.0,29.0,678.0,2004.0,0.0,0.0,482.0,196.0,29.0,0.0
0.0,2977.0,350.0,596.0,0.0,0.0,0.0,424.0,172.0,251.0,99.0
0.0,2627.0,370.0,551.0,0.0,0.0,0.0,391.0,160.0,257.0,113.0
0.0,2257.0,364.0,519.0,0.0,0.0,0.0,369.0,150.0,262.0,102.0
0.0,1893.0,389.0,501.0,0.0,0.0,0.0,356.0,145.0,278.0,111.0
0.0,1504.0,378.0,485.0,0.0,329.0,329.0,346.0,139.0,278.0,100.0
0.0,1126.0,368.0,472.0,329.0,329.0,329.0,336.0,136.0,256.0,112.0
0.0,1087.0,367.0,462.0,329.0,337.0,337.0,328.0,134.0,252.0,115.0
0.0,1049.0,363.0,453.0,337.0,336.0,336.0,322.0,131.0,258.0,105.0
0.0,1023.0,382.0,447.0,336.0,364.0,364.0,317.0,130.0,267.0,115.0
0.0,977.0,339.0,438.0,364.0,312.0,312.0,310.0,128.0,229.0,110.0
0.0,1002.0,365.0,433.0,312.0,350.0,350.0,306.0,127.0,255.0,110.0
0.0,949.0,351.0,428.0,350.0,336.0,336.0,302.0,126.0,244.0,107.0
0.0,948.0,358.0,424.0,336.0,346.0,346.0,299.0,125.0,249.0,109.0
0.0,926.0,350.0,420.0,346.0,338.0,338.0,296.0,124.0,246.0,104.0
0.0,922.0,352.0,416.0,338.0,340.0,340.0,293.0,123.0,245.0,107.0
0.0,908.0,357.0,413.0,340.0,348.0,348.0,291.0,122.0,252.0,105.0
0.0,891.0,368.0,410.0,348.0,359.0,359.0,289.0,121.0,258.0,110.0
0.0,871.0,346.0,407.0,359.0,337.0,337.0,287.0,120.0,245.0,101.0
0.0,884.0,368.0,406.0,337.0,365.0,365.0,286.0,120.0,257.0,111.0
0.0,853.0,331.0,403.0,365.0,322.0,322.0,284.0,119.0,237.0,94.0
0.0,887.0,354.0,400.0,322.0,345.0,345.0,282.0,118.0,248.0,106.0
0.0,855.0,354.0,398.0,345.0,348.0,348.0,281.0,117.0,253.0,101.0
0.0,846.0,346.0,396.0,348.0,340.0,340.0,279.0,117.0,241.0,105.0
0.0,848.0,347.0,394.0,340.0,341.0,341.0,278.0,116.0,243.0,104.0
0.0,841.0,338.0,392.0,341.0,332.0,332.0,276.0,116.0,236.0,102.0
0.0,844.0,342.0,391.0,332.0,339.0,339.0,275.0,116.0,238.0,104.0
0.0,834.0,349.0,389.0,339.0,343.0,343.0,274.0,115.0,247.0,102.0
0.0,824.0,333.0,388.0,343.0,330.0,330.0,273.0,115.0,234.0,99.0
0.0,834.0,355.0,386.0,330.0,349.0,349.0,272.0,114.0,246.0,109.0
0.0,809.0,352.0,385.0,349.0,349.0,349.0,271.0,114.0,246.0,106.0
0.0,806.0,353.0,385.0,349.0,353.0,353.0,271.0,114.0,248.0,105.0
0.0,802.0,352.0,384.0,353.0,349.0,349.0,270.0,114.0,246.0,106.0
0.0,803.0,343.0,382.0,349.0,337.0,337.0,269.0,113.0,242.0,101.0
0.0,809.0,328.0,381.0,337.0,325.0,325.0,268.0,113.0,233.0,95.0
0.0,818.0,344.0,380.0,325.0,341.0,341.0,267.0,113.0,239.0,105.0
0.0,799.0,344.0,379.0,341.0,341.0,341.0,267.0,112.0,241.0,103.0
0.0,796.0,353.0,378.0,341.0,350.0,350.0,266.0,112.0,247.0,106.0
0.0,784.0,324.0,377.0,350.0,321.0,321.0,265.0,112.0,218.0,106.0
0.0,810.0,336.0,376.0,321.0,333.0,333.0,264.0,112.0,242.0,94.0
0.0,795.0,357.0,376.0,333.0,357.0,357.0,264.0,112.0,246.0,111.0
0.0,771.0,344.0,374.0,357.0,338.0,338.0,263.0,111.0,237.0,107.0
0.0,784.0,345.0,375.0,338.0,348.0,348.0,263.0,112.0,231.0,114.0
0.0,777.0,335.0,373.0,348.0,329.0,329.0,262.0,111.0,230.0,105.0
0.0,790.0,361.0,373.0,329.0,361.0,361.0,262.0,111.0,247.0,114.0
0.0,758.0,359.0,373.0,361.0,359.0,359.0,262.0,111.0,255.0,104.0
0.0,760.0,371.0,373.0,359.0,371.0,371.0,262.0,111.0,259.0,112.0
0.0,748.0,363.0,372.0,371.0,360.0,360.0,261.0,111.0,255.0,108.0
0.0,756.0,355.0,372.0,360.0,355.0,355.0,261.0,111.0,249.0,106.0
0.0,761.0,354.0,372.0,355.0,354.0,354.0,261.0,111.0,244.0,110.0
0.0,762.0,378.0,360.0,354.0,342.0,342.0,252.0,108.0,260.0,118.0
0.0,738.0,391.0,348.0,342.0,355.0,355.0,244.0,104.0,272.0,119.0
0.0,689.0,362.0,354.0,355.0,380.0,380.0,248.0,106.0,252.0,110.0
0.0,682.0,392.0,356.0,380.0,398.0,398.0,249.0,107.0,277.0,115.0
0.0,670.0,406.0,356.0,398.0,406.0,406.0,249.0,107.0,283.0,123.0
0.0,662.0,410.0,357.0,406.0,413.0,413.0,250.0,107.0,288.0,122.0
0.0,658.0,378.0,356.0,413.0,375.0,375.0,249.0,107.0,270.0,108.0
0.0,693.0,393.0,357.0,375.0,396.0,396.0,249.0,108.0,280.0,113.0
0.0,675.0,390.0,358.0,396.0,393.0,393.0,250.0,108.0,280.0,110.0
0.0,681.0,391.0,358.0,393.0,391.0,391.0,250.0,108.0,274.0,117.0
0.0,683.0,427.0,359.0,391.0,430.0,430.0,251.0,108.0,302.0,125.0
0.0,647.0,399.0,360.0,430.0,402.0,402.0,252.0,108.0,282.0,117.0
0.0,678.0,404.0,361.0,402.0,407.0,407.0,253.0,108.0,288.0,116.0
0.0,676.0,399.0,361.0,407.0,399.0,399.0,253.0,108.0,280.0,119.0
0.0,684.0,416.0,362.0,399.0,419.0,419.0,254.0,108.0,298.0,118.0
0.0,667.0,407.0,364.0,419.0,413.0,413.0,255.0,109.0,292.0,115.0
0.0,679.0,395.0,365.0,413.0,398.0,398.0,256.0,109.0,279.0,116.0
0.0,697.0,371.0,365.0,398.0,371.0,371.0,256.0,109.0,257.0,114.0
0.0,724.0,397.0,365.0,371.0,397.0,397.0,256.0,109.0,274.0,123.0
0.0,698.0,384.0,366.0,397.0,387.0,387.0,257.0,109.0,275.0,109.0
0.0,711.0,397.0,367.0,387.0,400.0,400.0,257.0,110.0,280.0,117.0
0.0,701.0,386.0,367.0,400.0,386.0,386.0,257.0,110.0,262.0,124.0
0.0,715.0,395.0,368.0,386.0,398.0,398.0,258.0,110.0,283.0,112.0
0.0,706.0,368.0,368.0,398.0,368.0,368.0,258.0,110.0,257.0,111.0
0.0,736.0,380.0,370.0,368.0,386.0,386.0,259.0,111.0,263.0,117.0
0.0,724.0,388.0,370.0,386.0,388.0,388.0,259.0,111.0,279.0,109.0
0.0,722.0,384.0,371.0,388.0,387.0,387.0,260.0,111.0,265.0,119.0
0.0,726.0,397.0,372.0,387.0,400.0,400.0,261.0,111.0,290.0,107.0
0.0,716.0,388.0,373.0,400.0,391.0,391.0,262.0,111.0,274.0,114.0
0.0,728.0,376.0,373.0,391.0,376.0,376.0,262.0,111.0,263.0,113.0
0.0,743.0,379.0,374.0,376.0,382.0,382.0,262.0,112.0,269.0,110.0
0.0,740.0,369.0,375.0,382.0,372.0,372.0,263.0,112.0,259.0,110.0
0.0,753.0,364.0,375.0,372.0,364.0,364.0,263.0,112.0,257.0,107.0
0.0,761.0,391.0,376.0,364.0,394.0,394.0,264.0,112.0,280.0,111.0
