agg_orders_level_0,agg_orders_level_1
5330.0,26650.0
5325.0,26635.0
5390.0,26740.0
5245.0,21250.0
5235.0,285.0
5170.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
64.0,0.0
232.0,0.0
590.0,0.0
1145.0,0.0
1744.0,0.0
2375.0,0.0
2511.0,0.0
2297.0,0.0
1596.0,0.0
663.0,0.0
0.0,0.0
0.0,0.0
143.0,0.0
298.0,0.0
440.0,0.0
633.0,0.0
949.0,0.0
1414.0,0.0
2080.0,0.0
2540.0,0.0
2270.0,0.0
1308.0,0.0
698.0,0.0
545.0,0.0
641.0,0.0
477.0,0.0
357.0,0.0
358.0,0.0
636.0,0.0
1159.0,0.0
1846.0,0.0
2265.0,0.0
2451.0,0.0
2190.0,0.0
1316.0,0.0
955.0,0.0
862.0,0.0
788.0,0.0
723.0,0.0
523.0,0.0
171.0,0.0
293.0,0.0
700.0,0.0
1314.0,0.0
1909.0,0.0
2679.0,0.0
2706.0,0.0
2017.0,0.0
1526.0,0.0
763.0,12.0
58.0,12.0
160.0,12.0
260.0,0.0
444.0,0.0
673.0,0.0
1039.0,0.0
1352.0,0.0
1989.0,376.0
2522.0,2371.0
2257.0,3738.0
1743.0,3833.0
1455.0,3490.0
880.0,2457.0
1114.0,1751.0
666.0,1081.0
386.0,1044.0
652.0,941.0
807.0,660.0
1068.0,360.0
1122.0,0.0
1179.0,0.0
1515.0,0.0
1573.0,0.0
1560.0,45.0
1498.0,283.0
1368.0,1362.0
1012.0,2369.0
894.0,3015.0
673.0,2356.0
490.0,1752.0
216.0,320.0
540.0,0.0
961.0,0.0
1741.0,384.0
2206.0,2163.0
2404.0,3830.0
2402.0,3879.0
2067.0,3064.0
1371.0,1079.0
953.0,1137.0
0.0,1137.0
128.0,754.0
353.0,0.0
676.0,0.0
1069.0,0.0
1640.0,0.0
2251.0,686.0
2502.0,971.0
2650.0,1807.0
1906.0,3017.0
1015.0,2959.0
271.0,2286.0
49.0,1023.0
264.0,0.0
583.0,0.0
873.0,0.0
1242.0,155.0
1612.0,1063.0
2074.0,2524.0
2450.0,3365.0
2423.0,2933.0
1705.0,1967.0
1150.0,1063.0
711.0,1097.0
896.0,842.0
949.0,1062.0
766.0,1737.0
500.0,1661.0
902.0,608.0
1460.0,0.0
1847.0,0.0
2015.0,0.0
1950.0,1159.0
1872.0,2271.0
1480.0,2273.0
