id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,993.0,993.0,0.0,2979.0,2979.0,708.0,285.0,708.0,285.0
0.0,0.0,1062.0,1028.0,2979.0,2160.0,2160.0,738.0,290.0,768.0,294.0
0.0,924.0,95.0,717.0,2160.0,0.0,0.0,524.0,193.0,95.0,0.0
0.0,2989.0,327.0,619.0,0.0,0.0,0.0,448.0,171.0,221.0,106.0
0.0,2662.0,308.0,557.0,0.0,0.0,0.0,400.0,157.0,208.0,100.0
0.0,2354.0,286.0,512.0,0.0,0.0,0.0,366.0,146.0,197.0,89.0
0.0,2068.0,309.0,483.0,0.0,0.0,0.0,343.0,140.0,201.0,108.0
0.0,1759.0,355.0,467.0,0.0,0.0,0.0,332.0,135.0,260.0,95.0
0.0,1404.0,405.0,460.0,0.0,381.0,381.0,326.0,134.0,280.0,125.0
0.0,999.0,363.0,451.0,381.0,336.0,336.0,318.0,133.0,237.0,126.0
0.0,1017.0,323.0,439.0,336.0,287.0,287.0,309.0,130.0,224.0,99.0
0.0,1030.0,336.0,430.0,287.0,309.0,309.0,303.0,127.0,234.0,102.0
0.0,981.0,253.0,416.0,309.0,211.0,211.0,291.0,125.0,154.0,99.0
0.0,1037.0,278.0,406.0,211.0,248.0,248.0,283.0,123.0,178.0,100.0
0.0,970.0,325.0,402.0,248.0,313.0,313.0,279.0,123.0,214.0,111.0
0.0,893.0,400.0,401.0,313.0,397.0,397.0,279.0,122.0,279.0,121.0
0.0,806.0,366.0,399.0,397.0,360.0,360.0,277.0,122.0,259.0,107.0
0.0,837.0,345.0,396.0,360.0,336.0,336.0,275.0,121.0,237.0,108.0
0.0,852.0,328.0,393.0,336.0,319.0,319.0,274.0,119.0,245.0,83.0
0.0,860.0,324.0,389.0,319.0,312.0,312.0,272.0,117.0,234.0,90.0
0.0,855.0,275.0,384.0,312.0,260.0,260.0,268.0,116.0,191.0,84.0
0.0,892.0,398.0,384.0,260.0,398.0,398.0,268.0,116.0,273.0,125.0
0.0,754.0,386.0,385.0,398.0,389.0,389.0,269.0,116.0,285.0,101.0
0.0,766.0,403.0,385.0,389.0,403.0,403.0,269.0,116.0,279.0,124.0
0.0,752.0,359.0,384.0,403.0,356.0,356.0,269.0,115.0,263.0,96.0
0.0,796.0,333.0,382.0,356.0,327.0,327.0,268.0,114.0,244.0,89.0
0.0,819.0,285.0,379.0,327.0,276.0,276.0,266.0,113.0,204.0,81.0
0.0,861.0,265.0,374.0,276.0,250.0,250.0,262.0,112.0,177.0,88.0
0.0,872.0,356.0,374.0,250.0,356.0,356.0,262.0,112.0,239.0,117.0
0.0,766.0,426.0,376.0,356.0,432.0,432.0,263.0,113.0,302.0,124.0
0.0,696.0,386.0,376.0,432.0,386.0,386.0,263.0,113.0,258.0,128.0
0.0,742.0,367.0,375.0,386.0,364.0,364.0,262.0,113.0,247.0,120.0
0.0,761.0,338.0,375.0,364.0,338.0,338.0,262.0,113.0,243.0,95.0
0.0,787.0,320.0,373.0,338.0,314.0,314.0,261.0,112.0,230.0,90.0
0.0,805.0,305.0,371.0,314.0,299.0,299.0,259.0,112.0,208.0,97.0
0.0,814.0,360.0,370.0,299.0,357.0,357.0,259.0,111.0,256.0,104.0
0.0,753.0,409.0,372.0,357.0,415.0,415.0,260.0,112.0,291.0,118.0
0.0,701.0,409.0,372.0,415.0,409.0,409.0,260.0,112.0,274.0,135.0
0.0,707.0,383.0,373.0,409.0,386.0,386.0,261.0,112.0,266.0,117.0
0.0,733.0,384.0,373.0,386.0,384.0,384.0,261.0,112.0,281.0,103.0
0.0,735.0,294.0,372.0,384.0,291.0,291.0,260.0,112.0,202.0,92.0
0.0,825.0,298.0,369.0,291.0,289.0,289.0,259.0,110.0,233.0,65.0
0.0,818.0,397.0,371.0,289.0,403.0,403.0,260.0,111.0,281.0,116.0
0.0,710.0,446.0,372.0,403.0,449.0,449.0,261.0,111.0,316.0,130.0
0.0,667.0,433.0,373.0,449.0,436.0,436.0,261.0,112.0,290.0,143.0
0.0,683.0,367.0,373.0,436.0,367.0,367.0,261.0,112.0,250.0,117.0
0.0,752.0,396.0,374.0,367.0,399.0,399.0,262.0,112.0,281.0,115.0
0.0,723.0,344.0,373.0,399.0,341.0,341.0,262.0,111.0,264.0,80.0
0.0,778.0,334.0,372.0,341.0,331.0,331.0,261.0,111.0,244.0,90.0
0.0,785.0,389.0,373.0,331.0,392.0,392.0,262.0,111.0,285.0,104.0
0.0,727.0,429.0,374.0,392.0,432.0,432.0,263.0,111.0,312.0,117.0
0.0,690.0,386.0,374.0,432.0,386.0,386.0,263.0,111.0,261.0,125.0
0.0,736.0,400.0,362.0,386.0,364.0,364.0,254.0,108.0,263.0,137.0
0.0,722.0,390.0,350.0,364.0,354.0,354.0,245.0,105.0,273.0,117.0
0.0,696.0,299.0,354.0,354.0,311.0,311.0,247.0,107.0,208.0,91.0
0.0,751.0,315.0,353.0,311.0,312.0,312.0,247.0,106.0,221.0,94.0
0.0,747.0,380.0,355.0,312.0,386.0,386.0,248.0,107.0,268.0,112.0
0.0,679.0,456.0,357.0,386.0,462.0,462.0,250.0,107.0,324.0,132.0
0.0,609.0,385.0,360.0,462.0,394.0,394.0,252.0,108.0,272.0,113.0
0.0,686.0,370.0,360.0,394.0,370.0,370.0,252.0,108.0,252.0,118.0
0.0,710.0,350.0,358.0,370.0,344.0,344.0,251.0,107.0,252.0,98.0
0.0,730.0,314.0,358.0,344.0,314.0,314.0,251.0,107.0,213.0,101.0
0.0,760.0,365.0,358.0,314.0,365.0,365.0,251.0,107.0,254.0,111.0
0.0,709.0,357.0,359.0,365.0,360.0,360.0,252.0,107.0,253.0,104.0
0.0,717.0,433.0,363.0,360.0,445.0,445.0,255.0,108.0,320.0,113.0
0.0,644.0,422.0,365.0,445.0,428.0,428.0,257.0,108.0,291.0,131.0
0.0,667.0,422.0,367.0,428.0,428.0,428.0,259.0,108.0,298.0,124.0
0.0,673.0,392.0,367.0,428.0,392.0,392.0,259.0,108.0,284.0,108.0
0.0,709.0,350.0,366.0,392.0,347.0,347.0,258.0,108.0,250.0,100.0
0.0,751.0,281.0,365.0,347.0,278.0,278.0,257.0,108.0,181.0,100.0
0.0,817.0,390.0,367.0,278.0,396.0,396.0,258.0,109.0,269.0,121.0
0.0,705.0,430.0,369.0,396.0,436.0,436.0,260.0,109.0,325.0,105.0
0.0,671.0,449.0,372.0,436.0,458.0,458.0,262.0,110.0,319.0,130.0
0.0,658.0,388.0,372.0,458.0,388.0,388.0,262.0,110.0,255.0,133.0
0.0,728.0,419.0,372.0,388.0,419.0,419.0,262.0,110.0,303.0,116.0
0.0,697.0,313.0,371.0,419.0,310.0,310.0,261.0,110.0,214.0,99.0
0.0,803.0,333.0,370.0,310.0,330.0,330.0,260.0,110.0,213.0,120.0
0.0,780.0,398.0,372.0,330.0,404.0,404.0,261.0,111.0,289.0,109.0
0.0,712.0,460.0,375.0,404.0,469.0,469.0,263.0,112.0,323.0,137.0
0.0,656.0,458.0,378.0,469.0,467.0,467.0,266.0,112.0,342.0,116.0
0.0,667.0,399.0,379.0,467.0,402.0,402.0,267.0,112.0,276.0,123.0
0.0,735.0,375.0,378.0,402.0,372.0,372.0,266.0,112.0,260.0,115.0
0.0,762.0,343.0,378.0,372.0,343.0,343.0,266.0,112.0,238.0,105.0
0.0,791.0,321.0,377.0,343.0,318.0,318.0,265.0,112.0,209.0,112.0
0.0,813.0,362.0,377.0,318.0,362.0,362.0,265.0,112.0,248.0,114.0
0.0,769.0,468.0,380.0,362.0,477.0,477.0,267.0,113.0,339.0,129.0
0.0,663.0,427.0,382.0,477.0,433.0,433.0,269.0,113.0,318.0,109.0
0.0,713.0,409.0,383.0,433.0,412.0,412.0,270.0,113.0,298.0,111.0
0.0,737.0,373.0,383.0,412.0,373.0,373.0,270.0,113.0,260.0,113.0
0.0,776.0,384.0,382.0,373.0,381.0,381.0,270.0,112.0,278.0,106.0
0.0,765.0,342.0,381.0,381.0,339.0,339.0,269.0,112.0,222.0,120.0
0.0,804.0,449.0,382.0,339.0,452.0,452.0,269.0,113.0,306.0,143.0
0.0,694.0,454.0,385.0,452.0,463.0,463.0,271.0,114.0,319.0,135.0
0.0,692.0,430.0,388.0,463.0,439.0,439.0,273.0,115.0,293.0,137.0
0.0,725.0,407.0,389.0,439.0,410.0,410.0,273.0,116.0,283.0,124.0
0.0,757.0,409.0,387.0,410.0,403.0,403.0,272.0,115.0,295.0,114.0
0.0,758.0,361.0,386.0,403.0,358.0,358.0,272.0,114.0,255.0,106.0
0.0,800.0,328.0,385.0,358.0,325.0,325.0,271.0,114.0,225.0,103.0
0.0,830.0,370.0,384.0,325.0,367.0,367.0,270.0,114.0,248.0,122.0
0.0,785.0,446.0,387.0,367.0,455.0,455.0,271.0,116.0,302.0,144.0
