agg_orders_level_0,agg_orders_level_1
4036.0,16144.0
4236.0,16544.0
4336.0,13276.0
4220.0,968.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
154.0,0.0
607.0,0.0
1220.0,0.0
1613.0,0.0
1679.0,0.0
1258.0,0.0
680.0,0.0
533.0,0.0
814.0,0.0
981.0,0.0
1239.0,0.0
1393.0,0.0
1351.0,0.0
1135.0,0.0
816.0,0.0
596.0,0.0
622.0,0.0
1068.0,0.0
1669.0,0.0
1832.0,0.0
1305.0,0.0
513.0,0.0
290.0,0.0
682.0,0.0
1315.0,205.0
1787.0,1800.0
1657.0,3304.0
1004.0,2488.0
455.0,0.0
458.0,0.0
832.0,0.0
1425.0,434.0
1834.0,1616.0
1688.0,2914.0
995.0,2273.0
396.0,288.0
507.0,0.0
850.0,49.0
1514.0,504.0
1932.0,1892.0
1642.0,3070.0
882.0,1812.0
420.0,0.0
478.0,0.0
973.0,0.0
1687.0,45.0
2072.0,2012.0
1627.0,3668.0
741.0,2507.0
361.0,0.0
421.0,0.0
1063.0,0.0
1732.0,489.0
1987.0,2268.0
1542.0,3341.0
745.0,1750.0
344.0,0.0
600.0,0.0
1221.0,0.0
1791.0,603.0
1847.0,2526.0
1396.0,3355.0
770.0,1563.0
555.0,0.0
802.0,0.0
1234.0,0.0
1579.0,771.0
1695.0,2554.0
1436.0,3283.0
1037.0,1762.0
722.0,0.0
714.0,0.0
905.0,0.0
1375.0,736.0
1740.0,2161.0
1664.0,3165.0
1181.0,2169.0
670.0,99.0
606.0,0.0
922.0,0.0
1549.0,451.0
1971.0,2486.0
1735.0,3838.0
1052.0,2376.0
521.0,0.0
473.0,0.0
1028.0,0.0
1761.0,287.0
2078.0,2055.0
1694.0,3530.0
872.0,2299.0
300.0,0.0
603.0,0.0
1155.0,0.0
1767.0,620.0
2048.0,2383.0
1668.0,3479.0
879.0,1919.0
529.0,118.0
698.0,0.0
989.0,0.0
1570.0,670.0
2016.0,2245.0
1873.0,3512.0
1162.0,2385.0
609.0,186.0
539.0,0.0
984.0,0.0
1744.0,777.0
2131.0,2369.0
1829.0,3465.0
978.0,2014.0
459.0,0.0
553.0,0.0
1121.0,165.0
1846.0,683.0
2071.0,2476.0
1622.0,3435.0
814.0,1725.0
415.0,0.0
613.0,0.0
1354.0,192.0
2083.0,994.0
2146.0,3056.0
1470.0,3576.0
665.0,1129.0
459.0,0.0
928.0,0.0
1689.0,341.0
2058.0,1554.0
1847.0,3148.0
1312.0,2938.0
808.0,1010.0
780.0,0.0
1094.0,97.0
1474.0,652.0
1650.0,1475.0
1588.0,2495.0
1415.0,2467.0
1275.0,1321.0
1165.0,519.0
1053.0,1004.0
1049.0,718.0
1291.0,524.0
1632.0,1827.0
1846.0,2794.0
1571.0,2522.0
944.0,1233.0
448.0,109.0
753.0,0.0
1540.0,276.0
2343.0,1908.0
2328.0,4068.0
1424.0,3517.0
324.0,700.0
317.0,0.0
878.0,0.0
1977.0,0.0
2664.0,1702.0
2179.0,3710.0
917.0,2861.0
152.0,422.0
464.0,0.0
1280.0,0.0
2187.0,238.0
2404.0,2399.0
1795.0,4008.0
734.0,2255.0
331.0,0.0
744.0,0.0
1559.0,38.0
2262.0,1227.0
2286.0,3264.0
1555.0,3612.0
630.0,871.0
529.0,0.0
989.0,0.0
1687.0,224.0
2167.0,1799.0
2009.0,3668.0
1319.0,3160.0
761.0,311.0
850.0,0.0
1165.0,0.0
1653.0,502.0
1897.0,2311.0
1798.0,3655.0
1447.0,2799.0
1109.0,401.0
1005.0,85.0
1093.0,142.0
1368.0,640.0
1653.0,1873.0
1756.0,3045.0
1639.0,2855.0
1401.0,1623.0
1137.0,0.0
1054.0,606.0
1055.0,1066.0
1403.0,1193.0
1959.0,1689.0
2096.0,2818.0
1641.0,2652.0
968.0,1211.0
