agg_orders_level_0,agg_orders_level_1
4192.0,16768.0
4208.0,16800.0
4176.0,12576.0
4172.0,80.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
196.0,0.0
745.0,0.0
1551.0,0.0
1842.0,0.0
1263.0,0.0
525.0,0.0
324.0,0.0
854.0,0.0
1531.0,0.0
1755.0,0.0
1166.0,0.0
575.0,0.0
344.0,0.0
956.0,0.0
1569.0,0.0
1649.0,0.0
932.0,0.0
337.0,0.0
526.0,0.0
1401.0,0.0
1973.0,0.0
1561.0,145.0
569.0,196.0
149.0,7.0
480.0,0.0
1324.0,901.0
1875.0,2856.0
1616.0,3619.0
929.0,1660.0
350.0,0.0
492.0,0.0
1352.0,0.0
1880.0,395.0
1653.0,2096.0
752.0,2413.0
250.0,537.0
548.0,0.0
1235.0,0.0
1728.0,1052.0
1498.0,2582.0
941.0,2455.0
469.0,628.0
631.0,0.0
1243.0,0.0
1841.0,258.0
1666.0,1796.0
1107.0,2737.0
567.0,1548.0
616.0,310.0
1173.0,68.0
1614.0,754.0
1532.0,2204.0
1010.0,2516.0
667.0,1404.0
667.0,79.0
1169.0,0.0
1698.0,422.0
1734.0,2252.0
1114.0,3000.0
630.0,1515.0
581.0,115.0
1134.0,0.0
1827.0,523.0
1961.0,2275.0
1212.0,3036.0
535.0,1534.0
457.0,0.0
1132.0,0.0
1866.0,201.0
2003.0,2220.0
1460.0,3559.0
529.0,1792.0
206.0,0.0
918.0,0.0
1929.0,132.0
2174.0,1744.0
1538.0,3234.0
503.0,1933.0
173.0,200.0
876.0,0.0
1909.0,0.0
2354.0,1918.0
1628.0,3634.0
487.0,2131.0
49.0,0.0
584.0,0.0
1633.0,0.0
2283.0,919.0
1983.0,3010.0
1017.0,3092.0
168.0,388.0
346.0,0.0
1230.0,0.0
1952.0,489.0
1932.0,2254.0
1272.0,3045.0
541.0,1352.0
535.0,32.0
1148.0,0.0
1815.0,450.0
1875.0,2288.0
1238.0,3080.0
746.0,1470.0
761.0,164.0
1127.0,0.0
1660.0,739.0
1745.0,2157.0
1273.0,2699.0
696.0,1162.0
754.0,505.0
1498.0,0.0
2012.0,1164.0
1621.0,2821.0
999.0,2644.0
500.0,863.0
639.0,175.0
1334.0,0.0
1915.0,445.0
1929.0,2478.0
1030.0,3063.0
409.0,1020.0
631.0,0.0
1559.0,0.0
2176.0,1189.0
1817.0,3130.0
1024.0,2977.0
476.0,759.0
545.0,116.0
1351.0,0.0
2179.0,442.0
2165.0,2743.0
1387.0,3720.0
414.0,1275.0
398.0,0.0
1304.0,0.0
2309.0,272.0
2273.0,2704.0
1253.0,3737.0
359.0,1296.0
436.0,0.0
1437.0,0.0
2281.0,461.0
1992.0,2465.0
1112.0,3172.0
511.0,1170.0
894.0,0.0
1770.0,0.0
2242.0,1706.0
1886.0,3692.0
949.0,2971.0
316.0,0.0
742.0,0.0
1841.0,77.0
2523.0,1678.0
2086.0,3791.0
1023.0,3156.0
196.0,68.0
539.0,0.0
1909.0,0.0
2628.0,1369.0
2152.0,3633.0
830.0,3106.0
85.0,0.0
379.0,0.0
1704.0,0.0
2645.0,1072.0
2243.0,3455.0
763.0,3154.0
46.0,256.0
465.0,0.0
1856.0,0.0
2811.0,1387.0
2428.0,3967.0
964.0,3576.0
0.0,0.0
297.0,0.0
1709.0,0.0
2786.0,681.0
2383.0,3216.0
1043.0,3614.0
119.0,463.0
315.0,0.0
1671.0,0.0
2763.0,1021.0
2407.0,3580.0
1003.0,3610.0
122.0,192.0
439.0,0.0
1801.0,0.0
2839.0,1277.0
2408.0,3841.0
922.0,3530.0
23.0,107.0
465.0,0.0
1959.0,0.0
2877.0,1260.0
2283.0,3679.0
778.0,3185.0
57.0,115.0
573.0,0.0
2017.0,0.0
2949.0,1710.0
2395.0,4265.0
811.0,3362.0
50.0,0.0
436.0,0.0
1791.0,0.0
2759.0,591.0
2488.0,3259.0
1249.0,3969.0
285.0,867.0
396.0,0.0
1371.0,0.0
2468.0,568.0
2662.0,3020.0
1756.0,4316.0
654.0,1870.0
479.0,0.0
1164.0,0.0
2092.0,107.0
2472.0,1927.0
1921.0,3853.0
888.0,2742.0
579.0,0.0
1045.0,0.0
1832.0,72.0
2096.0,1647.0
1563.0,3234.0
967.0,2498.0
676.0,256.0
1370.0,0.0
2191.0,832.0
2197.0,2952.0
1769.0,4005.0
987.0,1980.0
726.0,60.0
1375.0,0.0
2107.0,441.0
2201.0,2356.0
1454.0,3453.0
680.0,1685.0
671.0,100.0
1548.0,0.0
2376.0,1030.0
2296.0,3390.0
1267.0,3691.0
391.0,1159.0
616.0,0.0
1710.0,0.0
2678.0,742.0
2434.0,3272.0
1067.0,3637.0
324.0,933.0
547.0,0.0
1785.0,0.0
2716.0,947.0
2426.0,3557.0
1180.0,3850.0
304.0,843.0
569.0,0.0
1867.0,0.0
2666.0,805.0
2191.0,3121.0
1065.0,3429.0
398.0,789.0
1055.0,0.0
2281.0,150.0
2762.0,2454.0
1858.0,4258.0
734.0,2554.0
452.0,51.0
1231.0,0.0
2292.0,118.0
2627.0,2213.0
1823.0,3982.0
671.0,2448.0
437.0,0.0
1445.0,0.0
2798.0,846.0
2978.0,3764.0
1768.0,4750.0
222.0,1172.0
19.0,0.0
1251.0,0.0
2925.0,0.0
3348.0,2789.0
2018.0,4895.0
261.0,2327.0
16.0,0.0
1086.0,0.0
2509.0,0.0
3112.0,1796.0
2250.0,4174.0
826.0,3212.0
160.0,119.0
772.0,0.0
2324.0,0.0
3091.0,1962.0
2441.0,4559.0
980.0,3605.0
165.0,0.0
831.0,0.0
2047.0,0.0
2952.0,1300.0
2571.0,4039.0
1327.0,4130.0
413.0,765.0
736.0,0.0
2009.0,0.0
2955.0,1301.0
2535.0,3864.0
1191.0,3798.0
269.0,670.0
826.0,0.0
2310.0,0.0
3268.0,2047.0
2641.0,4860.0
948.0,3761.0
188.0,0.0
838.0,0.0
2363.0,0.0
2978.0,1407.0
2396.0,3955.0
1023.0,3555.0
295.0,117.0
990.0,0.0
2375.0,258.0
3201.0,2741.0
2426.0,5061.0
1040.0,3332.0
248.0,0.0
969.0,0.0
2375.0,0.0
3357.0,1832.0
2799.0,4839.0
1172.0,4175.0
55.0,323.0
574.0,0.0
2257.0,0.0
3371.0,1032.0
3031.0,4178.0
1273.0,4431.0
144.0,679.0
533.0,0.0
2014.0,0.0
2997.0,1201.0
2710.0,3513.0
1635.0,4011.0
755.0,1293.0
813.0,0.0
1727.0,0.0
2556.0,1165.0
2527.0,3520.0
1697.0,4124.0
961.0,1805.0
989.0,0.0
1940.0,13.0
2604.0,1443.0
2286.0,3394.0
1279.0,3274.0
794.0,1251.0
1241.0,276.0
2309.0,147.0
2869.0,2176.0
2265.0,4446.0
1240.0,3546.0
880.0,1075.0
1460.0,0.0
2352.0,127.0
2667.0,1701.0
2065.0,3788.0
1143.0,3246.0
917.0,1166.0
1522.0,69.0
2342.0,268.0
2628.0,2286.0
2021.0,4167.0
1247.0,3152.0
917.0,1156.0
1495.0,143.0
2375.0,218.0
2861.0,2078.0
2237.0,4249.0
1299.0,3494.0
815.0,889.0
1430.0,0.0
2433.0,0.0
2694.0,2054.0
2130.0,4340.0
1143.0,3477.0
844.0,911.0
1426.0,0.0
2389.0,81.0
2544.0,1740.0
1899.0,3694.0
1188.0,3186.0
1049.0,909.0
1733.0,45.0
2353.0,504.0
2558.0,2925.0
2049.0,4570.0
1102.0,2767.0
865.0,390.0
1742.0,0.0
2722.0,552.0
2592.0,2921.0
1667.0,4088.0
938.0,2093.0
1075.0,74.0
1839.0,0.0
2658.0,1322.0
2890.0,4336.0
2223.0,5345.0
1143.0,2148.0
854.0,0.0
1549.0,0.0
2581.0,0.0
2732.0,2291.0
2079.0,4462.0
1130.0,3273.0
990.0,146.0
1791.0,0.0
2770.0,831.0
2815.0,3770.0
1843.0,4854.0
952.0,2000.0
889.0,0.0
1828.0,0.0
2818.0,561.0
2883.0,3568.0
1939.0,5030.0
967.0,2389.0
993.0,0.0
1879.0,0.0
2813.0,555.0
2744.0,3375.0
1951.0,4851.0
1106.0,2558.0
1056.0,0.0
1854.0,0.0
2853.0,953.0
2788.0,3712.0
1794.0,4625.0
929.0,1806.0
946.0,0.0
2112.0,0.0
3085.0,1462.0
2840.0,4426.0
1578.0,4590.0
670.0,862.0
943.0,0.0
2063.0,0.0
3038.0,1274.0
2882.0,4288.0
1780.0,4870.0
752.0,1250.0
1025.0,0.0
2184.0,0.0
3097.0,1384.0
2803.0,4339.0
1718.0,4717.0
892.0,1206.0
1204.0,0.0
2350.0,0.0
3169.0,1918.0
2785.0,4827.0
1531.0,4492.0
703.0,369.0
976.0,0.0
2298.0,0.0
3406.0,2067.0
3056.0,5275.0
1532.0,4780.0
542.0,95.0
1124.0,0.0
2639.0,25.0
3431.0,2258.0
2734.0,5099.0
1305.0,4174.0
492.0,353.0
1278.0,0.0
2802.0,156.0
3516.0,2528.0
2769.0,5285.0
1192.0,3961.0
506.0,137.0
1367.0,0.0
2921.0,170.0
3699.0,3003.0
2955.0,5936.0
1352.0,4309.0
393.0,88.0
1006.0,0.0
2563.0,0.0
3462.0,1340.0
3017.0,4433.0
1558.0,4695.0
677.0,1051.0
1153.0,0.0
2427.0,331.0
3230.0,2021.0
2859.0,4539.0
1669.0,4243.0
838.0,1199.0
1218.0,0.0
2441.0,300.0
3414.0,2124.0
3000.0,4901.0
1556.0,4373.0
603.0,934.0
1054.0,0.0
2471.0,0.0
3357.0,1717.0
2778.0,4396.0
1526.0,4229.0
744.0,1138.0
1513.0,0.0
2972.0,488.0
3496.0,3107.0
2643.0,5406.0
1353.0,3680.0
690.0,530.0
1398.0,0.0
2794.0,0.0
3546.0,2348.0
2850.0,5382.0
1144.0,4182.0
315.0,507.0
1132.0,0.0
3032.0,0.0
4026.0,2488.0
3149.0,5845.0
1191.0,4540.0
183.0,299.0
921.0,0.0
2908.0,0.0
4109.0,1809.0
3343.0,5372.0
1407.0,4974.0
227.0,563.0
811.0,0.0
2649.0,0.0
4064.0,1568.0
3632.0,5456.0
1646.0,5578.0
129.0,750.0
560.0,0.0
2503.0,0.0
4122.0,974.0
3770.0,4866.0
1869.0,5809.0
311.0,1098.0
552.0,0.0
2337.0,0.0
3896.0,999.0
3560.0,4668.0
1626.0,5323.0
463.0,1427.0
1072.0,0.0
2747.0,0.0
3836.0,1847.0
3220.0,5271.0
1316.0,4760.0
324.0,610.0
1204.0,0.0
2947.0,0.0
3869.0,2327.0
3058.0,5565.0
1464.0,4694.0
624.0,230.0
1276.0,0.0
2831.0,0.0
3865.0,2657.0
3236.0,6089.0
1556.0,5004.0
481.0,441.0
1133.0,0.0
2989.0,0.0
4098.0,2035.0
3139.0,5398.0
1231.0,4598.0
408.0,686.0
1329.0,0.0
2999.0,0.0
3792.0,2232.0
3157.0,5613.0
1615.0,5048.0
489.0,922.0
1120.0,0.0
2735.0,0.0
3647.0,1280.0
3130.0,4522.0
1805.0,5127.0
867.0,1702.0
1272.0,0.0
2699.0,56.0
3573.0,2063.0
2978.0,5049.0
1555.0,4621.0
826.0,1338.0
1604.0,0.0
2897.0,0.0
3418.0,2078.0
2678.0,4944.0
1406.0,4340.0
1038.0,895.0
1901.0,0.0
3158.0,404.0
3585.0,3703.0
2664.0,6139.0
1237.0,3685.0
841.0,365.0
1919.0,0.0
3575.0,289.0
3907.0,3666.0
2544.0,6093.0
705.0,3092.0
415.0,0.0
1889.0,0.0
3796.0,226.0
4246.0,4177.0
2669.0,6780.0
868.0,3443.0
490.0,0.0
1908.0,0.0
3750.0,104.0
4325.0,3609.0
2878.0,6571.0
749.0,3687.0
196.0,0.0
1748.0,0.0
3832.0,0.0
4323.0,3416.0
2842.0,6446.0
899.0,3901.0
376.0,0.0
1770.0,0.0
3823.0,0.0
4496.0,3931.0
3015.0,7138.0
874.0,4065.0
188.0,0.0
1583.0,0.0
3720.0,0.0
4532.0,2785.0
2977.0,5926.0
681.0,3770.0
103.0,0.0
1750.0,0.0
4073.0,331.0
4587.0,4563.0
2777.0,7169.0
451.0,2965.0
66.0,0.0
1757.0,0.0
4040.0,0.0
4703.0,3405.0
2944.0,6493.0
546.0,3538.0
28.0,0.0
1562.0,0.0
3947.0,0.0
4786.0,3802.0
3121.0,7095.0
662.0,3863.0
29.0,0.0
1633.0,0.0
3846.0,0.0
4859.0,3236.0
3527.0,7007.0
1111.0,4822.0
52.0,0.0
1286.0,0.0
3612.0,0.0
4676.0,2471.0
3525.0,6228.0
1380.0,5097.0
202.0,0.0
1111.0,0.0
3401.0,0.0
4675.0,2981.0
3583.0,6824.0
1250.0,5057.0
153.0,0.0
1267.0,0.0
3532.0,0.0
4642.0,2590.0
3451.0,6285.0
1302.0,4957.0
263.0,0.0
1230.0,0.0
3243.0,0.0
4474.0,2697.0
3573.0,6530.0
1581.0,5414.0
544.0,374.0
1408.0,0.0
3266.0,0.0
4260.0,2378.0
3268.0,5894.0
1475.0,4971.0
494.0,347.0
1332.0,0.0
3254.0,0.0
4501.0,3164.0
3726.0,7174.0
1691.0,5693.0
386.0,0.0
1045.0,0.0
2962.0,0.0
4273.0,1224.0
3779.0,5291.0
2006.0,6105.0
608.0,1166.0
1004.0,0.0
2991.0,0.0
4436.0,2310.0
3906.0,6512.0
1769.0,5987.0
458.0,890.0
1141.0,0.0
3113.0,0.0
4396.0,1382.0
3518.0,5164.0
1654.0,5468.0
704.0,972.0
1625.0,0.0
3256.0,215.0
4110.0,3283.0
3447.0,6767.0
1835.0,5379.0
848.0,539.0
1670.0,0.0
3497.0,0.0
4307.0,2808.0
3161.0,6201.0
1399.0,4804.0
669.0,258.0
1807.0,0.0
3792.0,49.0
4413.0,4054.0
3173.0,7402.0
1253.0,4597.0
621.0,0.0
1889.0,0.0
3893.0,189.0
4606.0,3467.0
3223.0,6709.0
1160.0,4378.0
472.0,0.0
1820.0,0.0
4102.0,233.0
4863.0,4472.0
3484.0,7951.0
1169.0,4636.0
342.0,0.0
1705.0,0.0
3929.0,0.0
4784.0,2625.0
3544.0,6413.0
1432.0,5244.0
460.0,116.0
1532.0,0.0
3524.0,0.0
4367.0,3114.0
3409.0,6739.0
1643.0,5324.0
778.0,478.0
1798.0,0.0
3627.0,385.0
4395.0,3181.0
3295.0,6311.0
1365.0,4515.0
701.0,629.0
1945.0,0.0
3862.0,201.0
4529.0,3965.0
