agg_orders_level_0,agg_orders_level_1
3736.0,14944.0
3924.0,15320.0
3840.0,11888.0
3928.0,592.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
16.0,0.0
830.0,0.0
1999.0,0.0
2319.0,0.0
1233.0,0.0
199.0,0.0
0.0,0.0
724.0,0.0
1850.0,0.0
2179.0,0.0
1398.0,0.0
226.0,0.0
11.0,0.0
671.0,0.0
1747.0,0.0
2232.0,0.0
1519.0,0.0
330.0,0.0
11.0,0.0
548.0,0.0
1496.0,0.0
2017.0,1195.0
1739.0,2914.0
884.0,2563.0
318.0,496.0
586.0,0.0
1383.0,0.0
1825.0,618.0
1482.0,2124.0
728.0,2190.0
299.0,462.0
609.0,0.0
1321.0,305.0
1678.0,1407.0
1434.0,2390.0
889.0,1848.0
555.0,706.0
762.0,0.0
1460.0,214.0
1789.0,1466.0
1502.0,2770.0
776.0,2052.0
266.0,544.0
608.0,0.0
1318.0,0.0
1933.0,519.0
1781.0,1860.0
992.0,2409.0
440.0,1153.0
654.0,68.0
1445.0,290.0
2103.0,1917.0
1936.0,3707.0
980.0,2790.0
176.0,383.0
498.0,0.0
1372.0,0.0
2075.0,507.0
1666.0,1693.0
551.0,1725.0
108.0,551.0
566.0,0.0
1752.0,180.0
2291.0,2401.0
1566.0,3915.0
593.0,2091.0
126.0,0.0
641.0,0.0
1659.0,0.0
2100.0,789.0
1644.0,2283.0
733.0,2247.0
166.0,645.0
542.0,0.0
1625.0,18.0
2243.0,1524.0
1655.0,3265.0
607.0,2348.0
73.0,248.0
587.0,0.0
1600.0,0.0
2164.0,835.0
1810.0,2757.0
745.0,2679.0
171.0,569.0
570.0,0.0
1462.0,0.0
2102.0,1035.0
1912.0,2919.0
1034.0,2938.0
232.0,676.0
416.0,0.0
1384.0,0.0
2257.0,910.0
2160.0,2910.0
1015.0,3039.0
161.0,685.0
407.0,0.0
1440.0,0.0
2468.0,829.0
2311.0,3224.0
1081.0,3508.0
174.0,796.0
388.0,0.0
1371.0,0.0
2294.0,607.0
2138.0,2317.0
1250.0,3024.0
390.0,1244.0
434.0,0.0
1347.0,0.0
2314.0,904.0
2133.0,3117.0
1122.0,3379.0
253.0,954.0
467.0,0.0
1494.0,0.0
2340.0,769.0
1998.0,2497.0
880.0,2632.0
210.0,642.0
359.0,0.0
1356.0,0.0
2304.0,942.0
2174.0,3260.0
1157.0,3531.0
233.0,634.0
332.0,0.0
1401.0,0.0
2315.0,628.0
2199.0,2606.0
1151.0,3173.0
361.0,1263.0
272.0,0.0
1078.0,0.0
2152.0,233.0
2425.0,2403.0
1556.0,3806.0
458.0,1781.0
116.0,0.0
958.0,0.0
2200.0,40.0
2572.0,2080.0
1683.0,3827.0
413.0,2080.0
35.0,0.0
837.0,0.0
2138.0,0.0
2665.0,1856.0
1668.0,3624.0
370.0,2054.0
26.0,0.0
1113.0,0.0
2412.0,245.0
2618.0,2553.0
1449.0,3837.0
190.0,1390.0
52.0,0.0
1165.0,0.0
2459.0,126.0
2752.0,2615.0
1592.0,4169.0
164.0,1630.0
94.0,0.0
1316.0,0.0
2581.0,40.0
2646.0,2532.0
1327.0,3883.0
190.0,1441.0
88.0,0.0
1336.0,0.0
2584.0,219.0
2704.0,2929.0
1525.0,4327.0
348.0,1658.0
282.0,0.0
1162.0,0.0
2291.0,0.0
2431.0,1871.0
1668.0,3639.0
593.0,2301.0
192.0,0.0
975.0,0.0
2300.0,0.0
2701.0,2537.0
2008.0,4677.0
703.0,2811.0
107.0,0.0
588.0,0.0
1757.0,0.0
2477.0,148.0
1988.0,2260.0
817.0,2913.0
154.0,655.0
612.0,0.0
1907.0,124.0
2637.0,2279.0
1995.0,4298.0
691.0,2710.0
63.0,0.0
690.0,0.0
2117.0,0.0
2868.0,1352.0
2154.0,3670.0
789.0,3079.0
220.0,0.0
790.0,0.0
2100.0,0.0
2790.0,2170.0
2134.0,4460.0
870.0,3144.0
287.0,0.0
871.0,0.0
2107.0,0.0
2806.0,1539.0
2168.0,3867.0
833.0,3125.0
189.0,0.0
885.0,0.0
2102.0,0.0
2726.0,1967.0
2072.0,4195.0
776.0,2960.0
166.0,0.0
751.0,0.0
2099.0,0.0
2558.0,1259.0
1748.0,3119.0
371.0,2167.0
82.0,0.0
1093.0,0.0
2552.0,492.0
2979.0,3567.0
1883.0,5090.0
341.0,1812.0
92.0,0.0
1100.0,0.0
2448.0,0.0
2791.0,1245.0
1718.0,3083.0
262.0,2076.0
16.0,0.0
993.0,0.0
2412.0,180.0
2977.0,3271.0
2090.0,5325.0
497.0,2543.0
55.0,0.0
981.0,0.0
2484.0,0.0
3016.0,1159.0
2041.0,3356.0
591.0,2776.0
211.0,201.0
1302.0,0.0
2655.0,383.0
2926.0,3477.0
1773.0,4983.0
452.0,1934.0
237.0,0.0
1349.0,0.0
2753.0,0.0
2963.0,2271.0
1662.0,4041.0
442.0,2180.0
327.0,0.0
1242.0,0.0
2610.0,102.0
2995.0,3073.0
1923.0,5026.0
454.0,2379.0
52.0,0.0
1061.0,0.0
2467.0,0.0
2863.0,1317.0
1871.0,3320.0
520.0,2499.0
254.0,0.0
1305.0,0.0
2791.0,882.0
3048.0,4134.0
1789.0,5177.0
352.0,1331.0
177.0,0.0
1318.0,0.0
2795.0,0.0
2926.0,2003.0
1645.0,3760.0
261.0,1958.0
14.0,0.0
1125.0,0.0
2641.0,17.0
3123.0,3119.0
2222.0,5488.0
812.0,3169.0
178.0,0.0
845.0,0.0
2305.0,0.0
3008.0,801.0
2412.0,3320.0
967.0,3482.0
159.0,462.0
829.0,0.0
2216.0,0.0
2964.0,2238.0
2459.0,4857.0
1099.0,3710.0
306.0,0.0
863.0,0.0
2194.0,0.0
3059.0,1461.0
2486.0,4119.0
1134.0,3772.0
366.0,133.0
956.0,0.0
2359.0,0.0
3003.0,2352.0
2307.0,4807.0
977.0,3416.0
371.0,0.0
980.0,0.0
2333.0,0.0
3058.0,1835.0
2644.0,4679.0
1175.0,4031.0
265.0,0.0
827.0,0.0
2487.0,0.0
3519.0,2371.0
2656.0,5203.0
960.0,3772.0
77.0,0.0
813.0,0.0
2559.0,0.0
3413.0,1571.0
2397.0,4136.0
684.0,3205.0
0.0,0.0
718.0,0.0
2294.0,0.0
3171.0,1935.0
2482.0,4609.0
990.0,3648.0
32.0,0.0
684.0,0.0
2249.0,0.0
3105.0,1257.0
2502.0,3939.0
1100.0,3794.0
193.0,282.0
598.0,0.0
2183.0,0.0
3376.0,1953.0
3035.0,5208.0
1304.0,4603.0
119.0,159.0
701.0,0.0
2238.0,0.0
3377.0,888.0
2995.0,4079.0
1586.0,4845.0
376.0,998.0
544.0,0.0
1970.0,0.0
3196.0,793.0
3047.0,4036.0
1716.0,5027.0
641.0,1492.0
926.0,0.0
2013.0,0.0
2927.0,815.0
2669.0,3652.0
1513.0,4398.0
708.0,1460.0
926.0,0.0
1991.0,0.0
2821.0,1122.0
2672.0,3978.0
1763.0,4687.0
874.0,1556.0
762.0,0.0
1702.0,0.0
2656.0,532.0
2580.0,2960.0
1712.0,4200.0
967.0,2091.0
896.0,0.0
1851.0,0.0
2738.0,1213.0
2603.0,4008.0
1593.0,4452.0
838.0,1178.0
1106.0,0.0
2145.0,3.0
2702.0,1458.0
2364.0,3994.0
1398.0,3978.0
743.0,957.0
1244.0,0.0
2325.0,10.0
2931.0,2164.0
2308.0,4622.0
1092.0,3590.0
542.0,372.0
1244.0,0.0
2387.0,0.0
3142.0,2121.0
2680.0,5001.0
1463.0,4399.0
739.0,380.0
1099.0,0.0
2323.0,0.0
3282.0,1850.0
2813.0,4847.0
1480.0,4553.0
551.0,542.0
1010.0,0.0
2450.0,0.0
3390.0,1812.0
2806.0,4794.0
1262.0,4264.0
334.0,379.0
1074.0,0.0
