agg_orders_level_0,agg_orders_level_1
4995.0,24975.0
5000.0,24990.0
5070.0,25110.0
5060.0,20305.0
5105.0,495.0
5115.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
6.0,0.0
111.0,0.0
539.0,0.0
1560.0,0.0
2489.0,0.0
2988.0,0.0
2458.0,0.0
1220.0,0.0
43.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
100.0,0.0
525.0,0.0
1536.0,0.0
2432.0,0.0
2903.0,0.0
2393.0,0.0
1225.0,0.0
4.0,0.0
0.0,0.0
0.0,0.0
8.0,0.0
131.0,0.0
683.0,0.0
1737.0,0.0
2685.0,0.0
3073.0,0.0
2449.0,0.0
1100.0,0.0
42.0,0.0
0.0,0.0
0.0,0.0
33.0,0.0
239.0,0.0
1045.0,0.0
2218.0,0.0
3119.0,0.0
3217.0,0.0
2237.0,0.0
722.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
23.0,0.0
283.0,0.0
1231.0,0.0
2395.0,0.0
3289.0,0.0
3255.0,0.0
2087.0,519.0
507.0,713.0
0.0,713.0
0.0,194.0
0.0,0.0
16.0,0.0
236.0,0.0
1246.0,102.0
2386.0,1755.0
3327.0,4937.0
3219.0,5702.0
2031.0,5902.0
508.0,4796.0
955.0,461.0
308.0,0.0
0.0,0.0
0.0,0.0
144.0,0.0
472.0,0.0
1123.0,0.0
1880.0,0.0
2352.0,0.0
2316.0,17.0
1850.0,863.0
1175.0,1350.0
687.0,1375.0
422.0,946.0
0.0,464.0
147.0,332.0
463.0,0.0
1244.0,0.0
2032.0,465.0
2662.0,2555.0
2651.0,4660.0
2130.0,5972.0
1228.0,5468.0
853.0,2508.0
273.0,995.0
343.0,0.0
241.0,0.0
619.0,0.0
1390.0,0.0
2171.0,0.0
2565.0,0.0
2531.0,133.0
2132.0,1228.0
1435.0,1781.0
956.0,2122.0
669.0,1503.0
49.0,1165.0
231.0,566.0
598.0,0.0
1286.0,0.0
2046.0,276.0
2456.0,1911.0
2391.0,3731.0
2017.0,4350.0
1350.0,4693.0
846.0,2011.0
622.0,2208.0
124.0,1635.0
168.0,0.0
484.0,0.0
1109.0,0.0
1923.0,0.0
2427.0,0.0
2531.0,0.0
2203.0,283.0
1509.0,937.0
865.0,922.0
646.0,1294.0
116.0,806.0
128.0,776.0
428.0,98.0
889.0,0.0
1635.0,251.0
2144.0,2180.0
2448.0,4038.0
2320.0,4844.0
1884.0,5789.0
1017.0,2891.0
879.0,2265.0
38.0,1281.0
186.0,0.0
549.0,0.0
1058.0,0.0
1794.0,0.0
2255.0,0.0
2478.0,0.0
2424.0,258.0
2046.0,1025.0
1196.0,1270.0
639.0,1400.0
43.0,636.0
259.0,421.0
658.0,76.0
1355.0,0.0
2207.0,775.0
2693.0,3302.0
2744.0,5168.0
2435.0,6059.0
1686.0,6095.0
1316.0,2859.0
858.0,1756.0
203.0,0.0
262.0,0.0
680.0,0.0
1110.0,0.0
1559.0,0.0
1797.0,0.0
1995.0,0.0
2408.0,0.0
2577.0,668.0
1914.0,1572.0
1070.0,2702.0
157.0,2101.0
186.0,1293.0
531.0,0.0
948.0,0.0
1458.0,0.0
1725.0,561.0
1913.0,1713.0
2134.0,2934.0
2323.0,4460.0
1858.0,5154.0
1287.0,4765.0
385.0,3107.0
195.0,811.0
512.0,0.0
932.0,0.0
1335.0,0.0
1617.0,0.0
1810.0,0.0
2179.0,0.0
2342.0,14.0
2001.0,306.0
1320.0,430.0
515.0,580.0
231.0,396.0
601.0,499.0
1021.0,663.0
1565.0,1751.0
2061.0,3318.0
2388.0,4349.0
2744.0,5255.0
2672.0,5965.0
2615.0,4461.0
1367.0,1898.0
279.0,397.0
285.0,0.0
705.0,0.0
1152.0,0.0
1326.0,0.0
1421.0,0.0
1407.0,0.0
2128.0,378.0
2770.0,1577.0
2807.0,3094.0
1813.0,3592.0
790.0,2775.0
329.0,1756.0
645.0,1060.0
1083.0,584.0
1283.0,40.0
1394.0,0.0
1295.0,0.0
1888.0,0.0
2448.0,175.0
2599.0,2763.0
1803.0,4701.0
989.0,5403.0
301.0,3055.0
503.0,201.0
929.0,0.0
1190.0,0.0
1407.0,0.0
1452.0,479.0
1983.0,1501.0
2508.0,2460.0
2646.0,2803.0
1799.0,2501.0
956.0,1834.0
289.0,1583.0
580.0,660.0
993.0,521.0
1232.0,407.0
1454.0,100.0
1694.0,0.0
2386.0,116.0
2872.0,1817.0
2860.0,4767.0
1754.0,5786.0
715.0,5104.0
323.0,1428.0
719.0,46.0
1130.0,0.0
1411.0,199.0
1584.0,827.0
1969.0,1721.0
2653.0,2495.0
3088.0,2590.0
2789.0,1897.0
1705.0,1083.0
480.0,1439.0
376.0,1447.0
789.0,753.0
1191.0,581.0
1505.0,350.0
1598.0,0.0
1903.0,217.0
2475.0,1127.0
2809.0,3192.0
2532.0,5057.0
1694.0,6151.0
633.0,3582.0
308.0,1367.0
648.0,0.0
1057.0,0.0
1422.0,0.0
1632.0,400.0
1965.0,1321.0
2541.0,2489.0
2827.0,2680.0
2493.0,2074.0
1668.0,619.0
542.0,1134.0
227.0,1111.0
591.0,746.0
1008.0,554.0
1327.0,440.0
