agg_orders_level_0,agg_orders_level_1
5065.0,25325.0
5140.0,25515.0
5305.0,25850.0
5320.0,21540.0
5380.0,1580.0
5410.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
13.0,0.0
93.0,0.0
243.0,0.0
513.0,0.0
832.0,0.0
1161.0,0.0
1730.0,0.0
2152.0,0.0
2291.0,0.0
1990.0,0.0
1214.0,0.0
351.0,0.0
223.0,0.0
504.0,0.0
729.0,0.0
831.0,0.0
927.0,0.0
1393.0,0.0
1888.0,0.0
2203.0,0.0
2022.0,0.0
992.0,0.0
253.0,0.0
104.0,0.0
253.0,0.0
504.0,0.0
699.0,0.0
938.0,0.0
1004.0,0.0
1286.0,0.0
1589.0,0.0
1800.0,0.0
1713.0,0.0
1516.0,0.0
1081.0,0.0
736.0,0.0
962.0,0.0
1178.0,0.0
1183.0,0.0
1194.0,0.0
1543.0,0.0
1882.0,0.0
1847.0,0.0
1527.0,0.0
868.0,0.0
139.0,0.0
338.0,0.0
546.0,0.0
843.0,0.0
1057.0,0.0
1189.0,0.0
1355.0,0.0
1504.0,0.0
1511.0,0.0
1472.0,0.0
1186.0,0.0
671.0,0.0
496.0,197.0
813.0,797.0
1109.0,1538.0
1403.0,2640.0
1536.0,3339.0
1843.0,3704.0
2058.0,3277.0
1890.0,1998.0
1222.0,1154.0
907.0,966.0
698.0,242.0
630.0,0.0
895.0,0.0
1283.0,0.0
1396.0,0.0
1629.0,224.0
1587.0,1669.0
1597.0,3066.0
1315.0,3448.0
1208.0,3206.0
785.0,2456.0
548.0,2055.0
269.0,1193.0
477.0,0.0
827.0,0.0
1142.0,0.0
1411.0,0.0
1736.0,74.0
1897.0,908.0
1843.0,1333.0
1628.0,1524.0
1530.0,1157.0
1121.0,1523.0
880.0,1687.0
870.0,1394.0
1343.0,653.0
1505.0,0.0
1749.0,914.0
1697.0,2108.0
1400.0,3039.0
1270.0,3601.0
1439.0,2115.0
1204.0,2838.0
828.0,1646.0
550.0,1736.0
426.0,1038.0
619.0,0.0
791.0,0.0
1002.0,0.0
1181.0,0.0
1476.0,0.0
1701.0,0.0
1937.0,0.0
1838.0,415.0
1658.0,1532.0
1093.0,2595.0
825.0,2930.0
1067.0,2390.0
1339.0,1832.0
1593.0,1394.0
1762.0,960.0
1958.0,1145.0
1989.0,1121.0
1812.0,1144.0
1675.0,2362.0
