agg_orders_level_0,agg_orders_level_1
4770.0,23850.0
4745.0,23785.0
5005.0,24205.0
4880.0,19800.0
4880.0,925.0
4960.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
170.0,0.0
629.0,0.0
1222.0,0.0
1974.0,0.0
2617.0,0.0
2485.0,0.0
2032.0,0.0
1173.0,0.0
208.0,0.0
0.0,0.0
49.0,0.0
247.0,0.0
731.0,0.0
1230.0,0.0
1702.0,0.0
1979.0,0.0
1949.0,0.0
1678.0,0.0
1272.0,0.0
583.0,0.0
0.0,0.0
135.0,0.0
611.0,0.0
1252.0,0.0
1887.0,0.0
2227.0,0.0
1973.0,0.0
1541.0,0.0
1329.0,0.0
838.0,0.0
546.0,0.0
163.0,0.0
64.0,0.0
407.0,0.0
984.0,0.0
1692.0,0.0
2436.0,0.0
2610.0,0.0
2180.0,0.0
1433.0,0.0
906.0,0.0
214.0,0.0
0.0,0.0
0.0,0.0
190.0,0.0
618.0,0.0
1588.0,0.0
2435.0,0.0
2993.0,1079.0
2606.0,2932.0
1796.0,3779.0
722.0,3897.0
292.0,1796.0
0.0,1025.0
0.0,124.0
10.0,0.0
359.0,0.0
1107.0,0.0
2112.0,0.0
3042.0,0.0
3241.0,1220.0
2380.0,2882.0
1305.0,4022.0
381.0,3141.0
0.0,1457.0
0.0,0.0
0.0,0.0
120.0,0.0
615.0,0.0
1417.0,0.0
2334.0,497.0
2894.0,1833.0
2874.0,3435.0
2109.0,3900.0
1207.0,3386.0
760.0,710.0
26.0,579.0
0.0,474.0
31.0,0.0
251.0,0.0
858.0,0.0
1425.0,0.0
2175.0,0.0
2477.0,588.0
2369.0,2262.0
1835.0,3175.0
1421.0,3503.0
552.0,2417.0
0.0,584.0
188.0,0.0
584.0,0.0
1241.0,0.0
1730.0,0.0
1848.0,888.0
1988.0,2262.0
1912.0,3324.0
1851.0,3633.0
1684.0,2453.0
901.0,2687.0
27.0,652.0
273.0,347.0
785.0,0.0
1427.0,0.0
1928.0,0.0
1757.0,0.0
1374.0,501.0
1066.0,1153.0
1610.0,2065.0
1714.0,2203.0
1330.0,2346.0
295.0,1123.0
229.0,361.0
885.0,322.0
1563.0,504.0
2057.0,1938.0
1849.0,2339.0
1345.0,2365.0
1165.0,2448.0
1756.0,1119.0
1993.0,1961.0
1264.0,2586.0
210.0,1677.0
355.0,426.0
856.0,307.0
1576.0,354.0
1926.0,301.0
1953.0,443.0
1500.0,682.0
1836.0,1838.0
1711.0,2377.0
1651.0,2428.0
926.0,1531.0
311.0,1025.0
164.0,990.0
642.0,364.0
1423.0,0.0
1962.0,984.0
2326.0,2134.0
1974.0,2214.0
1754.0,2254.0
1664.0,1731.0
1885.0,2936.0
1039.0,3718.0
601.0,2855.0
103.0,1418.0
462.0,0.0
977.0,0.0
1612.0,0.0
2134.0,0.0
2281.0,0.0
2039.0,836.0
1817.0,2457.0
1500.0,3303.0
1210.0,2617.0
958.0,1007.0
572.0,623.0
333.0,659.0
717.0,735.0
1193.0,416.0
1587.0,139.0
2018.0,0.0
2070.0,1087.0
2208.0,2141.0
2246.0,3367.0
1496.0,4209.0
1068.0,3631.0
967.0,2981.0
739.0,2354.0
798.0,597.0
1082.0,0.0
1377.0,0.0
1222.0,0.0
1302.0,0.0
1558.0,0.0
1834.0,346.0
1684.0,1592.0
1565.0,2252.0
1397.0,2103.0
1592.0,1016.0
1502.0,1136.0
1245.0,1673.0
1286.0,2372.0
1055.0,2168.0
1189.0,1865.0
1472.0,2109.0
1476.0,1507.0
1021.0,131.0
1239.0,943.0
1333.0,1280.0
1814.0,1351.0
2085.0,1902.0
1988.0,2066.0
1640.0,2440.0
1365.0,1566.0
1420.0,380.0
1352.0,1249.0
1031.0,1417.0
902.0,1994.0
785.0,1723.0
737.0,1914.0
1164.0,1002.0
1854.0,0.0
2191.0,0.0
2239.0,538.0
1885.0,1183.0
1763.0,2448.0
1775.0,2794.0
1411.0,2749.0
939.0,2378.0
680.0,1777.0
577.0,1499.0
1193.0,358.0
1810.0,1148.0
2033.0,2412.0
1960.0,2534.0
1752.0,2489.0
1638.0,282.0
2109.0,0.0
1699.0,630.0
1045.0,1750.0
507.0,2252.0
342.0,1591.0
935.0,111.0
1548.0,0.0
1817.0,250.0
2061.0,1091.0
1668.0,2208.0
2026.0,2409.0
2205.0,2846.0
2031.0,2454.0
1803.0,1708.0
734.0,2034.0
671.0,1857.0
1132.0,1039.0
1775.0,971.0
1892.0,2050.0
1457.0,2544.0
641.0,1890.0
1218.0,210.0
1982.0,0.0
2621.0,288.0
2554.0,2239.0
1424.0,3713.0
508.0,3523.0
1155.0,1702.0
1774.0,0.0
1974.0,0.0
1533.0,681.0
513.0,924.0
828.0,1198.0
1569.0,913.0
2286.0,394.0
2401.0,1349.0
1767.0,3102.0
818.0,3672.0
1010.0,2644.0
1714.0,276.0
2122.0,1162.0
1934.0,2303.0
1184.0,2644.0
949.0,2261.0
1674.0,449.0
2312.0,8.0
2136.0,1768.0
1543.0,3401.0
694.0,3863.0
689.0,2448.0
1490.0,88.0
2080.0,0.0
2298.0,0.0
2140.0,370.0
1766.0,1303.0
2238.0,3092.0
2446.0,4098.0
1828.0,3540.0
836.0,1984.0
271.0,1009.0
259.0,973.0
936.0,350.0
1615.0,0.0
2161.0,0.0
2489.0,1098.0
