id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1011.0,1011.0,0.0,3033.0,3033.0,720.0,291.0,720.0,291.0
0.0,0.0,1047.0,1028.0,3033.0,2109.0,2109.0,736.0,292.0,753.0,294.0
0.0,975.0,112.0,723.0,2109.0,0.0,0.0,528.0,195.0,112.0,0.0
0.0,2972.0,400.0,643.0,0.0,0.0,0.0,469.0,174.0,291.0,109.0
0.0,2572.0,349.0,584.0,0.0,0.0,0.0,421.0,163.0,229.0,120.0
0.0,2223.0,347.0,544.0,0.0,0.0,0.0,391.0,153.0,243.0,104.0
0.0,1876.0,371.0,519.0,0.0,52.0,52.0,372.0,147.0,259.0,112.0
0.0,1505.0,330.0,496.0,52.0,261.0,261.0,357.0,139.0,250.0,80.0
0.0,1227.0,304.0,475.0,261.0,241.0,241.0,340.0,135.0,203.0,101.0
0.0,1184.0,280.0,456.0,241.0,223.0,223.0,324.0,132.0,175.0,105.0
0.0,1145.0,264.0,438.0,223.0,210.0,210.0,310.0,128.0,171.0,93.0
0.0,1104.0,289.0,425.0,210.0,250.0,250.0,299.0,126.0,182.0,107.0
0.0,1025.0,257.0,412.0,250.0,218.0,218.0,287.0,125.0,144.0,113.0
0.0,1018.0,348.0,408.0,218.0,336.0,336.0,284.0,124.0,239.0,109.0
0.0,888.0,369.0,406.0,336.0,363.0,363.0,282.0,124.0,253.0,116.0
0.0,855.0,391.0,404.0,363.0,385.0,385.0,281.0,123.0,275.0,116.0
0.0,827.0,381.0,403.0,385.0,378.0,378.0,281.0,122.0,275.0,106.0
0.0,831.0,371.0,402.0,378.0,368.0,368.0,280.0,122.0,259.0,112.0
0.0,838.0,357.0,399.0,368.0,348.0,348.0,278.0,121.0,254.0,103.0
0.0,849.0,368.0,398.0,348.0,365.0,365.0,278.0,120.0,263.0,105.0
0.0,829.0,326.0,394.0,365.0,314.0,314.0,276.0,118.0,242.0,84.0
0.0,868.0,378.0,394.0,314.0,378.0,378.0,276.0,118.0,273.0,105.0
0.0,804.0,272.0,388.0,378.0,254.0,254.0,273.0,115.0,205.0,67.0
0.0,910.0,303.0,384.0,254.0,291.0,291.0,270.0,114.0,207.0,96.0
0.0,861.0,299.0,381.0,291.0,290.0,290.0,268.0,113.0,212.0,87.0
0.0,853.0,325.0,379.0,290.0,319.0,319.0,266.0,113.0,214.0,111.0
0.0,818.0,340.0,377.0,319.0,334.0,334.0,264.0,113.0,232.0,108.0
0.0,797.0,380.0,377.0,334.0,380.0,380.0,264.0,113.0,265.0,115.0
0.0,751.0,413.0,379.0,380.0,419.0,419.0,265.0,114.0,288.0,125.0
0.0,718.0,412.0,380.0,419.0,415.0,415.0,266.0,114.0,295.0,117.0
0.0,725.0,365.0,379.0,415.0,362.0,362.0,265.0,114.0,247.0,118.0
0.0,775.0,365.0,379.0,362.0,365.0,365.0,265.0,114.0,251.0,114.0
0.0,772.0,353.0,378.0,365.0,350.0,350.0,264.0,114.0,245.0,108.0
0.0,784.0,366.0,377.0,350.0,363.0,363.0,264.0,113.0,263.0,103.0
0.0,768.0,343.0,377.0,363.0,343.0,343.0,264.0,113.0,247.0,96.0
0.0,788.0,323.0,375.0,343.0,317.0,317.0,263.0,112.0,239.0,84.0
0.0,808.0,280.0,372.0,317.0,271.0,271.0,261.0,111.0,196.0,84.0
0.0,845.0,305.0,371.0,271.0,302.0,302.0,260.0,111.0,202.0,103.0
0.0,811.0,346.0,370.0,302.0,343.0,343.0,259.0,111.0,237.0,109.0
0.0,767.0,401.0,371.0,343.0,404.0,404.0,260.0,111.0,279.0,122.0
0.0,709.0,389.0,372.0,404.0,392.0,392.0,260.0,112.0,261.0,128.0
