agg_orders_level_0,agg_orders_level_1
4052.0,16208.0
4080.0,16264.0
4104.0,12344.0
4072.0,144.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
58.0,0.0
936.0,0.0
1881.0,0.0
1981.0,0.0
1171.0,0.0
264.0,0.0
126.0,0.0
891.0,0.0
1780.0,0.0
1886.0,0.0
1169.0,0.0
366.0,0.0
296.0,0.0
1029.0,0.0
1767.0,0.0
1741.0,0.0
977.0,0.0
292.0,0.0
418.0,0.0
1244.0,0.0
1899.0,0.0
1699.0,196.0
829.0,872.0
202.0,762.0
399.0,311.0
1312.0,767.0
2005.0,2553.0
1788.0,3638.0
887.0,1948.0
144.0,0.0
268.0,0.0
1205.0,0.0
2059.0,78.0
1991.0,1997.0
1046.0,2953.0
168.0,1036.0
181.0,0.0
1068.0,0.0
2005.0,435.0
2075.0,2428.0
1211.0,3208.0
254.0,746.0
169.0,0.0
965.0,0.0
1903.0,0.0
2085.0,1362.0
1336.0,2806.0
392.0,1864.0
203.0,0.0
943.0,0.0
1827.0,395.0
1970.0,2513.0
1266.0,3476.0
486.0,1417.0
388.0,0.0
1034.0,0.0
1768.0,13.0
1845.0,1539.0
1174.0,2780.0
498.0,1711.0
509.0,27.0
1197.0,0.0
1869.0,672.0
1842.0,2626.0
1088.0,3102.0
370.0,802.0
440.0,0.0
1292.0,0.0
2045.0,611.0
1952.0,2699.0
1057.0,3189.0
241.0,771.0
311.0,0.0
1255.0,0.0
2158.0,380.0
2093.0,2608.0
1134.0,3414.0
229.0,947.0
245.0,0.0
1158.0,0.0
2113.0,177.0
2174.0,2340.0
1289.0,3536.0
326.0,1454.0
229.0,0.0
1057.0,0.0
1997.0,0.0
2132.0,1891.0
1386.0,3373.0
498.0,1932.0
322.0,0.0
1024.0,0.0
1865.0,9.0
2012.0,1826.0
1366.0,3275.0
612.0,2029.0
501.0,0.0
1116.0,0.0
1830.0,119.0
1890.0,2034.0
1234.0,3233.0
585.0,1756.0
645.0,0.0
1360.0,0.0
1967.0,660.0
1851.0,2614.0
1106.0,3112.0
470.0,924.0
615.0,0.0
1424.0,0.0
2110.0,989.0
1942.0,3039.0
1073.0,3167.0
343.0,618.0
485.0,0.0
1400.0,0.0
2198.0,734.0
2090.0,2875.0
1161.0,3354.0
302.0,714.0
375.0,0.0
1308.0,0.0
2234.0,584.0
2242.0,2864.0
1318.0,3674.0
360.0,1102.0
336.0,0.0
1228.0,0.0
2154.0,252.0
2212.0,2284.0
1405.0,3525.0
540.0,1733.0
432.0,0.0
1193.0,0.0
2029.0,198.0
2093.0,2206.0
