agg_orders_level_0,agg_orders_level_1
3912.0,15648.0
4064.0,15952.0
4092.0,12508.0
4104.0,744.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
84.0,0.0
612.0,0.0
1230.0,0.0
1608.0,0.0
1487.0,0.0
1095.0,0.0
868.0,0.0
725.0,0.0
936.0,0.0
1102.0,0.0
1073.0,0.0
1066.0,0.0
1113.0,0.0
1070.0,0.0
1211.0,0.0
1194.0,0.0
1002.0,0.0
734.0,0.0
764.0,0.0
1221.0,0.0
1592.0,0.0
1408.0,359.0
996.0,676.0
606.0,578.0
634.0,782.0
949.0,1121.0
1356.0,1409.0
1565.0,1889.0
1201.0,1685.0
724.0,516.0
594.0,310.0
784.0,347.0
1235.0,758.0
1404.0,1563.0
1436.0,2265.0
1271.0,1985.0
793.0,926.0
672.0,360.0
1050.0,0.0
1573.0,911.0
1679.0,2204.0
1271.0,2568.0
767.0,1092.0
612.0,289.0
795.0,0.0
1225.0,0.0
1690.0,1021.0
1749.0,2545.0
1263.0,2879.0
758.0,1148.0
599.0,0.0
1057.0,0.0
1618.0,750.0
1699.0,2430.0
1390.0,3078.0
926.0,1522.0
685.0,0.0
835.0,0.0
1224.0,304.0
1434.0,1166.0
1329.0,2153.0
1079.0,2058.0
1026.0,944.0
1210.0,465.0
1513.0,1076.0
1285.0,1532.0
926.0,1457.0
853.0,935.0
1309.0,759.0
1826.0,1510.0
1695.0,2514.0
1146.0,2146.0
610.0,1178.0
542.0,314.0
915.0,0.0
1672.0,0.0
2026.0,1803.0
1618.0,3469.0
840.0,2470.0
514.0,20.0
726.0,0.0
1431.0,44.0
2005.0,1231.0
1811.0,3078.0
960.0,2783.0
434.0,758.0
502.0,0.0
914.0,0.0
1654.0,56.0
1965.0,1621.0
1564.0,3169.0
773.0,2261.0
564.0,0.0
688.0,0.0
1319.0,267.0
1825.0,1239.0
1880.0,2928.0
1357.0,3058.0
777.0,848.0
738.0,0.0
1001.0,63.0
1303.0,586.0
1525.0,1494.0
1583.0,2490.0
1369.0,2349.0
1047.0,923.0
806.0,0.0
838.0,230.0
1237.0,905.0
1717.0,2002.0
1777.0,2922.0
1264.0,2172.0
749.0,333.0
771.0,68.0
1216.0,665.0
1634.0,1317.0
1571.0,1929.0
1344.0,2071.0
967.0,1537.0
710.0,358.0
919.0,385.0
1426.0,793.0
1753.0,1395.0
1607.0,2245.0
1049.0,1931.0
795.0,895.0
1033.0,422.0
1438.0,750.0
1622.0,1425.0
1240.0,1768.0
992.0,1347.0
1175.0,1473.0
1763.0,1770.0
1838.0,1695.0
1500.0,1389.0
876.0,1152.0
601.0,304.0
1043.0,486.0
1793.0,1521.0
2090.0,2898.0
1729.0,3114.0
969.0,1365.0
446.0,45.0
728.0,0.0
1490.0,55.0
2322.0,1679.0
2283.0,3979.0
1322.0,3586.0
311.0,454.0
366.0,0.0
1178.0,0.0
2204.0,314.0
2509.0,2203.0
1739.0,3656.0
867.0,2268.0
352.0,0.0
807.0,0.0
1808.0,80.0
2442.0,1801.0
2097.0,3918.0
1132.0,3237.0
314.0,261.0
492.0,0.0
1388.0,0.0
2360.0,550.0
2384.0,2811.0
1523.0,3808.0
661.0,1582.0
515.0,0.0
1099.0,0.0
1901.0,612.0
2209.0,2008.0
1797.0,3253.0
1154.0,2379.0
801.0,382.0
914.0,0.0
1412.0,267.0
1813.0,1281.0
1658.0,2724.0
1352.0,2791.0
1035.0,1054.0
1057.0,0.0
1506.0,479.0
1763.0,1607.0
1617.0,2737.0
1318.0,2408.0
1020.0,922.0
1172.0,330.0
1572.0,982.0
1864.0,1913.0
1599.0,2360.0
978.0,1732.0
809.0,781.0
986.0,163.0
1606.0,779.0
2140.0,1994.0
1930.0,3161.0
1240.0,2323.0
679.0,897.0
600.0,0.0
1383.0,261.0
2242.0,1363.0
2255.0,2972.0
1478.0,3031.0
633.0,1019.0
578.0,0.0
1324.0,0.0
2201.0,934.0
2137.0,2926.0
1350.0,3306.0
767.0,1055.0
628.0,0.0
1294.0,7.0
2035.0,1209.0
2049.0,2809.0
1637.0,3257.0
1098.0,1637.0
1083.0,615.0
1357.0,22.0
1719.0,840.0
1731.0,1968.0
1450.0,2507.0
1254.0,1745.0
1218.0,913.0
1295.0,376.0
1546.0,1286.0
1477.0,1898.0
1329.0,1783.0
1386.0,1439.0
1560.0,1319.0
1742.0,1331.0
1843.0,2321.0
1493.0,2413.0
926.0,967.0
829.0,728.0
1679.0,1115.0
2457.0,1551.0
2564.0,3092.0
1632.0,3221.0
537.0,728.0
358.0,198.0
1146.0,639.0
2350.0,1088.0
2882.0,2624.0
2120.0,3756.0
682.0,1908.0
231.0,0.0
885.0,0.0
2106.0,513.0
2900.0,2188.0
2512.0,4331.0
1186.0,3373.0
316.0,44.0
600.0,0.0
1661.0,0.0
2491.0,810.0
2261.0,2906.0
1206.0,3342.0
433.0,893.0
745.0,0.0
1882.0,292.0
2513.0,1666.0
2100.0,3578.0
1284.0,3244.0
791.0,740.0
1292.0,0.0
1931.0,507.0
2084.0,1772.0
1568.0,2805.0
971.0,2000.0
888.0,633.0
1564.0,0.0
2233.0,1398.0
2376.0,3683.0
1650.0,3963.0
771.0,1140.0
586.0,0.0
1348.0,0.0
2249.0,633.0
2410.0,2585.0
1760.0,3740.0
865.0,1964.0
580.0,0.0
1159.0,0.0
2209.0,487.0
2703.0,2963.0
2241.0,4825.0
1088.0,2906.0
532.0,0.0
956.0,0.0
2073.0,0.0
2732.0,1400.0
2346.0,3898.0
1147.0,3645.0
560.0,294.0
872.0,0.0
1845.0,46.0
2574.0,1483.0
2531.0,4152.0
1629.0,4354.0
886.0,996.0
874.0,0.0
1631.0,0.0
2425.0,497.0
2418.0,3026.0
1682.0,4291.0
974.0,2191.0
1135.0,0.0
1807.0,0.0
2327.0,922.0
2079.0,3129.0
1433.0,3692.0
768.0,1251.0
1093.0,0.0
2179.0,260.0
3004.0,2608.0
2506.0,4986.0
1073.0,3439.0
278.0,0.0
849.0,0.0
2137.0,0.0
3050.0,1304.0
2657.0,4093.0
1389.0,4166.0
322.0,613.0
516.0,0.0
1797.0,0.0
3008.0,833.0
3085.0,4110.0
1790.0,5103.0
459.0,1312.0
385.0,0.0
1455.0,0.0
2581.0,407.0
3003.0,2465.0
2184.0,4322.0
954.0,2707.0
464.0,231.0
1110.0,0.0
2057.0,46.0
2525.0,1579.0
2282.0,3919.0
1544.0,3836.0
971.0,922.0
1263.0,0.0
