id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1023.0,1023.0,0.0,3069.0,3069.0,732.0,291.0,732.0,291.0
0.0,0.0,1098.0,1061.0,3069.0,2235.0,2235.0,765.0,296.0,798.0,300.0
0.0,948.0,78.0,733.0,2235.0,0.0,0.0,536.0,197.0,78.0,0.0
0.0,3105.0,287.0,621.0,0.0,0.0,0.0,453.0,168.0,204.0,83.0
0.0,2818.0,266.0,550.0,0.0,0.0,0.0,397.0,153.0,173.0,93.0
0.0,2552.0,362.0,518.0,0.0,0.0,0.0,372.0,146.0,250.0,112.0
0.0,2190.0,338.0,493.0,0.0,0.0,0.0,350.0,143.0,218.0,120.0
0.0,1852.0,353.0,476.0,0.0,0.0,0.0,340.0,136.0,263.0,90.0
0.0,1499.0,426.0,470.0,0.0,337.0,337.0,334.0,136.0,293.0,133.0
0.0,1073.0,397.0,463.0,337.0,376.0,376.0,327.0,136.0,257.0,140.0
0.0,1013.0,269.0,445.0,376.0,215.0,215.0,314.0,131.0,188.0,81.0
0.0,1120.0,317.0,434.0,215.0,284.0,284.0,306.0,128.0,220.0,97.0
0.0,1018.0,223.0,419.0,284.0,178.0,178.0,293.0,126.0,129.0,94.0
0.0,1079.0,215.0,404.0,178.0,170.0,170.0,281.0,123.0,130.0,85.0
0.0,1042.0,318.0,398.0,170.0,300.0,300.0,276.0,122.0,204.0,114.0
0.0,894.0,341.0,394.0,300.0,329.0,329.0,273.0,121.0,236.0,105.0
0.0,853.0,358.0,392.0,329.0,352.0,352.0,272.0,120.0,254.0,104.0
0.0,824.0,387.0,392.0,352.0,387.0,387.0,272.0,120.0,268.0,119.0
0.0,789.0,317.0,388.0,387.0,305.0,305.0,270.0,118.0,240.0,77.0
0.0,859.0,341.0,386.0,305.0,335.0,335.0,269.0,117.0,248.0,93.0
0.0,823.0,242.0,379.0,335.0,221.0,221.0,264.0,115.0,166.0,76.0
0.0,916.0,443.0,382.0,221.0,452.0,452.0,266.0,116.0,302.0,141.0
0.0,694.0,395.0,382.0,452.0,395.0,395.0,267.0,115.0,294.0,101.0
0.0,751.0,421.0,384.0,395.0,427.0,427.0,268.0,116.0,292.0,129.0
0.0,725.0,333.0,381.0,427.0,324.0,324.0,267.0,114.0,249.0,84.0
0.0,819.0,342.0,381.0,324.0,342.0,342.0,267.0,114.0,250.0,92.0
0.0,801.0,252.0,376.0,342.0,237.0,237.0,264.0,112.0,183.0,69.0
0.0,891.0,217.0,370.0,237.0,199.0,199.0,259.0,111.0,141.0,76.0
0.0,911.0,372.0,370.0,199.0,372.0,372.0,259.0,111.0,250.0,122.0
0.0,738.0,418.0,371.0,372.0,421.0,421.0,260.0,111.0,297.0,121.0
0.0,692.0,338.0,371.0,421.0,338.0,338.0,259.0,112.0,220.0,118.0
0.0,775.0,300.0,368.0,338.0,291.0,291.0,257.0,111.0,200.0,100.0
0.0,813.0,360.0,368.0,291.0,360.0,360.0,257.0,111.0,258.0,102.0
0.0,744.0,308.0,366.0,360.0,302.0,302.0,256.0,110.0,224.0,84.0
0.0,796.0,318.0,365.0,302.0,315.0,315.0,255.0,110.0,217.0,101.0
0.0,780.0,343.0,365.0,315.0,343.0,343.0,255.0,110.0,245.0,98.0
0.0,752.0,412.0,366.0,343.0,415.0,415.0,256.0,110.0,292.0,120.0
0.0,683.0,371.0,366.0,415.0,371.0,371.0,256.0,110.0,248.0,123.0
0.0,727.0,418.0,367.0,371.0,421.0,421.0,256.0,111.0,288.0,130.0
0.0,680.0,387.0,367.0,421.0,387.0,387.0,257.0,110.0,285.0,102.0
0.0,714.0,265.0,365.0,387.0,259.0,259.0,255.0,110.0,183.0,82.0
0.0,836.0,335.0,364.0,259.0,332.0,332.0,255.0,109.0,261.0,74.0
0.0,760.0,444.0,366.0,332.0,450.0,450.0,257.0,109.0,315.0,129.0
0.0,648.0,437.0,368.0,450.0,443.0,443.0,258.0,110.0,312.0,125.0
0.0,661.0,391.0,368.0,443.0,391.0,391.0,258.0,110.0,259.0,132.0
0.0,713.0,338.0,367.0,391.0,335.0,335.0,257.0,110.0,226.0,112.0
0.0,766.0,368.0,367.0,335.0,368.0,368.0,257.0,110.0,261.0,107.0
0.0,733.0,317.0,366.0,368.0,314.0,314.0,257.0,109.0,252.0,65.0
0.0,784.0,329.0,366.0,314.0,329.0,329.0,257.0,109.0,240.0,89.0
0.0,769.0,375.0,366.0,329.0,375.0,375.0,257.0,109.0,280.0,95.0
0.0,723.0,420.0,367.0,375.0,423.0,423.0,258.0,109.0,309.0,111.0
0.0,678.0,368.0,367.0,423.0,368.0,368.0,258.0,109.0,246.0,122.0
0.0,733.0,385.0,355.0,368.0,349.0,349.0,249.0,106.0,248.0,137.0
0.0,716.0,399.0,341.0,349.0,357.0,357.0,239.0,102.0,279.0,120.0
0.0,666.0,344.0,346.0,357.0,359.0,359.0,242.0,104.0,239.0,105.0
0.0,679.0,289.0,347.0,359.0,292.0,292.0,242.0,105.0,204.0,85.0
0.0,749.0,399.0,349.0,292.0,405.0,405.0,244.0,105.0,280.0,119.0
0.0,642.0,431.0,350.0,405.0,434.0,434.0,245.0,105.0,309.0,122.0
0.0,616.0,432.0,352.0,434.0,438.0,438.0,247.0,105.0,306.0,126.0
0.0,618.0,302.0,352.0,438.0,302.0,302.0,246.0,106.0,202.0,100.0
0.0,754.0,374.0,350.0,302.0,368.0,368.0,245.0,105.0,270.0,104.0
0.0,682.0,308.0,348.0,368.0,302.0,302.0,244.0,104.0,209.0,99.0
0.0,742.0,388.0,351.0,302.0,397.0,397.0,246.0,105.0,268.0,120.0
0.0,656.0,366.0,352.0,397.0,369.0,369.0,247.0,105.0,261.0,105.0
0.0,687.0,490.0,357.0,369.0,505.0,505.0,251.0,106.0,361.0,129.0
0.0,566.0,443.0,362.0,505.0,458.0,458.0,255.0,107.0,308.0,135.0
0.0,628.0,440.0,364.0,458.0,446.0,446.0,257.0,107.0,310.0,130.0
0.0,646.0,378.0,364.0,446.0,378.0,378.0,257.0,107.0,277.0,101.0
0.0,714.0,363.0,365.0,378.0,366.0,366.0,258.0,107.0,260.0,103.0
0.0,729.0,237.0,361.0,366.0,225.0,225.0,255.0,106.0,148.0,89.0
0.0,858.0,409.0,363.0,225.0,415.0,415.0,256.0,107.0,280.0,129.0
0.0,674.0,441.0,366.0,415.0,450.0,450.0,258.0,108.0,338.0,103.0
0.0,648.0,422.0,368.0,450.0,428.0,428.0,260.0,108.0,301.0,121.0
0.0,676.0,368.0,367.0,428.0,365.0,365.0,259.0,108.0,237.0,131.0
0.0,736.0,385.0,367.0,365.0,385.0,385.0,259.0,108.0,283.0,102.0
0.0,716.0,370.0,366.0,385.0,367.0,367.0,258.0,108.0,251.0,119.0
0.0,731.0,300.0,366.0,367.0,300.0,300.0,257.0,109.0,189.0,111.0
0.0,798.0,427.0,367.0,300.0,430.0,430.0,258.0,109.0,310.0,117.0
