agg_orders_level_0,agg_orders_level_1
4052.0,16208.0
4108.0,16320.0
4232.0,12708.0
4252.0,760.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.0,0.0
186.0,0.0
966.0,0.0
1666.0,0.0
1742.0,0.0
1034.0,0.0
386.0,0.0
229.0,0.0
766.0,0.0
1458.0,0.0
1678.0,0.0
1086.0,0.0
395.0,0.0
229.0,0.0
782.0,0.0
1571.0,0.0
1794.0,0.0
1262.0,0.0
556.0,0.0
426.0,0.0
1020.0,0.0
1752.0,0.0
1914.0,0.0
1346.0,343.0
644.0,504.0
492.0,495.0
969.0,928.0
1558.0,2031.0
1659.0,2814.0
1181.0,1956.0
643.0,524.0
498.0,0.0
868.0,0.0
1400.0,567.0
1482.0,1677.0
1042.0,1904.0
491.0,1030.0
411.0,548.0
899.0,0.0
1445.0,374.0
1572.0,1479.0
1147.0,2248.0
638.0,1587.0
607.0,748.0
1224.0,0.0
1804.0,576.0
1867.0,1801.0
1403.0,2369.0
895.0,1702.0
734.0,1062.0
1096.0,176.0
1620.0,786.0
1741.0,1998.0
1401.0,2520.0
803.0,1780.0
522.0,727.0
860.0,0.0
1467.0,160.0
1693.0,1285.0
1302.0,2030.0
609.0,1338.0
405.0,686.0
703.0,81.0
1388.0,410.0
1700.0,1371.0
1386.0,2427.0
744.0,2042.0
448.0,749.0
797.0,0.0
1521.0,234.0
1927.0,1713.0
1690.0,2795.0
1040.0,2126.0
620.0,1023.0
837.0,168.0
1550.0,427.0
2002.0,1238.0
1725.0,2365.0
1027.0,2158.0
574.0,1275.0
864.0,44.0
1528.0,282.0
1994.0,1520.0
1691.0,2769.0
840.0,2085.0
361.0,864.0
616.0,0.0
1362.0,0.0
1846.0,899.0
1488.0,2100.0
643.0,1828.0
241.0,718.0
622.0,0.0
1410.0,25.0
1890.0,1491.0
1624.0,2980.0
957.0,2422.0
643.0,921.0
1000.0,0.0
1689.0,185.0
2076.0,1521.0
1815.0,3173.0
1106.0,2770.0
680.0,1011.0
940.0,0.0
1585.0,194.0
1982.0,1547.0
1738.0,2603.0
1034.0,2106.0
555.0,927.0
703.0,81.0
1246.0,0.0
1690.0,939.0
1519.0,2118.0
889.0,2080.0
429.0,1002.0
662.0,248.0
1358.0,7.0
1771.0,1185.0
1562.0,2415.0
991.0,2241.0
644.0,1052.0
986.0,414.0
1711.0,102.0
2172.0,1752.0
1903.0,3481.0
1178.0,2931.0
757.0,957.0
1062.0,0.0
1701.0,297.0
2116.0,1273.0
1819.0,2768.0
1073.0,2580.0
615.0,1361.0
804.0,0.0
1473.0,0.0
1925.0,960.0
1686.0,2382.0
936.0,2382.0
400.0,869.0
622.0,36.0
1418.0,0.0
1956.0,1073.0
1658.0,2807.0
867.0,2617.0
418.0,752.0
766.0,0.0
1677.0,0.0
2229.0,1471.0
1888.0,3455.0
1000.0,2980.0
634.0,656.0
1108.0,0.0
2058.0,43.0
2475.0,2136.0
1987.0,4180.0
955.0,2999.0
446.0,302.0
886.0,0.0
1867.0,0.0
2370.0,1031.0
1790.0,2913.0
671.0,2549.0
191.0,52.0
641.0,0.0
1618.0,0.0
2174.0,1603.0
1656.0,3359.0
696.0,2452.0
290.0,207.0
766.0,0.0
1768.0,0.0
2323.0,1541.0
1979.0,3624.0
1140.0,3235.0
671.0,198.0
1030.0,0.0
1929.0,148.0
2461.0,2197.0
2103.0,4256.0
1252.0,3327.0
643.0,317.0
806.0,0.0
1606.0,0.0
2205.0,575.0
1989.0,2672.0
1258.0,3391.0
611.0,1262.0
660.0,0.0
1353.0,0.0
2020.0,636.0
1944.0,2666.0
1128.0,3198.0
546.0,1006.0
564.0,0.0
1238.0,0.0
1942.0,532.0
2030.0,2644.0
1451.0,3619.0
798.0,1705.0
850.0,0.0
1574.0,0.0
2303.0,1140.0
2258.0,3458.0
1526.0,3880.0
779.0,1130.0
864.0,0.0
1631.0,0.0
2319.0,867.0
2189.0,3178.0
1432.0,3783.0
745.0,1270.0
773.0,0.0
1445.0,0.0
2052.0,594.0
1935.0,2514.0
1288.0,3256.0
696.0,1366.0
702.0,0.0
1347.0,51.0
1933.0,842.0
1904.0,2663.0
1301.0,3158.0
840.0,1271.0
990.0,26.0
1609.0,0.0
2127.0,1478.0
2009.0,3599.0
1449.0,3598.0
906.0,829.0
1047.0,0.0
1776.0,0.0
2359.0,1536.0
2174.0,3826.0
1347.0,3681.0
761.0,548.0
928.0,0.0
1623.0,0.0
2262.0,1080.0
2093.0,3293.0
1225.0,3478.0
559.0,684.0
741.0,0.0
1586.0,0.0
2211.0,1016.0
2088.0,3220.0
1299.0,3559.0
650.0,996.0
828.0,0.0
1644.0,0.0
2355.0,1173.0
2202.0,3483.0
1408.0,3758.0
757.0,972.0
985.0,0.0
1835.0,161.0
2478.0,1480.0
2248.0,3683.0
1351.0,3586.0
765.0,864.0
926.0,0.0
1825.0,227.0
2543.0,1396.0
2239.0,3520.0
1197.0,3361.0
700.0,804.0
862.0,0.0
1651.0,118.0
2258.0,1064.0
2081.0,3122.0
1256.0,3350.0
614.0,981.0
764.0,0.0
1551.0,1.0
2246.0,1075.0
2124.0,3195.0
1444.0,3600.0
875.0,1224.0
1031.0,0.0
1779.0,0.0
2469.0,1651.0
2327.0,4090.0
1521.0,3996.0
996.0,846.0
1223.0,0.0
1941.0,103.0
2422.0,1562.0
2167.0,3738.0
1459.0,3679.0
930.0,815.0
1075.0,0.0
1676.0,0.0
2179.0,1195.0
1943.0,3246.0
1224.0,3311.0
865.0,882.0
1008.0,30.0
1549.0,27.0
2046.0,1182.0
1997.0,3260.0
1487.0,3613.0
1055.0,1364.0
1130.0,57.0
1765.0,161.0
2231.0,1384.0
2237.0,3580.0
1755.0,4011.0
1263.0,1642.0
1297.0,184.0
1834.0,528.0
2306.0,1198.0
2237.0,3019.0
1648.0,3521.0
1087.0,1583.0
1186.0,236.0
1861.0,845.0
2404.0,1678.0
2174.0,3049.0
1394.0,2809.0
797.0,1288.0
1055.0,15.0
1817.0,443.0
2263.0,1567.0
1994.0,3135.0
1279.0,2887.0
826.0,921.0
1076.0,0.0
1837.0,605.0
2347.0,1930.0
2231.0,3660.0
1514.0,3280.0
1042.0,990.0
1345.0,32.0
2164.0,843.0
2636.0,2437.0
2299.0,3993.0
1516.0,3096.0
1114.0,579.0
1347.0,113.0
2120.0,1004.0
2534.0,2366.0
2131.0,3577.0
1330.0,2565.0
901.0,490.0
1195.0,20.0
1949.0,790.0
2354.0,2264.0
1991.0,3553.0
1178.0,2479.0
808.0,320.0
1077.0,109.0
1743.0,741.0
2304.0,1903.0
2248.0,3461.0
1682.0,3284.0
1165.0,1066.0
1315.0,396.0
2011.0,1150.0
2575.0,2149.0
2510.0,3523.0
1862.0,3302.0
1300.0,1191.0
1259.0,514.0
1845.0,1220.0
2473.0,1845.0
2405.0,2828.0
1720.0,2829.0
1106.0,1231.0
1254.0,424.0
1902.0,1133.0
2345.0,1942.0
2093.0,3006.0
1415.0,2777.0
1008.0,803.0
1171.0,237.0
1783.0,853.0
2168.0,1864.0
1993.0,2946.0
1438.0,2548.0
1123.0,759.0
1480.0,662.0
2198.0,1645.0
2587.0,2981.0
2255.0,3683.0
