agg_orders_level_0,agg_orders_level_1
4228.0,16912.0
4192.0,16840.0
4172.0,12468.0
4108.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
62.0,0.0
575.0,0.0
1310.0,0.0
1781.0,0.0
1563.0,0.0
842.0,0.0
523.0,0.0
540.0,0.0
1126.0,0.0
1627.0,0.0
1688.0,0.0
1021.0,0.0
365.0,0.0
493.0,0.0
1062.0,0.0
1639.0,0.0
1728.0,0.0
1020.0,0.0
407.0,0.0
526.0,0.0
1219.0,0.0
1739.0,0.0
1611.0,368.0
1024.0,913.0
422.0,761.0
349.0,272.0
893.0,366.0
1584.0,1569.0
1722.0,2973.0
1331.0,2759.0
833.0,871.0
755.0,0.0
932.0,98.0
1259.0,586.0
1453.0,1246.0
1230.0,1878.0
834.0,1591.0
702.0,677.0
956.0,269.0
1317.0,714.0
1541.0,1527.0
1398.0,1987.0
1224.0,1702.0
883.0,687.0
831.0,118.0
1133.0,589.0
1580.0,1235.0
1498.0,2126.0
965.0,1920.0
695.0,807.0
692.0,152.0
1008.0,380.0
1372.0,1103.0
1340.0,1994.0
1085.0,1952.0
758.0,753.0
885.0,414.0
1430.0,670.0
1682.0,1598.0
1402.0,2398.0
979.0,1771.0
733.0,490.0
784.0,0.0
1284.0,190.0
1547.0,1432.0
1437.0,2751.0
934.0,2245.0
663.0,317.0
969.0,0.0
1551.0,560.0
1807.0,1938.0
1515.0,2965.0
719.0,1706.0
382.0,0.0
673.0,0.0
1257.0,97.0
1618.0,1101.0
1425.0,2313.0
1068.0,2292.0
835.0,1048.0
836.0,0.0
1274.0,69.0
1657.0,1173.0
1616.0,2788.0
1288.0,2927.0
820.0,1052.0
652.0,0.0
1018.0,0.0
1598.0,584.0
1700.0,1976.0
1390.0,2818.0
878.0,1684.0
662.0,199.0
869.0,0.0
1404.0,110.0
1875.0,1769.0
1732.0,3463.0
933.0,2615.0
399.0,155.0
661.0,0.0
1415.0,0.0
1759.0,609.0
1508.0,2148.0
864.0,2391.0
626.0,824.0
907.0,160.0
1622.0,392.0
2053.0,2124.0
1651.0,3439.0
736.0,2003.0
414.0,489.0
891.0,26.0
1614.0,0.0
1961.0,934.0
