id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1101.0,1101.0,0.0,3303.0,3303.0,783.0,318.0,783.0,318.0
0.0,0.0,1053.0,1078.0,3303.0,2085.0,2085.0,770.0,308.0,756.0,297.0
0.0,1149.0,22.0,725.0,2085.0,0.0,0.0,520.0,205.0,22.0,0.0
0.0,3212.0,328.0,626.0,0.0,0.0,0.0,455.0,171.0,258.0,70.0
0.0,2884.0,298.0,560.0,0.0,0.0,0.0,403.0,157.0,198.0,100.0
0.0,2586.0,331.0,523.0,0.0,0.0,0.0,375.0,148.0,231.0,100.0
0.0,2255.0,308.0,492.0,0.0,0.0,0.0,352.0,140.0,213.0,95.0
0.0,1947.0,309.0,469.0,0.0,0.0,0.0,337.0,132.0,233.0,76.0
0.0,1638.0,368.0,458.0,0.0,104.0,104.0,327.0,131.0,249.0,119.0
0.0,1270.0,340.0,446.0,104.0,304.0,304.0,316.0,130.0,219.0,121.0
0.0,1034.0,241.0,427.0,304.0,184.0,184.0,302.0,125.0,160.0,81.0
0.0,1097.0,280.0,415.0,184.0,244.0,244.0,292.0,123.0,176.0,104.0
0.0,1001.0,230.0,401.0,244.0,188.0,188.0,279.0,122.0,131.0,99.0
0.0,1015.0,377.0,399.0,188.0,371.0,371.0,278.0,121.0,259.0,118.0
0.0,826.0,332.0,394.0,371.0,317.0,317.0,274.0,120.0,229.0,103.0
0.0,865.0,330.0,391.0,317.0,321.0,321.0,272.0,119.0,232.0,98.0
0.0,852.0,346.0,387.0,321.0,334.0,334.0,270.0,117.0,249.0,97.0
0.0,827.0,368.0,387.0,334.0,368.0,368.0,270.0,117.0,257.0,111.0
0.0,793.0,322.0,384.0,368.0,313.0,313.0,268.0,116.0,229.0,93.0
0.0,839.0,348.0,382.0,313.0,342.0,342.0,267.0,115.0,248.0,100.0
0.0,804.0,347.0,380.0,342.0,341.0,341.0,266.0,114.0,254.0,93.0
0.0,799.0,374.0,380.0,341.0,374.0,374.0,266.0,114.0,268.0,106.0
0.0,766.0,332.0,377.0,374.0,323.0,323.0,265.0,112.0,248.0,84.0
0.0,808.0,292.0,375.0,323.0,286.0,286.0,263.0,112.0,199.0,93.0
0.0,839.0,323.0,372.0,286.0,314.0,314.0,261.0,111.0,227.0,96.0
0.0,802.0,384.0,372.0,314.0,384.0,384.0,261.0,111.0,258.0,126.0
0.0,732.0,330.0,371.0,384.0,327.0,327.0,260.0,111.0,226.0,104.0
0.0,786.0,429.0,373.0,327.0,435.0,435.0,261.0,112.0,298.0,131.0
0.0,684.0,419.0,374.0,435.0,422.0,422.0,262.0,112.0,293.0,126.0
0.0,700.0,370.0,374.0,422.0,370.0,370.0,262.0,112.0,263.0,107.0
0.0,752.0,362.0,374.0,370.0,362.0,362.0,262.0,112.0,249.0,113.0
0.0,760.0,398.0,375.0,362.0,401.0,401.0,262.0,113.0,273.0,125.0
0.0,724.0,414.0,376.0,401.0,417.0,417.0,263.0,113.0,287.0,127.0
0.0,711.0,386.0,376.0,417.0,386.0,386.0,263.0,113.0,276.0,110.0
0.0,742.0,293.0,374.0,386.0,287.0,287.0,262.0,112.0,212.0,81.0
0.0,835.0,343.0,373.0,287.0,340.0,340.0,261.0,112.0,249.0,94.0
0.0,779.0,349.0,372.0,340.0,346.0,346.0,261.0,111.0,245.0,104.0
0.0,770.0,333.0,371.0,346.0,330.0,330.0,260.0,111.0,224.0,109.0
0.0,783.0,368.0,371.0,330.0,368.0,368.0,260.0,111.0,253.0,115.0
0.0,745.0,381.0,372.0,368.0,384.0,384.0,260.0,112.0,265.0,116.0
0.0,732.0,327.0,370.0,384.0,321.0,321.0,259.0,111.0,218.0,109.0
0.0,789.0,409.0,371.0,321.0,412.0,412.0,260.0,111.0,308.0,101.0
0.0,701.0,429.0,373.0,412.0,435.0,435.0,261.0,112.0,301.0,128.0
0.0,684.0,415.0,374.0,435.0,418.0,418.0,262.0,112.0,289.0,126.0
0.0,704.0,409.0,374.0,418.0,409.0,409.0,262.0,112.0,281.0,128.0
0.0,713.0,287.0,373.0,409.0,284.0,284.0,261.0,112.0,203.0,84.0
0.0,835.0,393.0,373.0,284.0,393.0,393.0,261.0,112.0,282.0,111.0
0.0,726.0,427.0,374.0,393.0,430.0,430.0,263.0,111.0,324.0,103.0
0.0,692.0,384.0,374.0,430.0,384.0,384.0,263.0,111.0,283.0,101.0
0.0,738.0,326.0,373.0,384.0,323.0,323.0,262.0,111.0,236.0,90.0
0.0,796.0,335.0,373.0,323.0,335.0,335.0,262.0,111.0,238.0,97.0
0.0,784.0,315.0,371.0,335.0,309.0,309.0,261.0,110.0,212.0,103.0
0.0,804.0,415.0,358.0,309.0,376.0,376.0,251.0,107.0,279.0,136.0
0.0,698.0,469.0,347.0,376.0,436.0,436.0,243.0,104.0,327.0,142.0
0.0,605.0,355.0,353.0,436.0,373.0,373.0,247.0,106.0,244.0,111.0
0.0,686.0,437.0,355.0,373.0,443.0,443.0,248.0,107.0,304.0,133.0
0.0,622.0,395.0,358.0,443.0,404.0,404.0,250.0,108.0,268.0,127.0
0.0,670.0,385.0,358.0,404.0,385.0,385.0,250.0,108.0,260.0,125.0
0.0,689.0,356.0,359.0,385.0,359.0,359.0,251.0,108.0,254.0,102.0
0.0,718.0,360.0,360.0,359.0,363.0,363.0,251.0,109.0,259.0,101.0
0.0,717.0,393.0,361.0,363.0,396.0,396.0,252.0,109.0,292.0,101.0
0.0,687.0,375.0,361.0,396.0,375.0,375.0,253.0,108.0,266.0,109.0
0.0,708.0,358.0,364.0,375.0,367.0,367.0,255.0,109.0,256.0,102.0
0.0,725.0,302.0,365.0,367.0,305.0,305.0,256.0,109.0,208.0,94.0
0.0,790.0,377.0,367.0,305.0,383.0,383.0,258.0,109.0,267.0,110.0
0.0,718.0,436.0,368.0,383.0,439.0,439.0,259.0,109.0,299.0,137.0
0.0,665.0,470.0,371.0,439.0,479.0,479.0,261.0,110.0,339.0,131.0
0.0,634.0,465.0,373.0,479.0,471.0,471.0,263.0,110.0,334.0,131.0
0.0,648.0,462.0,376.0,471.0,471.0,471.0,265.0,111.0,328.0,134.0
0.0,657.0,322.0,375.0,471.0,319.0,319.0,264.0,111.0,210.0,112.0
0.0,806.0,298.0,374.0,319.0,295.0,295.0,263.0,111.0,192.0,106.0
0.0,827.0,405.0,376.0,295.0,411.0,411.0,264.0,112.0,292.0,113.0
0.0,717.0,407.0,377.0,411.0,410.0,410.0,265.0,112.0,291.0,116.0
0.0,721.0,320.0,376.0,410.0,317.0,317.0,264.0,112.0,220.0,100.0
0.0,811.0,433.0,377.0,317.0,436.0,436.0,265.0,112.0,318.0,115.0
0.0,695.0,384.0,379.0,436.0,390.0,390.0,266.0,113.0,272.0,112.0
0.0,747.0,309.0,379.0,390.0,309.0,309.0,266.0,113.0,209.0,100.0
0.0,828.0,379.0,378.0,309.0,376.0,376.0,266.0,112.0,274.0,105.0
0.0,758.0,417.0,381.0,376.0,426.0,426.0,268.0,113.0,288.0,129.0
0.0,717.0,435.0,381.0,426.0,435.0,435.0,268.0,113.0,323.0,112.0
0.0,708.0,441.0,381.0,435.0,441.0,441.0,268.0,113.0,309.0,132.0
0.0,702.0,433.0,382.0,441.0,436.0,436.0,269.0,113.0,293.0,140.0
0.0,710.0,364.0,382.0,436.0,364.0,364.0,269.0,113.0,246.0,118.0
0.0,782.0,402.0,383.0,364.0,405.0,405.0,269.0,114.0,268.0,134.0
0.0,744.0,328.0,380.0,405.0,319.0,319.0,267.0,113.0,221.0,107.0
0.0,821.0,417.0,381.0,319.0,420.0,420.0,268.0,113.0,297.0,120.0
0.0,723.0,385.0,383.0,420.0,391.0,391.0,269.0,114.0,289.0,96.0
0.0,758.0,367.0,384.0,391.0,370.0,370.0,270.0,114.0,272.0,95.0
0.0,782.0,361.0,384.0,370.0,361.0,361.0,270.0,114.0,249.0,112.0
0.0,791.0,396.0,385.0,361.0,399.0,399.0,271.0,114.0,286.0,110.0
0.0,756.0,395.0,385.0,399.0,395.0,395.0,271.0,114.0,273.0,122.0
0.0,760.0,401.0,386.0,395.0,404.0,404.0,272.0,114.0,280.0,121.0
0.0,754.0,413.0,387.0,404.0,416.0,416.0,273.0,114.0,292.0,121.0
0.0,745.0,432.0,388.0,416.0,435.0,435.0,273.0,115.0,303.0,129.0
0.0,729.0,354.0,387.0,435.0,351.0,351.0,272.0,115.0,243.0,111.0
0.0,810.0,434.0,387.0,351.0,434.0,434.0,272.0,115.0,298.0,136.0
0.0,727.0,387.0,387.0,434.0,387.0,387.0,272.0,115.0,259.0,128.0
0.0,774.0,359.0,388.0,387.0,362.0,362.0,273.0,115.0,247.0,112.0
0.0,802.0,381.0,387.0,362.0,378.0,378.0,272.0,115.0,261.0,120.0
0.0,783.0,374.0,387.0,378.0,374.0,374.0,271.0,116.0,255.0,119.0
0.0,787.0,410.0,387.0,374.0,410.0,410.0,271.0,116.0,294.0,116.0
0.0,751.0,387.0,389.0,410.0,393.0,393.0,272.0,117.0,272.0,115.0
0.0,774.0,320.0,388.0,393.0,317.0,317.0,272.0,116.0,226.0,94.0
0.0,847.0,374.0,389.0,317.0,377.0,377.0,272.0,117.0,257.0,117.0
0.0,790.0,439.0,389.0,377.0,439.0,439.0,273.0,116.0,317.0,122.0
0.0,728.0,399.0,388.0,439.0,396.0,396.0,272.0,116.0,278.0,121.0
0.0,768.0,458.0,391.0,396.0,467.0,467.0,274.0,117.0,323.0,135.0
0.0,706.0,459.0,391.0,467.0,459.0,459.0,274.0,117.0,321.0,138.0
0.0,714.0,407.0,391.0,459.0,407.0,407.0,274.0,117.0,270.0,137.0
0.0,766.0,392.0,391.0,407.0,392.0,392.0,274.0,117.0,270.0,122.0
0.0,781.0,326.0,390.0,392.0,323.0,323.0,273.0,117.0,214.0,112.0
0.0,847.0,407.0,391.0,323.0,410.0,410.0,274.0,117.0,284.0,123.0
0.0,763.0,401.0,392.0,410.0,404.0,404.0,274.0,118.0,276.0,125.0
0.0,772.0,433.0,392.0,404.0,433.0,433.0,274.0,118.0,299.0,134.0
0.0,743.0,392.0,394.0,433.0,398.0,398.0,275.0,119.0,272.0,120.0
0.0,784.0,366.0,394.0,398.0,366.0,366.0,275.0,119.0,245.0,121.0
0.0,816.0,416.0,396.0,366.0,422.0,422.0,276.0,120.0,288.0,128.0
0.0,766.0,422.0,395.0,422.0,419.0,419.0,276.0,119.0,305.0,117.0
0.0,766.0,455.0,395.0,419.0,455.0,455.0,276.0,119.0,332.0,123.0
0.0,730.0,496.0,395.0,455.0,496.0,496.0,276.0,119.0,351.0,145.0
0.0,689.0,507.0,396.0,496.0,510.0,510.0,277.0,119.0,367.0,140.0
0.0,678.0,432.0,399.0,510.0,441.0,441.0,279.0,120.0,310.0,122.0
0.0,756.0,453.0,401.0,441.0,459.0,459.0,281.0,120.0,314.0,139.0
