agg_orders_level_0,agg_orders_level_1
4292.0,17168.0
4132.0,16848.0
4084.0,12020.0
3932.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
100.0,0.0
564.0,0.0
1258.0,0.0
1708.0,0.0
1700.0,0.0
1250.0,0.0
744.0,0.0
699.0,0.0
923.0,0.0
1195.0,0.0
1386.0,0.0
1417.0,0.0
1013.0,0.0
760.0,0.0
755.0,0.0
951.0,0.0
1131.0,0.0
1360.0,0.0
1370.0,0.0
1084.0,0.0
687.0,0.0
611.0,0.0
1051.0,145.0
1569.0,696.0
1831.0,2220.0
1410.0,2954.0
575.0,1237.0
391.0,0.0
871.0,0.0
1482.0,126.0
1591.0,1341.0
1168.0,2379.0
817.0,1819.0
874.0,957.0
1205.0,131.0
1302.0,701.0
1087.0,1558.0
855.0,1272.0
863.0,400.0
1271.0,932.0
1523.0,1550.0
1310.0,1700.0
891.0,1553.0
727.0,216.0
750.0,0.0
1169.0,547.0
1741.0,1427.0
1798.0,2822.0
1331.0,2822.0
665.0,1163.0
359.0,0.0
756.0,198.0
1475.0,669.0
1750.0,1158.0
1596.0,2117.0
982.0,1881.0
511.0,237.0
762.0,375.0
1376.0,859.0
1715.0,1631.0
1612.0,2436.0
1207.0,2134.0
781.0,313.0
809.0,441.0
1158.0,806.0
1351.0,755.0
1322.0,1315.0
1292.0,1984.0
1128.0,1689.0
1171.0,995.0
1279.0,986.0
1109.0,655.0
950.0,984.0
1048.0,1478.0
1418.0,1435.0
1660.0,1621.0
1483.0,1645.0
1087.0,1189.0
886.0,833.0
900.0,977.0
1179.0,872.0
1497.0,1249.0
1361.0,1466.0
1243.0,1464.0
1135.0,1493.0
838.0,832.0
977.0,391.0
1405.0,1159.0
1741.0,1974.0
1497.0,2356.0
1163.0,1573.0
917.0,606.0
866.0,199.0
999.0,514.0
1352.0,941.0
1506.0,1953.0
1491.0,2567.0
1129.0,1743.0
830.0,187.0
785.0,62.0
1126.0,175.0
1443.0,1260.0
1565.0,2750.0
1371.0,2901.0
1076.0,1195.0
898.0,0.0
828.0,0.0
1131.0,168.0
1608.0,1536.0
1840.0,3296.0
1666.0,3446.0
1058.0,1156.0
661.0,0.0
748.0,0.0
1264.0,335.0
1866.0,1245.0
2031.0,2865.0
1471.0,3103.0
673.0,1018.0
405.0,0.0
913.0,0.0
1680.0,271.0
2209.0,1969.0
1837.0,3587.0
860.0,2478.0
288.0,0.0
705.0,0.0
1608.0,47.0
2105.0,1051.0
1744.0,2800.0
965.0,2714.0
613.0,889.0
1005.0,0.0
1712.0,0.0
2014.0,1691.0
1498.0,3201.0
599.0,2073.0
510.0,119.0
1231.0,0.0
2220.0,697.0
2251.0,2980.0
1226.0,3501.0
318.0,767.0
365.0,0.0
1283.0,0.0
2312.0,747.0
2450.0,3085.0
1355.0,3681.0
104.0,600.0
119.0,0.0
983.0,0.0
2296.0,65.0
2773.0,2662.0
1818.0,4443.0
302.0,1991.0
35.0,0.0
495.0,0.0
1855.0,0.0
2831.0,981.0
2358.0,3303.0
926.0,3196.0
25.0,458.0
277.0,0.0
1425.0,0.0
2555.0,633.0
2634.0,3227.0
1618.0,4236.0
385.0,1274.0
186.0,0.0
1029.0,0.0
2053.0,118.0
2378.0,1510.0
1790.0,3234.0
766.0,2422.0
272.0,415.0
916.0,0.0
1901.0,25.0
2247.0,1703.0
1879.0,3645.0
1095.0,3001.0
649.0,515.0
995.0,0.0
1665.0,38.0
2019.0,1390.0
1735.0,2909.0
1057.0,2524.0
877.0,944.0
1235.0,0.0
1830.0,844.0
2094.0,2299.0
1592.0,3071.0
863.0,1593.0
664.0,712.0
1185.0,0.0
2023.0,1037.0
2425.0,2834.0
1718.0,3329.0
793.0,1333.0
418.0,754.0
1067.0,0.0
2312.0,262.0
2626.0,2359.0
1824.0,3985.0
696.0,2202.0
310.0,619.0
949.0,0.0
2065.0,0.0
2609.0,1634.0
2035.0,3560.0
797.0,2651.0
370.0,823.0
801.0,0.0
1762.0,0.0
2479.0,1428.0
2329.0,3454.0
1387.0,3409.0
605.0,1224.0
595.0,0.0
1438.0,0.0
2138.0,712.0
2159.0,2225.0
1632.0,3185.0
1009.0,1889.0
798.0,518.0
1289.0,0.0
1947.0,1122.0
1959.0,2455.0
1377.0,2645.0
889.0,1229.0
1064.0,796.0
1634.0,143.0
2007.0,1636.0
1667.0,2599.0
1093.0,2063.0
962.0,1332.0
1424.0,1021.0
1976.0,364.0
1965.0,2029.0
1435.0,2573.0
830.0,1247.0
836.0,1106.0
1492.0,1010.0
2091.0,674.0
2337.0,2410.0
1764.0,3269.0
930.0,1769.0
583.0,1244.0
1081.0,884.0
2171.0,9.0
2613.0,1419.0
1850.0,2964.0
696.0,2209.0
546.0,1111.0
1175.0,965.0
2124.0,359.0
2386.0,1277.0
1829.0,2783.0
1163.0,2587.0
927.0,1210.0
1439.0,1322.0
2093.0,585.0
2078.0,1568.0
1316.0,2645.0
1048.0,1557.0
1469.0,770.0
1923.0,1558.0
1988.0,1777.0
1510.0,1858.0
1069.0,2210.0
1033.0,909.0
1659.0,207.0
2107.0,1140.0
2167.0,2883.0
1641.0,3396.0
1107.0,2099.0
830.0,0.0
1285.0,0.0
1982.0,723.0
2388.0,2650.0
1996.0,3971.0
1211.0,2552.0
653.0,0.0
993.0,0.0
1982.0,483.0
2731.0,2388.0
2315.0,4316.0
1354.0,3314.0
669.0,201.0
868.0,0.0
1748.0,55.0
2736.0,1440.0
2637.0,4170.0
1447.0,4217.0
501.0,476.0
591.0,0.0
1573.0,0.0
2524.0,491.0
2579.0,3058.0
1749.0,4408.0
823.0,2153.0
805.0,0.0
1534.0,0.0
2219.0,99.0
2525.0,2655.0
1876.0,4536.0
1047.0,2916.0
850.0,101.0
1468.0,0.0
2281.0,178.0
2600.0,2542.0
1834.0,4262.0
776.0,2452.0
796.0,0.0
1827.0,0.0
2722.0,1063.0
2509.0,3684.0
1417.0,4038.0
547.0,797.0
875.0,0.0
1983.0,0.0
2638.0,1530.0
2426.0,4060.0
1540.0,4070.0
698.0,635.0
730.0,0.0
1588.0,0.0
2543.0,748.0
2789.0,3689.0
1856.0,4837.0
866.0,1926.0
628.0,0.0
1459.0,0.0
2451.0,60.0
2651.0,2424.0
1923.0,4363.0
933.0,2792.0
718.0,749.0
1524.0,0.0
2407.0,195.0
2571.0,2132.0
2016.0,4025.0
1318.0,3179.0
1079.0,1396.0
1365.0,0.0
1864.0,126.0
2148.0,1818.0
2006.0,2955.0
1747.0,2900.0
1514.0,1802.0
1200.0,907.0
1440.0,102.0
1749.0,1556.0
2060.0,2795.0
2157.0,2806.0
1896.0,1925.0
1508.0,1423.0
1437.0,133.0
1603.0,1487.0
1797.0,2612.0
2008.0,2506.0
1983.0,1979.0
1738.0,1580.0
1605.0,853.0
1665.0,1668.0
1734.0,2518.0
1870.0,1939.0
1861.0,1689.0
1842.0,1624.0
1884.0,1296.0
1883.0,2178.0
1780.0,2926.0
1545.0,1550.0
1495.0,960.0
1727.0,1424.0
1849.0,1061.0
1897.0,2022.0
1680.0,2927.0
1682.0,1985.0
1882.0,1401.0
1949.0,1706.0
1891.0,1286.0
1710.0,1960.0
1638.0,2742.0
1935.0,1860.0
2046.0,1393.0
1947.0,1660.0
1634.0,1416.0
1440.0,1616.0
1523.0,2386.0
1958.0,1896.0
2364.0,1671.0
2350.0,2094.0
1893.0,2308.0
1296.0,1817.0
1135.0,1737.0
1602.0,937.0
2370.0,1113.0
2694.0,2616.0
2265.0,3792.0
1409.0,2557.0
973.0,465.0
1154.0,65.0
1952.0,594.0
2819.0,2648.0
2830.0,4944.0
1850.0,4122.0
946.0,860.0
959.0,0.0
1897.0,0.0
2745.0,1010.0
2805.0,3636.0
2064.0,4694.0
1305.0,2307.0
1068.0,0.0
1396.0,0.0
2096.0,394.0
2515.0,2405.0
2301.0,4348.0
1747.0,3682.0
1316.0,774.0
1508.0,0.0
2025.0,487.0
2228.0,1931.0
2187.0,3675.0
1930.0,3706.0
1753.0,1835.0
1747.0,34.0
1883.0,762.0
1822.0,1673.0
1698.0,2609.0
1876.0,2812.0
2141.0,2356.0
2259.0,1835.0
1979.0,1657.0
1641.0,1295.0
1405.0,1411.0
1604.0,2297.0
2079.0,2069.0
2298.0,1994.0
2229.0,2218.0
1872.0,2120.0
1558.0,1719.0
1503.0,2032.0
1777.0,1300.0
2172.0,1055.0
2375.0,2076.0
2231.0,3336.0
1947.0,3239.0
1644.0,2062.0
1680.0,927.0
1745.0,670.0
1966.0,1112.0
2155.0,2151.0
2249.0,3380.0
1947.0,3220.0
1732.0,1680.0
1511.0,687.0
1673.0,1179.0
2049.0,1272.0
2278.0,2261.0
2216.0,3217.0
2079.0,2991.0
1789.0,1758.0
1680.0,1201.0
1726.0,761.0
2114.0,1137.0
2334.0,2782.0
2148.0,3797.0
1900.0,3279.0
1549.0,1471.0
1723.0,27.0
1902.0,1004.0
2171.0,1747.0
2337.0,3031.0
2357.0,3777.0
1850.0,3165.0
1289.0,14.0
1314.0,839.0
2045.0,1568.0
2805.0,2114.0
2924.0,3558.0
