id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,975.0,975.0,0.0,2925.0,2925.0,693.0,282.0,693.0,282.0
0.0,0.0,1056.0,1016.0,2925.0,2154.0,2154.0,722.0,294.0,750.0,306.0
0.0,894.0,70.0,700.0,2154.0,0.0,0.0,504.0,196.0,69.0,1.0
0.0,2978.0,381.0,621.0,0.0,0.0,0.0,445.0,176.0,268.0,113.0
0.0,2597.0,342.0,565.0,0.0,0.0,0.0,403.0,162.0,236.0,106.0
0.0,2255.0,407.0,538.0,0.0,0.0,0.0,385.0,153.0,295.0,112.0
0.0,1848.0,409.0,520.0,0.0,121.0,121.0,372.0,148.0,292.0,117.0
0.0,1439.0,395.0,505.0,121.0,350.0,350.0,363.0,142.0,298.0,97.0
0.0,1165.0,350.0,487.0,350.0,296.0,296.0,349.0,138.0,244.0,106.0
0.0,1165.0,372.0,476.0,296.0,339.0,339.0,340.0,136.0,251.0,121.0
0.0,1089.0,288.0,459.0,339.0,237.0,237.0,328.0,131.0,207.0,81.0
0.0,1140.0,382.0,452.0,237.0,361.0,361.0,322.0,130.0,267.0,115.0
0.0,995.0,302.0,441.0,361.0,269.0,269.0,313.0,128.0,199.0,103.0
0.0,1054.0,320.0,432.0,269.0,293.0,293.0,307.0,125.0,227.0,93.0
0.0,1003.0,333.0,426.0,293.0,315.0,315.0,302.0,124.0,229.0,104.0
0.0,963.0,328.0,419.0,315.0,307.0,307.0,297.0,122.0,227.0,101.0
0.0,950.0,319.0,414.0,307.0,304.0,304.0,293.0,121.0,225.0,94.0
0.0,938.0,356.0,410.0,304.0,344.0,344.0,290.0,120.0,247.0,109.0
0.0,886.0,364.0,408.0,344.0,358.0,358.0,289.0,119.0,258.0,106.0
0.0,866.0,393.0,407.0,358.0,390.0,390.0,288.0,119.0,275.0,118.0
0.0,831.0,353.0,404.0,390.0,344.0,344.0,286.0,118.0,251.0,102.0
0.0,868.0,351.0,402.0,344.0,345.0,345.0,284.0,118.0,245.0,106.0
0.0,861.0,311.0,398.0,345.0,299.0,299.0,282.0,116.0,227.0,84.0
0.0,895.0,337.0,396.0,299.0,331.0,331.0,280.0,116.0,236.0,101.0
0.0,857.0,379.0,395.0,331.0,376.0,376.0,280.0,115.0,274.0,105.0
0.0,809.0,328.0,393.0,376.0,322.0,322.0,278.0,115.0,229.0,99.0
0.0,857.0,368.0,392.0,322.0,365.0,365.0,277.0,115.0,258.0,110.0
0.0,811.0,306.0,389.0,365.0,297.0,297.0,275.0,114.0,213.0,93.0
0.0,870.0,339.0,386.0,297.0,330.0,330.0,273.0,113.0,237.0,102.0
0.0,828.0,327.0,385.0,330.0,324.0,324.0,272.0,113.0,234.0,93.0
0.0,831.0,382.0,385.0,324.0,382.0,382.0,272.0,113.0,265.0,117.0
0.0,773.0,329.0,382.0,382.0,320.0,320.0,270.0,112.0,229.0,100.0
0.0,826.0,371.0,382.0,320.0,371.0,371.0,270.0,112.0,260.0,111.0
0.0,775.0,328.0,381.0,371.0,325.0,325.0,269.0,112.0,229.0,99.0
0.0,818.0,382.0,381.0,325.0,382.0,382.0,269.0,112.0,268.0,114.0
0.0,761.0,333.0,380.0,382.0,330.0,330.0,268.0,112.0,237.0,96.0
0.0,810.0,325.0,378.0,330.0,319.0,319.0,267.0,111.0,229.0,96.0
0.0,815.0,374.0,378.0,319.0,374.0,374.0,267.0,111.0,259.0,115.0
0.0,760.0,443.0,380.0,374.0,449.0,449.0,268.0,112.0,310.0,133.0
0.0,691.0,439.0,381.0,449.0,442.0,442.0,269.0,112.0,308.0,131.0
0.0,701.0,293.0,379.0,442.0,287.0,287.0,267.0,112.0,192.0,101.0
0.0,850.0,319.0,377.0,287.0,313.0,313.0,266.0,111.0,233.0,86.0
0.0,818.0,416.0,379.0,313.0,422.0,422.0,267.0,112.0,284.0,132.0
0.0,715.0,336.0,378.0,422.0,333.0,333.0,266.0,112.0,230.0,106.0
0.0,801.0,368.0,377.0,333.0,365.0,365.0,265.0,112.0,247.0,121.0
0.0,766.0,273.0,375.0,365.0,267.0,267.0,264.0,111.0,183.0,90.0
0.0,858.0,375.0,375.0,267.0,375.0,375.0,263.0,112.0,255.0,120.0
0.0,750.0,354.0,374.0,375.0,351.0,351.0,263.0,111.0,253.0,101.0
0.0,771.0,364.0,374.0,351.0,364.0,364.0,263.0,111.0,254.0,110.0
0.0,758.0,349.0,374.0,364.0,349.0,349.0,263.0,111.0,244.0,105.0
0.0,773.0,360.0,373.0,349.0,357.0,357.0,262.0,111.0,253.0,107.0
0.0,762.0,344.0,373.0,357.0,344.0,344.0,262.0,111.0,235.0,109.0
0.0,775.0,368.0,361.0,344.0,332.0,332.0,253.0,108.0,249.0,119.0
0.0,751.0,423.0,350.0,332.0,390.0,390.0,245.0,105.0,295.0,128.0
0.0,660.0,330.0,355.0,390.0,345.0,345.0,248.0,107.0,229.0,101.0
0.0,720.0,388.0,355.0,345.0,388.0,388.0,248.0,107.0,275.0,113.0
0.0,677.0,379.0,355.0,388.0,379.0,379.0,248.0,107.0,266.0,113.0
0.0,686.0,379.0,355.0,379.0,379.0,379.0,248.0,107.0,266.0,113.0
0.0,686.0,376.0,353.0,379.0,370.0,370.0,247.0,106.0,271.0,105.0
0.0,689.0,347.0,352.0,370.0,344.0,344.0,246.0,106.0,248.0,99.0
0.0,712.0,329.0,352.0,344.0,329.0,329.0,246.0,106.0,241.0,88.0
0.0,727.0,405.0,353.0,329.0,408.0,408.0,247.0,106.0,285.0,120.0
0.0,651.0,409.0,356.0,408.0,418.0,418.0,249.0,107.0,291.0,118.0
0.0,650.0,403.0,356.0,418.0,403.0,403.0,249.0,107.0,286.0,117.0
0.0,665.0,388.0,358.0,403.0,394.0,394.0,251.0,107.0,279.0,109.0
0.0,680.0,382.0,358.0,394.0,382.0,382.0,251.0,107.0,268.0,114.0
0.0,692.0,407.0,361.0,382.0,416.0,416.0,253.0,108.0,295.0,112.0
0.0,667.0,374.0,361.0,416.0,374.0,374.0,253.0,108.0,271.0,103.0
0.0,709.0,385.0,362.0,374.0,388.0,388.0,254.0,108.0,275.0,110.0
0.0,698.0,344.0,362.0,388.0,344.0,344.0,254.0,108.0,235.0,109.0
0.0,742.0,399.0,363.0,344.0,402.0,402.0,255.0,108.0,274.0,125.0
0.0,687.0,392.0,363.0,402.0,392.0,392.0,255.0,108.0,284.0,108.0
0.0,697.0,406.0,363.0,392.0,406.0,406.0,255.0,108.0,287.0,119.0
0.0,683.0,347.0,364.0,406.0,350.0,350.0,255.0,109.0,234.0,113.0
0.0,742.0,404.0,365.0,350.0,407.0,407.0,256.0,109.0,290.0,114.0
0.0,688.0,350.0,366.0,407.0,353.0,353.0,257.0,109.0,244.0,106.0
0.0,745.0,363.0,365.0,353.0,360.0,360.0,256.0,109.0,250.0,113.0
0.0,735.0,395.0,367.0,360.0,401.0,401.0,257.0,110.0,287.0,108.0
0.0,700.0,425.0,368.0,401.0,428.0,428.0,258.0,110.0,293.0,132.0
0.0,676.0,407.0,370.0,428.0,413.0,413.0,260.0,110.0,303.0,104.0
0.0,697.0,412.0,371.0,413.0,415.0,415.0,261.0,110.0,292.0,120.0
0.0,698.0,422.0,373.0,415.0,428.0,428.0,262.0,111.0,294.0,128.0
0.0,691.0,324.0,372.0,428.0,321.0,321.0,261.0,111.0,232.0,92.0
0.0,795.0,423.0,373.0,321.0,426.0,426.0,262.0,111.0,297.0,126.0
0.0,693.0,369.0,373.0,426.0,369.0,369.0,262.0,111.0,261.0,108.0
0.0,750.0,407.0,375.0,369.0,413.0,413.0,264.0,111.0,294.0,113.0
0.0,712.0,402.0,375.0,413.0,402.0,402.0,264.0,111.0,296.0,106.0
0.0,723.0,440.0,378.0,402.0,449.0,449.0,266.0,112.0,321.0,119.0
0.0,685.0,343.0,378.0,449.0,343.0,343.0,266.0,112.0,236.0,107.0
0.0,791.0,424.0,379.0,343.0,427.0,427.0,267.0,112.0,302.0,122.0
0.0,710.0,393.0,378.0,427.0,390.0,390.0,266.0,112.0,271.0,122.0
0.0,744.0,453.0,378.0,390.0,453.0,453.0,266.0,112.0,311.0,142.0
