agg_orders_level_0,agg_orders_level_1
4980.0,24900.0
4710.0,24220.0
4880.0,24280.0
5070.0,19290.0
5200.0,660.0
5250.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
99.0,0.0
317.0,0.0
661.0,0.0
1102.0,0.0
1941.0,0.0
2366.0,0.0
2513.0,0.0
1994.0,0.0
920.0,0.0
0.0,0.0
0.0,0.0
85.0,0.0
265.0,0.0
638.0,0.0
1132.0,0.0
1885.0,0.0
2234.0,0.0
2458.0,0.0
1909.0,0.0
764.0,0.0
0.0,0.0
0.0,0.0
17.0,0.0
141.0,0.0
465.0,0.0
1117.0,0.0
1930.0,0.0
2592.0,0.0
2667.0,0.0
1837.0,0.0
776.0,0.0
298.0,0.0
0.0,0.0
68.0,0.0
270.0,0.0
605.0,0.0
1608.0,0.0
2479.0,0.0
3025.0,0.0
2719.0,0.0
1846.0,0.0
380.0,0.0
0.0,0.0
0.0,0.0
19.0,0.0
124.0,0.0
511.0,0.0
1288.0,0.0
1982.0,0.0
2647.0,0.0
2444.0,1286.0
1899.0,2395.0
772.0,2385.0
635.0,1673.0
106.0,695.0
29.0,670.0
211.0,21.0
569.0,0.0
1339.0,0.0
2224.0,0.0
2873.0,1046.0
2827.0,3624.0
2098.0,5298.0
1040.0,5356.0
477.0,2898.0
0.0,546.0
324.0,0.0
226.0,0.0
584.0,0.0
1354.0,0.0
2109.0,0.0
2529.0,354.0
2495.0,1261.0
1792.0,2002.0
948.0,1860.0
682.0,657.0
392.0,687.0
26.0,475.0
111.0,367.0
252.0,0.0
835.0,0.0
1775.0,0.0
2474.0,949.0
2759.0,2643.0
2401.0,4364.0
1297.0,5343.0
787.0,3715.0
719.0,1753.0
65.0,0.0
140.0,0.0
309.0,0.0
1013.0,0.0
1934.0,0.0
2721.0,887.0
2949.0,2023.0
2686.0,2160.0
1646.0,2557.0
971.0,1716.0
138.0,1844.0
0.0,1063.0
55.0,108.0
221.0,0.0
566.0,0.0
1281.0,0.0
1810.0,0.0
2464.0,0.0
2390.0,1217.0
1987.0,2940.0
1003.0,4028.0
509.0,3170.0
15.0,1084.0
101.0,0.0
397.0,40.0
1414.0,698.0
2336.0,1742.0
3262.0,2054.0
3298.0,2674.0
2541.0,3633.0
1950.0,3122.0
1343.0,1755.0
88.0,631.0
0.0,611.0
76.0,50.0
399.0,0.0
1001.0,0.0
1577.0,0.0
2140.0,89.0
2095.0,1613.0
1632.0,3365.0
1059.0,3758.0
870.0,3161.0
591.0,550.0
872.0,0.0
948.0,0.0
1034.0,678.0
1027.0,912.0
1617.0,1260.0
2104.0,966.0
2130.0,852.0
1732.0,1509.0
1421.0,1890.0
1237.0,1880.0
1114.0,802.0
1111.0,1314.0
1174.0,1849.0
1002.0,2113.0
1274.0,1894.0
1841.0,730.0
2343.0,0.0
2063.0,1491.0
1662.0,3303.0
1026.0,4086.0
500.0,3313.0
361.0,715.0
688.0,0.0
941.0,0.0
1210.0,0.0
1319.0,404.0
1591.0,812.0
2128.0,1179.0
