id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Order_Supplier_1,Order_Supplier_2,Forecast_Retailer_0,Forecast_Retailer_1,Forecast_Retailer_2,Demand_Retailer_0,Demand_Retailer_1,Demand_Retailer_2,Inv_Product_0,Inv_Product_1,Inv_Product_2,Order_Product_0,Order_Product_1,Order_Product_2,Forecast_Product_0,Forecast_Product_1,Forecast_Product_2
0.0,0.0,685.0,685.0,0.0,2055.0,654.0,738.0,663.0,218.0,246.0,221.0,218.0,246.0,221.0,0.0,0.0,0.0,654.0,738.0,663.0,218.0,246.0,221.0
0.0,0.0,690.0,687.0,0.0,2061.0,657.0,732.0,672.0,219.0,244.0,224.0,220.0,242.0,228.0,0.0,0.0,0.0,657.0,732.0,672.0,219.0,244.0,224.0
0.0,0.0,889.0,755.0,4116.0,413.0,152.0,91.0,170.0,244.0,260.0,251.0,293.0,293.0,303.0,0.0,0.0,0.0,152.0,91.0,170.0,244.0,260.0,251.0
0.0,1852.0,736.0,749.0,413.0,718.0,289.0,210.0,219.0,250.0,253.0,246.0,271.0,231.0,234.0,580.0,689.0,583.0,289.0,210.0,219.0,250.0,253.0,246.0
0.0,1529.0,732.0,747.0,718.0,726.0,230.0,268.0,228.0,248.0,255.0,244.0,236.0,262.0,234.0,461.0,549.0,519.0,230.0,268.0,228.0,248.0,255.0,244.0
0.0,1515.0,772.0,751.0,726.0,784.0,294.0,267.0,223.0,253.0,256.0,242.0,279.0,264.0,229.0,514.0,497.0,504.0,294.0,267.0,223.0,253.0,256.0,242.0
0.0,1469.0,866.0,767.0,784.0,914.0,336.0,346.0,232.0,261.0,265.0,241.0,312.0,319.0,235.0,465.0,501.0,503.0,336.0,346.0,232.0,261.0,265.0,241.0
0.0,1387.0,768.0,767.0,914.0,768.0,294.0,220.0,254.0,264.0,261.0,242.0,285.0,232.0,251.0,447.0,449.0,491.0,294.0,220.0,254.0,264.0,261.0,242.0
0.0,1533.0,787.0,770.0,768.0,796.0,247.0,225.0,324.0,263.0,258.0,249.0,250.0,234.0,303.0,498.0,563.0,472.0,247.0,225.0,324.0,263.0,258.0,249.0
0.0,1514.0,821.0,774.0,796.0,833.0,237.0,274.0,322.0,261.0,259.0,254.0,243.0,271.0,307.0,542.0,549.0,423.0,237.0,274.0,322.0,261.0,259.0,254.0
0.0,1489.0,803.0,777.0,833.0,812.0,265.0,225.0,322.0,261.0,257.0,259.0,265.0,231.0,307.0,546.0,503.0,440.0,265.0,225.0,322.0,261.0,257.0,259.0
0.0,1519.0,852.0,783.0,812.0,870.0,309.0,278.0,283.0,264.0,258.0,261.0,300.0,275.0,277.0,518.0,546.0,455.0,309.0,278.0,283.0,264.0,258.0,261.0
