id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Order_Supplier_1,Order_Supplier_2,Forecast_Retailer_0,Forecast_Retailer_1,Forecast_Retailer_2,Demand_Retailer_0,Demand_Retailer_1,Demand_Retailer_2,Inv_Product_0,Inv_Product_1,Inv_Product_2,Order_Product_0,Order_Product_1,Order_Product_2,Forecast_Product_0,Forecast_Product_1,Forecast_Product_2
0.0,0.0,744.0,744.0,0.0,2232.0,714.0,795.0,723.0,238.0,265.0,241.0,238.0,265.0,241.0,0.0,0.0,0.0,714.0,795.0,723.0,238.0,265.0,241.0
0.0,0.0,780.0,762.0,0.0,2286.0,738.0,804.0,744.0,246.0,268.0,248.0,254.0,272.0,254.0,0.0,0.0,0.0,738.0,804.0,744.0,246.0,268.0,248.0
0.0,0.0,844.0,789.0,4518.0,217.0,102.0,28.0,87.0,259.0,271.0,259.0,285.0,277.0,282.0,0.0,0.0,0.0,102.0,28.0,87.0,259.0,271.0,259.0
0.0,2150.0,830.0,800.0,217.0,863.0,350.0,255.0,258.0,272.0,269.0,259.0,311.0,261.0,258.0,675.0,785.0,690.0,350.0,255.0,258.0,272.0,269.0,259.0
0.0,1537.0,828.0,805.0,863.0,843.0,279.0,304.0,260.0,273.0,273.0,259.0,276.0,292.0,260.0,466.0,552.0,519.0,279.0,304.0,260.0,273.0,273.0,259.0
0.0,1572.0,771.0,800.0,843.0,756.0,290.0,259.0,207.0,275.0,272.0,253.0,284.0,262.0,225.0,540.0,515.0,517.0,290.0,259.0,207.0,275.0,272.0,253.0
0.0,1644.0,851.0,807.0,756.0,872.0,324.0,328.0,220.0,280.0,277.0,250.0,309.0,313.0,229.0,535.0,557.0,552.0,324.0,328.0,220.0,280.0,277.0,250.0
0.0,1549.0,760.0,801.0,872.0,742.0,279.0,210.0,253.0,280.0,271.0,250.0,279.0,228.0,253.0,516.0,503.0,530.0,279.0,210.0,253.0,280.0,271.0,250.0
0.0,1661.0,761.0,796.0,742.0,746.0,215.0,210.0,321.0,274.0,266.0,256.0,233.0,225.0,303.0,561.0,603.0,497.0,215.0,210.0,321.0,274.0,266.0,256.0
0.0,1642.0,853.0,802.0,746.0,871.0,234.0,287.0,350.0,271.0,268.0,263.0,243.0,281.0,329.0,607.0,588.0,447.0,234.0,287.0,350.0,271.0,268.0,263.0
0.0,1535.0,744.0,797.0,871.0,729.0,227.0,191.0,311.0,268.0,262.0,267.0,236.0,209.0,299.0,579.0,517.0,439.0,227.0,191.0,311.0,268.0,262.0,267.0
0.0,1662.0,774.0,795.0,729.0,768.0,268.0,242.0,258.0,268.0,261.0,266.0,268.0,245.0,261.0,577.0,595.0,490.0,268.0,242.0,258.0,268.0,261.0,266.0
0.0,1617.0,523.0,775.0,768.0,463.0,121.0,212.0,130.0,259.0,258.0,258.0,148.0,221.0,154.0,536.0,541.0,540.0,121.0,212.0,130.0,259.0,258.0,258.0
0.0,1862.0,732.0,771.0,463.0,720.0,228.0,227.0,265.0,257.0,256.0,258.0,234.0,233.0,265.0,656.0,562.0,644.0,228.0,227.0,265.0,257.0,256.0,258.0
0.0,1593.0,637.0,762.0,720.0,610.0,207.0,207.0,196.0,254.0,253.0,255.0,216.0,216.0,205.0,543.0,541.0,509.0,207.0,207.0,196.0,254.0,253.0,255.0
0.0,1676.0,710.0,759.0,610.0,701.0,208.0,250.0,243.0,252.0,253.0,254.0,214.0,250.0,246.0,555.0,552.0,569.0,208.0,250.0,243.0,252.0,253.0,254.0
0.0,1576.0,704.0,755.0,701.0,692.0,234.0,239.0,219.0,251.0,252.0,252.0,237.0,242.0,225.0,548.0,509.0,519.0,234.0,239.0,219.0,251.0,252.0,252.0
0.0,1573.0,684.0,752.0,692.0,675.0,226.0,231.0,218.0,250.0,251.0,251.0,229.0,234.0,221.0,519.0,517.0,537.0,226.0,231.0,218.0,250.0,251.0,251.0
0.0,1581.0,632.0,746.0,675.0,614.0,213.0,195.0,206.0,248.0,249.0,249.0,219.0,201.0,212.0,524.0,522.0,535.0,213.0,195.0,206.0,248.0,249.0,249.0
0.0,1624.0,778.0,746.0,614.0,778.0,254.0,279.0,245.0,248.0,250.0,248.0,254.0,276.0,248.0,531.0,552.0,541.0,254.0,279.0,245.0,248.0,250.0,248.0
0.0,1460.0,579.0,739.0,778.0,558.0,174.0,167.0,217.0,245.0,247.0,247.0,183.0,176.0,220.0,490.0,471.0,499.0,174.0,167.0,217.0,245.0,247.0,247.0
0.0,1659.0,707.0,738.0,558.0,704.0,238.0,272.0,194.0,245.0,248.0,245.0,238.0,269.0,200.0,561.0,574.0,524.0,238.0,272.0,194.0,245.0,248.0,245.0
0.0,1510.0,696.0,736.0,704.0,690.0,174.0,255.0,261.0,242.0,248.0,246.0,183.0,255.0,258.0,497.0,472.0,541.0,174.0,255.0,261.0,242.0,248.0,246.0
0.0,1518.0,681.0,733.0,690.0,672.0,206.0,230.0,236.0,241.0,247.0,245.0,209.0,233.0,239.0,552.0,489.0,477.0,206.0,230.0,236.0,241.0,247.0,245.0
0.0,1527.0,831.0,737.0,672.0,843.0,254.0,304.0,285.0,241.0,249.0,247.0,254.0,298.0,279.0,517.0,511.0,499.0,254.0,304.0,285.0,241.0,249.0,247.0
0.0,1368.0,651.0,734.0,843.0,642.0,205.0,213.0,224.0,240.0,248.0,246.0,208.0,216.0,227.0,469.0,443.0,456.0,205.0,213.0,224.0,240.0,248.0,246.0
0.0,1560.0,669.0,731.0,642.0,660.0,211.0,223.0,226.0,239.0,247.0,245.0,214.0,226.0,229.0,515.0,531.0,514.0,211.0,223.0,226.0,239.0,247.0,245.0
0.0,1533.0,600.0,728.0,660.0,591.0,196.0,166.0,229.0,238.0,245.0,245.0,199.0,172.0,229.0,506.0,518.0,509.0,196.0,166.0,229.0,238.0,245.0,245.0
0.0,1593.0,728.0,727.0,591.0,725.0,256.0,213.0,256.0,238.0,244.0,245.0,256.0,216.0,256.0,518.0,569.0,506.0,256.0,213.0,256.0,238.0,244.0,245.0
0.0,1456.0,854.0,731.0,725.0,866.0,314.0,269.0,283.0,241.0,244.0,246.0,305.0,269.0,280.0,458.0,519.0,479.0,314.0,269.0,283.0,241.0,244.0,246.0
0.0,1327.0,748.0,732.0,866.0,751.0,254.0,251.0,246.0,241.0,245.0,246.0,254.0,248.0,246.0,409.0,463.0,455.0,254.0,251.0,246.0,241.0,245.0,246.0
0.0,1445.0,884.0,736.0,751.0,896.0,323.0,301.0,272.0,243.0,246.0,247.0,317.0,298.0,269.0,469.0,484.0,492.0,323.0,301.0,272.0,243.0,246.0,247.0
0.0,1312.0,805.0,738.0,896.0,811.0,280.0,275.0,256.0,244.0,247.0,247.0,277.0,272.0,256.0,406.0,437.0,469.0,280.0,275.0,256.0,244.0,247.0,247.0
0.0,1403.0,821.0,742.0,811.0,833.0,292.0,310.0,231.0,246.0,249.0,247.0,286.0,304.0,231.0,452.0,466.0,485.0,292.0,310.0,231.0,246.0,249.0,247.0
0.0,1393.0,797.0,742.0,833.0,797.0,260.0,269.0,268.0,246.0,249.0,247.0,260.0,269.0,268.0,446.0,437.0,510.0,260.0,269.0,268.0,246.0,249.0,247.0
0.0,1429.0,869.0,745.0,797.0,878.0,296.0,332.0,250.0,247.0,251.0,247.0,293.0,326.0,250.0,478.0,478.0,473.0,296.0,332.0,250.0,247.0,251.0,247.0
0.0,1357.0,775.0,747.0,878.0,781.0,250.0,273.0,258.0,247.0,252.0,248.0,250.0,270.0,255.0,445.0,421.0,491.0,250.0,273.0,258.0,247.0,252.0,248.0
0.0,1460.0,739.0,746.0,781.0,736.0,247.0,310.0,179.0,247.0,253.0,246.0,247.0,307.0,185.0,491.0,483.0,486.0,247.0,310.0,179.0,247.0,253.0,246.0
0.0,1502.0,764.0,747.0,736.0,767.0,269.0,277.0,221.0,248.0,254.0,245.0,266.0,274.0,224.0,494.0,449.0,559.0,269.0,277.0,221.0,248.0,254.0,245.0
0.0,1474.0,860.0,750.0,767.0,869.0,294.0,317.0,258.0,249.0,255.0,246.0,291.0,314.0,255.0,475.0,485.0,514.0,294.0,317.0,258.0,249.0,255.0,246.0
0.0,1381.0,780.0,751.0,869.0,783.0,240.0,291.0,252.0,249.0,256.0,246.0,240.0,288.0,252.0,453.0,448.0,480.0,240.0,291.0,252.0,249.0,256.0,246.0
0.0,1470.0,808.0,752.0,783.0,811.0,301.0,266.0,244.0,250.0,256.0,246.0,298.0,266.0,244.0,507.0,477.0,486.0,301.0,266.0,244.0,250.0,256.0,246.0
0.0,1445.0,737.0,751.0,811.0,734.0,276.0,184.0,274.0,250.0,255.0,246.0,276.0,187.0,274.0,449.0,502.0,494.0,276.0,184.0,274.0,250.0,255.0,246.0
0.0,1519.0,730.0,752.0,734.0,733.0,279.0,197.0,257.0,251.0,254.0,247.0,276.0,200.0,254.0,474.0,581.0,464.0,279.0,197.0,257.0,251.0,254.0,247.0
0.0,1523.0,756.0,751.0,733.0,753.0,269.0,232.0,252.0,251.0,253.0,247.0,269.0,235.0,252.0,474.0,565.0,484.0,269.0,232.0,252.0,251.0,253.0,247.0
