agg_orders_level_0,agg_orders_level_1
4308.0,17232.0
4072.0,16760.0
4132.0,11964.0
4104.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
30.0,0.0
274.0,0.0
732.0,0.0
1308.0,0.0
1753.0,0.0
1724.0,0.0
1094.0,0.0
494.0,0.0
505.0,0.0
922.0,0.0
1439.0,0.0
1666.0,0.0
1205.0,0.0
521.0,0.0
462.0,0.0
892.0,0.0
1489.0,0.0
1781.0,0.0
1504.0,0.0
1039.0,0.0
584.0,0.0
638.0,0.0
1043.0,152.0
1544.0,679.0
1512.0,1551.0
1036.0,1884.0
396.0,948.0
493.0,53.0
1082.0,0.0
1631.0,986.0
1627.0,2597.0
1034.0,2629.0
504.0,694.0
701.0,0.0
1216.0,248.0
1508.0,753.0
1610.0,1964.0
1249.0,2464.0
573.0,1290.0
424.0,0.0
750.0,0.0
1352.0,283.0
1655.0,1172.0
1609.0,2306.0
1144.0,2050.0
915.0,599.0
940.0,40.0
1328.0,779.0
1461.0,1837.0
1228.0,2280.0
815.0,1322.0
507.0,658.0
838.0,0.0
1459.0,374.0
1666.0,1804.0
1356.0,2786.0
791.0,1693.0
693.0,478.0
1165.0,0.0
1712.0,566.0
1689.0,2107.0
1246.0,2819.0
790.0,1457.0
665.0,435.0
938.0,0.0
1236.0,0.0
1331.0,979.0
1152.0,2105.0
893.0,1971.0
900.0,1072.0
1147.0,550.0
1614.0,494.0
1792.0,1986.0
1421.0,2757.0
734.0,1481.0
508.0,715.0
870.0,522.0
1384.0,215.0
1684.0,513.0
1397.0,1706.0
765.0,1930.0
721.0,873.0
1266.0,577.0
1787.0,1151.0
1653.0,2319.0
1081.0,2277.0
575.0,544.0
669.0,133.0
1105.0,538.0
1622.0,1105.0
1507.0,1888.0
1043.0,1878.0
718.0,976.0
854.0,71.0
1307.0,351.0
1769.0,1657.0
1707.0,3061.0
1185.0,2605.0
713.0,363.0
684.0,0.0
1196.0,0.0
1626.0,735.0
1785.0,2596.0
1389.0,3322.0
676.0,1382.0
554.0,0.0
1140.0,0.0
1888.0,357.0
1978.0,2262.0
1424.0,3385.0
623.0,1706.0
683.0,0.0
1124.0,0.0
1446.0,263.0
1519.0,1339.0
1459.0,2595.0
1172.0,2444.0
867.0,767.0
963.0,80.0
1294.0,254.0
1455.0,1185.0
1401.0,2328.0
1239.0,2382.0
1153.0,1382.0
1376.0,644.0
1494.0,597.0
1394.0,1246.0
1035.0,1533.0
827.0,1110.0
1165.0,1080.0
1587.0,1329.0
1596.0,1727.0
1244.0,1678.0
877.0,1014.0
866.0,547.0
1548.0,1045.0
2140.0,2139.0
2018.0,3188.0
1369.0,2554.0
645.0,596.0
617.0,190.0
1387.0,741.0
2000.0,1169.0
2000.0,1914.0
1321.0,2114.0
640.0,1292.0
838.0,204.0
1436.0,468.0
2047.0,1499.0
1846.0,2921.0
1181.0,2643.0
682.0,1091.0
791.0,0.0
1490.0,0.0
2118.0,1094.0
1953.0,3050.0
935.0,2915.0
281.0,632.0
629.0,0.0
1610.0,0.0
2359.0,1137.0
2157.0,3354.0
1337.0,3606.0
474.0,821.0
498.0,0.0
1431.0,0.0
2333.0,700.0
2277.0,2902.0
1156.0,3358.0
296.0,793.0
236.0,0.0
1323.0,0.0
2479.0,619.0
2801.0,3524.0
1726.0,4671.0
353.0,1432.0
130.0,0.0
1042.0,0.0
2431.0,0.0
2848.0,1876.0
1698.0,3642.0
282.0,1980.0
90.0,0.0
953.0,0.0
2342.0,0.0
2840.0,2655.0
2036.0,4783.0
572.0,2616.0
92.0,0.0
1102.0,0.0
2585.0,0.0
2936.0,1976.0
1641.0,3697.0
101.0,1726.0
0.0,0.0
720.0,0.0
2084.0,83.0
2755.0,1830.0
2078.0,3917.0
770.0,2801.0
193.0,0.0
981.0,0.0
2317.0,37.0
2843.0,2465.0
2060.0,4588.0
556.0,2607.0
102.0,0.0
785.0,0.0
2077.0,0.0
2705.0,1109.0
1919.0,3132.0
735.0,2686.0
172.0,226.0
904.0,0.0
2064.0,290.0
2809.0,2559.0
2362.0,4779.0
1057.0,3245.0
264.0,0.0
717.0,0.0
1774.0,0.0
2539.0,635.0
2207.0,2814.0
1181.0,3352.0
431.0,1108.0
703.0,0.0
1843.0,305.0
2573.0,1492.0
2166.0,3509.0
1192.0,3213.0
524.0,1020.0
964.0,0.0
1916.0,224.0
2159.0,1218.0
1566.0,2364.0
993.0,2143.0
897.0,1322.0
1523.0,355.0
2051.0,794.0
2094.0,2424.0
1669.0,3423.0
1021.0,2336.0
860.0,538.0
1470.0,0.0
2178.0,489.0
2228.0,2415.0
1475.0,3513.0
885.0,2126.0
884.0,350.0
1414.0,0.0
1900.0,456.0
2019.0,2115.0
1609.0,3368.0
1248.0,2525.0
1145.0,1124.0
1427.0,0.0
1903.0,619.0
1884.0,1759.0
1444.0,2688.0
1100.0,2289.0
1149.0,1454.0
1490.0,23.0
1844.0,609.0
1835.0,1833.0
1611.0,2943.0
1440.0,2727.0
1399.0,1686.0
1618.0,191.0
1691.0,873.0
1735.0,1461.0
1654.0,2239.0
1622.0,2633.0
1581.0,2332.0
1553.0,638.0
1400.0,806.0
1306.0,958.0
1338.0,922.0
1620.0,1870.0
1956.0,2698.0
2071.0,2859.0
1637.0,1792.0
1088.0,788.0
1082.0,300.0
1719.0,1605.0
2105.0,2591.0
1999.0,2507.0
1465.0,1477.0
883.0,894.0
988.0,120.0
1638.0,1016.0
2275.0,2276.0
2384.0,3571.0
1797.0,3100.0
1324.0,1126.0
1415.0,387.0
1628.0,1450.0
1689.0,1981.0
1559.0,1069.0
1481.0,1145.0
1643.0,1391.0
1773.0,1903.0
1848.0,2738.0
1724.0,2347.0
1584.0,1011.0
1633.0,1719.0
1913.0,1489.0
1833.0,1628.0
1668.0,3023.0
1537.0,2313.0
1521.0,206.0
1689.0,1130.0
1745.0,1503.0
1659.0,1523.0
1545.0,2503.0
1457.0,2333.0
1382.0,378.0
1549.0,1007.0
1894.0,1560.0
2099.0,2222.0
2077.0,3261.0
1741.0,3009.0
1329.0,377.0
1191.0,975.0
1521.0,1344.0
1856.0,596.0
1994.0,1704.0
1745.0,2917.0
1444.0,2128.0
1555.0,1269.0
1866.0,1587.0
2112.0,1391.0
2144.0,2632.0
1806.0,3087.0
1318.0,1085.0
1060.0,972.0
1425.0,1273.0
1935.0,514.0
2108.0,1658.0
1771.0,2865.0
1329.0,2156.0
1203.0,1224.0
1537.0,1261.0
2238.0,893.0
2606.0,2572.0
2231.0,3632.0
1370.0,2434.0
863.0,1444.0
1243.0,839.0
2123.0,0.0
2589.0,1407.0
2003.0,2982.0
1052.0,2579.0
822.0,1228.0
1404.0,562.0
2276.0,542.0
2721.0,2720.0
2263.0,4244.0
1218.0,2686.0
815.0,1382.0
1358.0,252.0
2350.0,0.0
2499.0,1587.0
1748.0,2936.0
917.0,2198.0
809.0,1215.0
1743.0,484.0
2563.0,1338.0
2824.0,3575.0
1980.0,4130.0
943.0,1598.0
762.0,1322.0
1721.0,17.0
2607.0,397.0
2765.0,2629.0
2072.0,3997.0
997.0,2333.0
638.0,1343.0
1163.0,22.0
2132.0,0.0
2658.0,1730.0
2330.0,3579.0
1592.0,3425.0
1240.0,1745.0
1485.0,535.0
2188.0,457.0
2363.0,2393.0
1817.0,2962.0
1413.0,1841.0
1257.0,1554.0
1545.0,1015.0
2162.0,688.0
2282.0,2613.0
1910.0,3112.0
1404.0,1784.0
1328.0,1619.0
1792.0,1224.0
2310.0,747.0
2216.0,2534.0
2070.0,3117.0
1847.0,2403.0
1612.0,1894.0
1535.0,1266.0
1696.0,248.0
1850.0,1776.0
1900.0,2850.0
