agg_orders_level_0,agg_orders_level_1
5095.0,25475.0
5080.0,25430.0
5105.0,25465.0
5120.0,20430.0
5120.0,185.0
5135.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
236.0,0.0
1158.0,0.0
2203.0,0.0
3030.0,0.0
2978.0,0.0
1859.0,0.0
308.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
299.0,0.0
1329.0,0.0
2387.0,0.0
3182.0,0.0
2948.0,0.0
1641.0,0.0
94.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
312.0,0.0
1217.0,0.0
2290.0,0.0
3061.0,0.0
2948.0,0.0
1749.0,0.0
372.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
30.0,0.0
529.0,0.0
1662.0,0.0
2806.0,0.0
3429.0,0.0
2922.0,0.0
1348.0,0.0
10.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
491.0,0.0
1480.0,0.0
2602.0,0.0
3223.0,0.0
2876.0,0.0
1403.0,176.0
287.0,199.0
0.0,199.0
0.0,18.0
0.0,0.0
28.0,0.0
566.0,0.0
1660.0,1166.0
2845.0,4106.0
3467.0,5522.0
3002.0,5817.0
1419.0,5952.0
1510.0,3580.0
1511.0,503.0
79.0,0.0
0.0,0.0
0.0,0.0
166.0,0.0
529.0,0.0
894.0,0.0
1345.0,0.0
1756.0,0.0
2039.0,0.0
2256.0,284.0
2232.0,1159.0
1369.0,2089.0
446.0,2181.0
0.0,1197.0
86.0,289.0
447.0,0.0
813.0,0.0
1310.0,0.0
1849.0,0.0
2286.0,1707.0
2361.0,4293.0
2381.0,6174.0
1555.0,6016.0
550.0,3307.0
0.0,134.0
183.0,0.0
564.0,0.0
940.0,0.0
1431.0,0.0
1893.0,0.0
2202.0,0.0
2403.0,0.0
2344.0,569.0
1404.0,1003.0
468.0,1330.0
0.0,696.0
99.0,289.0
468.0,0.0
833.0,0.0
1304.0,0.0
1725.0,1292.0
2138.0,3640.0
2273.0,5691.0
2431.0,6520.0
1746.0,5727.0
816.0,1563.0
44.0,0.0
217.0,0.0
603.0,0.0
999.0,0.0
1391.0,0.0
1866.0,0.0
2199.0,0.0
2526.0,0.0
2567.0,454.0
1670.0,1106.0
500.0,1545.0
0.0,1006.0
185.0,518.0
567.0,178.0
941.0,35.0
1235.0,65.0
1668.0,769.0
2005.0,2799.0
2412.0,5331.0
2587.0,6477.0
1869.0,6293.0
525.0,1997.0
0.0,0.0
228.0,0.0
632.0,0.0
1035.0,0.0
1426.0,0.0
1943.0,0.0
2278.0,0.0
2679.0,0.0
2685.0,635.0
1743.0,1860.0
464.0,2309.0
11.0,1600.0
262.0,514.0
673.0,0.0
1073.0,0.0
1333.0,0.0
1766.0,182.0
2056.0,2035.0
2542.0,4782.0
2616.0,6423.0
1788.0,6851.0
426.0,3023.0
0.0,204.0
194.0,0.0
593.0,0.0
994.0,0.0
1337.0,0.0
1998.0,0.0
2421.0,0.0
2834.0,0.0
2874.0,172.0
1922.0,1844.0
307.0,2126.0
0.0,1859.0
292.0,439.0
711.0,0.0
1143.0,0.0
1386.0,0.0
1865.0,720.0
2119.0,2657.0
2719.0,5402.0
2809.0,6846.0
1926.0,6844.0
397.0,2510.0
0.0,0.0
215.0,0.0
629.0,0.0
1044.0,0.0
1327.0,0.0
1853.0,0.0
2200.0,0.0
2706.0,0.0
2857.0,0.0
2044.0,1169.0
449.0,1598.0
0.0,1498.0
296.0,548.0
732.0,0.0
1179.0,0.0
1559.0,239.0
2168.0,2134.0
2455.0,4654.0
2946.0,6483.0
2824.0,7195.0
1702.0,5495.0
897.0,1149.0
0.0,0.0
285.0,0.0
725.0,0.0
1149.0,0.0
1298.0,0.0
1395.0,0.0
1667.0,0.0
2397.0,0.0
2995.0,0.0
2597.0,922.0
1205.0,2192.0
0.0,2092.0
282.0,1352.0
726.0,102.0
1163.0,41.0
1328.0,89.0
1706.0,913.0
2026.0,2274.0
2756.0,4934.0
3168.0,6641.0
2533.0,7467.0
836.0,3606.0
0.0,1073.0
330.0,0.0
782.0,0.0
1230.0,0.0
1354.0,0.0
1624.0,0.0
1883.0,0.0
2685.0,0.0
3114.0,0.0
2518.0,803.0
861.0,1584.0
0.0,1484.0
323.0,914.0
773.0,181.0
1232.0,68.0
1375.0,6.0
1759.0,1460.0
2044.0,3441.0
2842.0,6499.0
3218.0,7595.0
2546.0,7657.0
793.0,2189.0
0.0,0.0
375.0,0.0
831.0,0.0
1299.0,0.0
1392.0,0.0
1792.0,0.0
2085.0,0.0
2965.0,0.0
3284.0,0.0
2513.0,1334.0
620.0,1939.0
0.0,1834.0
339.0,744.0
806.0,125.0
1266.0,0.0
1395.0,72.0
1716.0,970.0
1979.0,2894.0
2809.0,5781.0
3218.0,7740.0
2594.0,7631.0
896.0,3394.0
0.0,0.0
407.0,0.0
894.0,0.0
1386.0,0.0
1527.0,0.0
2004.0,0.0
2272.0,0.0
3161.0,0.0
3361.0,423.0
2403.0,2199.0
541.0,2710.0
0.0,2172.0
419.0,673.0
903.0,25.0
1376.0,0.0
1478.0,0.0
1798.0,29.0
2011.0,1878.0
2985.0,5068.0
3279.0,8010.0
2500.0,8215.0
708.0,5100.0
1.0,0.0
408.0,0.0
899.0,0.0
1396.0,0.0
1561.0,0.0
2085.0,0.0
2358.0,0.0
3252.0,0.0
3419.0,132.0
2422.0,1726.0
529.0,2230.0
8.0,1981.0
492.0,700.0
994.0,180.0
1489.0,3.0
1566.0,0.0
2011.0,1236.0
2210.0,3413.0
3251.0,6846.0
3385.0,8280.0
2378.0,8155.0
419.0,2291.0
0.0,0.0
