agg_orders_level_0,agg_orders_level_1
5150.0,25750.0
5185.0,25835.0
5385.0,26205.0
5205.0,21330.0
5120.0,595.0
5140.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
89.0,0.0
406.0,0.0
1067.0,0.0
2070.0,0.0
2875.0,0.0
2897.0,0.0
2187.0,0.0
1041.0,0.0
86.0,0.0
0.0,0.0
0.0,0.0
44.0,0.0
312.0,0.0
811.0,0.0
1692.0,0.0
2546.0,0.0
2823.0,0.0
2156.0,0.0
1213.0,0.0
177.0,0.0
0.0,0.0
0.0,0.0
106.0,0.0
582.0,0.0
1130.0,0.0
2110.0,0.0
2469.0,0.0
2347.0,0.0
1694.0,0.0
1118.0,0.0
236.0,0.0
0.0,0.0
0.0,0.0
436.0,0.0
964.0,0.0
1586.0,0.0
2233.0,0.0
2425.0,0.0
1866.0,0.0
1572.0,0.0
919.0,0.0
81.0,0.0
0.0,0.0
136.0,0.0
632.0,0.0
1209.0,0.0
1851.0,0.0
2368.0,0.0
2471.0,0.0
2016.0,0.0
1661.0,0.0
836.0,0.0
99.0,0.0
0.0,0.0
0.0,0.0
113.0,0.0
553.0,0.0
1201.0,791.0
1822.0,2361.0
2526.0,3700.0
2398.0,4969.0
2058.0,5495.0
1916.0,3757.0
1304.0,2186.0
325.0,735.0
290.0,0.0
104.0,0.0
422.0,0.0
761.0,0.0
1250.0,0.0
1610.0,0.0
1766.0,0.0
1861.0,241.0
1960.0,976.0
1627.0,1887.0
1155.0,2007.0
625.0,1788.0
205.0,1167.0
280.0,720.0
534.0,0.0
859.0,0.0
1376.0,0.0
1931.0,318.0
2328.0,1741.0
2393.0,3635.0
1839.0,5237.0
1214.0,5007.0
784.0,3061.0
567.0,1794.0
513.0,0.0
728.0,0.0
866.0,0.0
993.0,0.0
1329.0,0.0
2000.0,0.0
2488.0,0.0
2351.0,599.0
1613.0,1279.0
754.0,1389.0
500.0,1113.0
437.0,473.0
696.0,102.0
923.0,281.0
870.0,694.0
929.0,1229.0
1373.0,1713.0
1979.0,3001.0
2219.0,4191.0
2141.0,4572.0
1480.0,4324.0
791.0,3012.0
466.0,0.0
603.0,0.0
820.0,0.0
1032.0,0.0
1276.0,0.0
1649.0,0.0
2036.0,287.0
2105.0,1124.0
1821.0,1383.0
1371.0,1228.0
916.0,732.0
669.0,1260.0
681.0,1475.0
872.0,1168.0
837.0,209.0
1201.0,0.0
1505.0,0.0
2192.0,1033.0
2266.0,3337.0
2029.0,5285.0
1212.0,5528.0
1022.0,3531.0
689.0,1560.0
621.0,0.0
716.0,0.0
697.0,0.0
1044.0,0.0
1472.0,0.0
1943.0,0.0
2338.0,0.0
2271.0,1264.0
1612.0,1957.0
1141.0,2172.0
1009.0,1860.0
632.0,756.0
763.0,516.0
681.0,254.0
872.0,161.0
1247.0,11.0
1757.0,679.0
2378.0,2259.0
2440.0,4420.0
2162.0,5886.0
1209.0,5117.0
915.0,2874.0
595.0,0.0
707.0,0.0
687.0,0.0
914.0,0.0
1167.0,0.0
1830.0,0.0
2429.0,68.0
2890.0,1097.0
2572.0,2195.0
1618.0,3695.0
734.0,3307.0
585.0,1627.0
614.0,342.0
633.0,0.0
672.0,0.0
850.0,0.0
1288.0,0.0
2025.0,223.0
2829.0,1713.0
3017.0,4654.0
2262.0,5922.0
1296.0,6220.0
629.0,2458.0
613.0,111.0
666.0,0.0
566.0,0.0
539.0,0.0
752.0,0.0
1210.0,0.0
2071.0,0.0
2939.0,683.0
3015.0,1545.0
2500.0,2721.0
1567.0,3650.0
963.0,3018.0
890.0,2707.0
770.0,1617.0
503.0,0.0
508.0,0.0
882.0,0.0
1582.0,0.0
2229.0,0.0
2499.0,0.0
2533.0,1701.0
2030.0,3846.0
1174.0,5010.0
974.0,4203.0
774.0,1052.0
651.0,0.0
705.0,0.0
909.0,0.0
1483.0,517.0
2046.0,1348.0
2438.0,1815.0
2586.0,2231.0
2255.0,2259.0
1335.0,2429.0
1029.0,2600.0
776.0,1817.0
674.0,555.0
751.0,0.0
936.0,0.0
1377.0,0.0
1782.0,836.0
2055.0,1294.0
2478.0,2173.0
2678.0,3593.0
1964.0,4378.0
1144.0,4280.0
761.0,2811.0
647.0,0.0
735.0,0.0
960.0,0.0
1361.0,50.0
1795.0,983.0
2085.0,1464.0
2643.0,2098.0
2781.0,2517.0
2072.0,1745.0
1276.0,2410.0
761.0,2101.0
767.0,1170.0
876.0,184.0
1025.0,0.0
1136.0,0.0
1250.0,533.0
1502.0,779.0
2438.0,1410.0
2958.0,2716.0
2611.0,4758.0
1719.0,4893.0
773.0,4061.0
793.0,1237.0
902.0,0.0
1095.0,201.0
1174.0,1302.0
1224.0,1969.0
1543.0,1922.0
2470.0,970.0
3027.0,0.0
2671.0,536.0
1891.0,1500.0
698.0,2224.0
634.0,1939.0
618.0,319.0
957.0,0.0
1126.0,233.0
1218.0,945.0
1411.0,1199.0
2143.0,1278.0
2851.0,2516.0
2797.0,4253.0
2317.0,4710.0
1593.0,4539.0
1141.0,2360.0
1383.0,241.0
1168.0,1430.0
1125.0,2257.0
751.0,2033.0
1254.0,744.0
1685.0,0.0
1948.0,424.0
1985.0,678.0
2236.0,1064.0
2330.0,1190.0
2045.0,1756.0
1590.0,1075.0
1168.0,1695.0
1131.0,1621.0
807.0,1580.0
1388.0,1032.0
1636.0,1307.0
1753.0,2094.0
1576.0,2163.0
2043.0,2266.0
2306.0,2693.0
2348.0,2869.0
1871.0,3405.0
1317.0,2458.0
1464.0,2590.0
942.0,2233.0
1278.0,658.0
1426.0,525.0
1472.0,1254.0
1196.0,1245.0
1620.0,923.0
1909.0,57.0
2251.0,0.0
2014.0,0.0
2048.0,155.0
1761.0,1194.0
1285.0,1864.0
1378.0,2972.0
1465.0,3646.0
1360.0,3183.0
1144.0,1396.0
1462.0,1089.0
2083.0,2548.0
2523.0,2869.0
2343.0,3429.0
2009.0,3506.0
2030.0,2577.0
1663.0,2336.0
1493.0,899.0
1419.0,305.0
1013.0,608.0
1024.0,684.0
1294.0,671.0
2059.0,561.0
2345.0,404.0
2063.0,119.0
1712.0,57.0
1782.0,1198.0
1878.0,2806.0
2143.0,4907.0
1976.0,5123.0
1254.0,4003.0
1044.0,1139.0
1297.0,1177.0
2058.0,1279.0
2217.0,1193.0
1847.0,380.0
1441.0,907.0
1544.0,1724.0
1430.0,1762.0
1991.0,1072.0
2074.0,382.0
1916.0,1145.0
