id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1240.0,1240.0,0.0,4960.0,4960.0,884.0,356.0,884.0,356.0
0.0,0.0,1384.0,1312.0,0.0,5248.0,5248.0,938.0,374.0,992.0,392.0
0.0,0.0,1404.0,1343.0,4960.0,4440.0,4440.0,968.0,375.0,1028.0,376.0
0.0,932.0,1412.0,1360.0,5248.0,672.0,672.0,983.0,377.0,1028.0,384.0
0.0,4768.0,0.0,1088.0,4440.0,0.0,0.0,786.0,302.0,0.0,0.0
0.0,9208.0,0.0,906.0,672.0,0.0,0.0,655.0,251.0,0.0,0.0
0.0,9880.0,0.0,777.0,0.0,0.0,0.0,562.0,215.0,0.0,0.0
0.0,9880.0,0.0,680.0,0.0,0.0,0.0,492.0,188.0,0.0,0.0
0.0,9880.0,0.0,605.0,0.0,0.0,0.0,437.0,168.0,0.0,0.0
0.0,9880.0,0.0,544.0,0.0,0.0,0.0,393.0,151.0,0.0,0.0
0.0,9880.0,17.0,496.0,0.0,0.0,0.0,357.0,139.0,0.0,17.0
0.0,9863.0,127.0,466.0,0.0,0.0,0.0,328.0,138.0,0.0,127.0
0.0,9736.0,340.0,456.0,0.0,0.0,0.0,311.0,145.0,111.0,229.0
0.0,9396.0,586.0,465.0,0.0,0.0,0.0,315.0,150.0,365.0,221.0
0.0,8810.0,602.0,474.0,0.0,0.0,0.0,327.0,147.0,500.0,102.0
0.0,8208.0,378.0,468.0,0.0,0.0,0.0,330.0,138.0,378.0,0.0
0.0,7830.0,146.0,450.0,0.0,0.0,0.0,320.0,130.0,146.0,0.0
0.0,7684.0,132.0,431.0,0.0,0.0,0.0,303.0,128.0,30.0,102.0
0.0,7552.0,270.0,423.0,0.0,0.0,0.0,292.0,131.0,87.0,183.0
0.0,7282.0,441.0,424.0,0.0,0.0,0.0,291.0,133.0,274.0,167.0
0.0,6841.0,540.0,429.0,0.0,0.0,0.0,299.0,130.0,457.0,83.0
0.0,6301.0,533.0,434.0,0.0,0.0,0.0,308.0,126.0,493.0,40.0
0.0,5768.0,259.0,427.0,0.0,0.0,0.0,305.0,122.0,238.0,21.0
0.0,5509.0,75.0,412.0,0.0,0.0,0.0,292.0,120.0,0.0,75.0
0.0,5434.0,161.0,401.0,0.0,0.0,0.0,280.0,121.0,0.0,161.0
0.0,5273.0,402.0,402.0,0.0,0.0,0.0,277.0,125.0,198.0,204.0
0.0,4871.0,567.0,408.0,0.0,0.0,0.0,283.0,125.0,421.0,146.0
0.0,4304.0,523.0,412.0,0.0,0.0,0.0,289.0,123.0,472.0,51.0
0.0,3781.0,312.0,409.0,0.0,0.0,0.0,290.0,119.0,300.0,12.0
0.0,3469.0,210.0,402.0,0.0,0.0,0.0,284.0,118.0,126.0,84.0
0.0,3259.0,258.0,397.0,0.0,0.0,0.0,277.0,120.0,73.0,185.0
0.0,3001.0,381.0,397.0,0.0,0.0,0.0,274.0,123.0,176.0,205.0
0.0,2620.0,435.0,398.0,0.0,0.0,0.0,276.0,122.0,319.0,116.0
